language,real_value,language_family,simulated_mean,simulated_sd,zscore
'Are'are,0.53333,Austronesian,0.06516521,0.044994584075775744,10.40491427171679
ASF_Auslan,0.88654,Other,0.10587094,0.054264337702239235,14.386410911042695
Abui,0,Other,0,0,NA
Achinese,0,Austronesian,0,0,NA
Achuar,0,Other,0,0,NA
Aché,0.27205,Tupian,0.16244464,0.04952539618354948,2.213114249379935
Adang,0.78808,Other,0.60938157,0.08264372219747701,2.162274704580711
Adnyamathanha,1.15564,Pama-Nyungan,0.29212936,0.10930550629816184,7.899973837041011
Aghul,0.9183,Nakh-Daghestanian,0.14872076,0.053669048521392586,14.339349423965364
Agob-Ende-Kawam,0,Other,0,0,NA
Aguaruna,0.9183,Other,0.23066148,0.06195164624190128,11.099600441850932
Akhvakh_Northern_Akhvakh_,0.91829,Nakh-Daghestanian,0.30580634,0.04207195869831964,14.558002026762372
Akkadian,0,Afro-Asiatic,0,0,NA
Aklanon,0.88654,Austronesian,0.19468805,0.07486871688806992,9.24086826590512
Alamblak,0,Other,0,0,NA
Alangan,0.88654,Austronesian,0.10411771,0.05149528176542002,15.194057847167857
Albanian,0.91829,Indo-European,0.3879359,0.07288623792368946,7.276464187317103
Albanian_Tosk_,0.91829,Indo-European,0.24211772,0.051688089699837216,13.081781198079943
Alyawarr,1.5,Pama-Nyungan,0.44831318,0.14579286731403307,7.213568395871528
Amanab,1.11459,Other,0.52196879,0.10849399095668667,5.462249151075917
Amharic,1.58497,Afro-Asiatic,0.23973031,0.07022021616573294,19.15744159523777
Amis,0,Austronesian,0,0,NA
Ampibabo_Lauje,0.88654,Austronesian,0.10844541,0.05552069560147794,14.014496424632105
Anambé,0,Tupian,0,0,NA
Ancient_Greek,0.9183,Indo-European,0.1457233,0.07405152558828179,10.432961290972452
Andi,1.00794,Nakh-Daghestanian,0.38310671,0.045558195129079895,13.715058031374197
Anejom,0.57433,Austronesian,0.26768498,0.07245114302842796,4.23243867774012
Angaite,0,Other,0,0,NA
Aniwa,1.53012,Austronesian,0.68239566,0.12849292463963471,6.597439838633047
Anuta,0.23886,Austronesian,0.26925692,0.10672675747100104,-0.2848106765377861
Arabana,0,Pama-Nyungan,0,0,NA
Arabana,1,Pama-Nyungan,0.28564879,0.11183087643115053,6.387781557267822
Araki,0.76304,Austronesian,0.44213966,0.08693556016214024,3.6912437143270362
Araweté,1.3037,Tupian,0.68646179,0.121297964098291,5.088611458472918
Archi,0.91829,Nakh-Daghestanian,0.38496198,0.07367507949651916,7.238920183658541
Aria_(Mouk-Aria),0,Austronesian,0,0,NA
Arizona_Yaqui,0,Uto-Aztecan,0,0,NA
Armenian,2.25163,Indo-European,0.81345296,0.12404349854938296,11.59413477383861
Arosi,0.98523,Austronesian,0.28952393,0.11173430739797335,6.2264320261282515
Asera,0,Austronesian,0,0,NA
Assamese,1.5,Indo-European,0.5724036,0.12365700111099154,7.501365807564845
Asu_Tanzania_,0.9183,Atlantic-Congo,0.60941213,0.09040338446809602,3.416773296900279
Atayal,0,Austronesian,0,0,NA
Atchin,1.17048,Austronesian,0.24632292,0.09873340348857644,9.36012582719207
Atoni_(Uab_Meto),0.99256,Austronesian,0.38949248,0.10775603771721617,5.596600736031406
Atsugewi,0.72193,Other,0.28115851000000003,0.06717908521534265,6.561141590230149
Atta,0,Austronesian,0,0,NA
Au,0.5615,Other,0.21926821999999999,0.048809538103135555,7.011575878404282
Avar,0.9183,Nakh-Daghestanian,0.33996927,0.04525679340072621,12.778871116191803
Avar_Ancux_,0.9183,Nakh-Daghestanian,0.34121778,0.044636710793045924,12.928421690289627
Avar_Andalal_,1.00794,Nakh-Daghestanian,0.38594575,0.047792336832356265,13.01451846102028
Avar_Batlux_,0.9183,Nakh-Daghestanian,0.19404435,0.04786428457331432,15.131442085813456
Avar_Hid_dialect_,0.91829,Nakh-Daghestanian,0.3101398,0.042711971538114145,14.238401508984795
Avatime,0,Atlantic-Congo,0,0,NA
Avava,0,Austronesian,0,0,NA
Avava_(Bangasa_Dialect),1.53012,Austronesian,0.59226822,0.11214522734136771,8.362832750297958
Avava_(Niviar_Dialect),1.57662,Austronesian,0.46553736,0.13943982086647153,7.9681875169932965
Avaz_Khunzakh_,0.9183,Nakh-Daghestanian,0.25139836,0.049054482847113966,13.59512120591515
Avestan,0,Indo-European,0,0,NA
Avá_Canoeiro,0,Tupian,0,0,NA
Awa,0,Other,0,0,NA
Awetí,0.91829,Tupian,0.41199258,0.04412905122598611,11.4731091182368
Awiakay,1.38429,Other,1.00766413,0.11147995545977049,3.378417837060512
Ayiwo,0.94068,Austronesian,0.56704646,0.12376959448502442,3.018782937397504
Ayoreo,0.61749,Other,0.31078971,0.06852268382816683,4.4758943004787595
Aztec,0,Uto-Aztecan,0,0,NA
Bacanese_Malay_(Bacan),0.96023,Austronesian,0.27433229,0.07017076642817162,9.77469315091635
Badimaya,0,Pama-Nyungan,0,0,NA
Bafia,0,Atlantic-Congo,0,0,NA
Bahonsuai,0,Austronesian,0,0,NA
Bahvalal,0.91829,Nakh-Daghestanian,0.30591899,0.042206982830801584,14.508760610888945
Balaesang,0,Austronesian,0,0,NA
Balangao,0,Austronesian,0,0,NA
Bali_Congo_,0,Atlantic-Congo,0,0,NA
Bali_DRC_,0,Atlantic-Congo,0,0,NA
Balinese,0.23646,Austronesian,0.1479333,0.04468299355485287,1.9812168558340788
Balochi,1.2244,Indo-European,0.20033192,0.07979225054829048,12.834179672375969
Bamun,0,Atlantic-Congo,0,0,NA
Bandjalang,1.52205,Pama-Nyungan,0.61049947,0.1018527356008098,8.949691185248366
Banjar,0.88654,Austronesian,0.105837,0.05196095359304233,15.024801240455634
Bannock,0,Uto-Aztecan,0,0,NA
Bannoni,0.88654,Austronesian,0.03207221,0.03819195581408217,22.372978073171627
Barabet_(Hano),7.3e-4,Austronesian,0.04601144,0.038648971071573064,-1.171607904286622
Bardi,0,Other,0,0,NA
Bari,0.91829,Other,0.17388542,0.06161218286752468,12.082100411871142
Bario_Kelabit,0.88654,Austronesian,0.03405061,0.04016361672504527,21.225413932117416
Barok_(Karu),0.99679,Austronesian,0.18666576000000001,0.14805727870050361,5.4716947867098975
Baruya,0,Other,0,0,NA
Basque,0.91829,Other,0.1775806,0.0602240855947662,12.299222025288364
Basque,0.9183,Other,0.30532054,0.06398189942915858,9.580513636965362
Batak_Toba,0.51305,Austronesian,0.3850375,0.10062604549609501,1.2721606952642077
