language,family,code,average_edit_distance,sample_mean,sd,z
Akkadian,Afro-Asiatic,akka1240,6.375,6.375,0.0,0.0
Amharic,Afro-Asiatic,amha1245,7.083333333333333,8.685541666666667,0.20124663178305932,7.961416890000373
Hausa,Afro-Asiatic,haus1257,6.958333333333333,6.7179166666666665,0.09585500110475378,-2.508128568106014
Lebanese_Arabic,Afro-Asiatic,stan1323,5.695652173913044,6.865021739130435,0.21418327464291528,5.459667974387612
Old_Aramaic,Afro-Asiatic,olda1245,5.875,6.27753125,0.28283365555154527,1.4232084552138469
Polci,Afro-Asiatic,polc1243,3.5,3.4240625,0.05209678254782313,-1.4576236052637626
An-ah'-ne-lin_(Gros_Ventres_of_Prairie),Algic,gros1243,6.428571428571429,6.428571428571429,0.0,0.0
Blood_Siksika_(Blood_Blackfoot),Algic,bloo1239,5.625,5.625,0.0,0.0
Cree_of_the_Lowlands,Algic,cree1272,9.0,9.0,0.0,0.0
Delaware,Algic,comm1246,10.0,10.0,0.0,0.0
"Etchemiu,_or_Malisete",Algic,male1293,8.083333333333334,8.08375,0.05435227177611789,0.007666039579404828
Kaskaskia,Algic,algo1255,4.5,4.5055,0.10805494118622824,0.05090003233189117
Kickapoo_(Kikapoo),Algic,kick1244,9.875,9.875,0.0,0.0
Menomine,Algic,meno1252,5.875,5.875,0.0,0.0
Miami,Algic,miam1252,6.5,6.5,0.0,0.0
Miemac,Algic,mikm1235,8.25,8.2185,0.24706479562142739,-0.12749691804843882
Mohegan,Algic,mohe1244,8.0625,8.0625,0.0,0.0
Munsee,Algic,muns1251,10.375,10.375,0.0,0.0
Ojibwa_Kansas,Algic,ojib1241,6.833333333333333,6.8308333333333335,0.062006588676216445,-0.04031829606130897
Ojibwa_Lake_Michigan,Algic,uppe1274,6.333333333333333,6.333166666666666,0.05338580793556831,-0.003121928338483169
Ottawa_(Otǎwa),Algic,otta1242,7.25,7.2495,0.05415938325304199,-0.00923201059479641
Peoria,Algic,peor1238,6.5625,6.5625,0.0,0.0
Piegan_Siksika_(Piegan_Blackfoot),Algic,pieg1239,7.125,7.125,0.0,0.0
Plains_Cree_(Cree_of_the_Prairie),Algic,plai1258,8.25,8.25,0.0,0.0
Potawatomi_(Potǎwattamie),Algic,pota1247,7.083333333333333,7.036083333333333,0.08573900842939192,-0.5510910478852983
Sawk_and_Fox,Algic,mesk1242,6.875,6.875,0.0,0.0
Shawnee,Algic,shaw1249,6.75,6.75,0.0,0.0
Shiyan,Algic,chey1247,5.375,5.375,0.0,0.0
Weaw,Algic,nucl1653,4.75,4.747833333333333,0.1310162149579786,-0.01653739323305573
Woods_Cree_(Cree_of_the_Woods),Algic,wood1236,9.0,9.0,0.0,0.0
Northern_Ojibwa,Algic,nort2961,6.166666666666667,6.242104166666667,0.12445898205954696,0.606123389020704
Wiyot,Algic,wiyo1248,4.0,4.0,0.0,0.0
Yurok,Algic,yuro1248,4.208333333333333,4.2374583333333335,0.10081054109442777,0.2889082796680909
Baure,Arawakan,baur1253,4.0,4.80125,0.1485509336217039,5.393772899741195
Ignaciano,Arawakan,igna1246,5.125,5.42525,0.13515414030521464,2.221537566825214
Mashco_Piro,Arawakan,mash1270,4.0,3.53375,0.08692521782252544,-5.363805943540333
Trinitario,Arawakan,trin1274,3.0,3.0,0.0,0.0
Wapishana,Arawakan,wapi1253,7.166666666666667,7.066895833333334,0.06577676712571223,-1.5168096228057522
Waurá,Arawakan,waur1244,6.208333333333333,6.1652708333333335,0.09842693248355074,-0.4375072849821489
Wayuu,Arawakan,wayu1243,6.208333333333333,6.234145833333334,0.043910031328478184,0.5878497286167907
Yavitero,Arawakan,yavi1244,8.25,6.4645,0.33647041079021694,-5.306558742585024
Asu_Tanzania_,Atlantic-Congo,asut1235,9.958333333333334,8.527229166666666,0.27874483737182426,-5.134101065906681
Avatime,Atlantic-Congo,avat1244,2.5,2.5,0.0,0.0
Bafia,Atlantic-Congo,bafi1243,4.333333333333333,4.333333333333333,0.0,0.0
Bali_Congo_,Atlantic-Congo,bali1274,2.5,2.5,0.0,0.0
Bali_DRC_,Atlantic-Congo,bali1275,2.5,2.5,0.0,0.0
Bamun,Atlantic-Congo,bamu1253,8.5,8.5,0.0,0.0
Batanga,Atlantic-Congo,bata1285,14.541666666666666,21.307583333333334,0.9788549809549968,6.912072572860241
Bemba,Atlantic-Congo,bemb1257,6.607142857142857,6.511714285714286,0.16402739594126442,-0.5817843469437425
Bena_Tanzania_,Atlantic-Congo,bena1262,5.9375,5.99190625,0.170453412665534,0.31918545454268565
Bende,Atlantic-Congo,bend1258,7.785714285714286,7.156857142857143,0.20765374849237955,-3.028392925351987
Bera,Atlantic-Congo,bera1259,3.9583333333333335,3.609770833333333,0.09140561523732325,-3.8133598148757204
Bila,Atlantic-Congo,bila1255,7.291666666666667,6.558291666666666,0.2616528434287754,-2.8028550746463905
Budza,Atlantic-Congo,budz1238,4.0,4.0,0.0,0.0
Bukusu,Atlantic-Congo,buku1249,5.541666666666667,4.6848125,0.20425857357979635,-4.19494835222633
Bushoong,Atlantic-Congo,bush1247,4.583333333333333,4.732270833333334,0.10028165406883591,1.48519189659323
Chokwe,Atlantic-Congo,chok1245,8.0,7.669227272727273,0.14916461620423074,-2.2175012793908513
Digo,Atlantic-Congo,digo1243,6.75,6.917708333333334,0.12458134624122393,1.3461753175198787
Ding,Atlantic-Congo,ding1239,6.666666666666667,6.256479166666667,0.14435303658288062,-2.8415578203960403
Duala,Atlantic-Congo,dual1243,10.7,9.55415,0.319340736527625,-3.588173599333062
Ekonda_Mongo,Atlantic-Congo,ekon1238,5.473684210526316,5.049710526315789,0.12531222599974015,-3.383338543610308
Fang_EG,Atlantic-Congo,fang1246,5.458333333333333,5.847416666666667,0.13004404300000233,2.9919350733606973
Fefe,Atlantic-Congo,fefe1239,14.285714285714286,11.29875,0.7582543522281141,-3.9392642810913725
Fipa,Atlantic-Congo,fipa1238,8.1,7.952775,0.11159806675522432,-1.3192432833349916
Ganda,Atlantic-Congo,gand1255,7.857142857142857,6.909821428571429,0.4614422699637796,-2.0529576292301672
Giryama,Atlantic-Congo,giry1241,5.954545454545454,6.371954545454545,0.15549317179085717,2.6844207118658456
Gogo,Atlantic-Congo,gogo1263,4.944444444444445,5.286305555555556,0.15318421231609639,2.2316993764715063
Gusii,Atlantic-Congo,gusi1247,7.333333333333333,6.946916666666667,0.12369974946177455,-3.123827399392398
Haya,Atlantic-Congo,haya1250,8.75,8.361854166666667,0.22960403462826756,-1.6905009267879232
Ha,Atlantic-Congo,haaa1252,7.95,7.87095,0.14395509914751395,-0.5491295582311831
Hehe,Atlantic-Congo,hehe1240,9.266666666666667,9.174733333333334,0.13402156377738303,-0.6859592646302769
Herero,Atlantic-Congo,here1253,6.454545454545454,6.419113636363637,0.07635079980315199,-0.46406610373654095
Igbo,Atlantic-Congo,nucl1417,6.9,6.8195,0.5208224323183536,-0.15456323500059024
Kagulu,Atlantic-Congo,kagu1239,8.0625,8.01765625,0.08897133975463803,-0.5040246682096567
Kamba,Atlantic-Congo,kamb1297,5.291666666666667,5.325708333333333,0.07290562502795153,0.46692784889526334
Kaonde,Atlantic-Congo,kaon1241,3.857142857142857,3.857142857142857,0.0,0.0
Kerewe,Atlantic-Congo,kere1283,6.5,6.5,0.0,0.0
Kikuyu,Atlantic-Congo,kiku1240,9.916666666666666,9.4374375,0.22736230293053689,-2.107777588851566
Komo_DRC_,Atlantic-Congo,komo1260,5.041666666666667,4.215979166666667,0.1250908755834636,-6.600701259374283
Kom,Atlantic-Congo,komc1235,14.75,16.294625,0.27585934754803876,5.599320863075033
Kota,Atlantic-Congo,kota1274,6.111111111111111,5.375055555555556,0.3910280038736275,-1.8823602101741883
Kwasio,Atlantic-Congo,kwas1243,4.521739130434782,3.852391304347826,0.11769126172166572,-5.6873196556421695
Kwere,Atlantic-Congo,kwer1261,7.115384615384615,6.776115384615385,0.1588047394652867,-2.1363923514599605
Lala_Bisa,Atlantic-Congo,lala1264,4.0,4.0,0.0,0.0
Lamba,Atlantic-Congo,lamb1271,6.7,6.300175,0.10049598906831465,-3.978516990645357
Langi,Atlantic-Congo,lang1320,6.2727272727272725,6.114477272727273,0.09410511469338118,-1.6816301697906564
Lingala,Atlantic-Congo,ling1263,7.375,6.804895833333333,0.22436034921290757,-2.5410201431165738
Lozi,Atlantic-Congo,lozi1239,8.75,8.52659375,0.12373767882742548,-1.8054827932531397
Luba_Katanga,Atlantic-Congo,luba1250,4.285714285714286,4.285714285714286,0.0,0.0
Luba_Lulua,Atlantic-Congo,luba1249,5.083333333333333,5.123729166666666,0.07005884055881885,0.5765986563739707
Luguru,Atlantic-Congo,lugu1238,6.9,6.949525,0.17503867547748672,0.2829374700471262
Lunda,Atlantic-Congo,lund1266,7.125,7.39221875,0.1911233337786157,1.398148225634907
Luvale,Atlantic-Congo,luva1239,5.28125,6.01990625,0.18447581745492594,4.004081728384157
Makonde,Atlantic-Congo,mako1251,7.5,7.5,0.0,0.0
Masaaba,Atlantic-Congo,masa1299,14.625,10.48740625,1.056767694485664,-3.9153295199980493
Mbala,Atlantic-Congo,mbal1257,5.543478260869565,5.754891304347826,0.08691673100568566,2.4323630333546578
Mbere,Atlantic-Congo,mber1257,6.444444444444445,6.345,0.07996858897176896,-1.2435438179302054
Mbuun,Atlantic-Congo,mpuo1241,5.5,5.232395833333333,0.04911779674682913,-5.4482119392690835
Meru,Atlantic-Congo,meru1245,10.25,9.775145833333333,0.4725883247683403,-1.0047945363428883
Meta,Atlantic-Congo,meta1238,6.6,6.6,0.0,0.0
Mokpwe,Atlantic-Congo,mokp1239,6.75,6.527791666666666,0.11320759717121243,-1.9628394108327472
Mongo,Atlantic-Congo,mong1338,6.375,6.015479166666666,0.20485390144419785,-1.7550109165544359
