language,family,code,correlation,mean,sd,z
Akkadian,Afro-Asiatic,akka1240,-0.1750336798479598,-0.0017596627768534682,0.03518886718516533,-4.924114668407227
Amharic,Afro-Asiatic,amha1245,-0.051048323579567303,-0.00045066070199274147,0.016713511011509922,-3.0273509164370065
Hausa,Afro-Asiatic,haus1257,-0.10479328828988259,-0.0010386830304257666,0.01750630393733558,-5.9266996409322035
Lebanese_Arabic,Afro-Asiatic,stan1323,-0.05585942159350371,8.327577314587012e-05,0.01630680311123444,-3.4306354829358496
Old_Aramaic,Afro-Asiatic,olda1245,-0.07249245004306099,8.088195698007228e-05,0.020157399785331053,-3.6003320256045193
Polci,Afro-Asiatic,polc1243,-0.10965946334213322,0.0006719487390223695,0.016993793485455155,-6.4924533875021675
Morgan1871_An-ah'-ne-lin_(Gros_Ventres_of_Prairie)_gros1243.csv,Algic,rgan1871,-0.13853849661638512,0.002234812338292821,0.03762780995398888,-3.7412038895384803
Northern_Ojibwa,Algic,nort2961,-0.023107980003657557,-7.163366886611866e-05,0.025738542783653326,-0.8950136193965857
Ottowa_Ojibwa,Algic,otta1242,-0.11060805860524295,-0.001230501812404383,0.03509080831152836,-3.116985958881569
Wiyot,Algic,wiyo1248,-0.14376904108678137,0.0009192786565450985,0.01931296278473146,-7.491772306303769
Yurok,Algic,yuro1248,-0.0965090648271012,0.000545113677368149,0.016906564723119397,-5.74062088271248
Baure,Arawakan,baur1253,-0.08434898656878823,-0.0011621939258200649,0.022412624141579057,-3.7116043225229998
Ignaciano,Arawakan,igna1246,-0.10606561188474391,0.001045000139797526,0.02264914089208758,-4.72912471757197
Mashco_Piro,Arawakan,mash1270,-0.15007690758657122,0.00030212344116624444,0.02652487975339864,-5.669357690809866
Trinitario,Arawakan,trin1274,-0.37643300496757137,-0.0009469036413617247,0.08822856934680189,-4.255833502754403
Wapishana,Arawakan,wapi1253,-0.1016218123401337,-0.0007300377750144938,0.01727539790907308,-5.840199750891446
Waurá,Arawakan,waur1244,-0.15913244798470993,-0.00016652667174209978,0.01677870544982632,-9.474266163639777
Wayuu,Arawakan,wayu1243,-0.11148879728866162,6.636505886402805e-05,0.01643837547883122,-6.786264402536771
Yavitero,Arawakan,yavi1244,-0.10537714288614869,0.00016095613913908756,0.023266875502750323,-4.535980734190646
Asu_Tanzania_,Atlantic-Congo,asut1235,-0.12047415664683542,0.0006513233649534758,0.016640987243066376,-7.278743637175551
Avatime,Atlantic-Congo,avat1244,-0.001516472194827572,0.0005522698633894363,0.03750705891490501,-0.05515607243187247
Bafia,Atlantic-Congo,bafi1243,-0.2594795052232633,0.004775197461795271,0.0871168383122264,-3.0333366982163743
Bali_Congo_,Atlantic-Congo,bali1274,0.017524990930819523,-0.003965029198097928,0.18837408743618111,0.11408161505333378
Bali_DRC_,Atlantic-Congo,bali1275,-0.06633732051495939,-0.0020541954364007037,0.06598172049456583,-0.9742565758625976
Bamun,Atlantic-Congo,bamu1253,-0.5234853858609232,-0.001113058627744159,0.1058773683781474,-4.933748687136752
Batanga,Atlantic-Congo,bata1285,0.05763456464790775,-5.7082547466556165e-05,0.017047835994241794,3.384103836689928
Bemba,Atlantic-Congo,bemb1257,-0.09340029815277798,0.000710689338049265,0.024719131265610143,-3.8072125787752396
Bena_Tanzania_,Atlantic-Congo,bena1262,-0.0811464414949738,-0.0001294177041712254,0.02029671039432245,-3.99163323596839
Bende,Atlantic-Congo,bend1258,-0.1371951242623251,0.0005335038910368592,0.024701130506701245,-5.575802618264663
Bera,Atlantic-Congo,bera1259,-0.089175926450563,-0.0003955604960415834,0.0172491328092567,-5.146946628347465
Bila,Atlantic-Congo,bila1255,-0.11629914570728549,-0.0002015578295643068,0.017637664561391,-6.582367380535164
Budza,Atlantic-Congo,budz1238,-0.5789974915645967,0.0008684962373468938,0.08602526898976778,-6.740647191360893
Bukusu,Atlantic-Congo,buku1249,-0.08685135190035569,-1.0292508469699702e-05,0.01670904840308177,-5.197247461194095
