language,code,correlation,mean,sd,z
Akkadian,akka1240,-0.1750336798479598,0.00030693637800728514,0.037907693923113314,-4.625462487420194
Amharic,amha1245,-0.051048323579567303,0.0013179128219372015,0.016158849506784215,-3.2407156449794767
Hausa,haus1257,-0.10479328828988259,0.0008737870842540724,0.01689655595968579,-6.253764117744008
Lebanese_Arabic,stan1323,-0.05585942159350371,0.0005751675453517157,0.017021646094595742,-3.315460139708405
Old_Aramaic,olda1245,-0.07249245004306099,1.138367294978776e-05,0.019976096913219776,-3.6295295337713944
Polci,polc1243,-0.10965946334213322,-0.00039173713657206574,0.016119393516708613,-6.77864995927417
Morgan1871_An-ah'-ne-lin_(Gros_Ventres_of_Prairie)_gros1243.csv,rgan1871,-0.13853849661638512,0.0011674669052780685,0.03644667414068323,-3.833160825111278
Northern_Ojibwa,nort2961,-0.023107980003657557,0.0008829116635491434,0.02451832462388978,-0.9784882138248072
Ottowa_Ojibwa,otta1242,-0.11060805860524295,-3.050992037041067e-05,0.035799579470029964,-3.0887946261336343
Wiyot,wiyo1248,-0.14376904108678137,-0.0004378367257683094,0.020316853102015312,-7.054793556921247
Yurok,yuro1248,-0.0965090648271012,-0.0005865483236219767,0.016768494386087386,-5.720401265307692
Baure,baur1253,-0.08434898656878823,3.296129350291641e-05,0.023707720899316245,-3.559260218249187
Ignaciano,igna1246,-0.10606561188474391,0.0012062134687588935,0.02307713381689139,-4.648403315795863
Mashco_Piro,mash1270,-0.15007690758657122,-0.0006583618957080477,0.026519165124941974,-5.634360847594372
Trinitario,trin1274,-0.37643300496757137,0.0005681005271084421,0.08543324203883484,-4.412815158335075
Wapishana,wapi1253,-0.1016218123401337,3.220641563216387e-05,0.015961225960992757,-6.368810203188376
Waurá,waur1244,-0.15913244798470993,-0.00044029804517631266,0.016317152919606268,-9.7254803409272
Wayuu,wayu1243,-0.11148879728866162,-3.3131616489945836e-05,0.01668426211255806,-6.680287382219933
Yavitero,yavi1244,-0.10537714288614869,-0.0013261286561817246,0.023125518495535107,-4.499402435022432
Asu_Tanzania_,asut1235,-0.12047415664683542,-0.00028338423317353053,0.017159394756154325,-7.004371315052048
Avatime,avat1244,-0.001516472194827572,0.00037439040508133127,0.03758415564148811,-0.05031009923292337
Bafia,bafi1243,-0.2594795052232633,-0.0037893493520518295,0.08505607350033668,-3.0061363680301953
Bali_Congo_,bali1274,0.017524990930819523,0.0025253378378378333,0.18616382295015177,0.08057233062407661
Bali_DRC_,bali1275,-0.06633732051495939,-0.0026934826883910504,0.06443549884338141,-0.9877138994649935
Bamun,bamu1253,-0.5234853858609232,0.003213917354272023,0.10523540421220291,-5.0049629890063185
Batanga,bata1285,0.05763456464790775,0.00018815608051189054,0.017202336049299917,3.3394539208373244
Bemba,bemb1257,-0.09340029815277798,0.00046135676100510475,0.02367283588926317,-3.9649518694274435
Bena_Tanzania_,bena1262,-0.0811464414949738,0.0007674686120430258,0.019983183546927803,-4.09914215693676
Bende,bend1258,-0.1371951242623251,0.000280852110243689,0.024083632368345185,-5.70827416188528
Bera,bera1259,-0.089175926450563,-0.0007865080635174868,0.01665253391927147,-5.30786598697482
Bila,bila1255,-0.11629914570728549,-0.00044869705884893063,0.017065973953526076,-6.788387757060896
Budza,budz1238,-0.5789974915645967,-0.005970238095238097,0.08307942514050481,-6.897342542997243
Bukusu,buku1249,-0.08685135190035569,0.0008815347489779044,0.016947098900548747,-5.176867566784118
Bushoong,bush1247,-0.016578723219904237,-0.000507858568022865,0.016663882088555952,-0.9644130081140073
Chokwe,chok1245,-0.06881673329209256,-0.00035681681513301814,0.01631544162509888,-4.1960198228189025
Digo,digo1243,-0.07546721473324099,0.0004146564452085855,0.016023590000753384,-4.735634846802859
Ding,ding1239,-0.12180269581448802,-0.0005322586004757084,0.017316258224097488,-7.003270316519714
Duala,dual1243,-0.1509767279878434,0.0011086023320580054,0.019013850027861115,-7.998660455249715
Duma,duma1253,,-0.00392083960003105,0.11495123318015753,
Ekonda_Mongo,ekon1238,-0.11866619623386093,0.0008275236803366228,0.018598809448596806,-6.4248047835778435
Fang_EG,fang1246,-0.059698975786624836,0.0011415556715911356,0.016886167655587064,-3.6029804215573975
Fefe,fefe1239,-0.2821198055151266,0.00025717019912641905,0.027003611591611115,-10.457007750843804
Fipa,fipa1238,-0.08061893883591664,-0.00019529364537725153,0.019453665514965208,-4.134112675509484
Ganda,gand1255,0.03149095880882902,0.0004113086981489865,0.02678614356235934,1.1602883423037442
Giryama,giry1241,-0.02324176563649499,-0.00011120395193391169,0.01912163428952344,-1.2096540146275099
Gogo,gogo1263,-0.055290242959440045,0.0007233709724138017,0.017846780297010797,-3.1385837108800914
Gusii,gusi1247,-0.2082173379359556,-0.00018770393853002638,0.026384559233872017,-7.8845218581616825
Haya,haya1250,-0.14570619420226633,0.0008826514082816741,0.017213774806508042,-8.51578734230489
Ha,haaa1252,-0.04378953337848367,-0.0008117752011304884,0.017582827686063885,-2.4443029838378765
Hehe,hehe1240,-0.0972515187369629,-0.0009653311668806837,0.020950494115897483,-4.595891010370925
Herero,here1253,-0.1491228341154454,0.001021149594595316,0.017222357115372976,-8.717969480264673
Igbo,nucl1417,0.014208738865407473,0.0003808517375550317,0.030252590920203343,0.45708108652002677
Kagulu,kagu1239,-0.12886284591630706,-1.6151969286630626e-05,0.02094187534207065,-6.1525862341553115
Kamba,kamb1297,-0.12061380558170444,0.00029132886379652605,0.016798334171054738,-7.197447866814852
Kaonde,kaon1241,-0.06937113968165567,0.000883005248705786,0.03838932744461102,-1.8300436503277038
Kerewe,kere1283,-0.08320740004875224,-0.003819742221779017,0.06645091028287227,-1.1946812690605897
Kikuyu,kiku1240,-0.10977137351959812,-0.0007153648289310342,0.01689749417220676,-6.453975221370041
Komo_DRC_,komo1260,-0.11379321287247118,-9.97368080506861e-05,0.017527695824569048,-6.486504398658793
Kom,komc1235,-0.2095274285017948,-0.0002347764273563463,0.018820554953120242,-11.120429370747116
Kota,kota1274,-0.1582507002250185,0.0002913796087814556,0.03609399599505292,-4.392477902849269
Kwasio,kwas1243,-0.07623871386061959,0.0009418058579022119,0.016740152544960953,-4.610502772374935
Kwere,kwer1261,-0.08494303916691545,0.0009440989098043285,0.02403165788122536,-3.573916477223936
Kélé,kele1257,,0.0035853398354160288,0.12311348686941227,
Lala_Bisa,lala1264,0.01238335034605385,0.0009571699864062061,0.03740979200910971,0.3054328758862182
Lamba,lamb1271,-0.11367464503387004,0.00048074499136073397,0.01722634362724884,-6.626791645132307
Langi,lang1320,-0.057222646510220826,3.1993440718325715e-05,0.017256706257172426,-3.317819698480545
Lingala,ling1263,-0.07628951830271752,-0.00044651450427014226,0.01637823825399497,-4.6307180676131505
Lozi,lozi1239,-0.10801515598056054,0.00027756715467103856,0.02301616295696512,-4.705072836758838
Luba_Katanga,luba1250,0.06720118885775728,0.0006914823531885806,0.03818267718326183,1.7418816963867743
Luba_Lulua,luba1249,-0.11494018107817458,0.0004948279207866582,0.016654228652810923,-6.931273216275793
Luguru,lugu1238,-0.09185241832873753,-0.0002598432686108891,0.01758806377589797,-5.207655386469641
Lunda,lund1266,-0.019878740526566595,0.00035381010425964115,0.02074061923820073,-0.975503691498337
Luvale,luva1239,-0.027868081901874144,-0.0001571044605654347,0.020811891736538187,-1.3314972897277864
Makonde,mako1251,-0.13456258776630997,-0.0004657700936288948,0.016373451741883205,-8.189892991815654
Masaaba,masa1299,-0.013987069238022908,0.0001335635881020918,0.019476239275004126,-0.7250184507769664
Mbala,mbal1257,-0.11152578363744584,0.0010258600757039203,0.01729369717072397,-6.5082464785890535
Mbere,mber1257,-0.0033208971296814797,1.5293633251544647e-05,0.04158934361944145,-0.08021744207988608
Mbuun,mpuo1241,-0.11827419561612934,0.0009507911840912653,0.016953002935563715,-7.032676585580747
Meru,meru1245,0.0025337934022755795,7.310444950820472e-05,0.017151923089955317,0.14346431824944625
Meta,meta1238,-0.1164154928999162,-0.005766554997907913,0.09435986005462599,-1.1726271937871926
Mokpwe,mokp1239,-0.03746839486709094,0.00027591140641910843,0.016515559661266395,-2.285378579209217
Mongo,mong1338,-0.11278202769557946,0.0007474631411502089,0.016700619147282297,-6.797921073195924
Mungaka,mung1266,-0.23269742816461103,-0.0006916443636422015,0.0358419408180542,-6.47302513495875
Myene,myen1241,0.007837857241388965,-0.0002867809596482991,0.016416533749762173,0.494905826338338
Ndumu,ndum1239,,0.008161704611792166,0.15755517167408348,
Ngombe_Binja,binj1250,,0.011125,0.3081466523832443,
Ngoni,ngon1269,-0.2001995012082741,0.0003268639408399865,0.0436517073854624,-4.5937805680402
Ngulu,ngul1246,-0.09267304587975897,-0.0004639812181817931,0.017796059668657084,-5.181431529136663
Njebi,njeb1242,-0.18948801967623075,-0.001968379454990964,0.05108813302664063,-3.670512682924918
Nsong,song1299,-0.03358108538567444,0.00029691703627574646,0.0161280655320313,-2.1005620515781294
Nyakyusa,nyak1260,0.042194660350501643,0.0004066416235743566,0.02586204242683063,1.6158050488531492
Nyoro,nyor1246,-0.03146147995071599,-0.00015817529776828698,0.017098265467239086,-1.8307883166819467
Oroko,orok1266,,-0.0004999999999999903,0.3036749907384538,
Phende,phen1239,-0.16265065470972,0.000315330201802632,0.01690442394268068,-9.640434093708594
Pinji,pinj1243,-0.02782854313111751,0.0006427384908934965,0.04765700818730608,-0.5974206670739901
Pokomo,poko1261,-0.1037565621886016,0.0012970955663057769,0.08894326349038084,-1.1811311349764997
Punu,punu1239,0.05898311560881635,-0.000551541102157035,0.061739510780470665,0.9642877949367439
Rundi,rund1242,-0.05060883670761194,0.0001738658128792095,0.018391851909477657,-2.7611522086213567
Sakata,saka1287,-0.2165325617491669,0.0004820177837062053,0.021651809638497093,-10.022930330359982
Sake,sake1247,0.05628973637251479,-0.0005172163596400681,0.05910842628825592,0.9610635284912274
Sango,sang1331,-0.07744480421276664,0.003232320426895793,0.038213103732573306,-2.1112423948670855
Sangu,sang1333,,-0.004606213281110917,0.11616588267652586,
Sangu_Tanzania_,sang1330,-0.1197754144702235,0.00013772822274959212,0.021698495986594884,-5.526334302942206
San_Salvador_Kongo,sans1272,-0.08577496635057291,0.0006108707956636471,0.017876293118603646,-4.832424517381394
Seki,seki1238,-0.03777920502291046,0.0027536551146922134,0.060323563163457716,-0.6719241704567663
Shi,shii1238,-0.06829028825152741,-0.0014102390328068904,0.02044349594378647,-3.2714585314870193
Sira,sira1266,,-0.002939002136371731,0.11584538980006301,
Soga,soga1242,-0.09530022506661318,-2.5603251634104872e-05,0.01730509367762659,-5.505582552156752
Songoora,song1300,-0.07181205452217615,0.0007859627248357002,0.03777625110944467,-1.9217898842498211
Sukuma,suku1261,-0.05040593592524174,-0.0010031238265284194,0.038187220932445906,-1.293700114656368
Suku,suku1259,-0.054516655826708095,-1.6264317523652927e-06,0.016875791967084858,-3.230368654773878
Sumbwa,sumb1240,-0.142825428511048,-0.0005085875208603767,0.06409801536214615,-2.2203002727325396
Suundi,suun1239,-0.11934539279528905,-0.00013081635977954133,0.03125461612291358,-3.8143030126071573
Taabwa,shil1264,-0.1368449688414452,-0.0002275669317042222,0.03284727498696881,-4.159170036599381
Temi,temi1247,-0.4555109619421339,0.004119425533840626,0.12065025117765547,-3.809609868106918
Tetela,tete1250,-0.03805679191077516,-0.0006783994733258064,0.018797344764426367,-1.9884932103914637
Tiv,tivv1240,-0.06022881298329948,-8.460487302505233e-05,0.02045971248390621,-2.939640923966277
Tonga_Nyasa_,tong1321,-0.1615767424994477,-0.00019099425351987986,0.02649551262911142,-6.091059663763909
Tooro,toor1238,0.010775654837385896,0.0006749329009638134,0.016830771552325492,0.600134218744504
Tsaangi,tsaa1242,,-0.00425,0.29343983625268055,
Tsogo,tsog1243,-0.11535839126581804,-0.0007246064262961311,0.03758307906088468,-3.050143514154732
Tsonga,tson1249,-0.0207474895622799,0.0005138551919334962,0.0165736416845209,-1.2828408601394239
Tswana,tswa1253,0.056622366796237555,-0.001169705871206638,0.01817738113766348,3.1793398746367916
Umbundu,umbu1257,-0.10553672297575462,-0.0012480576441270558,0.022150895274569832,-4.708101593137654
Venda,vend1245,-0.0036224970668762052,-0.001374394657368831,0.024154342753516068,-0.09307239002312019
Vili,vili1238,,-0.0008749999999999805,0.2913050108992291,
Yaka_CAR_,yaka1272,-0.14151992557635032,-0.0010998739914323415,0.017545409280499986,-8.003236022597727
Yaka_Pelende_Lonzo,yaka1269,-0.07555010148907941,0.0005108779679648926,0.01913040882933671,-3.975920229180042
Yansi,yans1239,-0.12286236385555926,0.0009630747260870381,0.05785432719024727,-2.1402969249726236
Yao,yaoo1241,,0.0005442512840774363,0.22262865508389462,
Yombe,yomb1244,-0.01814974936256785,0.0005794735574391953,0.01970130088269788,-0.950659199182906
Zigula,zigu1242,0.04082551970875305,-0.00042432862685466135,0.03137534360628203,1.3147218036314536
Zinza,zinz1238,-0.23038636435852045,-0.0018489491034308306,0.03696380691172582,-6.18273479787581
Zulu,zulu1248,-0.08223728140291874,-0.00022737713578899335,0.01711658590117388,-4.791253626198049
Birhor,birh1242,-0.09418420157875569,-0.0010400691511654914,0.036709866861994386,-2.537305100499344
Bit,bitt1240,-0.1333581105285453,0.00044360634436411224,0.017297133529353456,-7.735484995004876
Car_Nicobarese,carn1240,,0.007414218787914216,0.0936561046725806,
Jahai_(Jehai),jeha1242,,-0.0019622646740124297,0.0537211919891267,
O_du,oduu1239,-0.08716144381450892,-0.001208532640205791,0.018014299487398668,-4.771371278379643
Pacoh,paco1243,0.01101737780819239,0.00018221319005020685,0.054100153018557334,0.20027974069547502
Prai,phai1238,-0.15707755382538358,-0.0009423665595561294,0.017432391803257737,-8.956613012601585
'Are'are,area1240,-0.06460478368594419,-0.00016503303832875237,0.021131226559508432,-3.0495035612885157
Achinese,achi1257,0.056478833149218685,0.00027507746222078366,0.03649270856717905,1.5401365887525993
Aklanon,akla1241,-0.11246933989381899,0.0009315294003525307,0.01648131481074018,-6.880571762410177
Alangan,alan1249,-0.056646620136781775,0.00021363905852808852,0.016444210182710427,-3.4577677227145385
Amis,amis1246,-0.3462920957997495,0.000846026951672866,0.09097742125868566,-3.8156513775474914
Ampibabo_Lauje,ampi1237,0.046208348390022316,0.00042940395220521325,0.017252476974527732,2.6534708323568275
Anejom,anei1239,-0.02137311660097669,0.0006031082434490049,0.017492131345705316,-1.256349178387648
Aniwa,aniw1237,0.0347561035060794,-0.0010135060502505274,0.02352797929824736,1.520300961799744
Anuta,anut1237,-0.06800301286991066,-0.0005124841833283295,0.016798126485837707,-4.017741427502808
Araki,arak1252,0.015955149793488405,0.0003810998373649936,0.0199824830031147,0.7793851221440229
Aria_(Mouk-Aria),mouk1240a,0.10740602714029865,-0.00044346126755307223,0.044143400886077204,2.4431621996271558
Arosi,aros1241,-0.03118166523199148,-0.0003443580012119722,0.041896446737536425,-0.7360363379730562
Asera,aser1237,-0.23034898319568442,-0.0016622068289593602,0.036713275138788304,-6.228994158167952
Atayal,atay1247,-0.4638005151317526,-0.0010998055026701984,0.08868091991520019,-5.217590323505136
Atchin,atch1238,0.0042288078538160485,0.00048744355627353077,0.022811736360527957,0.1640105004902804
Atoni_(Uab_Meto),uabm1237,0.042178003326098126,-0.0003299629699121712,0.021113331689162684,2.0133234736149825
Atta,atta1244,-0.05503579729481302,0.0009965017608429953,0.03760390377179605,-1.490066015371568
Avava_(Bangasa_Dialect),katb1237,0.038310272624260136,0.0003810720391918405,0.028886859917609756,1.3130260849828896
Avava_(Niviar_Dialect),katb1237b,0.04070701720124491,0.0003351606116999776,0.03164934930377468,1.2755983133191922
Avava,katb1237a,0.09175937549844738,0.0021339039714759044,0.049519047775756476,1.809919123098532
Ayiwo,ayiw1239,-0.0895569785175576,0.0005597149266740684,0.01736045428981012,-5.190917929902704
Bacanese_Malay_(Bacan),baca1243,-0.2427533210859611,0.000525267192442348,0.018760309510333615,-12.967727858882068
Bahonsuai,baho1237,-0.05119285134820549,-0.00041872338979424806,0.0379820302288095,-1.3367934165851643
Balaesang,bala1314,-0.036090206235513254,-0.0019880439509599897,0.03958505963400434,-0.8614907391792543
Balangao,bala1310,-0.16402421053152316,0.00020451854533435566,0.03679734578365317,-4.463059103295825
Balinese,bali1278,-0.09122774409205602,-0.0010613723565618934,0.017158358351643407,-5.254953293760652
Banjar,banj1239,0.0006126529054068866,8.254072235978477e-05,0.01768661140349423,0.02997251259460424
Bannoni,bann1247,-0.1030656781357575,-0.0001438386046641359,0.016094871679132483,-6.394697738692432
Barabet_(Hano),hano1246a,-0.07914084178402372,-0.0009345163929040653,0.017107015266941954,-4.571593826904897
Bario_Kelabit,bari1288,-0.1030656781357575,0.0011888404846045408,0.016383572562320745,-6.363356845632594
Barok_(Karu),baro1253,-0.025529290000316354,-0.0001603756442650123,0.041898382601235774,-0.6054867224231013
Batak_Toba,bata1289,-0.019715771719332857,0.00023913772842334486,0.017453964203521397,-1.14328809289813
Bau-Jagoi_Bidayuh,baub1235,,-0.000722947325663917,0.06629934038816596,
Biak,biak1248,0.07126132775220433,-0.0012631795738285926,0.03810448218733669,1.903306465876476
Bierebo,bier1244,-0.1691117602285502,-0.0004272989889263321,0.053843887466698846,-3.1328432840951757
Big_Nambas,bign1238,-0.030990078801980125,0.0004021395495797627,0.02642072197585513,-1.1881665603327574
Big_Nambas,bign1238a,-0.20377941087530127,0.0006359465037874577,0.039314190139202614,-5.199531178317559
Bilibil,bilb1241,-0.07871824238708008,0.00041453563543930865,0.016851183905441217,-4.695977354859178
Binukid_(Talaandig-Binukid),binu1244,-0.0835423908310257,0.0005597886868802651,0.017742909165293152,-4.740044529023345
Boano_(Sulawesi),boan1243,-0.1293132993047512,0.00041318111617789954,0.020280652944512888,-6.396563304734612
Bontok,bont1247,-0.10304873125888594,-0.0010458032243385379,0.01632345209760732,-6.248857620594784
Brooke's_Point_Palawano,broo1239,-0.0905719301380896,0.0002460196259906647,0.025756160872284082,-3.526067033608586
Brunei-Sabah_Malay_(Malay),saba1263,-0.08113169348188465,-3.0003130346363955e-05,0.01703493486361958,-4.760904048112446
Buhid,buhi1245,-0.099264749949432,0.0004298052554568701,0.017110961804025087,-5.82635601357238
Bukat,buka1261,-0.09902835382271177,-0.00015588452501348179,0.016760144594770342,-5.899261115476856
Buli,buli1256,-0.12196669238509203,-0.0006933727939918466,0.0168580531553702,-7.193791505661974
Bungku,bung1269,-0.09634526018295586,-0.0008538883632577193,0.01716340731221082,-5.563660529792433
Bunun,bunu1267,-0.21000192318418126,-0.0008386973382887297,0.02742647240143063,-7.626326229069915
Buru_(Indonesia),buru1303,0.05345056013630087,6.308545616289962e-05,0.038079137179261854,1.4020137701337712
Butmas-Tur,butm1237,-0.0829750131030208,0.0005789217749547188,0.03307346636257805,-2.5263132071488914
Bwaidoga,bwai1243,-0.43336049880954813,0.003911914636253674,0.13406952038850775,-3.261534852803756
Casiguran_Dumagat_Agta,casi1235,-0.09775067139250762,-0.0007883191187246317,0.01665468323356312,-5.821927136889697
Cebuano,cebu1242,-0.07238020163758875,0.0003581573712131376,0.017106047481062994,-4.252201397741112
Central_Cagayan_Agta,cent2084,-0.08561863424811414,-0.00016144393450220917,0.016926498323033105,-5.048722345443663
Central_Melanau,cent2101,0.0037866010905019346,0.00038149166134320646,0.01757197094445444,0.19378073409763694
Central_Sama,cent2092,-0.1319873727077705,0.0003623355906053155,0.01753240536351998,-7.548861981811033
Central_Subanen_(Subanung),cent2089,-0.06675205823543474,0.0019381217151535034,0.05412289416785667,-1.269152010562344
Central_Tagbanwa,cent2090,-0.10387135160840269,-0.0003806429907015012,0.018543088935346116,-5.581093256821479
Chamarro,cham1312,-0.10016046775383398,0.00017201740162608558,0.017337145849533407,-5.787139707206207
Cheke_Holo,chek1238,0.03709955107252036,0.000719059954049647,0.052685922022610625,0.6905163603829066
Chuukese_(Trukese),chuu1238,0.08678901592391708,-0.001597832762675609,0.0376995750436573,2.3445051723855754
Colloquial_Malay,mala1479,-0.13407655153013393,7.904295194433087e-06,0.016424515305680162,-8.163678095204267
Cotabato_Manobo,cota1241,-0.0029914286115743077,-0.0007583722160714336,0.03775070011287063,-0.05915271475300511
Daakie,port1286,-0.14969070065442852,-0.0013537198623747916,0.04115468475323933,-3.6043765535192924
Dakaka,daka1243,-0.011948478720111712,-0.0008982712310925563,0.020497665301568897,-0.5390959080678017
Dampelas,damp1237,0.03140990359250388,-0.001224904870646828,0.017251670027966397,1.8916898138120521
Dehu,dehu1237,0.024874011470180472,0.000964193779178398,0.06350830786891268,0.37648330578031247
Dobu,dobu1241,-0.031244423990208818,0.0004234839456239291,0.023589419372090126,-1.3424623741820751
Dondo,dond1249,-0.04009866583881454,-0.0013659634301928273,0.01760664297412918,-2.1998913969877565
