simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.3738515776855984,1.4662019920911507,1.0923504144055523,"-di', -uding, asel","-di', -uding","-di', -uding, -'ob ai, asel","-di', -uding","-di', -uding","-matu, -uding","-matu, -uding, -'ob ai","-di', -uding","-di', -uding, asel","-matu, -uding, asel","-matu, -uding","-matu, -uding","-di', -uding, -lote ai","-di', -uding","-di', -uding","-matu, -uding","-di', -uding","-matu, -uding, -lote ai, asel","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding","-di', -uding","-di', -uding","-matu, -uding, asel","-matu, -uding","-matu, -uding, -lote ai","-matu, -uding","-di', -uding, -lote ai, asel","-matu, -uding","-matu, -uding","-matu, -uding, -'ob ai, asel","-matu, -uding","-di', -uding, -'ob ai","-matu, -uding","-di', -uding","-di', -uding","-matu, -uding","-ife, -ife sel",-ife,-imang,"-ife, -ife sel",-ife,"-imang sel, asel","-ife, -ife sel","-ife, -ife sel","-imang sel, asel","-ife, -ife sel","-ife, -ife sel",-imang,-imang sel,-imang sel,"-ife, -ife sel",-imang sel,-imang sel,"-ife, -ife sel","-imang sel, asel","-imang sel, asel"
1,0.5494571419085125,1.4552911983990653,0.9058340564905528,"-di', -uding","-matu, -uding","-matu, -uding","-di', -uding","-di', -uding","-matu, -uding","-di', -uding","-matu, -uding","-di', -uding","-di', -uding","-matu, -uding","-matu, -uding","-matu, -uding","-matu, -uding","-di', -uding, -'ob ai, asel","-matu, -uding","-di', -uding, -lote ai, asel","-di', -uding","-di', -uding","-matu, -uding, -lote ai","-di', -uding","-matu, -uding, -'ob ai, asel","-di', -uding, -'ob ai","-di', -uding","-di', -uding","-di', -uding","-matu, -uding, asel","-di', -uding, asel","-matu, -uding","-matu, -uding","-matu, -uding, -lote ai, asel","-matu, -uding","-matu, -uding","-di', -uding","-matu, -uding, asel","-matu, -uding, -'ob ai","-di', -uding, -lote ai","-di', -uding, asel","-ife, -ife sel","-ife, -ife sel","-ife, -ife sel",-imang sel,"-imang sel, asel",-ife,"-imang sel, asel",-imang sel,"-ife, -ife sel",-imang,"-ife, -ife sel","-ife, -ife sel",-imang,"-imang sel, asel","-imang sel, asel",-imang sel,-ife,-imang sel,"-ife, -ife sel","-ife, -ife sel"
2,0.5356139237417831,1.4803287691330291,0.9447148453912461,"-di', -uding, -lote ai, asel","-di', -uding","-matu, -uding","-di', -uding","-di', -uding","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding, asel","-di', -uding","-matu, -uding","-di', -uding","-di', -uding","-di', -uding, -'ob ai","-matu, -uding, asel","-matu, -uding, -lote ai","-matu, -uding","-matu, -uding, -lote ai, asel","-matu, -uding","-matu, -uding, asel","-di', -uding, -lote ai","-di', -uding","-di', -uding","-di', -uding","-di', -uding","-matu, -uding, -'ob ai, asel","-matu, -uding","-di', -uding, asel","-di', -uding, -'ob ai, asel","-matu, -uding","-matu, -uding","-matu, -uding","-di', -uding","-di', -uding","-matu, -uding","-matu, -uding","-matu, -uding","-matu, -uding, -'ob ai","-ife, -ife sel","-ife, -ife sel",-imang,-imang sel,"-ife, -ife sel","-ife, -ife sel","-imang sel, asel",-imang sel,-ife,"-ife, -ife sel","-imang sel, asel","-ife, -ife sel",-ife,-imang sel,"-imang sel, asel","-ife, -ife sel",-imang,"-imang sel, asel","-ife, -ife sel",-imang sel
3,0.46321000501655196,1.4652269104947433,1.0020169054781913,"-di', -uding","-matu, -uding","-matu, -uding, -'ob ai, asel","-di', -uding","-matu, -uding","-matu, -uding, -lote ai","-di', -uding","-di', -uding, -'ob ai, asel","-matu, -uding","-matu, -uding","-di', -uding","-matu, -uding, asel","-di', -uding, asel","-matu, -uding, -'ob ai","-di', -uding","-matu, -uding","-di', -uding","-matu, -uding, asel","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding","-di', -uding","-di', -uding, -'ob ai","-matu, -uding","-di', -uding, asel","-matu, -uding","-matu, -uding","-di', -uding, -lote ai, asel","-di', -uding","-di', -uding","-matu, -uding","-di', -uding","-matu, -uding","-di', -uding","-matu, -uding","-matu, -uding, -lote ai, asel","-di', -uding, -lote ai",-ife,"-imang sel, asel","-imang sel, asel","-imang sel, asel","-ife, -ife sel","-ife, -ife sel",-imang,"-ife, -ife sel",-imang sel,"-imang sel, asel","-ife, -ife sel",-imang,"-ife, -ife sel",-imang sel,"-ife, -ife sel",-imang sel,-imang sel,"-ife, -ife sel","-ife, -ife sel",-ife
4,0.3001088197551882,1.4662019920911507,1.1660931723359624,"-matu, -uding, -'ob ai","-di', -uding","-di', -uding, -'ob ai, asel","-di', -uding","-di', -uding, asel","-matu, -uding","-di', -uding","-matu, -uding","-matu, -uding, -'ob ai, asel","-matu, -uding","-matu, -uding, -lote ai, asel","-matu, -uding","-di', -uding","-di', -uding","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding, -'ob ai","-di', -uding, -lote ai","-matu, -uding","-matu, -uding","-di', -uding","-matu, -uding","-di', -uding, -lote ai, asel","-di', -uding","-matu, -uding","-matu, -uding","-matu, -uding, asel","-di', -uding","-matu, -uding, -lote ai","-matu, -uding","-di', -uding","-di', -uding, asel","-di', -uding","-matu, -uding, asel","-di', -uding","-matu, -uding","-di', -uding","-imang sel, asel",-imang sel,-imang,"-ife, -ife sel",-imang,"-ife, -ife sel",-imang sel,"-ife, -ife sel","-imang sel, asel","-imang sel, asel","-imang sel, asel","-ife, -ife sel","-ife, -ife sel",-imang sel,-imang sel,"-ife, -ife sel",-ife,"-ife, -ife sel","-ife, -ife sel",-ife
5,0.48534335981520604,1.4774210228213231,0.9920776630061171,"-matu, -uding, asel","-di', -uding","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding","-matu, -uding","-matu, -uding, -lote ai","-matu, -uding","-di', -uding, -'ob ai","-matu, -uding","-matu, -uding","-matu, -uding","-matu, -uding","-matu, -uding, asel","-di', -uding","-di', -uding","-di', -uding","-di', -uding, -lote ai","-di', -uding, asel","-di', -uding","-matu, -uding","-matu, -uding, -lote ai, asel","-matu, -uding, -'ob ai","-di', -uding","-di', -uding","-matu, -uding","-di', -uding","-di', -uding, asel","-di', -uding, -'ob ai, asel","-di', -uding","-di', -uding","-matu, -uding, -'ob ai, asel","-di', -uding, -lote ai, asel","-di', -uding","-matu, -uding","-matu, -uding","-matu, -uding",-ife,"-ife, -ife sel",-imang,"-imang sel, asel","-imang sel, asel","-ife, -ife sel","-ife, -ife sel",-imang sel,-imang sel,"-ife, -ife sel",-ife,-imang,"-imang sel, asel",-imang sel,-imang sel,"-imang sel, asel","-ife, -ife sel","-ife, -ife sel","-ife, -ife sel","-ife, -ife sel"
6,0.6178298747482847,1.4288303734552859,0.8110004987070012,"-matu, -uding","-di', -uding","-matu, -uding","-di', -uding, -lote ai, asel","-matu, -uding, asel","-di', -uding","-di', -uding","-matu, -uding","-matu, -uding","-matu, -uding","-di', -uding","-matu, -uding, -'ob ai","-matu, -uding","-matu, -uding","-di', -uding","-di', -uding, -'ob ai, asel","-di', -uding","-matu, -uding, -lote ai, asel","-di', -uding","-matu, -uding","-di', -uding, asel","-matu, -uding, -'ob ai, asel","-di', -uding","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding","-di', -uding","-di', -uding, -'ob ai","-di', -uding, -lote ai","-di', -uding, asel","-di', -uding","-matu, -uding","-matu, -uding","-matu, -uding, asel","-matu, -uding","-matu, -uding, -lote ai","-di', -uding","-ife, -ife sel","-ife, -ife sel","-ife, -ife sel","-imang sel, asel",-ife,-imang sel,"-ife, -ife sel","-imang sel, asel","-ife, -ife sel",-imang sel,-imang sel,"-imang sel, asel","-ife, -ife sel",-imang,"-ife, -ife sel",-imang,"-ife, -ife sel",-imang sel,-ife,"-imang sel, asel"
7,0.44619644546374815,1.4434053231105732,0.9972088776468251,"-di', -uding","-matu, -uding, -lote ai, asel","-matu, -uding, asel","-matu, -uding, -'ob ai, asel","-di', -uding","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding","-di', -uding","-matu, -uding","-di', -uding","-di', -uding","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding, -lote ai","-di', -uding, -lote ai, asel","-di', -uding","-di', -uding, asel","-di', -uding","-matu, -uding","-matu, -uding","-matu, -uding, -lote ai","-di', -uding","-matu, -uding","-matu, -uding","-matu, -uding, -'ob ai","-di', -uding, asel","-matu, -uding","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding, -'ob ai","-matu, -uding","-matu, -uding, asel","-di', -uding","-di', -uding, -'ob ai, asel","-ife, -ife sel","-ife, -ife sel","-ife, -ife sel","-ife, -ife sel",-imang,-imang,"-imang sel, asel","-ife, -ife sel","-imang sel, asel",-ife,"-ife, -ife sel",-ife,-imang sel,-imang sel,"-imang sel, asel",-imang sel,"-imang sel, asel","-ife, -ife sel",-imang sel,"-ife, -ife sel"
8,0.4193095861866101,1.5020431742705265,1.0827335880839164,"-di', -uding, -'ob ai, asel","-di', -uding","-matu, -uding","-di', -uding, -lote ai, asel","-matu, -uding","-di', -uding","-di', -uding","-matu, -uding","-di', -uding","-di', -uding, asel","-matu, -uding","-di', -uding, asel","-matu, -uding, asel","-di', -uding","-matu, -uding","-di', -uding","-matu, -uding","-di', -uding, -lote ai","-matu, -uding","-matu, -uding","-matu, -uding, -lote ai, asel","-di', -uding, -'ob ai","-matu, -uding, -lote ai","-matu, -uding","-matu, -uding, -'ob ai, asel","-matu, -uding","-di', -uding","-di', -uding","-matu, -uding, -'ob ai","-di', -uding","-matu, -uding","-di', -uding","-di', -uding","-di', -uding","-matu, -uding","-di', -uding","-matu, -uding, asel","-matu, -uding","-ife, -ife sel","-imang sel, asel","-imang sel, asel",-imang,"-ife, -ife sel",-imang sel,-imang sel,-imang sel,"-imang sel, asel",-ife,"-imang sel, asel",-imang sel,"-ife, -ife sel","-ife, -ife sel","-ife, -ife sel","-ife, -ife sel","-ife, -ife sel",-imang,"-ife, -ife sel",-ife
9,0.4257046017065662,1.5020431742705265,1.0763385725639603,"-matu, -uding","-matu, -uding, -lote ai, asel","-matu, -uding, -'ob ai, asel","-matu, -uding","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding","-di', -uding","-di', -uding","-di', -uding","-matu, -uding","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding, asel","-di', -uding","-matu, -uding, asel","-di', -uding, -lote ai, asel","-matu, -uding","-matu, -uding, asel","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding, asel","-matu, -uding, -lote ai","-matu, -uding","-di', -uding","-matu, -uding","-matu, -uding","-di', -uding","-di', -uding","-di', -uding, -'ob ai, asel","-di', -uding","-di', -uding, -lote ai","-matu, -uding, -'ob ai","-di', -uding","-di', -uding, -'ob ai","-ife, -ife sel","-imang sel, asel",-imang sel,-ife,"-ife, -ife sel",-ife,"-imang sel, asel","-ife, -ife sel",-imang,"-imang sel, asel",-imang sel,-imang,-imang sel,"-ife, -ife sel","-ife, -ife sel","-ife, -ife sel","-imang sel, asel",-imang sel,"-ife, -ife sel","-ife, -ife sel"
