simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.030920850462841765,1.0777023635861172,1.0467815131232754,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,bic’i ču,ču,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,ču,čibxar,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,adad,abab,abab,adad,abab,adad,dad,bab,abab,adad,adad,abab,adad,adad,abab,abab,abab,adad,abab,dad,abab,adad,adad,adad,bab,abab,abab,adad
1,0.051184007991552094,1.0289547671978303,0.9777707592062782,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,či,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,ču,čibxar,čibxar,čibxar,čibxar,ču,čibxar,bic’i ču,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,abab,abab,adad,abab,adad,abab,adad,abab,dad,abab,adad,bab,adad,adad,abab,adad,adad,adad,abab,abab,abab,abab,abab,adad,adad,bab,dad,adad
2,0.09904625258607025,1.168554925967082,1.0695086733810117,čibxar,čibxar,čibxar,či,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,či,čibxar,bic’i ču,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,bab,adad,abab,dad,abab,adad,abab,adad,abab,adad,abab,adad,abab,abab,adad,adad,abab,adad,bab,abab,abab,adad,dad,adad,abab,adad,abab,adad
3,0.09151076505289568,1.1263821356691475,1.0348713706162518,čibxar,čibxar,čibxar,ču,čibxar,či,čibxar,čibxar,či,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,bic’i ču,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,abab,abab,dad,adad,adad,adad,adad,abab,abab,abab,bab,adad,adad,abab,abab,abab,adad,adad,bab,adad,abab,adad,abab,dad,abab,adad,adad,abab
4,0.04902419935104563,1.166666376116316,1.1176421767652704,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,ču,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,či,čibxar,čibxar,čibxar,či,ču,čibxar,čibxar,čibxar,čibxar,čibxar,adad,abab,adad,bab,dad,bab,abab,adad,adad,abab,abab,abab,abab,dad,adad,abab,abab,adad,adad,adad,abab,adad,adad,abab,abab,abab,adad,adad
5,0.05407929048592797,1.0777023635861172,1.0236230731001892,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,ču,či,abab,abab,adad,abab,abab,adad,abab,adad,adad,adad,adad,adad,dad,abab,abab,adad,abab,bab,adad,abab,adad,abab,bab,dad,adad,adad,abab,abab
6,0.032112125565725735,1.078766968938344,1.0466548433726182,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,bic’i ču,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,či,čibxar,ču,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,adad,abab,abab,adad,abab,adad,abab,adad,abab,adad,dad,dad,abab,abab,abab,adad,bab,abab,adad,adad,adad,abab,adad,abab,abab,bab,adad,adad
7,0.029232019928269626,1.034095769786265,1.0048637498579953,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,či,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,bic’i ču,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,či,čibxar,abab,abab,bab,abab,adad,adad,abab,abab,abab,abab,abab,abab,bab,dad,adad,adad,adad,adad,adad,adad,adad,dad,abab,abab,adad,adad,abab,adad
8,0.08778887122537249,1.1174400811009686,1.029651209875596,čibxar,čibxar,či,čibxar,čibxar,čibxar,či,čibxar,čibxar,či,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,ču,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,dad,abab,abab,adad,abab,adad,abab,adad,bab,adad,abab,abab,abab,adad,abab,adad,abab,adad,dad,abab,abab,adad,abab,adad,bab,adad,adad,adad
9,0.041570724823589034,1.0472879586365091,1.00571723381292,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,ču,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,bic’i ču,čibxar,čibxar,či,čibxar,čibxar,čibxar,čibxar,čibxar,čibxar,abab,abab,adad,abab,abab,adad,abab,adad,abab,adad,bab,dad,adad,abab,bab,adad,adad,abab,adad,adad,abab,abab,adad,dad,abab,adad,abab,adad
