simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.015483993015139141,1.2149847829974898,1.1995007899823507,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian","magtalkaka, tayarian","magtalkaka, tayarian",insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,"magtalkaka, tayarian",insan,insan,insan,ináng,papa,"mamang, mamboy","akbáy, bing tê","akbáy, bing tê",papa,"akbáy, bing tê",papa,papa,"akbáy, bing tê","mamang, mamboy",papa,"akbáy, bing tê","akbáy, bing tê",papa,"akbáy, bing tê",papa,ináng,"akbáy, bing tê",papa
1,0.06845857263241228,1.192854958575232,1.1243963859428197,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,"magtalkaka, tayarian",insan,insan,"akbáy, bing tê",papa,"akbáy, bing tê",papa,"mamang, mamboy","akbáy, bing tê",ináng,"akbáy, bing tê","akbáy, bing tê","mamang, mamboy","akbáy, bing tê",papa,"akbáy, bing tê",papa,ináng,papa,papa,papa,"akbáy, bing tê",papa
2,0.04423261081937202,1.1624822949233928,1.1182496841040208,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,"mamang, mamboy","akbáy, bing tê","mamang, mamboy",papa,"akbáy, bing tê","akbáy, bing tê","akbáy, bing tê","akbáy, bing tê",ináng,"akbáy, bing tê","akbáy, bing tê",papa,papa,ináng,papa,papa,papa,papa,"akbáy, bing tê",papa
3,0.05144249541989976,1.192854958575232,1.1414124631553322,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,papa,ináng,papa,"akbáy, bing tê",papa,"akbáy, bing tê","mamang, mamboy",papa,"akbáy, bing tê",ináng,"akbáy, bing tê","akbáy, bing tê","akbáy, bing tê",papa,papa,"akbáy, bing tê",papa,"mamang, mamboy","akbáy, bing tê",papa
4,0.03328924542708234,1.1907686023357982,1.1574793569087158,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán","magtalkaka, tayarian","magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"akbáy, bing tê",ináng,papa,papa,"mamang, mamboy","mamang, mamboy",papa,"akbáy, bing tê",ináng,"akbáy, bing tê","akbáy, bing tê","akbáy, bing tê",papa,"akbáy, bing tê",papa,"akbáy, bing tê","akbáy, bing tê",papa,papa,papa
5,0.10007670423357928,1.2135652713163758,1.1134885670827965,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán","magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,papa,"akbáy, bing tê",ináng,"akbáy, bing tê","mamang, mamboy",papa,"akbáy, bing tê",papa,"akbáy, bing tê",papa,papa,papa,"akbáy, bing tê",papa,"akbáy, bing tê","mamang, mamboy","akbáy, bing tê",ináng,"akbáy, bing tê",papa
6,0.09733790509953133,1.1403524705011352,1.0430145654016039,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,papa,papa,"akbáy, bing tê",papa,ináng,"akbáy, bing tê","akbáy, bing tê",papa,"mamang, mamboy","akbáy, bing tê",papa,papa,"mamang, mamboy",ináng,papa,"akbáy, bing tê","akbáy, bing tê","akbáy, bing tê","akbáy, bing tê",papa
7,0.023404358815176884,1.192854958575232,1.169450599760055,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,papa,ináng,papa,"akbáy, bing tê","mamang, mamboy","akbáy, bing tê",papa,"akbáy, bing tê",papa,"akbáy, bing tê",papa,papa,papa,papa,"akbáy, bing tê","akbáy, bing tê","akbáy, bing tê",ináng,"mamang, mamboy","akbáy, bing tê"
8,0.06203743455929178,1.192854958575232,1.1308175240159402,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,"akbáy, bing tê",ináng,"akbáy, bing tê",papa,ináng,"akbáy, bing tê",papa,"akbáy, bing tê","akbáy, bing tê","akbáy, bing tê",papa,papa,"mamang, mamboy",papa,"mamang, mamboy",papa,"akbáy, bing tê","akbáy, bing tê",papa,papa
9,0.029908535296001793,1.192854958575232,1.1629464232792301,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,"magtalkaka, tayarian","magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian",insan,insan,insan,insan,insan,insan,"magtalkaka, tayarian, kakaán",insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,insan,"akbáy, bing tê","akbáy, bing tê",papa,"akbáy, bing tê",papa,papa,"mamang, mamboy","akbáy, bing tê",papa,"mamang, mamboy",papa,papa,"akbáy, bing tê","akbáy, bing tê",papa,"akbáy, bing tê",papa,"akbáy, bing tê",ináng,ináng
