simulation_number,mutual_information,entropy,conditional_entropy,meZ,feB,feZ,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,meB,mFB,mFeB,mFyB,fFB,fFeB,fFyB,mF,mM,mFZ,mMB,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1906950616884755,1.6971491916342119,1.5064541299457364,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushëri,kushëri,kushërirë,vëlla,kushërirë,kushëri,kushëri,kushëri,kushërirë,kushëri,kushërirë,vëlla,kushërirë,kushërirë,kushëri,kushëri,kushëri,apë,kushërirë,kushëri,kushëri,motër,kushërirë,kushëri,kushërirë,kushërirë,kushëri,kushëri,mommë,kushërirë,kushërirë,kushëri,kushërirë,kushërirë,motër,kushërirë,kushëri,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushërirë,kushëri,kushërirë,motër,kushërirë,kushëri,mommë,apë,kushërirë,kushëri,kushëri,kushëri,kushëri,kushërirë,vëlla,kushërirë,motër,kushërirë,kushëri,kushërirë,kushërirë,vëlla,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushëri,ungj,emtë,nënë,emtë,xhaxha,ungj,teze,babë,ungj,babë,teze,nënë,emtë,teze,emtë,xhaxha,emtë,teze,ungj,teze,xhaxha,ungj,xhaxha,xhaxha,emtë,xhaxha,teze,ungj
1,0.13651293107673945,1.6728534266191053,1.5363404955423658,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushëri,kushërirë,kushërirë,kushërirë,motër,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushëri,kushëri,kushëri,kushërirë,vëlla,kushërirë,vëlla,kushëri,kushëri,kushërirë,kushërirë,kushërirë,mommë,kushëri,kushëri,motër,kushërirë,kushëri,apë,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,apë,mommë,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushërirë,vëlla,motër,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushëri,kushëri,vëlla,kushërirë,kushëri,kushërirë,kushërirë,motër,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,xhaxha,teze,nënë,emtë,xhaxha,ungj,ungj,babë,teze,emtë,teze,ungj,emtë,ungj,xhaxha,teze,babë,ungj,xhaxha,xhaxha,emtë,emtë,xhaxha,emtë,teze,teze,ungj,nënë
2,0.10505399831561979,1.7209605985928378,1.615906600277218,motër,kushëri,kushëri,kushëri,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,kushërirë,apë,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushëri,kushëri,kushëri,kushërirë,kushërirë,motër,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushërirë,motër,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,motër,kushërirë,kushëri,apë,kushëri,vëlla,kushëri,kushëri,vëlla,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushëri,mommë,kushërirë,kushëri,kushëri,kushëri,mommë,kushëri,kushëri,kushërirë,kushëri,vëlla,kushërirë,kushërirë,kushëri,kushërirë,kushërirë,kushëri,kushërirë,kushërirë,vëlla,ungj,teze,emtë,ungj,ungj,emtë,teze,nënë,emtë,xhaxha,xhaxha,teze,teze,xhaxha,emtë,xhaxha,nënë,emtë,babë,babë,teze,emtë,ungj,teze,ungj,xhaxha,xhaxha,ungj
3,0.1725447776872564,1.701552616258133,1.5290078385708765,kushërirë,kushërirë,mommë,kushëri,kushëri,kushërirë,kushërirë,motër,kushëri,kushërirë,vëlla,kushërirë,kushëri,kushërirë,kushërirë,vëlla,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,kushërirë,kushëri,kushërirë,vëlla,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushëri,kushëri,kushëri,kushëri,kushërirë,apë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushëri,motër,kushëri,kushëri,kushëri,kushërirë,kushërirë,kushëri,mommë,motër,apë,kushërirë,kushërirë,kushëri,motër,kushëri,kushërirë,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushëri,vëlla,kushëri,kushërirë,kushërirë,emtë,ungj,teze,xhaxha,xhaxha,teze,emtë,teze,nënë,teze,ungj,ungj,xhaxha,babë,emtë,emtë,emtë,teze,ungj,nënë,emtë,xhaxha,babë,ungj,teze,xhaxha,ungj,xhaxha
4,0.174138290269803,1.6952100340382144,1.5210717437684114,kushëri,kushëri,kushërirë,motër,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushërirë,mommë,kushëri,kushërirë,kushëri,kushëri,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,apë,kushëri,kushëri,kushërirë,kushëri,kushëri,kushëri,kushëri,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushëri,motër,kushëri,kushëri,kushërirë,kushëri,kushëri,kushërirë,kushërirë,vëlla,apë,vëlla,kushërirë,kushërirë,kushëri,motër,kushërirë,kushëri,vëlla,kushëri,kushëri,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushërirë,kushërirë,vëlla,kushërirë,kushërirë,kushëri,kushërirë,motër,kushëri,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushërirë,kushëri,kushërirë,mommë,kushëri,nënë,ungj,xhaxha,babë,emtë,xhaxha,teze,teze,ungj,teze,emtë,nënë,ungj,xhaxha,xhaxha,teze,emtë,teze,ungj,ungj,emtë,emtë,emtë,babë,xhaxha,teze,xhaxha,ungj
5,0.20336179885352212,1.6791817002865712,1.475819901433049,kushërirë,kushëri,kushërirë,kushëri,kushëri,vëlla,kushëri,kushëri,kushëri,kushërirë,motër,kushëri,kushëri,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushërirë,vëlla,kushërirë,kushërirë,kushëri,kushëri,kushëri,kushëri,kushëri,apë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushëri,kushëri,apë,kushëri,kushërirë,kushërirë,kushërirë,kushëri,motër,mommë,kushërirë,kushëri,kushëri,mommë,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,vëlla,motër,kushërirë,kushëri,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushëri,vëlla,kushëri,motër,kushërirë,kushëri,xhaxha,babë,xhaxha,teze,nënë,ungj,emtë,babë,xhaxha,xhaxha,ungj,xhaxha,xhaxha,emtë,ungj,teze,ungj,teze,teze,emtë,ungj,teze,emtë,emtë,emtë,nënë,teze,ungj
6,0.0927938596116924,1.6464187771140382,1.5536249175023458,kushërirë,vëlla,motër,motër,kushërirë,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushëri,kushërirë,vëlla,kushëri,mommë,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushëri,kushëri,kushëri,kushëri,vëlla,kushëri,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushërirë,kushëri,kushëri,kushëri,kushërirë,kushërirë,apë,kushërirë,motër,kushëri,kushërirë,kushërirë,kushëri,kushërirë,kushëri,vëlla,kushëri,kushëri,kushëri,kushërirë,kushëri,kushërirë,motër,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushërirë,mommë,kushëri,kushëri,kushëri,apë,kushërirë,kushërirë,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,teze,xhaxha,teze,ungj,xhaxha,babë,ungj,xhaxha,emtë,ungj,ungj,teze,ungj,nënë,emtë,babë,xhaxha,teze,emtë,teze,emtë,nënë,emtë,ungj,teze,xhaxha,emtë,xhaxha
7,0.14804680510516266,1.7331392556688292,1.5850924505636665,kushëri,kushëri,kushërirë,kushërirë,kushëri,kushëri,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushërirë,vëlla,kushërirë,kushërirë,vëlla,motër,kushërirë,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushëri,kushërirë,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,kushëri,kushëri,kushëri,vëlla,kushërirë,mommë,kushëri,kushërirë,kushërirë,kushërirë,apë,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,motër,kushëri,kushëri,kushëri,kushëri,kushërirë,kushëri,vëlla,kushërirë,kushërirë,apë,kushëri,motër,motër,kushërirë,kushëri,kushëri,kushëri,mommë,kushërirë,kushërirë,teze,ungj,xhaxha,babë,xhaxha,ungj,xhaxha,emtë,ungj,nënë,emtë,emtë,teze,teze,ungj,emtë,teze,ungj,ungj,xhaxha,babë,teze,xhaxha,teze,xhaxha,emtë,emtë,nënë
8,0.15467174790982607,1.6559055454304197,1.5012337975205936,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,apë,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,motër,vëlla,kushëri,kushëri,kushërirë,kushëri,kushërirë,motër,kushëri,kushëri,kushërirë,kushërirë,kushëri,kushërirë,kushërirë,motër,kushëri,kushërirë,kushëri,vëlla,kushërirë,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushëri,kushërirë,apë,kushëri,kushëri,vëlla,kushëri,vëlla,kushëri,kushëri,kushëri,kushërirë,kushërirë,mommë,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushërirë,motër,kushëri,kushërirë,kushëri,kushëri,kushëri,kushërirë,kushëri,kushërirë,mommë,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushëri,ungj,xhaxha,teze,xhaxha,teze,emtë,nënë,ungj,xhaxha,ungj,ungj,babë,ungj,xhaxha,teze,teze,babë,xhaxha,emtë,ungj,emtë,xhaxha,teze,emtë,teze,nënë,emtë,emtë
9,0.14523109627677622,1.6957233608125848,1.5504922645358086,kushëri,kushëri,kushërirë,motër,vëlla,kushëri,kushërirë,vëlla,kushërirë,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushërirë,mommë,motër,kushërirë,kushërirë,kushëri,kushërirë,kushërirë,mommë,kushëri,kushëri,kushëri,kushëri,kushërirë,kushërirë,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushëri,kushërirë,kushërirë,kushërirë,kushëri,kushërirë,vëlla,kushërirë,kushërirë,kushëri,kushëri,kushërirë,kushërirë,kushëri,kushëri,kushëri,kushërirë,motër,kushëri,kushërirë,kushëri,kushëri,apë,kushërirë,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushërirë,motër,kushërirë,kushëri,kushërirë,kushëri,kushëri,kushërirë,kushëri,kushërirë,kushërirë,kushëri,vëlla,apë,kushërirë,kushëri,kushërirë,kushërirë,babë,emtë,nënë,ungj,xhaxha,ungj,xhaxha,teze,xhaxha,babë,ungj,ungj,xhaxha,ungj,nënë,emtë,ungj,emtë,teze,xhaxha,xhaxha,emtë,emtë,teze,teze,teze,emtë,teze
