simulation_number,mutual_information,entropy,conditional_entropy,mZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.10727257215354391,1.7152703097392763,1.6079977375857324,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,lʸoče,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,lʸoče,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,at,teze,halə,at,nənə,teze,dayə,halə,halə,dayə,nənə,ǰa'ǰa,ǰa'ǰa,ǰa'ǰa,teze,teze,halə,ǰa'ǰa,ǰa'ǰa,teze,teze,dayə,dayə,dayə,halə,ǰa'ǰa,dayə,halə
1,0.07205085728401261,1.694780835057987,1.6227299777739743,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,lʸoče,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,lʸoče,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,teze,at,ǰa'ǰa,dayə,ǰa'ǰa,dayə,halə,ǰa'ǰa,dayə,halə,teze,teze,halə,teze,at,nənə,halə,teze,halə,teze,ǰa'ǰa,dayə,halə,ǰa'ǰa,dayə,nənə,dayə,ǰa'ǰa
2,0.07327605645905821,1.695898525900541,1.6226224694414828,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,lʸoče,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,lʸoče,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,halə,teze,ǰa'ǰa,dayə,at,halə,ǰa'ǰa,at,ǰa'ǰa,ǰa'ǰa,halə,teze,dayə,halə,halə,nənə,ǰa'ǰa,teze,dayə,dayə,teze,dayə,halə,nənə,ǰa'ǰa,teze,teze,dayə
3,0.08636416757054333,1.6934584395764753,1.607094272005932,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,lʸoče,kušə'ri,kušə'ri,lʸoče,kušə'ri,və'la,kušə'ri,kušə'ri,at,teze,halə,teze,halə,dayə,ǰa'ǰa,halə,dayə,ǰa'ǰa,halə,ǰa'ǰa,halə,teze,teze,ǰa'ǰa,dayə,at,teze,dayə,halə,dayə,nənə,nənə,ǰa'ǰa,teze,ǰa'ǰa,dayə
4,0.13230139972009058,1.6187877762565819,1.4864863765364913,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,lʸoče,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,lʸoče,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,dayə,ǰa'ǰa,teze,ǰa'ǰa,dayə,dayə,ǰa'ǰa,teze,halə,teze,ǰa'ǰa,ǰa'ǰa,at,ǰa'ǰa,teze,teze,dayə,halə,halə,halə,dayə,nənə,dayə,nənə,halə,halə,at,teze
5,0.102860828471667,1.7281716273860601,1.6253107989143931,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,və'la,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,lʸoče,kušə'ri,motər,kušə'ri,kušə'ri,motər,lʸoče,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,ǰa'ǰa,nənə,dayə,teze,teze,halə,dayə,dayə,dayə,ǰa'ǰa,teze,ǰa'ǰa,halə,dayə,teze,teze,at,nənə,ǰa'ǰa,halə,ǰa'ǰa,halə,at,halə,halə,ǰa'ǰa,teze,dayə
6,0.10439534782257254,1.6791094000316995,1.574714052209127,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,lʸoče,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,lʸoče,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,halə,ǰa'ǰa,teze,dayə,halə,teze,halə,dayə,dayə,teze,ǰa'ǰa,teze,dayə,halə,dayə,ǰa'ǰa,ǰa'ǰa,teze,halə,nənə,nənə,dayə,at,ǰa'ǰa,teze,halə,at,ǰa'ǰa
7,0.08930143403206592,1.6991295278069438,1.609828093774878,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,lʸoče,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,və'la,kušə'ri,lʸoče,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,teze,at,teze,nənə,dayə,halə,ǰa'ǰa,teze,nənə,halə,teze,halə,dayə,teze,ǰa'ǰa,ǰa'ǰa,dayə,dayə,ǰa'ǰa,ǰa'ǰa,halə,halə,teze,dayə,halə,dayə,ǰa'ǰa,at
8,0.07421409532211753,1.7348247883697943,1.6606106930476767,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,və'la,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,lʸoče,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,lʸoče,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,ǰa'ǰa,halə,dayə,halə,at,teze,dayə,ǰa'ǰa,ǰa'ǰa,at,teze,dayə,halə,teze,ǰa'ǰa,teze,nənə,nənə,dayə,ǰa'ǰa,dayə,teze,halə,teze,dayə,ǰa'ǰa,halə,halə
9,0.10281746019164117,1.7058007644374547,1.6029833042458135,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,lʸoče,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,və'la,lʸoče,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,və'la,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,kušə'ri,motər,motər,kušə'ri,və'la,kušə'ri,və'la,kušə'ri,halə,dayə,ǰa'ǰa,dayə,at,ǰa'ǰa,teze,teze,ǰa'ǰa,dayə,teze,ǰa'ǰa,halə,at,halə,teze,dayə,halə,dayə,nənə,halə,ǰa'ǰa,dayə,nənə,teze,ǰa'ǰa,halə,teze
