simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.03343220829134674,1.0472879586365091,1.0138557503451624,kasignḗtē,kasignḗtē,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,kasígnētos,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,kasígnētos,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,kasignḗtē,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,kasígnētos,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,kasígnētos,anepsiós,kasígnētos,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,kasignḗtē,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,kasígnētos,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,kasignḗtē,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,theîos,tēthís,theîos,tēthís,tēthís,theîos,tēthís,theîos,tēthís,theîos,tēthís,theîos,theîos,tēthís,theîos,mḗtēr,tēthís,theîos,theîos,tēthís,tēthís,tēthís,tēthís,theîos,patḗr,mḗtēr,theîos,patḗr
1,0.08792062131743728,1.0762815311530085,0.9883609098355712,anepsiḗ,kasignḗtē,kasígnētos,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,kasignḗtē,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,kasignḗtē,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,kasígnētos,anepsiḗ,kasignḗtē,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,kasígnētos,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,kasignḗtē,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiós,kasígnētos,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,kasignḗtē,kasígnētos,anepsiḗ,anepsiḗ,anepsiós,anepsiós,kasígnētos,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,theîos,mḗtēr,tēthís,theîos,theîos,tēthís,theîos,mḗtēr,tēthís,patḗr,theîos,theîos,theîos,tēthís,tēthís,tēthís,theîos,theîos,theîos,tēthís,tēthís,tēthís,tēthís,theîos,theîos,tēthís,patḗr,tēthís
2,0.03694880244826959,1.0762815311530087,1.0393327287047391,anepsiḗ,anepsiḗ,anepsiós,kasignḗtē,anepsiós,anepsiós,kasígnētos,anepsiḗ,anepsiós,anepsiós,kasignḗtē,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,kasígnētos,kasígnētos,anepsiós,anepsiḗ,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,kasígnētos,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,kasignḗtē,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,kasignḗtē,anepsiós,kasígnētos,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiós,kasígnētos,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiḗ,theîos,theîos,theîos,theîos,patḗr,theîos,theîos,theîos,tēthís,tēthís,theîos,tēthís,patḗr,tēthís,theîos,theîos,tēthís,tēthís,tēthís,theîos,tēthís,theîos,mḗtēr,mḗtēr,tēthís,tēthís,tēthís,tēthís
3,0.06678186702790612,1.1263821356691475,1.0596002686412413,anepsiós,kasígnētos,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,kasignḗtē,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,kasignḗtē,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,kasignḗtē,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiós,kasígnētos,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,kasígnētos,anepsiḗ,anepsiḗ,kasígnētos,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiós,kasígnētos,kasígnētos,kasignḗtē,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,kasignḗtē,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,mḗtēr,theîos,theîos,patḗr,tēthís,tēthís,tēthís,patḗr,theîos,theîos,mḗtēr,tēthís,tēthís,theîos,theîos,tēthís,theîos,theîos,tēthís,theîos,theîos,tēthís,theîos,tēthís,tēthís,theîos,tēthís,tēthís
4,0.040683282163747725,1.1483737243689762,1.1076904422052285,anepsiós,kasignḗtē,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,kasignḗtē,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,kasígnētos,anepsiós,anepsiós,anepsiḗ,kasígnētos,anepsiós,anepsiḗ,anepsiḗ,kasígnētos,anepsiós,anepsiḗ,anepsiḗ,anepsiós,kasígnētos,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,anepsiós,anepsiós,kasígnētos,anepsiós,anepsiós,kasignḗtē,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,anepsiós,kasígnētos,anepsiḗ,anepsiós,anepsiós,tēthís,theîos,theîos,patḗr,tēthís,mḗtēr,tēthís,tēthís,theîos,tēthís,tēthís,theîos,tēthís,tēthís,mḗtēr,patḗr,theîos,theîos,theîos,theîos,tēthís,tēthís,theîos,tēthís,theîos,theîos,tēthís,theîos
5,0.0610086055136263,1.168554925967082,1.1075463204534557,kasignḗtē,kasignḗtē,anepsiḗ,anepsiós,anepsiós,kasignḗtē,kasígnētos,kasignḗtē,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,kasígnētos,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,kasígnētos,anepsiós,anepsiḗ,anepsiḗ,anepsiós,kasígnētos,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,kasignḗtē,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,kasignḗtē,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,kasígnētos,anepsiḗ,anepsiḗ,kasígnētos,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,theîos,mḗtēr,patḗr,tēthís,tēthís,theîos,tēthís,theîos,theîos,tēthís,theîos,tēthís,theîos,theîos,tēthís,tēthís,theîos,theîos,tēthís,mḗtēr,tēthís,tēthís,tēthís,theîos,tēthís,patḗr,theîos,theîos
6,0.048031440957714056,1.2070203619900397,1.1589889210323256,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,kasígnētos,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,kasígnētos,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,kasígnētos,anepsiós,anepsiós,kasígnētos,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,kasígnētos,anepsiḗ,anepsiós,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,anepsiós,anepsiós,kasignḗtē,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiós,kasignḗtē,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,kasignḗtē,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,kasignḗtē,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiós,kasígnētos,anepsiḗ,kasignḗtē,anepsiós,anepsiḗ,tēthís,theîos,patḗr,mḗtēr,patḗr,theîos,theîos,theîos,tēthís,tēthís,theîos,tēthís,theîos,tēthís,theîos,tēthís,theîos,tēthís,theîos,mḗtēr,tēthís,theîos,theîos,theîos,tēthís,tēthís,tēthís,tēthís
7,0.09203815730517029,1.1651534288302494,1.0731152715250791,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,anepsiós,kasígnētos,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,kasignḗtē,anepsiḗ,kasígnētos,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiós,kasignḗtē,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiós,kasígnētos,anepsiós,anepsiós,anepsiḗ,kasígnētos,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,kasígnētos,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,kasignḗtē,anepsiḗ,anepsiḗ,kasígnētos,kasignḗtē,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,kasignḗtē,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,tēthís,tēthís,tēthís,theîos,tēthís,mḗtēr,tēthís,theîos,tēthís,theîos,theîos,theîos,tēthís,patḗr,theîos,theîos,tēthís,mḗtēr,patḗr,theîos,theîos,theîos,tēthís,theîos,tēthís,tēthís,tēthís,theîos
8,0.044161789876431046,1.0794762220443754,1.0353144321679444,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiós,kasígnētos,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,kasígnētos,anepsiós,kasignḗtē,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,kasígnētos,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,kasignḗtē,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiós,kasignḗtē,anepsiḗ,anepsiós,anepsiḗ,kasígnētos,anepsiḗ,anepsiós,anepsiós,anepsiós,kasignḗtē,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,kasígnētos,anepsiḗ,anepsiós,kasígnētos,anepsiós,anepsiḗ,theîos,theîos,mḗtēr,tēthís,theîos,tēthís,tēthís,patḗr,tēthís,tēthís,patḗr,theîos,theîos,theîos,tēthís,tēthís,tēthís,tēthís,tēthís,theîos,theîos,tēthís,theîos,theîos,mḗtēr,tēthís,theîos,theîos
9,0.0756360332417556,1.0898309909192052,1.0141949576774496,kasignḗtē,kasignḗtē,kasígnētos,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiós,kasígnētos,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,kasignḗtē,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,anepsiós,kasignḗtē,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,kasignḗtē,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,kasígnētos,anepsiḗ,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiós,kasígnētos,anepsiḗ,anepsiós,anepsiós,anepsiós,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiḗ,anepsiḗ,anepsiós,anepsiḗ,anepsiós,anepsiós,anepsiḗ,anepsiós,anepsiḗ,anepsiós,kasígnētos,kasígnētos,anepsiḗ,anepsiḗ,anepsiós,kasignḗtē,anepsiḗ,tēthís,patḗr,tēthís,theîos,tēthís,tēthís,theîos,theîos,tēthís,mḗtēr,theîos,theîos,theîos,theîos,theîos,patḗr,tēthís,tēthís,theîos,theîos,tēthís,theîos,tēthís,tēthís,tēthís,theîos,mḗtēr,tēthís
