simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mMeZS,mMyZS,mFeZS,mFyZS,mFeBD,mFyBD,mMeBS,mMyBS,mMeBD,mMyBD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feZ,fyZ,fFBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeZD,fFyZD,fMeZD,fMyZD,fFeZS,fFyZS,fFeBD,fMeBS,fMyBS,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fMBeS,fMByS,fMZyS,fMZeD,fMZyD,mFeZD,mFyZD,mMeZD,mMyZD,fFeBS,fFyBS,fMeZS,fMyZS,mF,mM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.48218318849841646,1.7214090128802224,1.239225824381806,heni,tiwã,anɨ,tiwã,tiwã,tiwã,anɨ,či'i,čiwi,čiwi,heni,čiwi,tiwã,he či'i,tiwã,tiwã,tiwã,tiwã,tiwã,tiwã,anɨ,he či'i,anɨ,tiwã,čiwi,čiwi,tiwã,tiwã,anɨ,tiwã,heni,tiwã,tiwã,čiwi,anɨ,čiwi,či'i,heni,anɨ,he či'i,tiwã,tiwã,heni,anɨ,heni,anɨ,či'i,čiwi,heni,tiwã,čiwi,heni,tiwã,heni,či'i,anɨ,či'i,anɨ,anɨ,tiwã,tiwã,heni,čiwi,heči'i,tiwã,tiwã,anɨ,he či'i,tiwã,tiwã,anɨ,tiwã,či'i'ɨ͂,heči'i,tiwã,tiwã,či'i,heni,hi dɨ,toti,to,to dɨ͂,to dɨ͂,đađe,hi dɨ,toti,to dɨ͂,hi dɨ,to,hi dɨ,đađe,toti,to dɨ͂,toti,đađe,hi,đađe,hi
1,0.48343230217468625,1.747757077670172,1.2643247754954858,tiwã,heni,tiwã,tiwã,tiwã,anɨ,tiwã,či'i,he či'i,či'i,heni,anɨ,tiwã,čiwi,heni,čiwi,heni,tiwã,heči'i,tiwã,anɨ,tiwã,tiwã,či'i,tiwã,anɨ,anɨ,tiwã,anɨ,čiwi,anɨ,anɨ,anɨ,tiwã,čiwi,tiwã,anɨ,anɨ,heči'i,či'i,čiwi,tiwã,heni,tiwã,tiwã,tiwã,čiwi,anɨ,heni,či'i,tiwã,heni,či'i,heni,he či'i,tiwã,anɨ,tiwã,anɨ,tiwã,tiwã,čiwi,he či'i,tiwã,he či'i,čiwi,čiwi,tiwã,tiwã,tiwã,tiwã,heni,tiwã,čiwi,heni,či'i'ɨ͂,tiwã,heni,to dɨ͂,đađe,toti,toti,to dɨ͂,đađe,đađe,hi dɨ,to dɨ͂,to,hi,toti,hi,đađe,hi dɨ,to dɨ͂,hi dɨ,to,hi dɨ,toti
2,0.5000595625611328,1.7036727925220527,1.20361322996092,tiwã,anɨ,anɨ,he či'i,čiwi,čiwi,tiwã,heni,heni,anɨ,tiwã,heni,anɨ,čiwi,anɨ,tiwã,tiwã,he či'i,anɨ,či'i,heni,anɨ,tiwã,he či'i,čiwi,či'i,tiwã,čiwi,tiwã,tiwã,tiwã,či'i,anɨ,anɨ,čiwi,tiwã,heni,tiwã,čiwi,tiwã,anɨ,heni,heči'i,tiwã,či'i,tiwã,tiwã,tiwã,tiwã,tiwã,tiwã,heni,tiwã,tiwã,anɨ,he či'i,čiwi,či'i,tiwã,či'i,čiwi,tiwã,či'i'ɨ͂,tiwã,tiwã,tiwã,heni,tiwã,tiwã,anɨ,tiwã,heni,anɨ,heni,čiwi,anɨ,heči'i,heni,hi dɨ,to dɨ͂,hi dɨ,toti,to dɨ͂,hi dɨ,to dɨ͂,đađe,toti,toti,to dɨ͂,đađe,hi dɨ,to,hi,đađe,đađe,to,toti,hi
3,0.4531916456950569,1.7111248355112618,1.257933189816205,tiwã,čiwi,he či'i,anɨ,tiwã,heni,anɨ,tiwã,tiwã,he či'i,čiwi,he či'i,tiwã,či'i,čiwi,tiwã,čiwi,anɨ,tiwã,anɨ,tiwã,anɨ,tiwã,anɨ,heni,tiwã,heči'i,či'i,anɨ,či'i'ɨ͂,čiwi,heni,tiwã,tiwã,tiwã,heni,tiwã,tiwã,heči'i,či'i,tiwã,tiwã,tiwã,čiwi,tiwã,heni,tiwã,heni,anɨ,heni,či'i,tiwã,tiwã,čiwi,tiwã,anɨ,heni,tiwã,heni,he či'i,či'i,tiwã,tiwã,čiwi,tiwã,heni,čiwi,tiwã,heni,čiwi,anɨ,anɨ,anɨ,anɨ,tiwã,tiwã,či'i,anɨ,toti,toti,đađe,to dɨ͂,to,to dɨ͂,hi dɨ,to dɨ͂,hi dɨ,toti,hi,toti,đađe,to dɨ͂,đađe,to,đađe,hi dɨ,hi dɨ,hi
4,0.32681158201870186,1.7056052660591368,1.378793684040435,či'i,tiwã,anɨ,či'i,tiwã,anɨ,či'i,tiwã,tiwã,heni,heni,tiwã,tiwã,anɨ,čiwi,heni,či'i,či'i,čiwi,tiwã,tiwã,anɨ,anɨ,čiwi,tiwã,heči'i,čiwi,anɨ,čiwi,anɨ,tiwã,heni,tiwã,tiwã,tiwã,heni,he či'i,tiwã,tiwã,anɨ,anɨ,tiwã,tiwã,tiwã,tiwã,tiwã,he či'i,he či'i,tiwã,čiwi,čiwi,čiwi,tiwã,tiwã,či'i'ɨ͂,heni,tiwã,anɨ,heni,anɨ,heni,heni,čiwi,heni,či'i,tiwã,heni,tiwã,anɨ,heči'i,anɨ,tiwã,čiwi,anɨ,tiwã,he či'i,tiwã,tiwã,to dɨ͂,hi dɨ,hi,hi,to dɨ͂,hi dɨ,hi dɨ,toti,hi dɨ,to dɨ͂,đađe,đađe,toti,to,toti,to dɨ͂,to,toti,đađe,đađe
5,0.4422025136476069,1.7227383481241403,1.2805358344765334,heni,he či'i,heni,anɨ,tiwã,tiwã,tiwã,čiwi,tiwã,čiwi,anɨ,anɨ,heči'i,tiwã,tiwã,he či'i,anɨ,heni,heni,anɨ,anɨ,čiwi,tiwã,anɨ,heni,či'i'ɨ͂,čiwi,heni,čiwi,he či'i,anɨ,čiwi,tiwã,či'i,tiwã,tiwã,tiwã,anɨ,heni,či'i,anɨ,tiwã,he či'i,tiwã,či'i,heni,tiwã,tiwã,tiwã,tiwã,tiwã,či'i,či'i,anɨ,či'i,anɨ,tiwã,anɨ,tiwã,tiwã,heči'i,heni,tiwã,tiwã,čiwi,čiwi,tiwã,heni,anɨ,tiwã,čiwi,tiwã,tiwã,heni,tiwã,čiwi,tiwã,tiwã,toti,toti,đađe,to dɨ͂,đađe,hi dɨ,hi,hi dɨ,hi dɨ,hi dɨ,to dɨ͂,to dɨ͂,to,đađe,to dɨ͂,hi,toti,toti,đađe,to
6,0.401288194300619,1.74047456848231,1.339186374181691,heni,heni,anɨ,tiwã,tiwã,anɨ,čiwi,tiwã,heni,anɨ,he či'i,heni,tiwã,anɨ,tiwã,tiwã,tiwã,tiwã,tiwã,tiwã,anɨ,he či'i,tiwã,anɨ,či'i,heni,tiwã,tiwã,anɨ,heči'i,tiwã,heni,tiwã,tiwã,tiwã,čiwi,či'i,čiwi,čiwi,či'i,tiwã,tiwã,tiwã,heni,či'i,anɨ,tiwã,anɨ,anɨ,čiwi,heni,či'i,anɨ,či'i'ɨ͂,či'i,tiwã,heni,tiwã,heči'i,čiwi,tiwã,tiwã,anɨ,anɨ,tiwã,he či'i,anɨ,tiwã,čiwi,he či'i,heni,tiwã,tiwã,čiwi,čiwi,tiwã,čiwi,heni,hi,đađe,to dɨ͂,hi,to dɨ͂,toti,hi dɨ,hi dɨ,đađe,to,toti,to,toti,to dɨ͂,to dɨ͂,đađe,toti,đađe,hi dɨ,hi dɨ
7,0.4403850884438594,1.759976508191753,1.3195914197478937,tiwã,heni,čiwi,tiwã,anɨ,he či'i,heči'i,anɨ,anɨ,či'i,tiwã,heni,heni,anɨ,he či'i,čiwi,tiwã,či'i,tiwã,anɨ,čiwi,tiwã,heni,tiwã,heni,tiwã,tiwã,tiwã,anɨ,tiwã,tiwã,heni,či'i,tiwã,anɨ,či'i,anɨ,tiwã,heni,čiwi,anɨ,heni,čiwi,he či'i,anɨ,tiwã,či'i,tiwã,tiwã,tiwã,tiwã,heni,anɨ,tiwã,tiwã,heni,čiwi,tiwã,čiwi,tiwã,tiwã,tiwã,heči'i,či'i,tiwã,he či'i,čiwi,tiwã,tiwã,anɨ,čiwi,tiwã,čiwi,anɨ,heni,či'i'ɨ͂,anɨ,tiwã,hi dɨ,hi,to dɨ͂,toti,hi dɨ,toti,hi dɨ,hi dɨ,to dɨ͂,đađe,hi,toti,đađe,đađe,to,to dɨ͂,đađe,to,toti,to dɨ͂
8,0.3829802432641183,1.7496470274235145,1.3666667841593962,heni,anɨ,tiwã,či'i,tiwã,tiwã,he či'i,tiwã,tiwã,anɨ,tiwã,či'i,či'i,čiwi,heni,anɨ,heni,he či'i,tiwã,tiwã,tiwã,heni,tiwã,tiwã,anɨ,tiwã,he či'i,tiwã,tiwã,čiwi,tiwã,tiwã,tiwã,anɨ,čiwi,čiwi,tiwã,čiwi,anɨ,tiwã,heni,tiwã,heni,čiwi,tiwã,tiwã,anɨ,či'i'ɨ͂,či'i,čiwi,čiwi,čiwi,anɨ,tiwã,heni,heni,heči'i,tiwã,či'i,tiwã,anɨ,heči'i,tiwã,heni,heni,tiwã,heni,čiwi,anɨ,tiwã,tiwã,anɨ,anɨ,tiwã,anɨ,anɨ,či'i,he či'i,hi dɨ,đađe,toti,to,đađe,to dɨ͂,to dɨ͂,hi dɨ,to,to dɨ͂,đađe,hi,toti,toti,hi dɨ,to dɨ͂,toti,hi,đađe,hi dɨ
9,0.3026208013719136,1.7671466120765758,1.4645258107046621,he či'i,anɨ,anɨ,čiwi,čiwi,heči'i,tiwã,či'i,tiwã,heni,čiwi,heni,či'i,tiwã,anɨ,heni,či'i,tiwã,tiwã,tiwã,čiwi,anɨ,anɨ,he či'i,heči'i,či'i'ɨ͂,tiwã,heni,anɨ,či'i,tiwã,čiwi,čiwi,he či'i,tiwã,anɨ,čiwi,tiwã,tiwã,tiwã,he či'i,či'i,heni,tiwã,anɨ,tiwã,tiwã,tiwã,tiwã,anɨ,tiwã,tiwã,anɨ,tiwã,či'i,heni,tiwã,anɨ,anɨ,heni,tiwã,tiwã,čiwi,heni,heni,tiwã,čiwi,tiwã,tiwã,heni,tiwã,tiwã,heni,anɨ,anɨ,čiwi,tiwã,tiwã,hi dɨ,to,to,toti,to dɨ͂,hi,hi dɨ,to dɨ͂,đađe,đađe,toti,đađe,to dɨ͂,hi dɨ,to dɨ͂,hi,toti,hi dɨ,đađe,toti
