simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.3817433383185125,2.4582525637633355,2.076509225444823,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,ṃjinåwa ṃbaha,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya ṃdori,rumbúrya,ṃjinåwa,mjinåwa,mjinåwa,ṃjinåwa ṃdori,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya ṃbaha,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya ṃdori,mjinåwa,mjinåwa,mjinåwa,rumbúrya,ṃjinåwa ṃdori,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,ṃjinåwa ṃbaha,rumbúrya,mjinåwa,rumbúrya ṃbaha,rumbúrya,abu ṃbaha,vava ṃdori,abu,éngå,vava,éngå ṃdori,abu ṃdori,mchékú,ṃkúlú,ṃdódo,éngå ṃbaha,abu ṃdori,abu ṃbaha,vava ṃkulu,ṃkúlú,éngå ṃbaha,mchékú,éngå ṃdori,vava ṃdori,abu,vava ṃkulu,éngå,vava,ṃdódo
1,0.34334802546471677,2.4582525637633355,2.1149045382986187,mjinåwa,mjinåwa,rumbúrya,rumbúrya ṃbaha,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,ṃjinåwa ṃbaha,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,ṃjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,ṃjinåwa ṃbaha,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,ṃjinåwa ṃdori,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya ṃdori,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya ṃdori,mjinåwa,rumbúrya,rumbúrya ṃbaha,rumbúrya,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,ṃjinåwa ṃdori,rumbúrya,éngå ṃbaha,abu ṃbaha,vava ṃkulu,abu ṃdori,vava,abu,éngå,abu ṃbaha,vava ṃkulu,éngå,abu ṃdori,vava ṃdori,vava ṃdori,éngå ṃbaha,ṃkúlú,ṃdódo,éngå ṃdori,mchékú,abu,mchékú,vava,ṃdódo,éngå ṃdori,ṃkúlú
2,0.37457405977065594,2.445403301353113,2.070829241582457,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya ṃdori,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya ṃbaha,rumbúrya ṃbaha,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya ṃdori,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,ṃjinåwa ṃbaha,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,ṃjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,ṃjinåwa ṃdori,ṃjinåwa ṃdori,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,ṃjinåwa ṃbaha,mjinåwa,mjinåwa,mchékú,éngå,abu ṃbaha,vava,vava ṃdori,éngå ṃdori,ṃkúlú,éngå,abu ṃdori,vava ṃkulu,ṃdódo,vava ṃdori,abu ṃdori,vava,éngå ṃdori,abu ṃbaha,ṃkúlú,ṃdódo,éngå ṃbaha,abu,vava ṃkulu,abu,éngå ṃbaha,mchékú
3,0.37275071104165836,2.460882330752702,2.0881316197110436,rumbúrya ṃdori,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,ṃjinåwa ṃdori,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya ṃbaha,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya,ṃjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,ṃjinåwa ṃbaha,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,ṃjinåwa ṃbaha,rumbúrya,rumbúrya,rumbúrya ṃbaha,mjinåwa,rumbúrya,mjinåwa,ṃjinåwa ṃdori,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya ṃdori,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,éngå,éngå ṃbaha,éngå ṃbaha,vava,mchékú,mchékú,abu ṃdori,abu ṃdori,abu ṃbaha,ṃdódo,vava ṃkulu,ṃkúlú,abu,éngå,ṃdódo,ṃkúlú,vava ṃkulu,vava,abu ṃbaha,éngå ṃdori,éngå ṃdori,vava ṃdori,abu,vava ṃdori
4,0.35683095640906126,2.4569873265891626,2.1001563701801014,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,ṃjinåwa ṃbaha,rumbúrya,rumbúrya ṃbaha,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,ṃjinåwa ṃdori,mjinåwa,ṃjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya ṃdori,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,ṃjinåwa ṃbaha,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,ṃjinåwa ṃdori,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya ṃdori,mjinåwa,rumbúrya,rumbúrya,rumbúrya ṃbaha,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,vava ṃkulu,mchékú,abu,éngå ṃbaha,éngå ṃdori,mchékú,éngå ṃdori,vava ṃkulu,vava ṃdori,ṃdódo,abu,abu ṃdori,éngå ṃbaha,ṃkúlú,ṃdódo,abu ṃbaha,abu ṃbaha,vava,ṃkúlú,vava,vava ṃdori,éngå,abu ṃdori,éngå
5,0.3794698519162103,2.4497216593746542,2.070251807458444,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya ṃbaha,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya ṃdori,rumbúrya,ṃjinåwa ṃdori,rumbúrya,rumbúrya,ṃjinåwa ṃdori,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,ṃjinåwa ṃbaha,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,ṃjinåwa,mjinåwa,rumbúrya ṃdori,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,mjinåwa,ṃjinåwa ṃbaha,rumbúrya,rumbúrya ṃbaha,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,ṃdódo,éngå,éngå ṃbaha,ṃkúlú,vava,vava ṃdori,éngå ṃbaha,mchékú,abu,abu ṃbaha,abu ṃdori,ṃdódo,abu,vava ṃkulu,ṃkúlú,vava ṃdori,abu ṃbaha,vava,abu ṃdori,éngå ṃdori,mchékú,éngå,éngå ṃdori,vava ṃkulu
6,0.36643390356824845,2.4497216593746542,2.083287755806406,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya ṃbaha,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,ṃjinåwa ṃdori,rumbúrya,rumbúrya,ṃjinåwa ṃdori,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,ṃjinåwa ṃbaha,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,ṃjinåwa ṃbaha,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,ṃjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya ṃdori,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya ṃbaha,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya ṃdori,rumbúrya,mjinåwa,éngå,ṃkúlú,vava ṃdori,abu ṃbaha,vava,éngå ṃbaha,éngå ṃbaha,abu ṃbaha,vava ṃkulu,mchékú,mchékú,ṃkúlú,abu,abu ṃdori,ṃdódo,vava ṃdori,abu ṃdori,éngå ṃdori,ṃdódo,abu,éngå ṃdori,vava ṃkulu,vava,éngå
7,0.36234201975354674,2.4720814889487723,2.1097394691952256,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,ṃjinåwa ṃbaha,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya ṃbaha,rumbúrya,mjinåwa,rumbúrya ṃbaha,mjinåwa,mjinåwa,mjinåwa,ṃjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,ṃjinåwa ṃdori,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,ṃjinåwa ṃbaha,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya ṃdori,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya ṃdori,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,ṃjinåwa ṃdori,rumbúrya,rumbúrya,vava,mchékú,abu,éngå ṃdori,mchékú,abu ṃbaha,ṃdódo,ṃdódo,abu,vava ṃkulu,éngå,éngå,abu ṃdori,ṃkúlú,éngå ṃbaha,abu ṃbaha,ṃkúlú,éngå ṃdori,vava ṃdori,vava ṃdori,vava,éngå ṃbaha,abu ṃdori,vava ṃkulu
8,0.36685877860460847,2.453159647262002,2.0863008686573936,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,ṃjinåwa ṃbaha,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya ṃdori,ṃjinåwa ṃdori,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,ṃjinåwa,ṃjinåwa ṃdori,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya ṃbaha,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,ṃjinåwa ṃbaha,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,rumbúrya ṃbaha,mjinåwa,rumbúrya,rumbúrya,rumbúrya ṃdori,mjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,éngå,éngå ṃbaha,éngå,abu,éngå ṃbaha,ṃdódo,mchékú,ṃkúlú,abu ṃdori,vava ṃkulu,abu ṃbaha,abu,mchékú,éngå ṃdori,vava,ṃdódo,vava ṃdori,vava ṃkulu,éngå ṃdori,ṃkúlú,vava ṃdori,vava,abu ṃdori,abu ṃbaha
9,0.37644308767883095,2.4436154176799167,2.067172330001086,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,ṃjinåwa ṃbaha,ṃjinåwa ṃbaha,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya ṃdori,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya ṃbaha,rumbúrya,rumbúrya,mjinåwa,rumbúrya,ṃjinåwa ṃdori,mjinåwa,mjinåwa,rumbúrya ṃbaha,mjinåwa,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya ṃdori,ṃjinåwa ṃdori,ṃjinåwa,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,rumbúrya,mjinåwa,mjinåwa,mjinåwa,rumbúrya,rumbúrya,mjinåwa,mjinåwa,rumbúrya,mjinåwa,rumbúrya,mjinåwa,rumbúrya,rumbúrya,vava,ṃdódo,éngå ṃbaha,éngå ṃdori,abu ṃbaha,vava ṃdori,éngå ṃbaha,mchékú,ṃkúlú,abu ṃdori,vava ṃkulu,abu,vava,ṃdódo,éngå ṃdori,abu ṃdori,abu,éngå,ṃkúlú,éngå,vava ṃdori,vava ṃkulu,mchékú,abu ṃbaha
