simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mFZD,mMBD,mMZD,fFBS,fFZS,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFZeD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.25176332062709617,1.3387602817856719,1.0869969611585757,mone lalan,"fe lalan, ba'ef",mone lalan,ba'ef,olif,tataf,"fe lalan, ba'ef",nauf,fetof,"fe lalan, ba'ef",ba'ef,ba'ef,tataf,ba'ef,"fe lalan, ba'ef",ba'ef,mone lalan,tataf,"fe lalan, ba'ef",mone lalan,tataf,"fe lalan, ba'ef","fe lalan, ba'ef",ba'ef,ba'ef,ba'ef,"fe lalan, ba'ef",olif,ba'ef,ba'ef,tataf,tataf,ba'ef,mone lalan,ba'ef,mone lalan,ba'ef,ba'ef,ba'ef,mone lalan,mone lalan,ba'ef,ba'ef,tataf,tataf,fetof,mone lalan,nauf,tataf,tataf,ba'ef,mone lalan,"fe lalan, ba'ef",ba'ef,tataf,ba'ef,"fe lalan, ba'ef",amaf,babaf,"atoni amaf, babaf",amaf,babaf,amaf,babaf,amaf,ainaf,amaf,babaf,ainaf,ainaf,babaf,babaf,ainaf,amaf,"atoni amaf, babaf",ainaf,ainaf
1,0.21331846392892806,1.320888660125973,1.107570196197045,"fe lalan, ba'ef",tataf,fetof,"fe lalan, ba'ef",ba'ef,mone lalan,tataf,tataf,"fe lalan, ba'ef","fe lalan, ba'ef",mone lalan,olif,mone lalan,"fe lalan, ba'ef","fe lalan, ba'ef",mone lalan,ba'ef,fetof,ba'ef,tataf,tataf,ba'ef,ba'ef,"fe lalan, ba'ef","fe lalan, ba'ef",ba'ef,"fe lalan, ba'ef",mone lalan,tataf,ba'ef,nauf,nauf,ba'ef,mone lalan,olif,tataf,mone lalan,tataf,"fe lalan, ba'ef",mone lalan,ba'ef,ba'ef,ba'ef,ba'ef,tataf,ba'ef,mone lalan,ba'ef,ba'ef,ba'ef,ba'ef,ba'ef,tataf,tataf,ba'ef,mone lalan,ba'ef,"atoni amaf, babaf",babaf,amaf,ainaf,amaf,babaf,ainaf,babaf,ainaf,babaf,babaf,ainaf,amaf,ainaf,ainaf,amaf,amaf,babaf,"atoni amaf, babaf",amaf
2,0.29013831071829754,1.296965859040697,1.0068275483223994,mone lalan,nauf,ba'ef,ba'ef,ba'ef,tataf,nauf,"fe lalan, ba'ef",tataf,ba'ef,tataf,mone lalan,olif,ba'ef,mone lalan,"fe lalan, ba'ef","fe lalan, ba'ef","fe lalan, ba'ef",ba'ef,"fe lalan, ba'ef",mone lalan,fetof,ba'ef,ba'ef,tataf,olif,ba'ef,tataf,tataf,fetof,ba'ef,"fe lalan, ba'ef",ba'ef,ba'ef,tataf,ba'ef,"fe lalan, ba'ef","fe lalan, ba'ef",tataf,ba'ef,tataf,tataf,mone lalan,mone lalan,ba'ef,ba'ef,mone lalan,"fe lalan, ba'ef",ba'ef,ba'ef,ba'ef,tataf,mone lalan,"fe lalan, ba'ef",mone lalan,ba'ef,mone lalan,babaf,babaf,babaf,ainaf,babaf,ainaf,ainaf,ainaf,babaf,"atoni amaf, babaf",amaf,"atoni amaf, babaf",ainaf,babaf,ainaf,amaf,amaf,amaf,amaf,amaf
3,0.14554909133724547,1.3057019820438645,1.160152890706619,ba'ef,mone lalan,mone lalan,mone lalan,ba'ef,ba'ef,"fe lalan, ba'ef",olif,"fe lalan, ba'ef",tataf,mone lalan,ba'ef,"fe lalan, ba'ef",ba'ef,fetof,ba'ef,"fe lalan, ba'ef","fe lalan, ba'ef",mone lalan,mone lalan,"fe lalan, ba'ef",tataf,ba'ef,tataf,ba'ef,tataf,"fe lalan, ba'ef",ba'ef,"fe lalan, ba'ef",mone lalan,fetof,ba'ef,ba'ef,ba'ef,nauf,mone lalan,ba'ef,ba'ef,tataf,ba'ef,nauf,tataf,ba'ef,mone lalan,ba'ef,"fe lalan, ba'ef",tataf,"fe lalan, ba'ef",mone lalan,tataf,ba'ef,ba'ef,ba'ef,tataf,olif,tataf,tataf,amaf,babaf,babaf,ainaf,amaf,amaf,ainaf,ainaf,babaf,babaf,amaf,ainaf,ainaf,amaf,ainaf,"atoni amaf, babaf",amaf,babaf,babaf,"atoni amaf, babaf"
4,0.0635804347734994,1.2675501984072532,1.2039697636337539,mone lalan,ba'ef,mone lalan,"fe lalan, ba'ef",ba'ef,ba'ef,nauf,ba'ef,mone lalan,"fe lalan, ba'ef","fe lalan, ba'ef",mone lalan,ba'ef,"fe lalan, ba'ef",mone lalan,ba'ef,"fe lalan, ba'ef",ba'ef,mone lalan,ba'ef,mone lalan,tataf,ba'ef,ba'ef,tataf,ba'ef,ba'ef,olif,"fe lalan, ba'ef",tataf,ba'ef,ba'ef,"fe lalan, ba'ef",tataf,"fe lalan, ba'ef",tataf,tataf,ba'ef,mone lalan,nauf,tataf,ba'ef,mone lalan,ba'ef,"fe lalan, ba'ef",tataf,ba'ef,"fe lalan, ba'ef",tataf,mone lalan,tataf,olif,fetof,fetof,tataf,ba'ef,ba'ef,ainaf,amaf,amaf,babaf,"atoni amaf, babaf",ainaf,babaf,ainaf,babaf,ainaf,babaf,ainaf,amaf,babaf,ainaf,amaf,"atoni amaf, babaf",babaf,amaf,amaf
5,0.29471037094734664,1.345711448565738,1.0510010776183913,olif,ba'ef,ba'ef,ba'ef,tataf,ba'ef,"fe lalan, ba'ef",tataf,ba'ef,ba'ef,nauf,"fe lalan, ba'ef",tataf,"fe lalan, ba'ef",ba'ef,mone lalan,tataf,nauf,mone lalan,tataf,ba'ef,ba'ef,"fe lalan, ba'ef",mone lalan,olif,ba'ef,"fe lalan, ba'ef",mone lalan,tataf,mone lalan,ba'ef,"fe lalan, ba'ef",ba'ef,tataf,ba'ef,mone lalan,tataf,fetof,"fe lalan, ba'ef",ba'ef,"fe lalan, ba'ef",tataf,"fe lalan, ba'ef",ba'ef,tataf,ba'ef,mone lalan,mone lalan,tataf,ba'ef,ba'ef,"fe lalan, ba'ef",ba'ef,mone lalan,fetof,ba'ef,mone lalan,babaf,"atoni amaf, babaf","atoni amaf, babaf",ainaf,babaf,babaf,amaf,ainaf,ainaf,ainaf,amaf,babaf,ainaf,babaf,amaf,amaf,ainaf,amaf,amaf,babaf
6,0.44617818187473657,1.2733256871159515,0.8271475052412149,"fe lalan, ba'ef",olif,ba'ef,ba'ef,"fe lalan, ba'ef",tataf,tataf,olif,ba'ef,nauf,ba'ef,tataf,mone lalan,mone lalan,"fe lalan, ba'ef",ba'ef,mone lalan,ba'ef,ba'ef,ba'ef,ba'ef,tataf,ba'ef,mone lalan,mone lalan,tataf,ba'ef,fetof,"fe lalan, ba'ef",mone lalan,ba'ef,ba'ef,"fe lalan, ba'ef",ba'ef,ba'ef,ba'ef,ba'ef,"fe lalan, ba'ef",ba'ef,tataf,"fe lalan, ba'ef",tataf,fetof,tataf,"fe lalan, ba'ef","fe lalan, ba'ef",tataf,mone lalan,ba'ef,mone lalan,nauf,tataf,tataf,mone lalan,mone lalan,ba'ef,"fe lalan, ba'ef",babaf,babaf,babaf,babaf,amaf,amaf,ainaf,ainaf,"atoni amaf, babaf","atoni amaf, babaf",ainaf,amaf,ainaf,amaf,ainaf,amaf,amaf,babaf,ainaf,babaf
7,0.2507153469035155,1.3192147662548932,1.0684994193513777,ba'ef,mone lalan,fetof,"fe lalan, ba'ef",ba'ef,olif,"fe lalan, ba'ef",ba'ef,ba'ef,ba'ef,mone lalan,"fe lalan, ba'ef",mone lalan,ba'ef,tataf,mone lalan,ba'ef,tataf,"fe lalan, ba'ef",mone lalan,ba'ef,ba'ef,mone lalan,ba'ef,tataf,tataf,mone lalan,ba'ef,mone lalan,fetof,tataf,tataf,ba'ef,ba'ef,"fe lalan, ba'ef","fe lalan, ba'ef","fe lalan, ba'ef","fe lalan, ba'ef",nauf,tataf,tataf,ba'ef,ba'ef,ba'ef,"fe lalan, ba'ef",nauf,tataf,tataf,mone lalan,mone lalan,ba'ef,ba'ef,olif,ba'ef,ba'ef,tataf,"fe lalan, ba'ef",ainaf,amaf,babaf,ainaf,babaf,ainaf,amaf,"atoni amaf, babaf",amaf,babaf,"atoni amaf, babaf",amaf,amaf,amaf,babaf,ainaf,babaf,ainaf,babaf,ainaf
8,0.35758091757699195,1.2585077850319293,0.9009268674549373,ba'ef,"fe lalan, ba'ef",ba'ef,ba'ef,tataf,"fe lalan, ba'ef",mone lalan,mone lalan,tataf,tataf,nauf,ba'ef,fetof,ba'ef,mone lalan,"fe lalan, ba'ef",mone lalan,mone lalan,ba'ef,"fe lalan, ba'ef",ba'ef,ba'ef,tataf,"fe lalan, ba'ef",fetof,ba'ef,tataf,"fe lalan, ba'ef",ba'ef,tataf,ba'ef,ba'ef,ba'ef,tataf,tataf,mone lalan,"fe lalan, ba'ef",tataf,ba'ef,ba'ef,tataf,ba'ef,nauf,tataf,"fe lalan, ba'ef","fe lalan, ba'ef",olif,mone lalan,ba'ef,mone lalan,ba'ef,olif,mone lalan,ba'ef,ba'ef,"fe lalan, ba'ef",mone lalan,amaf,amaf,babaf,ainaf,babaf,ainaf,amaf,amaf,amaf,ainaf,ainaf,"atoni amaf, babaf",ainaf,"atoni amaf, babaf",amaf,babaf,babaf,babaf,babaf,ainaf
9,0.33565410993052724,1.3387602817856719,1.0031061718551446,fetof,"fe lalan, ba'ef",ba'ef,mone lalan,ba'ef,ba'ef,tataf,tataf,ba'ef,"fe lalan, ba'ef",tataf,tataf,mone lalan,ba'ef,tataf,"fe lalan, ba'ef",ba'ef,"fe lalan, ba'ef",ba'ef,mone lalan,mone lalan,tataf,fetof,ba'ef,ba'ef,"fe lalan, ba'ef",ba'ef,ba'ef,ba'ef,mone lalan,olif,tataf,"fe lalan, ba'ef",nauf,"fe lalan, ba'ef",mone lalan,ba'ef,olif,tataf,mone lalan,"fe lalan, ba'ef","fe lalan, ba'ef",nauf,mone lalan,tataf,tataf,"fe lalan, ba'ef",mone lalan,ba'ef,ba'ef,tataf,ba'ef,ba'ef,ba'ef,ba'ef,ba'ef,mone lalan,ainaf,babaf,"atoni amaf, babaf",amaf,amaf,ainaf,babaf,amaf,babaf,babaf,ainaf,babaf,ainaf,babaf,ainaf,amaf,amaf,"atoni amaf, babaf",amaf,ainaf
