simulation_number,mutual_information,entropy,conditional_entropy,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB
0,0.148198752432666,1.6171661581823982,1.4689674057497322,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,romikeni,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,t'ida,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tsimi,tcitci,nipstir,petcir,tsimi,tsimi,petcir,tata,midi,nipstir,petcir,nipstir,midi,midi
1,0.09865356976495177,1.6892243659138866,1.5905707961489348,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,t'ida,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,romikeni,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tsimi,petcir,midi,tsimi,midi,tata,midi,petcir,petcir,tcitci,nipstir,tsimi,nipstir,nipstir
2,0.10052688728569392,1.7092348857579196,1.6087079984722257,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,romikeni,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,t'ida,tokhopi,tokhopi,tokhopi,nipstir,tsimi,tcitci,midi,nipstir,tsimi,midi,midi,petcir,tsimi,petcir,petcir,nipstir,tata
3,0.07746939586128399,1.6171661581823982,1.5396967623211142,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,romikeni,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,t'ida,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,midi,tata,nipstir,petcir,petcir,midi,tsimi,tsimi,tsimi,nipstir,midi,nipstir,tcitci,petcir
4,0.13867462333060798,1.646081050480313,1.507406427149705,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,romikeni,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,t'ida,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tata,tsimi,tsimi,petcir,petcir,midi,tcitci,nipstir,nipstir,petcir,midi,nipstir,midi,tsimi
5,0.11511961089554523,1.6361547106236807,1.5210350997281354,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,t'ida,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,romikeni,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tcitci,midi,tsimi,midi,tsimi,midi,petcir,nipstir,petcir,petcir,nipstir,nipstir,tsimi,tata
6,0.10037120610141037,1.7092348857579196,1.6088636796565092,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,t'ida,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,romikeni,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,midi,midi,tata,petcir,midi,tsimi,tsimi,nipstir,petcir,tcitci,petcir,tsimi,nipstir,nipstir
7,0.13963837875163865,1.646081050480313,1.5064426717286743,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,romikeni,tokhopi,t'ida,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tsimi,midi,nipstir,nipstir,midi,petcir,nipstir,petcir,tata,midi,tsimi,tcitci,petcir,tsimi
8,0.08586395939176361,1.6403726932333953,1.5545087338416317,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,t'ida,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,romikeni,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,petcir,nipstir,midi,tsimi,petcir,midi,petcir,tsimi,tsimi,tcitci,nipstir,midi,nipstir,tata
9,0.11946077619943574,1.7092348857579196,1.5897741095584839,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,t'ida,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,romikeni,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,tokhopi,nipstir,petcir,tsimi,tcitci,petcir,nipstir,tata,nipstir,petcir,midi,tsimi,midi,midi,tsimi
