simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.031111896899361113,1.192854958575232,1.1617430616758708,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",dangsanak abah,dangsanak uma,dangsanak abah,dangsanak uma,dangsanak uma,dangsanak abah,dangsanak uma,abah,dangsanak abah,abah,dangsanak abah,dangsanak uma,dangsanak uma,dangsanak uma,dangsanak uma,uma,dangsanak abah,uma,dangsanak abah,dangsanak abah
1,0.014498767423737569,1.1935496040981333,1.1790508366743957,"sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina",dangsanak uma,dangsanak abah,dangsanak uma,dangsanak uma,dangsanak uma,dangsanak abah,dangsanak abah,dangsanak abah,dangsanak abah,dangsanak uma,dangsanak abah,abah,dangsanak abah,dangsanak uma,dangsanak uma,uma,abah,uma,dangsanak abah,dangsanak uma
2,0.05031424527445649,1.2149847829974898,1.1646705377230333,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",dangsanak abah,uma,abah,dangsanak uma,dangsanak uma,abah,dangsanak uma,dangsanak abah,dangsanak uma,dangsanak abah,dangsanak abah,dangsanak abah,uma,dangsanak uma,dangsanak uma,dangsanak abah,dangsanak uma,dangsanak abah,dangsanak abah,dangsanak uma
3,0.08165634974797853,1.192854958575232,1.1111986088272534,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",uma,dangsanak abah,dangsanak abah,dangsanak uma,dangsanak abah,dangsanak abah,dangsanak abah,dangsanak abah,dangsanak uma,dangsanak uma,abah,dangsanak abah,dangsanak abah,dangsanak uma,dangsanak uma,uma,abah,dangsanak uma,dangsanak uma,dangsanak uma
4,0.1285281719518856,1.2149847829974896,1.086456611045604,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina",dangsanak abah,dangsanak uma,abah,dangsanak abah,dangsanak uma,dangsanak uma,dangsanak uma,uma,dangsanak uma,dangsanak abah,dangsanak uma,dangsanak abah,dangsanak abah,dangsanak abah,dangsanak abah,abah,uma,dangsanak abah,dangsanak uma,dangsanak uma
5,0.04411467155632076,1.2135652713163758,1.169450599760055,ading,"sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina",dangsanak abah,dangsanak uma,abah,dangsanak uma,dangsanak abah,dangsanak uma,dangsanak uma,dangsanak uma,abah,dangsanak uma,dangsanak abah,dangsanak uma,uma,dangsanak abah,dangsanak uma,dangsanak abah,dangsanak abah,dangsanak abah,dangsanak abah,uma
6,0.05599661469417372,1.2149847829974898,1.158988168303316,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",dangsanak abah,dangsanak abah,abah,dangsanak uma,dangsanak abah,dangsanak abah,abah,uma,dangsanak uma,dangsanak abah,dangsanak uma,dangsanak uma,dangsanak abah,dangsanak uma,dangsanak uma,dangsanak abah,dangsanak abah,dangsanak uma,dangsanak uma,uma
7,0.05246930161726815,1.1907686023357982,1.13829930071853,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",uma,dangsanak abah,dangsanak abah,dangsanak abah,dangsanak abah,abah,dangsanak abah,dangsanak uma,dangsanak uma,dangsanak uma,dangsanak abah,uma,dangsanak abah,dangsanak uma,dangsanak uma,abah,dangsanak uma,dangsanak abah,dangsanak uma,dangsanak uma
8,0.14188719030755537,1.192854958575232,1.0509677682676766,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina",dangsanak uma,dangsanak uma,dangsanak uma,dangsanak abah,dangsanak abah,uma,dangsanak abah,abah,dangsanak uma,dangsanak uma,dangsanak abah,uma,dangsanak abah,dangsanak abah,abah,dangsanak uma,dangsanak uma,dangsanak uma,dangsanak abah,dangsanak abah
9,0.03796249313375766,1.1396856259428154,1.1017231328090578,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",ading,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",kaka,"sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina","sapupu sekali, mamarina",dangsanak abah,dangsanak uma,dangsanak abah,dangsanak abah,dangsanak abah,abah,dangsanak uma,uma,dangsanak abah,dangsanak uma,dangsanak uma,uma,dangsanak abah,abah,dangsanak abah,dangsanak abah,dangsanak uma,dangsanak uma,dangsanak uma,dangsanak uma
