simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mMBD,fFZS,fMBS,fMBD,mFeZS,mFyZS,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fMBeS,fMByS,fMBeD,fMByD,mM,fM,mMeB,mMyB,fMeB,fMyB
0,0.1785525709624442,0.6581099875431143,0.47955741658067014,koko,lowuk,lowuk,koko,lowuk,koko,koko,koko,rok,lowuk,lowuk,lowuk,lowuk,koko,sagok,sagok,koko,rok,rok,koko,lowuk,koko,lowuk,koko,sagok,sagok,lowuk,lowuk,koko,lowuk,lowuk,lowuk,koko,lowuk,koko,koko,koko,magu,magu,orong kanu,orong kanu,orong kanu,orong kanu
1,0.1017330266865234,0.6236548495681085,0.5219218228815851,lowuk,rok,koko,lowuk,koko,koko,koko,lowuk,koko,koko,lowuk,lowuk,koko,koko,lowuk,lowuk,lowuk,koko,rok,sagok,lowuk,koko,koko,lowuk,koko,lowuk,lowuk,lowuk,sagok,sagok,lowuk,koko,lowuk,rok,sagok,koko,koko,orong kanu,orong kanu,magu,orong kanu,magu,orong kanu
2,0.04818080296063054,0.6236548495681085,0.5754740466074779,koko,rok,koko,lowuk,lowuk,lowuk,sagok,koko,lowuk,koko,koko,koko,koko,koko,lowuk,koko,sagok,koko,lowuk,lowuk,rok,koko,sagok,lowuk,lowuk,koko,koko,lowuk,lowuk,lowuk,koko,koko,lowuk,sagok,lowuk,rok,lowuk,orong kanu,orong kanu,magu,magu,orong kanu,orong kanu
3,0.07783688591165006,0.6236548495681085,0.5458179636564584,koko,lowuk,sagok,lowuk,koko,koko,koko,lowuk,lowuk,koko,rok,koko,sagok,koko,koko,sagok,koko,lowuk,lowuk,lowuk,koko,rok,lowuk,koko,lowuk,koko,koko,lowuk,rok,lowuk,koko,sagok,lowuk,lowuk,lowuk,koko,lowuk,magu,orong kanu,orong kanu,orong kanu,magu,orong kanu
4,0.028770165574950157,0.6236548495681085,0.5948846839931583,lowuk,koko,sagok,koko,lowuk,rok,koko,sagok,koko,lowuk,lowuk,lowuk,koko,lowuk,lowuk,koko,lowuk,lowuk,koko,lowuk,koko,koko,koko,koko,rok,lowuk,koko,koko,sagok,lowuk,koko,lowuk,rok,lowuk,lowuk,sagok,koko,orong kanu,orong kanu,orong kanu,orong kanu,magu,magu
5,0.11655805699983057,0.6236548495681085,0.5070967925682779,koko,lowuk,lowuk,lowuk,sagok,koko,rok,lowuk,lowuk,koko,sagok,koko,koko,koko,lowuk,koko,lowuk,lowuk,lowuk,koko,koko,lowuk,koko,lowuk,koko,lowuk,koko,koko,sagok,lowuk,koko,lowuk,lowuk,sagok,rok,rok,koko,orong kanu,orong kanu,orong kanu,magu,magu,orong kanu
6,0.16603277694630358,0.6236548495681085,0.4576220726218049,koko,koko,lowuk,lowuk,koko,koko,koko,koko,koko,koko,lowuk,lowuk,lowuk,koko,lowuk,koko,lowuk,rok,koko,lowuk,lowuk,sagok,lowuk,lowuk,lowuk,koko,sagok,lowuk,koko,sagok,koko,koko,lowuk,rok,lowuk,rok,sagok,magu,orong kanu,magu,orong kanu,orong kanu,orong kanu
7,0.10731078975835362,0.6236548495681085,0.5163440598097548,koko,lowuk,sagok,lowuk,koko,rok,rok,sagok,lowuk,koko,koko,sagok,lowuk,koko,lowuk,lowuk,koko,lowuk,lowuk,koko,koko,koko,lowuk,lowuk,lowuk,lowuk,koko,koko,koko,lowuk,lowuk,sagok,koko,lowuk,rok,koko,koko,magu,orong kanu,orong kanu,orong kanu,orong kanu,magu
8,0.06664906848667196,0.6236548495681085,0.5570057810814365,lowuk,koko,lowuk,lowuk,lowuk,koko,koko,koko,rok,koko,lowuk,sagok,koko,koko,lowuk,rok,lowuk,koko,koko,lowuk,sagok,koko,lowuk,koko,lowuk,koko,sagok,rok,lowuk,koko,lowuk,koko,sagok,lowuk,lowuk,koko,lowuk,orong kanu,orong kanu,orong kanu,magu,magu,orong kanu
9,0.2842245715236821,0.6581099875431143,0.37388541601943226,lowuk,koko,sagok,lowuk,sagok,lowuk,koko,lowuk,lowuk,sagok,koko,koko,koko,lowuk,koko,koko,koko,koko,lowuk,koko,lowuk,lowuk,rok,koko,koko,koko,lowuk,rok,lowuk,rok,lowuk,lowuk,koko,lowuk,koko,lowuk,sagok,orong kanu,magu,magu,orong kanu,orong kanu,orong kanu
