simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.16171707533713287,1.6763671534279798,1.514650078090847,šice,šice,šice,šice,šice,waš,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,waš,šice,šice,waš,šice,šice,šice,šice,yaš,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,šice,waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,šice,šice,k̛ac̛k̛ux waš,šice,šice,nānwaš,nānes,maym(i),nānwaš,nānes,dādwaš,nānes,dad,dādwaš,maym(i),nānwaš,dādwaš,nānwaš,nānes,maym(i),dādwaš,maym(i),maym(i),dad,nānwaš,maym(i),nānes,nānes,nan,dādwaš,nan,nānwaš,dādwaš
1,0.12437311493256353,1.6639893271246282,1.5396162121920647,šice,šice,k̛ac̛k̛ux waš,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,šice,waš,šice,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,waš,šice,šice,yaš,šice,šice,waš,waš,šice,šice,šice,šice,šice,nānes,nānes,dādwaš,nānes,nānwaš,nānes,nānwaš,nānwaš,dad,dādwaš,maym(i),dādwaš,nan,nānes,maym(i),dādwaš,maym(i),nānes,dad,dādwaš,nānwaš,maym(i),nan,dādwaš,maym(i),maym(i),nānwaš,nānwaš
2,0.10190878919200741,1.6997921082730338,1.5978833190810264,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,šice,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,waš,šice,šice,waš,šice,waš,k̛ac̛k̛ux yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,waš,šice,yaš,šice,šice,šice,yaš,šice,šice,k̛ac̛k̛ux yaš,maym(i),nānes,dādwaš,dādwaš,nānes,nānwaš,dad,maym(i),dad,maym(i),dādwaš,maym(i),maym(i),dādwaš,nānwaš,nānes,nānes,nan,nan,maym(i),nānwaš,dādwaš,dādwaš,nānes,nānwaš,nānwaš,nānwaš,nānes
3,0.10833692253437,1.7063885439339597,1.5980516213995897,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,yaš,šice,šice,šice,šice,šice,k̛ac̛k̛ux waš,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,waš,šice,šice,šice,šice,šice,šice,šice,yaš,šice,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,waš,šice,šice,šice,šice,waš,šice,waš,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,maym(i),dādwaš,nan,nānwaš,dad,nānwaš,dādwaš,nānes,dādwaš,nānes,nānwaš,maym(i),nānes,nānes,maym(i),nānwaš,maym(i),dādwaš,dādwaš,dad,maym(i),nan,nānwaš,nānes,nānes,dādwaš,nānwaš,maym(i)
4,0.11590249621018844,1.6823654722358423,1.5664629760256539,šice,šice,šice,waš,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux waš,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,šice,yaš,šice,šice,waš,šice,k̛ac̛k̛ux waš,šice,šice,šice,šice,waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,waš,šice,šice,šice,šice,šice,šice,šice,šice,nānwaš,nānwaš,nan,dādwaš,maym(i),maym(i),dādwaš,nānes,dad,dad,nānwaš,nānwaš,nānes,dādwaš,nan,nānes,maym(i),maym(i),nānes,nānes,dādwaš,nānes,nānwaš,maym(i),maym(i),dādwaš,dādwaš,nānwaš
5,0.09166750125081924,1.6923400381579259,1.6006725369071066,k̛ac̛k̛ux waš,waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,k̛ac̛k̛ux yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,waš,yaš,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,waš,šice,šice,šice,šice,šice,šice,šice,waš,nānes,dādwaš,nānes,dādwaš,nānes,dādwaš,nānes,dādwaš,nānwaš,dādwaš,maym(i),nānwaš,maym(i),maym(i),nan,nan,nānwaš,nānwaš,dad,nānes,maym(i),nānes,nānwaš,dad,maym(i),dādwaš,nānwaš,maym(i)
6,0.08810686938426482,1.673894434103322,1.5857875647190571,šice,šice,šice,šice,šice,šice,šice,šice,waš,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,yaš,waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,yaš,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,waš,šice,šice,šice,šice,šice,šice,šice,waš,šice,šice,šice,šice,šice,šice,šice,nānwaš,nānes,maym(i),dādwaš,maym(i),maym(i),dādwaš,nānes,nānwaš,nānes,dādwaš,dad,nānes,nānwaš,maym(i),maym(i),nānwaš,dad,nānes,nānwaš,maym(i),nānes,dādwaš,nan,nan,dādwaš,dādwaš,nānwaš
7,0.07488064208784584,1.7320265413509266,1.6571458992630808,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,waš,waš,šice,šice,šice,yaš,šice,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,waš,šice,šice,šice,šice,šice,šice,šice,waš,šice,šice,šice,šice,šice,nānwaš,nānes,nānwaš,dad,nan,dādwaš,nānes,maym(i),maym(i),maym(i),dādwaš,maym(i),nānwaš,nan,nānwaš,dādwaš,nānes,nānes,dad,maym(i),dādwaš,nānes,nānes,dādwaš,maym(i),nānwaš,dādwaš,nānwaš
8,0.11569385669318932,1.7119971291521767,1.5963032724589874,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,k̛ac̛k̛ux waš,šice,šice,šice,waš,šice,waš,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,waš,k̛ac̛k̛ux waš,dādwaš,nānwaš,dādwaš,maym(i),nan,maym(i),dādwaš,nānes,nānwaš,dādwaš,dādwaš,maym(i),nānes,nānwaš,maym(i),nan,dad,nānwaš,dādwaš,nānwaš,nānes,nānwaš,nānes,nānes,dad,maym(i),nānes,maym(i)
9,0.07493588527157935,1.645138868545533,1.5702029832739537,waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,waš,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,yaš,yaš,šice,šice,šice,šice,šice,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux waš,šice,šice,šice,šice,šice,šice,šice,yaš,yaš,waš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,k̛ac̛k̛ux yaš,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,šice,waš,šice,dādwaš,nānes,maym(i),maym(i),nānes,dādwaš,nan,dādwaš,dad,nan,nānes,maym(i),nānwaš,nānwaš,nānes,maym(i),nānwaš,nānes,nānwaš,maym(i),dādwaš,nānwaš,nānes,dādwaš,nānwaš,maym(i),dad,dādwaš
