simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,fB,fZ,feB,fyB,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mFB,mFZ,mMZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,fFB,fFZ,fMZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,mM,fM,mMB,mMeB,mMyB,fMB,fMeB,fMyB,mF,fF
0,0.2746993719565125,1.7720469087575896,1.4973475368010771,baice,abafyala,mukalamba,abafyala,baice bakalamba,mukalamba,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mwaice,abafyala,munyinane,abafyala,abafyala,abafyala,abafyala,ndume,abafyala,nkashi,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mwaice,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mayosenge,yama,mayosenge,mayo mukalamba,tata,tata mwaice,tata,mayosenge,yama,mayosenge,tata mwaice,tata,mayo mukalamba,tata mukalamba,yama,mayosenge,mayo,yama,tata mukalamba,mayo mwaice,mayo,mayosenge,mayo,mayo mwaice,yama,mayo,yama,tata
1,0.31823331649522846,1.8028132822447027,1.4845799657494743,abafyala,abafyala,abafyala,abafyala,mukalamba,abafyala,abafyala,baice bakalamba,abafyala,mwaice,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,baice,abafyala,abafyala,abafyala,abafyala,abafyala,ndume,mwaice,abafyala,nkashi,abafyala,abafyala,abafyala,abafyala,abafyala,munyinane,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mukalamba,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mayo,tata mwaice,mayosenge,mayo mukalamba,mayosenge,mayo mwaice,mayo mwaice,mayosenge,tata,yama,tata,tata mwaice,tata mukalamba,mayosenge,mayosenge,mayo,mayo mukalamba,yama,yama,yama,mayosenge,mayo,tata,tata mukalamba,tata,mayo,yama,yama
2,0.28860095403923114,1.7357345228356758,1.4471335687964446,baice,abafyala,abafyala,abafyala,abafyala,abafyala,nkashi,abafyala,abafyala,abafyala,baice bakalamba,abafyala,abafyala,abafyala,mwaice,mukalamba,abafyala,abafyala,abafyala,abafyala,abafyala,munyinane,ndume,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mukalamba,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mwaice,abafyala,abafyala,abafyala,abafyala,mayo mukalamba,mayosenge,mayo mukalamba,tata mwaice,mayo,mayosenge,tata mukalamba,mayo mwaice,yama,yama,mayosenge,yama,mayo mwaice,mayo,mayosenge,mayosenge,tata,mayosenge,mayo,yama,mayo,tata,tata,yama,tata,tata mwaice,tata mukalamba,yama
3,0.24142727619991833,1.8668579385689594,1.625430662369041,abafyala,abafyala,abafyala,ndume,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,baice bakalamba,abafyala,mukalamba,nkashi,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mwaice,abafyala,abafyala,abafyala,abafyala,mwaice,abafyala,abafyala,munyinane,abafyala,abafyala,abafyala,baice,mukalamba,abafyala,abafyala,mayosenge,tata mwaice,tata,mayo mukalamba,yama,mayosenge,mayosenge,mayo mwaice,yama,mayosenge,tata,yama,yama,mayosenge,yama,tata mukalamba,yama,mayosenge,tata mwaice,mayo,tata,mayo,mayo,tata,mayo mukalamba,tata mukalamba,mayo mwaice,mayo
4,0.25025021043277373,1.8182542756440054,1.5680040652112317,munyinane,abafyala,abafyala,nkashi,abafyala,abafyala,abafyala,abafyala,mukalamba,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mukalamba,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,ndume,abafyala,mwaice,abafyala,abafyala,abafyala,baice bakalamba,baice,mwaice,abafyala,abafyala,abafyala,mayosenge,yama,tata mukalamba,tata,mayosenge,mayo mwaice,mayosenge,yama,mayo mukalamba,mayo,tata mwaice,mayo mukalamba,mayo mwaice,yama,mayosenge,yama,mayosenge,tata mwaice,yama,tata,mayo,yama,mayo,tata,mayo,mayosenge,tata,tata mukalamba
5,0.29642562015891283,1.8985599261443666,1.6021343059854538,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,munyinane,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,baice,abafyala,abafyala,abafyala,baice bakalamba,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mukalamba,mwaice,mwaice,abafyala,nkashi,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mukalamba,abafyala,ndume,abafyala,abafyala,abafyala,abafyala,abafyala,mayosenge,mayosenge,mayosenge,mayo mwaice,yama,mayo mukalamba,mayosenge,tata mukalamba,tata mukalamba,mayosenge,yama,yama,tata,tata,yama,tata,yama,mayo mwaice,tata,mayo,mayo,yama,mayo mukalamba,tata mwaice,tata mwaice,mayosenge,mayo,mayo
6,0.3552581091995244,1.8047594637197637,1.4495013545202393,abafyala,abafyala,abafyala,abafyala,abafyala,nkashi,abafyala,abafyala,abafyala,mwaice,abafyala,abafyala,abafyala,mukalamba,baice bakalamba,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mwaice,abafyala,abafyala,abafyala,abafyala,ndume,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,baice,abafyala,abafyala,munyinane,abafyala,abafyala,abafyala,mukalamba,abafyala,yama,mayo,mayosenge,mayo mukalamba,yama,mayo,mayo,mayosenge,mayo mwaice,tata mukalamba,tata,mayo mukalamba,mayo mwaice,mayosenge,tata,yama,tata mwaice,mayo,tata mukalamba,tata mwaice,mayosenge,tata,tata,yama,yama,yama,mayosenge,mayosenge
7,0.31687374656298606,1.9390726916114647,1.6221989450484786,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,munyinane,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mukalamba,abafyala,abafyala,abafyala,mukalamba,abafyala,baice,abafyala,nkashi,abafyala,abafyala,abafyala,mwaice,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mwaice,abafyala,baice bakalamba,ndume,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mayosenge,yama,mayosenge,mayo,mayosenge,yama,mayo,yama,mayo,yama,tata mwaice,mayo mukalamba,tata mukalamba,tata mwaice,tata,mayosenge,yama,tata,mayo,tata,mayo mwaice,mayosenge,mayo mukalamba,mayo mwaice,yama,mayosenge,tata mukalamba,tata
8,0.35595413403895804,1.5757927606413675,1.2198386266024095,ndume,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,mukalamba,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,baice bakalamba,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,baice,mukalamba,nkashi,abafyala,abafyala,abafyala,abafyala,abafyala,mwaice,munyinane,mwaice,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,tata mwaice,mayosenge,yama,mayo,tata mukalamba,tata,mayo mwaice,mayo mukalamba,mayosenge,tata mwaice,yama,tata mukalamba,mayosenge,mayo,tata,mayosenge,mayo mukalamba,tata,yama,mayo,yama,mayo mwaice,mayosenge,yama,yama,mayo,mayosenge,tata
9,0.2954613775461232,1.8424750940880013,1.547013716541878,abafyala,abafyala,mwaice,baice,abafyala,nkashi,abafyala,abafyala,mwaice,abafyala,abafyala,abafyala,abafyala,abafyala,mukalamba,abafyala,abafyala,abafyala,abafyala,abafyala,ndume,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,baice bakalamba,abafyala,abafyala,abafyala,abafyala,abafyala,mukalamba,abafyala,abafyala,abafyala,abafyala,abafyala,munyinane,abafyala,abafyala,abafyala,abafyala,abafyala,abafyala,tata mukalamba,yama,yama,tata,tata mwaice,mayosenge,yama,tata,yama,mayo mukalamba,yama,mayo,mayo,mayosenge,tata mukalamba,mayosenge,mayosenge,tata,mayo mwaice,mayosenge,mayo mwaice,mayo,yama,tata mwaice,mayosenge,tata,mayo,mayo mukalamba
