simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mMeZ,mMyZ,fFeB,fFyB,fMeZ,fMyZ
0,0.21207426669985324,0.6829081047004717,0.47083383800061845,kinia-gu,kinia-gu,kurua-gu,kurua-gu,kurua-gu,kulua-gu,kulua-gu,kania-gu,kania-gu,karma-gu,karma-gu,karma-gu,kania-gu,karma-gu,karma-gu,kania-gu,kania-gu,karma-gu,kania-gu
1,0.014032215111297486,0.6829081047004717,0.6688758895891742,kinia-gu,kurua-gu,kurua-gu,kulua-gu,kurua-gu,kulua-gu,kinia-gu,karma-gu,karma-gu,kania-gu,kania-gu,karma-gu,karma-gu,kania-gu,karma-gu,karma-gu,kania-gu,kania-gu,kania-gu
2,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,kurua-gu,kulua-gu,kinia-gu,kurua-gu,kulua-gu,kurua-gu,kinia-gu,kania-gu,karma-gu,kania-gu,karma-gu,karma-gu,karma-gu,karma-gu,kania-gu,kania-gu,kania-gu,karma-gu,kania-gu
3,0.005147809834208705,0.5195798391305154,0.5144320292963067,kinia-gu,kurua-gu,kulua-gu,kulua-gu,kurua-gu,kinia-gu,kurua-gu,kania-gu,karma-gu,karma-gu,karma-gu,kania-gu,karma-gu,kania-gu,kania-gu,karma-gu,kania-gu,kania-gu,karma-gu
4,0.41011631828840905,0.6829081047004717,0.27279178641206264,kulua-gu,kurua-gu,kinia-gu,kurua-gu,kulua-gu,kurua-gu,kinia-gu,karma-gu,karma-gu,kania-gu,kania-gu,karma-gu,karma-gu,kania-gu,kania-gu,karma-gu,karma-gu,kania-gu,kania-gu
5,0.005147809834208705,0.5195798391305154,0.5144320292963067,kinia-gu,kurua-gu,kinia-gu,kurua-gu,kulua-gu,kulua-gu,kurua-gu,karma-gu,kania-gu,karma-gu,karma-gu,kania-gu,karma-gu,karma-gu,kania-gu,karma-gu,kania-gu,kania-gu,kania-gu
6,0.14053932702562122,0.5982695885852573,0.45773026155963603,kulua-gu,kurua-gu,kurua-gu,kinia-gu,kinia-gu,kulua-gu,kurua-gu,kania-gu,kania-gu,kania-gu,karma-gu,kania-gu,kania-gu,karma-gu,karma-gu,kania-gu,karma-gu,karma-gu,karma-gu
7,0.41011631828840905,0.6829081047004717,0.27279178641206264,kinia-gu,kurua-gu,kulua-gu,kurua-gu,kinia-gu,kurua-gu,kulua-gu,karma-gu,karma-gu,kania-gu,kania-gu,karma-gu,kania-gu,karma-gu,karma-gu,kania-gu,kania-gu,karma-gu,kania-gu
8,0.1274357505846388,0.5982695885852573,0.47083383800061845,kurua-gu,kulua-gu,kulua-gu,kinia-gu,kinia-gu,kurua-gu,kurua-gu,karma-gu,karma-gu,karma-gu,kania-gu,kania-gu,kania-gu,karma-gu,kania-gu,karma-gu,kania-gu,karma-gu,kania-gu
9,0.14053932702562122,0.5982695885852573,0.45773026155963603,kulua-gu,kinia-gu,kurua-gu,kinia-gu,kulua-gu,kurua-gu,kurua-gu,karma-gu,karma-gu,karma-gu,kania-gu,karma-gu,karma-gu,kania-gu,kania-gu,kania-gu,kania-gu,kania-gu,karma-gu
