simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.1424769531311223,1.2149847829974896,1.0725078298663673,"maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, maghed ha bahi","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, manghed ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, manghed ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, magulang ha maqama, manuy","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi",manghed ha bahi,"maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, magulang ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama",magulang ha bahi,"maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi",abang,abang,inay,idang,idang,abang,abang,abang,idang,amay,amay,idang,inay,idang,idang,abang,idang,idang,abang,abang
1,0.0845568572607387,1.192854958575232,1.1082981013144932,"maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama",magulang ha bahi,"suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama",manghed ha bahi,"maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, magulang ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, manghed ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, magulang ha maqama, manuy","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, manghed ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, maghed ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama",abang,idang,abang,idang,inay,abang,inay,abang,idang,amay,idang,amay,idang,abang,abang,abang,idang,idang,idang,abang
2,0.18744799121269162,1.2149847829974896,1.027536791784798,"atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama",manghed ha bahi,"maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, manghed ha maqama","suled, suled ha bahi","maqama, magulang ha maqama, manuy","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, maghed ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama",magulang ha bahi,"maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, magulang ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, manghed ha maqama","suled, suled ha bahi",abang,idang,inay,idang,inay,abang,abang,abang,idang,abang,abang,idang,idang,idang,idang,amay,amay,abang,abang,idang
3,0.16832760105527989,1.2149847829974896,1.0466571819422097,manghed ha bahi,"suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, manghed ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama",magulang ha bahi,"maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, manghed ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, magulang ha maqama, manuy","suled, suled ha bahi","atebay, magulang ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, maghed ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama",abang,idang,inay,idang,idang,abang,abang,idang,amay,idang,abang,abang,idang,idang,abang,idang,inay,abang,amay,abang
4,0.1441922367497852,1.2149847829974896,1.0707925462477044,"atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama",magulang ha bahi,"maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi",manghed ha bahi,"maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, manghed ha maqama","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, manghed ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, maghed ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, magulang ha maqama, manuy","suled, suled ha bahi","atebay, magulang ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama",inay,abang,idang,amay,idang,abang,idang,abang,amay,inay,idang,idang,abang,idang,abang,abang,abang,idang,idang,abang
5,0.1891431625015576,1.2149847829974896,1.025841620495932,"maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, magulang ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, magulang ha maqama, manuy","suled, suled ha bahi","maqama, manghed ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi",magulang ha bahi,"atebay, maghed ha bahi",manghed ha bahi,"suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, manghed ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi",idang,abang,idang,amay,abang,idang,idang,inay,abang,abang,amay,idang,abang,idang,idang,abang,idang,abang,abang,inay
6,0.3149437377363543,1.192854958575232,0.8779112208388776,"suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, manghed ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, manghed ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama",magulang ha bahi,"maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi",manghed ha bahi,"atebay, suled, suled ha bahi","maqama, magulang ha maqama, manuy","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, maghed ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, magulang ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama",abang,abang,idang,abang,idang,inay,abang,idang,idang,amay,abang,amay,idang,idang,inay,idang,abang,abang,idang,abang
7,0.20935154209306617,1.1907686023357982,0.981417060242732,"atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, maghed ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, manghed ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, manghed ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, magulang ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi",manghed ha bahi,"atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, magulang ha maqama, manuy","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi",magulang ha bahi,"maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi",idang,idang,idang,idang,idang,abang,idang,amay,abang,inay,idang,idang,abang,abang,amay,abang,abang,abang,inay,abang
8,0.34239285474278347,1.1403524705011352,0.7979596157583517,"suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, manghed ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, magulang ha maqama, manuy","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, magulang ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, manghed ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi",magulang ha bahi,"atebay, suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi",manghed ha bahi,"atebay, maghed ha bahi","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi",idang,amay,abang,idang,idang,idang,abang,abang,amay,abang,idang,idang,abang,inay,abang,idang,abang,idang,inay,abang
9,0.1469155450896633,1.2135652713163758,1.0666497262267125,"atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama",magulang ha bahi,"atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, manghed ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","atebay, magulang ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama",manghed ha bahi,"atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, magulang ha maqama, manuy","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, manghed ha maqama","maqama, suled, suled ha maqama","atebay, maghed ha bahi","suled, suled ha bahi","suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","atebay, suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama","atebay, suled, suled ha bahi","suled, suled ha bahi","maqama, suled, suled ha maqama","maqama, suled, suled ha maqama",idang,abang,amay,abang,abang,idang,idang,abang,abang,idang,abang,idang,inay,idang,abang,idang,amay,inay,abang,idang
