simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fMeB,fMyB,fMeZ,fMyZ
0,0.07288827316693913,1.0810375265209315,1.0081492533539924,-edi,-edi,-ebheang,"-ebheang, boromung","-ebheang, boromung","-ebheang, boromung",-kaku,-kaku,"-ebheang, boromung",-ebheang,-edi,-kaku,"-ebheang, boromung","-ebheang, boromung",-edi,-edi,-kaku,"-ebheang, boromung",-edi,-ebheang,"-ebheang, boromung",-kaku,"-ebheang, boromung",-edi,-kaku,-edi,-kaku,-edi,-kaku,-kaku,-ebheang,-edi,-edi,-ebheang,-ebheang,-ebheang,"-ebheang, boromung",-kaku,-ebheang,-kaku,-ebheang,-ebheang,-edi,"-ebheang, boromung",-edi,-edi,-kaku,-kaku,-kaku,-kaku,-edi,-edi,-edi,-kaku,-ebheang,-ebheang,-ebheang,"-ebheang, boromung",-edi,-ebheang,-kaku,-ebheang,"-ebheang, boromung","-ebheang, boromung",-edi,"-ebheang, boromung",-kaku,-kaku,-ebheang,"-ebheang, boromung",-kaku,-edi,"-ebheang, boromung",-kaku,-ebheang,"-ebheang, boromung",-ebheang,-edi,"-ebheang, boromung",-ebheang,-kaku,-edi,-edi,-ebheang,"-ebheang, boromung",-iva,-iva,-iva,-imang,-imang,-imang,-iva,-imang era,-iva,-imang era,-imang era,-imang,-imang,-imang era,-iva,-imang
1,0.04914925557299221,1.0810375265209315,1.0318882709479393,"-ebheang, boromung",-edi,-edi,"-ebheang, boromung",-kaku,-ebheang,-kaku,-kaku,-edi,"-ebheang, boromung",-ebheang,"-ebheang, boromung",-ebheang,-ebheang,-kaku,-ebheang,"-ebheang, boromung",-kaku,"-ebheang, boromung",-ebheang,-kaku,"-ebheang, boromung",-edi,-ebheang,-kaku,-edi,-kaku,"-ebheang, boromung","-ebheang, boromung",-kaku,-edi,-edi,"-ebheang, boromung",-ebheang,-ebheang,-kaku,-ebheang,-kaku,-edi,-ebheang,"-ebheang, boromung",-edi,-kaku,-kaku,-edi,-kaku,"-ebheang, boromung",-kaku,"-ebheang, boromung",-kaku,-edi,-edi,-ebheang,-edi,-ebheang,-kaku,"-ebheang, boromung",-ebheang,"-ebheang, boromung",-kaku,-edi,-edi,-edi,-edi,-edi,-kaku,"-ebheang, boromung","-ebheang, boromung",-edi,-ebheang,-ebheang,-edi,-kaku,-edi,-ebheang,-ebheang,-kaku,-kaku,-ebheang,"-ebheang, boromung","-ebheang, boromung",-edi,-edi,-ebheang,"-ebheang, boromung",-imang,-imang,-imang,-iva,-iva,-iva,-imang era,-imang era,-imang,-iva,-imang era,-iva,-iva,-imang era,-imang,-imang
2,0.10066008735032117,1.0868238899287483,0.9861638025784272,"-ebheang, boromung",-edi,-ebheang,-edi,"-ebheang, boromung",-ebheang,"-ebheang, boromung","-ebheang, boromung",-ebheang,-kaku,-edi,"-ebheang, boromung",-kaku,-edi,"-ebheang, boromung",-kaku,-edi,-ebheang,"-ebheang, boromung",-ebheang,-ebheang,-ebheang,-edi,-ebheang,-edi,"-ebheang, boromung","-ebheang, boromung",-kaku,-edi,-ebheang,-kaku,-edi,"-ebheang, boromung","-ebheang, boromung",-edi,-ebheang,-edi,-kaku,-ebheang,-ebheang,-ebheang,-ebheang,-kaku,-edi,-kaku,-edi,"-ebheang, boromung",-kaku,-kaku,-edi,-kaku,-kaku,-edi,-kaku,-ebheang,"-ebheang, boromung",-edi,-edi,-edi,-edi,-kaku,-kaku,-ebheang,"-ebheang, boromung",-ebheang,"-ebheang, boromung",-kaku,-kaku,-kaku,-edi,"-ebheang, boromung","-ebheang, boromung",-edi,-kaku,-kaku,"-ebheang, boromung",-ebheang,-edi,-ebheang,-kaku,-edi,"-ebheang, boromung",-ebheang,"-ebheang, boromung",-kaku,-imang,-imang,-imang era,-imang,-iva,-imang,-iva,-iva,-imang,-iva,-imang,-iva,-imang era,-imang era,-iva,-imang era
3,0.29269297456000487,1.0722868390938198,0.779593864533815,-edi,-kaku,-kaku,-kaku,"-ebheang, boromung",-ebheang,-kaku,-edi,-kaku,-kaku,"-ebheang, boromung",-edi,"-ebheang, boromung",-ebheang,-edi,-edi,-kaku,-edi,"-ebheang, boromung",-edi,-kaku,-edi,-ebheang,-kaku,-edi,-kaku,-ebheang,-edi,-kaku,"-ebheang, boromung",-edi,-edi,-ebheang,-ebheang,-ebheang,-edi,"-ebheang, boromung","-ebheang, boromung","-ebheang, boromung",-ebheang,-edi,-kaku,-kaku,"-ebheang, boromung",-edi,-kaku,-edi,-kaku,-ebheang,-edi,-edi,"-ebheang, boromung",-ebheang,-kaku,"-ebheang, boromung","-ebheang, boromung",-kaku,-edi,"-ebheang, boromung",-ebheang,-edi,-ebheang,-ebheang,"-ebheang, boromung",-kaku,"-ebheang, boromung",-edi,-kaku,"-ebheang, boromung",-ebheang,-ebheang,"-ebheang, boromung",-edi,-ebheang,-kaku,"-ebheang, boromung","-ebheang, boromung",-kaku,-ebheang,"-ebheang, boromung",-ebheang,-ebheang,-ebheang,-kaku,-edi,-iva,-imang era,-imang era,-iva,-iva,-imang era,-iva,-imang,-imang,-imang,-imang,-imang era,-imang,-iva,-iva,-imang
4,0.08675298100753515,1.0868238899287483,1.0000709089212132,-edi,-ebheang,-ebheang,-edi,"-ebheang, boromung",-kaku,-edi,-kaku,"-ebheang, boromung","-ebheang, boromung",-kaku,-ebheang,-edi,"-ebheang, boromung",-ebheang,-edi,-edi,-ebheang,-ebheang,-ebheang,-edi,-edi,-ebheang,"-ebheang, boromung",-ebheang,-kaku,"-ebheang, boromung",-edi,-kaku,-ebheang,-kaku,-kaku,-ebheang,-ebheang,-kaku,"-ebheang, boromung",-ebheang,-kaku,"-ebheang, boromung",-ebheang,-ebheang,-edi,-kaku,-kaku,-edi,-kaku,-edi,"-ebheang, boromung",-kaku,-kaku,-kaku,-kaku,-ebheang,"-ebheang, boromung",-ebheang,-ebheang,"-ebheang, boromung",-edi,"-ebheang, boromung",-edi,-edi,-ebheang,"-ebheang, boromung","-ebheang, boromung",-edi,"-ebheang, boromung",-kaku,-edi,-kaku,-edi,"-ebheang, boromung",-kaku,-edi,-edi,-edi,-kaku,"-ebheang, boromung",-edi,-ebheang,"-ebheang, boromung",-edi,-kaku,"-ebheang, boromung",-kaku,"-ebheang, boromung",-imang,-iva,-iva,-imang era,-imang,-iva,-imang era,-iva,-iva,-imang era,-imang,-imang,-imang,-iva,-imang,-imang era
5,0.07610108661295945,1.0604815913606993,0.9843805047477399,"-ebheang, boromung",-ebheang,-edi,-kaku,-edi,-ebheang,-ebheang,-kaku,-kaku,-ebheang,-kaku,-edi,"-ebheang, boromung",-kaku,-edi,-edi,-kaku,-kaku,-edi,-kaku,-ebheang,-kaku,-edi,-edi,-edi,-kaku,"-ebheang, boromung","-ebheang, boromung",-edi,-kaku,"-ebheang, boromung",-kaku,-edi,-kaku,-ebheang,-edi,"-ebheang, boromung",-kaku,-edi,"-ebheang, boromung","-ebheang, boromung","-ebheang, boromung",-edi,-ebheang,"-ebheang, boromung",-edi,-ebheang,"-ebheang, boromung","-ebheang, boromung","-ebheang, boromung",-ebheang,-edi,"-ebheang, boromung",-ebheang,-ebheang,-ebheang,-kaku,"-ebheang, boromung",-kaku,-edi,-ebheang,-ebheang,-kaku,-edi,"-ebheang, boromung",-edi,-ebheang,-ebheang,-kaku,-kaku,-ebheang,-edi,-edi,"-ebheang, boromung",-edi,-edi,-kaku,-ebheang,-kaku,"-ebheang, boromung",-ebheang,"-ebheang, boromung","-ebheang, boromung",-ebheang,-kaku,-imang era,-imang era,-imang,-iva,-iva,-imang era,-iva,-imang,-imang,-imang,-imang,-imang era,-imang,-iva,-iva,-iva
6,0.03957546606166207,1.0722868390938198,1.0327113730321578,-ebheang,-ebheang,"-ebheang, boromung","-ebheang, boromung",-kaku,"-ebheang, boromung",-edi,"-ebheang, boromung",-edi,"-ebheang, boromung",-ebheang,-ebheang,-edi,-edi,"-ebheang, boromung",-kaku,-ebheang,-kaku,"-ebheang, boromung","-ebheang, boromung","-ebheang, boromung","-ebheang, boromung","-ebheang, boromung",-kaku,-kaku,-kaku,"-ebheang, boromung",-edi,-ebheang,-kaku,-kaku,-edi,-edi,-edi,-edi,"-ebheang, boromung",-edi,"-ebheang, boromung","-ebheang, boromung",-ebheang,-kaku,-ebheang,-edi,-ebheang,-ebheang,"-ebheang, boromung","-ebheang, boromung",-ebheang,-ebheang,-ebheang,-kaku,-kaku,-kaku,-kaku,-edi,-edi,-edi,-ebheang,-kaku,"-ebheang, boromung",-ebheang,"-ebheang, boromung",-kaku,"-ebheang, boromung",-ebheang,-kaku,-kaku,-ebheang,-edi,-ebheang,-edi,-kaku,-edi,-edi,-ebheang,-edi,-edi,-kaku,-kaku,-edi,-kaku,-ebheang,-edi,-edi,-kaku,-iva,-imang,-imang era,-iva,-iva,-iva,-imang,-imang,-imang,-imang,-iva,-imang era,-imang era,-iva,-imang era,-imang
7,0.11552316245805294,1.0604815913606993,0.9449584289026464,-edi,-edi,-kaku,-edi,-kaku,-edi,-ebheang,-edi,"-ebheang, boromung",-ebheang,-ebheang,-edi,"-ebheang, boromung",-ebheang,-edi,-kaku,-edi,-kaku,-kaku,"-ebheang, boromung",-kaku,-kaku,-ebheang,-ebheang,"-ebheang, boromung","-ebheang, boromung","-ebheang, boromung",-edi,"-ebheang, boromung",-kaku,-kaku,-kaku,-ebheang,-kaku,-ebheang,-ebheang,-edi,-ebheang,-edi,-edi,-kaku,"-ebheang, boromung","-ebheang, boromung",-kaku,-ebheang,"-ebheang, boromung",-edi,-edi,"-ebheang, boromung",-kaku,-kaku,-edi,-edi,-ebheang,"-ebheang, boromung",-edi,"-ebheang, boromung","-ebheang, boromung",-kaku,-ebheang,-ebheang,-ebheang,-ebheang,"-ebheang, boromung",-edi,"-ebheang, boromung",-ebheang,"-ebheang, boromung",-edi,-edi,-kaku,-kaku,-kaku,-kaku,-ebheang,-kaku,"-ebheang, boromung","-ebheang, boromung",-ebheang,-edi,-edi,-kaku,"-ebheang, boromung",-ebheang,-edi,-imang era,-imang era,-iva,-imang,-imang era,-iva,-imang,-iva,-imang,-imang,-iva,-imang era,-imang,-iva,-iva,-imang
8,0.0859893362318358,1.0821955300387673,0.9962061938069315,"-ebheang, boromung",-kaku,-ebheang,"-ebheang, boromung",-kaku,"-ebheang, boromung",-kaku,-kaku,-ebheang,-ebheang,"-ebheang, boromung",-ebheang,-ebheang,-edi,-kaku,-edi,-kaku,-ebheang,-ebheang,-kaku,-ebheang,-kaku,-kaku,-ebheang,"-ebheang, boromung","-ebheang, boromung",-edi,"-ebheang, boromung",-kaku,"-ebheang, boromung","-ebheang, boromung",-ebheang,-edi,-edi,-kaku,-edi,-edi,-kaku,-edi,"-ebheang, boromung",-edi,-edi,-edi,-ebheang,-edi,-ebheang,-kaku,-ebheang,"-ebheang, boromung",-ebheang,"-ebheang, boromung",-kaku,"-ebheang, boromung","-ebheang, boromung",-edi,"-ebheang, boromung",-kaku,-kaku,-edi,-edi,-ebheang,-kaku,-kaku,"-ebheang, boromung",-edi,"-ebheang, boromung",-kaku,-edi,"-ebheang, boromung",-edi,-ebheang,-edi,"-ebheang, boromung",-ebheang,-kaku,-edi,"-ebheang, boromung",-edi,-edi,-ebheang,-kaku,-edi,-kaku,-ebheang,-ebheang,-iva,-imang,-iva,-iva,-imang era,-imang,-imang,-imang,-imang era,-imang era,-iva,-iva,-iva,-imang,-imang,-imang era
9,0.04942518963021114,1.0604815913606993,1.0110564017304882,-ebheang,-ebheang,-kaku,"-ebheang, boromung","-ebheang, boromung",-kaku,-kaku,"-ebheang, boromung","-ebheang, boromung",-kaku,-ebheang,-edi,-ebheang,-ebheang,-edi,-ebheang,-kaku,-kaku,-edi,"-ebheang, boromung",-edi,-edi,-kaku,"-ebheang, boromung",-edi,-kaku,"-ebheang, boromung",-kaku,-edi,-edi,-ebheang,-kaku,"-ebheang, boromung",-ebheang,"-ebheang, boromung",-edi,-edi,-edi,-kaku,-ebheang,-kaku,-kaku,-kaku,-edi,-ebheang,-kaku,-edi,"-ebheang, boromung","-ebheang, boromung","-ebheang, boromung","-ebheang, boromung","-ebheang, boromung",-kaku,-ebheang,-ebheang,"-ebheang, boromung",-edi,-ebheang,"-ebheang, boromung",-kaku,"-ebheang, boromung",-ebheang,-edi,-ebheang,-ebheang,"-ebheang, boromung",-ebheang,-kaku,"-ebheang, boromung",-edi,-kaku,-edi,-ebheang,-kaku,-kaku,-edi,-edi,-edi,-edi,"-ebheang, boromung",-edi,-ebheang,-kaku,-edi,-ebheang,-imang,-imang era,-iva,-imang,-imang,-imang,-imang era,-iva,-imang era,-imang,-iva,-imang era,-imang,-iva,-iva,-iva
