simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.04047654623391428,1.113771263348911,1.0732947171149967,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,keniterv,kenderv,keniterv,keniterv,keniterv,breur,kenderv,kenderv,c'hoar,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,keniterv,keniterv,keniterv,breur,keniterv,kenderv,breur,kenderv,keniterv,kenderv,kenderv,kenderv,c'hoar,keniterv,keniterv,kenderv,c'hoar,kenderv,kenderv,kenderv,kenderv,keniterv,kenderv,kenderv,kenderv,keniterv,kenderv,keniterv,breur,kenderv,keniterv,keniterv,kenderv,keniterv,keniterv,c'hoar,c'hoar,kenderv,keniterv,kenderv,keniterv,kenderv,kenderv,kenderv,kenderv,kenderv,breur,keniterv,keniterv,kenderv,keniterv,breur,kenderv,keniterv,keniterv,kenderv,keniterv,c'hoar,keniterv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,keniterv,keniterv,eontr kompez,eontr kompez,eontr kompez,mamm,moereb gompez,mamm,eontr kompez,tad,moereb gompez,moereb gompez,tad,eontr kompez,eontr kompez,moereb gompez,moereb gompez,moereb gompez,eontr kompez,eontr kompez,moereb gompez,eontr kompez,eontr kompez,moereb gompez,moereb gompez,eontr kompez,eontr kompez,moereb gompez,moereb gompez,moereb gompez
1,0.051977640748293474,1.1276636966343467,1.0756860558860533,keniterv,c'hoar,c'hoar,keniterv,breur,kenderv,keniterv,keniterv,kenderv,keniterv,keniterv,kenderv,keniterv,c'hoar,keniterv,breur,kenderv,kenderv,kenderv,keniterv,keniterv,keniterv,kenderv,breur,kenderv,kenderv,kenderv,keniterv,kenderv,kenderv,kenderv,kenderv,keniterv,keniterv,kenderv,kenderv,keniterv,keniterv,c'hoar,keniterv,kenderv,keniterv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,kenderv,kenderv,kenderv,keniterv,kenderv,kenderv,keniterv,keniterv,breur,keniterv,kenderv,kenderv,keniterv,kenderv,kenderv,keniterv,kenderv,kenderv,c'hoar,kenderv,c'hoar,breur,breur,keniterv,keniterv,keniterv,keniterv,kenderv,kenderv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,kenderv,keniterv,keniterv,keniterv,keniterv,kenderv,keniterv,eontr kompez,moereb gompez,eontr kompez,moereb gompez,moereb gompez,moereb gompez,eontr kompez,eontr kompez,moereb gompez,eontr kompez,moereb gompez,mamm,eontr kompez,moereb gompez,eontr kompez,eontr kompez,eontr kompez,tad,moereb gompez,mamm,moereb gompez,eontr kompez,moereb gompez,tad,moereb gompez,eontr kompez,moereb gompez,eontr kompez
2,0.11525301096972362,1.0798307037434225,0.9645776927736989,keniterv,kenderv,keniterv,breur,kenderv,kenderv,keniterv,kenderv,kenderv,keniterv,kenderv,keniterv,keniterv,keniterv,kenderv,kenderv,keniterv,kenderv,keniterv,c'hoar,keniterv,keniterv,keniterv,keniterv,keniterv,c'hoar,keniterv,keniterv,breur,c'hoar,breur,keniterv,keniterv,kenderv,kenderv,breur,keniterv,keniterv,kenderv,keniterv,kenderv,keniterv,keniterv,kenderv,kenderv,kenderv,kenderv,c'hoar,keniterv,keniterv,kenderv,keniterv,keniterv,kenderv,kenderv,kenderv,kenderv,kenderv,keniterv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,breur,keniterv,kenderv,kenderv,kenderv,keniterv,kenderv,kenderv,kenderv,kenderv,keniterv,keniterv,c'hoar,kenderv,breur,kenderv,c'hoar,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,kenderv,keniterv,eontr kompez,eontr kompez,tad,eontr kompez,moereb gompez,eontr kompez,eontr kompez,mamm,mamm,moereb gompez,eontr kompez,tad,eontr kompez,moereb gompez,eontr kompez,moereb gompez,moereb gompez,moereb gompez,eontr kompez,moereb gompez,moereb gompez,eontr kompez,moereb gompez,moereb gompez,eontr kompez,eontr kompez,moereb gompez,moereb gompez
3,0.0419662015395077,1.1291267441853252,1.0871605426458175,c'hoar,kenderv,keniterv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,keniterv,keniterv,keniterv,kenderv,kenderv,c'hoar,kenderv,kenderv,kenderv,keniterv,kenderv,c'hoar,kenderv,kenderv,keniterv,kenderv,keniterv,kenderv,breur,keniterv,kenderv,keniterv,c'hoar,keniterv,keniterv,keniterv,kenderv,keniterv,breur,c'hoar,keniterv,keniterv,keniterv,keniterv,keniterv,kenderv,breur,keniterv,kenderv,keniterv,kenderv,kenderv,keniterv,keniterv,kenderv,keniterv,kenderv,keniterv,keniterv,keniterv,keniterv,kenderv,c'hoar,kenderv,breur,kenderv,breur,keniterv,keniterv,keniterv,keniterv,kenderv,keniterv,kenderv,kenderv,keniterv,kenderv,breur,keniterv,keniterv,kenderv,kenderv,kenderv,kenderv,keniterv,kenderv,kenderv,kenderv,kenderv,kenderv,kenderv,moereb gompez,eontr kompez,eontr kompez,tad,eontr kompez,moereb gompez,tad,eontr kompez,moereb gompez,eontr kompez,moereb gompez,eontr kompez,moereb gompez,moereb gompez,eontr kompez,moereb gompez,moereb gompez,mamm,eontr kompez,moereb gompez,moereb gompez,moereb gompez,eontr kompez,moereb gompez,eontr kompez,eontr kompez,eontr kompez,mamm
4,0.06919461463999155,1.0787669689383441,1.0095723542983526,keniterv,keniterv,keniterv,keniterv,keniterv,kenderv,kenderv,kenderv,kenderv,kenderv,kenderv,keniterv,c'hoar,keniterv,kenderv,c'hoar,c'hoar,kenderv,breur,breur,keniterv,kenderv,kenderv,keniterv,keniterv,keniterv,kenderv,breur,keniterv,keniterv,keniterv,keniterv,kenderv,c'hoar,keniterv,breur,keniterv,kenderv,keniterv,kenderv,keniterv,keniterv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,keniterv,kenderv,kenderv,c'hoar,kenderv,kenderv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,breur,kenderv,keniterv,c'hoar,kenderv,keniterv,kenderv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,kenderv,kenderv,breur,kenderv,keniterv,keniterv,kenderv,keniterv,keniterv,keniterv,kenderv,keniterv,kenderv,kenderv,kenderv,keniterv,moereb gompez,moereb gompez,eontr kompez,moereb gompez,eontr kompez,eontr kompez,moereb gompez,moereb gompez,eontr kompez,eontr kompez,eontr kompez,mamm,mamm,moereb gompez,moereb gompez,moereb gompez,eontr kompez,eontr kompez,tad,eontr kompez,moereb gompez,eontr kompez,eontr kompez,moereb gompez,moereb gompez,tad,moereb gompez,eontr kompez
5,0.039120268254630775,1.1677998563479501,1.1286795880933194,kenderv,kenderv,keniterv,kenderv,keniterv,keniterv,keniterv,breur,keniterv,keniterv,kenderv,kenderv,breur,breur,kenderv,kenderv,kenderv,kenderv,kenderv,keniterv,kenderv,keniterv,keniterv,keniterv,kenderv,c'hoar,kenderv,kenderv,keniterv,kenderv,kenderv,kenderv,keniterv,kenderv,keniterv,keniterv,kenderv,kenderv,keniterv,breur,keniterv,kenderv,kenderv,keniterv,breur,kenderv,keniterv,keniterv,keniterv,c'hoar,kenderv,kenderv,keniterv,kenderv,kenderv,kenderv,c'hoar,keniterv,kenderv,keniterv,kenderv,keniterv,kenderv,keniterv,c'hoar,keniterv,keniterv,kenderv,keniterv,kenderv,keniterv,c'hoar,keniterv,keniterv,kenderv,keniterv,keniterv,kenderv,kenderv,keniterv,c'hoar,keniterv,kenderv,keniterv,keniterv,kenderv,kenderv,keniterv,breur,keniterv,eontr kompez,eontr kompez,tad,mamm,moereb gompez,eontr kompez,moereb gompez,eontr kompez,eontr kompez,moereb gompez,eontr kompez,eontr kompez,mamm,moereb gompez,moereb gompez,eontr kompez,tad,eontr kompez,moereb gompez,moereb gompez,eontr kompez,moereb gompez,moereb gompez,moereb gompez,moereb gompez,eontr kompez,moereb gompez,eontr kompez
6,0.07176521432374905,1.1009383259331669,1.0291731116094178,keniterv,keniterv,keniterv,kenderv,keniterv,keniterv,keniterv,kenderv,breur,keniterv,kenderv,kenderv,keniterv,kenderv,breur,keniterv,keniterv,kenderv,keniterv,kenderv,breur,keniterv,keniterv,keniterv,keniterv,kenderv,keniterv,c'hoar,breur,breur,c'hoar,keniterv,c'hoar,keniterv,kenderv,kenderv,kenderv,kenderv,keniterv,kenderv,keniterv,kenderv,c'hoar,kenderv,kenderv,keniterv,kenderv,keniterv,keniterv,keniterv,kenderv,c'hoar,keniterv,keniterv,keniterv,kenderv,kenderv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,kenderv,kenderv,keniterv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,kenderv,kenderv,keniterv,kenderv,kenderv,kenderv,kenderv,keniterv,kenderv,keniterv,keniterv,keniterv,kenderv,c'hoar,kenderv,kenderv,kenderv,breur,moereb gompez,tad,moereb gompez,moereb gompez,moereb gompez,moereb gompez,eontr kompez,eontr kompez,eontr kompez,moereb gompez,moereb gompez,eontr kompez,moereb gompez,eontr kompez,mamm,mamm,moereb gompez,moereb gompez,eontr kompez,eontr kompez,eontr kompez,eontr kompez,eontr kompez,tad,moereb gompez,eontr kompez,eontr kompez,moereb gompez
7,0.06614406066111411,1.0777023635861172,1.011558302925003,breur,keniterv,c'hoar,c'hoar,kenderv,keniterv,kenderv,keniterv,keniterv,kenderv,kenderv,kenderv,breur,kenderv,breur,keniterv,keniterv,c'hoar,keniterv,kenderv,c'hoar,kenderv,kenderv,kenderv,keniterv,keniterv,keniterv,breur,kenderv,kenderv,kenderv,c'hoar,kenderv,keniterv,keniterv,keniterv,kenderv,kenderv,keniterv,kenderv,kenderv,keniterv,kenderv,kenderv,keniterv,kenderv,kenderv,keniterv,keniterv,keniterv,keniterv,kenderv,kenderv,keniterv,keniterv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,keniterv,keniterv,kenderv,kenderv,breur,keniterv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,keniterv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,breur,keniterv,kenderv,c'hoar,keniterv,eontr kompez,moereb gompez,moereb gompez,eontr kompez,moereb gompez,moereb gompez,eontr kompez,eontr kompez,mamm,eontr kompez,mamm,moereb gompez,eontr kompez,tad,moereb gompez,eontr kompez,moereb gompez,tad,eontr kompez,moereb gompez,moereb gompez,moereb gompez,moereb gompez,moereb gompez,eontr kompez,eontr kompez,eontr kompez,eontr kompez
8,0.05118318828656254,1.1291267441853252,1.0779435558987627,kenderv,kenderv,breur,keniterv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,keniterv,keniterv,keniterv,kenderv,kenderv,kenderv,kenderv,keniterv,keniterv,kenderv,kenderv,kenderv,kenderv,kenderv,c'hoar,keniterv,kenderv,keniterv,keniterv,keniterv,keniterv,keniterv,breur,kenderv,kenderv,keniterv,c'hoar,keniterv,kenderv,keniterv,keniterv,kenderv,breur,keniterv,kenderv,kenderv,c'hoar,keniterv,keniterv,kenderv,c'hoar,keniterv,keniterv,keniterv,keniterv,kenderv,kenderv,keniterv,kenderv,kenderv,kenderv,breur,keniterv,keniterv,keniterv,kenderv,keniterv,kenderv,keniterv,breur,kenderv,keniterv,kenderv,kenderv,kenderv,keniterv,keniterv,kenderv,kenderv,c'hoar,kenderv,keniterv,keniterv,breur,kenderv,keniterv,kenderv,c'hoar,kenderv,keniterv,eontr kompez,tad,eontr kompez,eontr kompez,mamm,moereb gompez,moereb gompez,eontr kompez,eontr kompez,moereb gompez,moereb gompez,mamm,moereb gompez,eontr kompez,moereb gompez,eontr kompez,moereb gompez,eontr kompez,moereb gompez,moereb gompez,moereb gompez,moereb gompez,eontr kompez,moereb gompez,tad,eontr kompez,eontr kompez,eontr kompez
9,0.06652032184212842,1.1412131564005432,1.0746928345584148,keniterv,kenderv,kenderv,keniterv,kenderv,keniterv,keniterv,breur,kenderv,keniterv,kenderv,kenderv,breur,keniterv,kenderv,keniterv,kenderv,kenderv,breur,keniterv,kenderv,kenderv,keniterv,kenderv,breur,breur,c'hoar,keniterv,keniterv,kenderv,kenderv,keniterv,kenderv,keniterv,keniterv,kenderv,keniterv,breur,keniterv,kenderv,c'hoar,c'hoar,keniterv,kenderv,keniterv,kenderv,keniterv,keniterv,kenderv,kenderv,kenderv,keniterv,keniterv,kenderv,kenderv,kenderv,kenderv,kenderv,keniterv,kenderv,kenderv,kenderv,c'hoar,kenderv,keniterv,keniterv,keniterv,kenderv,kenderv,keniterv,keniterv,keniterv,keniterv,kenderv,keniterv,kenderv,kenderv,keniterv,keniterv,keniterv,kenderv,kenderv,keniterv,keniterv,keniterv,kenderv,keniterv,c'hoar,c'hoar,keniterv,eontr kompez,eontr kompez,mamm,moereb gompez,moereb gompez,eontr kompez,tad,eontr kompez,moereb gompez,moereb gompez,eontr kompez,eontr kompez,moereb gompez,moereb gompez,mamm,moereb gompez,eontr kompez,eontr kompez,moereb gompez,tad,eontr kompez,moereb gompez,eontr kompez,moereb gompez,moereb gompez,eontr kompez,moereb gompez,eontr kompez
