simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.39450451107487405,1.2827201270842603,0.8882156160093863,"noonoi, rorokei","aapore, ŋkonnu, paiti","ŋkonnu, paiti","noonoi, taita","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","noonoi, roromuru","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","noonoi, rorokei","ŋkonnu, paiti",noonoi,"aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti",noonoi,"ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","noonoi, roromuru","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","moka, mommo",aagu,"moka, mommo",ana,"moka, mommo",paapa,aagu,ana,ana,ana,paapa,ana,"moka, mommo",ana,aagu,aagu,"moka, mommo",paapa,paapa,"moka, mommo"
1,0.23147328998632943,1.2963545127006189,1.0648812227142894,"ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","noonoi, taita","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti",noonoi,"aapore, ŋkonnu, paiti","noonoi, roromuru","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","noonoi, rorokei","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti",noonoi,"ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","noonoi, rorokei","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","noonoi, roromuru",ana,ana,aagu,paapa,"moka, mommo",aagu,paapa,ana,"moka, mommo","moka, mommo","moka, mommo",ana,paapa,"moka, mommo",paapa,"moka, mommo",ana,ana,aagu,aagu
2,0.3229147232483006,1.2230557680366716,0.900141044788371,"aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti",noonoi,"aapore, ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","noonoi, roromuru","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","noonoi, rorokei","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","noonoi, taita","noonoi, roromuru","noonoi, rorokei","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti",noonoi,"aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","moka, mommo","moka, mommo",ana,"moka, mommo",ana,aagu,"moka, mommo","moka, mommo",paapa,aagu,ana,aagu,"moka, mommo",paapa,ana,ana,paapa,ana,aagu,paapa
3,0.1914397137699666,1.3680829237577115,1.1766432099877449,"aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","noonoi, rorokei","aapore, ŋkonnu, paiti",noonoi,"aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","noonoi, roromuru","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti",noonoi,"aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","noonoi, roromuru","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","noonoi, rorokei","noonoi, taita","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","moka, mommo",ana,paapa,aagu,"moka, mommo","moka, mommo",paapa,ana,ana,aagu,aagu,ana,aagu,"moka, mommo","moka, mommo","moka, mommo",ana,paapa,paapa,ana
4,0.26730516616454425,1.3580825157078267,1.0907773495432824,"ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","noonoi, roromuru","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti",noonoi,"aapore, ŋkonnu, paiti","ŋkonnu, paiti","noonoi, roromuru","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","noonoi, taita","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","noonoi, rorokei","noonoi, rorokei","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti",noonoi,"aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti",ana,paapa,aagu,"moka, mommo",ana,aagu,"moka, mommo","moka, mommo",aagu,paapa,"moka, mommo","moka, mommo",ana,ana,paapa,aagu,ana,paapa,"moka, mommo",ana
5,0.2531870375325527,1.3508553547702085,1.0976683172376558,"aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","noonoi, roromuru","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti",noonoi,"aapore, ŋkotai, paiti","ŋkonnu, paiti","noonoi, rorokei","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","noonoi, rorokei","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","noonoi, roromuru","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","noonoi, taita","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti",noonoi,"ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","moka, mommo",ana,"moka, mommo",paapa,"moka, mommo","moka, mommo",paapa,ana,ana,paapa,aagu,aagu,"moka, mommo",ana,aagu,paapa,"moka, mommo",aagu,ana,ana
6,0.41610160182950295,1.384908679412363,0.9688070775828601,"aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","noonoi, rorokei","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","noonoi, taita","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","noonoi, roromuru","ŋkonnu, paiti","noonoi, roromuru","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti",noonoi,"noonoi, rorokei",noonoi,"aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti",aagu,paapa,paapa,ana,paapa,aagu,aagu,"moka, mommo","moka, mommo",ana,ana,"moka, mommo","moka, mommo",ana,ana,paapa,aagu,"moka, mommo","moka, mommo",ana
7,0.3673544891111882,1.3508553547702085,0.9835008656590203,"aapore, ŋkonnu, paiti","noonoi, roromuru","aapore, ŋkonnu, paiti","ŋkonnu, paiti","noonoi, rorokei","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","noonoi, taita","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","noonoi, roromuru","aapore, ŋkotai, paiti","ŋkonnu, paiti",noonoi,"aapore, ŋkonnu, paiti","noonoi, rorokei","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti",noonoi,"aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti",paapa,aagu,ana,aagu,"moka, mommo",ana,"moka, mommo",aagu,paapa,ana,aagu,ana,"moka, mommo","moka, mommo","moka, mommo","moka, mommo",ana,ana,paapa,paapa
8,0.24362871982534196,1.1293095059452896,0.8856807861199476,"aapore, ŋkonnu, paiti","noonoi, taita","aapore, ŋkotai, paiti","noonoi, roromuru","ŋkonnu, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","noonoi, rorokei","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","noonoi, rorokei","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti",noonoi,"aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti",noonoi,"ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","noonoi, roromuru","aapore, ŋkotai, paiti",ana,aagu,"moka, mommo",ana,aagu,paapa,ana,"moka, mommo",paapa,ana,paapa,paapa,ana,aagu,"moka, mommo","moka, mommo","moka, mommo",ana,aagu,"moka, mommo"
9,0.37092210524289637,1.3416019012518094,0.9706797960089131,"aapore, ŋkonnu, paiti","noonoi, roromuru","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","noonoi, rorokei","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","noonoi, rorokei",noonoi,"aapore, ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkotai, paiti","aapore, ŋkonnu, paiti","ŋkonnu, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti","noonoi, taita",noonoi,"aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","noonoi, roromuru","aapore, ŋkotai, paiti","ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkonnu, paiti","aapore, ŋkotai, paiti",ana,ana,paapa,paapa,"moka, mommo",aagu,aagu,"moka, mommo",paapa,"moka, mommo",ana,aagu,ana,"moka, mommo",ana,"moka, mommo",aagu,paapa,"moka, mommo",ana
