simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFBS,mMZS,mFeBS,mFyBS,mMeZS,mMyZS,mFBeS,mFByS,mMZeS,mMZyS,fB,fZ,feB,fyB,feZ,fyZ,fFBS,fMZS,fFeBS,fFyBS,fMeZS,fMyZS,fFBeS,fFByS,fMZyS,mFZD,mFBD,mMBD,mMZD,mFZS,mMBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFZS,fMBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFyB,mMyZ,mFeB,mFeZ,mFyZ,mMeZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFyB,fMyZ,fFeB,fFeZ,fFyZ,fMeZ,fMeB,fMyB
0,0.1352197998648872,1.582147138802588,1.4469273389377009,waanda,yaaya,waanda,waanda,waanda,waanda,waanda,omukooko,yaaya,yaaya,yaaya,omukooko,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,waanda,waanda,waanda,yaaya,waanda,yaaya,yaaya,waanda,waanda,ómuro,ómuro,waanda,ómukhulu,yaaya,waanda,ómukhulu,yaaya,waanda,yaaya,waanda,yaaya,ómukhulu,yaaya,waanda,yaaya,yaaya,waanda,waanda,waanda,waanda,waanda,waanda,waanda,yaaya,waanda,yaaya,waanda,ómuro,yaaya,yaaya,waanda,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,yaaya,waanda,yaaya,yaaya,yaaya,yaaya,yaaya,yaaya,waanda,ómukhulu,waanda,yaaya,ómuro,waanda,yaaya,waanda,yaaya,yaaya,yaaya,yaaya,waanda,yaaya,maayi,khóóchá,maayi,khóóchá,ómuro,seenge,maayi,paapa,ómuro,seenge,khóóchá,khóóchá,maayi,ómuro,paapa,seenge,khóóchá,maayi,paapa,maayi,seenge,seenge,paapa,ómuro,paapa,khóóchá,paapa,seenge
1,0.12753068723452587,1.6011706824816843,1.4736399952471584,waanda,ómukhulu,yaaya,waanda,waanda,waanda,waanda,yaaya,yaaya,yaaya,waanda,waanda,yaaya,waanda,waanda,waanda,yaaya,ómukhulu,yaaya,yaaya,waanda,yaaya,yaaya,ómukhulu,yaaya,waanda,yaaya,yaaya,waanda,yaaya,yaaya,waanda,waanda,waanda,yaaya,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,yaaya,yaaya,waanda,waanda,ómuro,yaaya,ómukhulu,waanda,waanda,waanda,ómuro,waanda,yaaya,yaaya,waanda,yaaya,waanda,waanda,yaaya,waanda,yaaya,ómuro,waanda,yaaya,omukooko,waanda,yaaya,omukooko,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,yaaya,yaaya,waanda,waanda,waanda,waanda,ómuro,yaaya,waanda,waanda,yaaya,yaaya,ómuro,maayi,paapa,khóóchá,khóóchá,maayi,paapa,paapa,seenge,khóóchá,khóóchá,khóóchá,paapa,seenge,ómuro,seenge,maayi,ómuro,paapa,seenge,seenge,ómuro,seenge,khóóchá,maayi,maayi,maayi,paapa
2,0.08675770096542701,1.6032025002637251,1.5164447992982981,ómuro,yaaya,yaaya,waanda,ómukhulu,yaaya,waanda,waanda,yaaya,waanda,omukooko,waanda,yaaya,omukooko,yaaya,yaaya,yaaya,waanda,yaaya,yaaya,yaaya,waanda,ómukhulu,yaaya,yaaya,waanda,yaaya,yaaya,waanda,yaaya,yaaya,yaaya,waanda,ómukhulu,waanda,waanda,waanda,yaaya,yaaya,waanda,waanda,yaaya,waanda,ómuro,waanda,waanda,yaaya,waanda,waanda,ómukhulu,yaaya,yaaya,yaaya,yaaya,yaaya,waanda,waanda,waanda,waanda,waanda,waanda,waanda,ómuro,yaaya,waanda,waanda,yaaya,waanda,yaaya,yaaya,waanda,waanda,waanda,waanda,yaaya,waanda,yaaya,ómuro,waanda,waanda,waanda,yaaya,waanda,yaaya,yaaya,yaaya,yaaya,yaaya,waanda,waanda,khóóchá,seenge,maayi,paapa,seenge,maayi,maayi,seenge,paapa,khóóchá,paapa,khóóchá,ómuro,seenge,maayi,seenge,ómuro,paapa,khóóchá,ómuro,seenge,paapa,maayi,paapa,khóóchá,ómuro,maayi,khóóchá
3,0.16231256681058825,1.5929399442533876,1.4306273774427993,waanda,yaaya,yaaya,yaaya,yaaya,waanda,waanda,yaaya,ómuro,waanda,ómuro,yaaya,yaaya,ómukhulu,waanda,waanda,yaaya,waanda,waanda,yaaya,waanda,yaaya,yaaya,waanda,waanda,waanda,waanda,yaaya,waanda,waanda,waanda,ómuro,ómukhulu,yaaya,yaaya,yaaya,yaaya,yaaya,waanda,ómuro,yaaya,ómukhulu,yaaya,waanda,waanda,yaaya,waanda,omukooko,waanda,ómukhulu,yaaya,waanda,yaaya,yaaya,waanda,waanda,yaaya,waanda,waanda,yaaya,waanda,yaaya,yaaya,yaaya,yaaya,yaaya,waanda,waanda,waanda,yaaya,waanda,waanda,omukooko,yaaya,yaaya,waanda,waanda,waanda,yaaya,yaaya,waanda,yaaya,waanda,yaaya,waanda,waanda,waanda,yaaya,yaaya,waanda,seenge,ómuro,paapa,paapa,maayi,seenge,maayi,paapa,paapa,ómuro,khóóchá,maayi,seenge,khóóchá,paapa,ómuro,seenge,seenge,ómuro,khóóchá,maayi,khóóchá,maayi,paapa,khóóchá,seenge,khóóchá,maayi
4,0.11687991811924014,1.6073403942766369,1.4904604761573967,waanda,yaaya,yaaya,yaaya,waanda,ómukhulu,yaaya,ómuro,waanda,omukooko,waanda,yaaya,waanda,waanda,yaaya,waanda,waanda,yaaya,waanda,ómukhulu,yaaya,omukooko,waanda,waanda,waanda,waanda,waanda,yaaya,waanda,yaaya,yaaya,yaaya,yaaya,yaaya,ómukhulu,yaaya,yaaya,waanda,waanda,waanda,yaaya,yaaya,yaaya,waanda,waanda,waanda,yaaya,yaaya,waanda,waanda,yaaya,waanda,ómuro,waanda,yaaya,ómuro,yaaya,waanda,yaaya,yaaya,yaaya,waanda,yaaya,waanda,waanda,yaaya,waanda,waanda,yaaya,waanda,yaaya,yaaya,ómuro,ómukhulu,waanda,yaaya,yaaya,waanda,waanda,waanda,waanda,yaaya,yaaya,yaaya,waanda,waanda,yaaya,yaaya,waanda,waanda,ómuro,ómuro,paapa,seenge,paapa,maayi,paapa,seenge,khóóchá,paapa,khóóchá,maayi,maayi,paapa,seenge,seenge,khóóchá,khóóchá,maayi,ómuro,seenge,paapa,seenge,maayi,khóóchá,khóóchá,ómuro,maayi
5,0.1209547584927817,1.5848561625591788,1.4639014040663971,yaaya,waanda,yaaya,yaaya,waanda,waanda,yaaya,yaaya,yaaya,waanda,yaaya,ómuro,yaaya,yaaya,yaaya,yaaya,waanda,waanda,waanda,yaaya,yaaya,yaaya,yaaya,waanda,waanda,waanda,yaaya,yaaya,yaaya,waanda,yaaya,ómuro,yaaya,yaaya,waanda,yaaya,waanda,yaaya,ómuro,waanda,yaaya,yaaya,yaaya,waanda,waanda,waanda,waanda,waanda,waanda,waanda,waanda,ómukhulu,yaaya,waanda,waanda,waanda,ómukhulu,waanda,yaaya,waanda,waanda,waanda,waanda,waanda,waanda,omukooko,waanda,waanda,yaaya,yaaya,ómukhulu,yaaya,yaaya,waanda,yaaya,waanda,yaaya,yaaya,waanda,waanda,waanda,ómukhulu,waanda,yaaya,ómuro,yaaya,waanda,yaaya,omukooko,yaaya,khóóchá,khóóchá,seenge,seenge,seenge,paapa,khóóchá,maayi,paapa,maayi,paapa,ómuro,seenge,seenge,khóóchá,maayi,khóóchá,ómuro,ómuro,seenge,paapa,paapa,khóóchá,ómuro,maayi,maayi,maayi,paapa
6,0.1065545058254651,1.601050379158952,1.494495873333487,yaaya,yaaya,waanda,yaaya,waanda,waanda,yaaya,waanda,yaaya,waanda,ómukhulu,waanda,yaaya,yaaya,ómuro,yaaya,yaaya,waanda,waanda,ómuro,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,yaaya,waanda,waanda,waanda,waanda,waanda,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,ómukhulu,waanda,waanda,waanda,yaaya,ómukhulu,yaaya,ómuro,yaaya,yaaya,waanda,ómukhulu,yaaya,yaaya,waanda,yaaya,yaaya,waanda,waanda,waanda,waanda,waanda,waanda,yaaya,waanda,yaaya,waanda,yaaya,yaaya,omukooko,yaaya,ómuro,yaaya,waanda,omukooko,yaaya,yaaya,waanda,waanda,yaaya,yaaya,yaaya,waanda,yaaya,waanda,waanda,ómuro,paapa,maayi,seenge,paapa,ómuro,seenge,khóóchá,maayi,khóóchá,paapa,ómuro,seenge,paapa,seenge,seenge,khóóchá,maayi,khóóchá,paapa,khóóchá,ómuro,seenge,maayi,khóóchá,maayi,maayi,paapa
7,0.07612729101916749,1.5921534122442473,1.5160261212250798,yaaya,ómukhulu,yaaya,ómuro,waanda,yaaya,waanda,yaaya,waanda,yaaya,yaaya,yaaya,waanda,ómukhulu,waanda,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,yaaya,waanda,waanda,waanda,waanda,waanda,waanda,yaaya,ómuro,yaaya,waanda,yaaya,waanda,yaaya,omukooko,waanda,ómukhulu,yaaya,waanda,waanda,waanda,waanda,yaaya,ómukhulu,yaaya,yaaya,yaaya,yaaya,yaaya,waanda,yaaya,waanda,waanda,waanda,ómuro,yaaya,yaaya,omukooko,yaaya,yaaya,waanda,waanda,yaaya,yaaya,yaaya,waanda,waanda,yaaya,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,waanda,waanda,waanda,waanda,waanda,yaaya,yaaya,waanda,ómuro,ómuro,seenge,khóóchá,khóóchá,ómuro,paapa,maayi,maayi,paapa,seenge,seenge,seenge,maayi,maayi,khóóchá,paapa,khóóchá,seenge,maayi,khóóchá,seenge,paapa,paapa,ómuro,paapa,ómuro,maayi,khóóchá
8,0.10522559204630766,1.5769493893263573,1.4717237972800497,omukooko,waanda,waanda,waanda,waanda,yaaya,yaaya,waanda,waanda,waanda,waanda,yaaya,yaaya,ómukhulu,waanda,ómuro,yaaya,waanda,yaaya,yaaya,ómuro,yaaya,waanda,yaaya,yaaya,ómukhulu,waanda,waanda,yaaya,waanda,yaaya,yaaya,waanda,waanda,yaaya,yaaya,yaaya,yaaya,yaaya,ómukhulu,waanda,waanda,yaaya,waanda,yaaya,waanda,waanda,waanda,waanda,waanda,waanda,omukooko,yaaya,yaaya,waanda,waanda,waanda,waanda,yaaya,yaaya,yaaya,waanda,waanda,waanda,waanda,yaaya,waanda,ómuro,yaaya,yaaya,yaaya,waanda,waanda,ómuro,waanda,yaaya,yaaya,yaaya,yaaya,waanda,yaaya,waanda,yaaya,yaaya,ómukhulu,yaaya,yaaya,waanda,yaaya,waanda,maayi,khóóchá,maayi,seenge,khóóchá,ómuro,maayi,seenge,seenge,khóóchá,maayi,seenge,paapa,seenge,khóóchá,ómuro,khóóchá,maayi,paapa,maayi,ómuro,paapa,paapa,khóóchá,ómuro,paapa,seenge,paapa
9,0.08043166857312323,1.5917256158061077,1.5112939472329845,yaaya,waanda,ómukhulu,waanda,yaaya,waanda,waanda,yaaya,yaaya,waanda,waanda,waanda,waanda,yaaya,waanda,waanda,waanda,yaaya,waanda,waanda,waanda,yaaya,yaaya,waanda,waanda,ómuro,waanda,ómuro,waanda,yaaya,yaaya,yaaya,yaaya,waanda,yaaya,waanda,yaaya,yaaya,ómukhulu,yaaya,yaaya,waanda,yaaya,yaaya,yaaya,yaaya,waanda,yaaya,yaaya,waanda,waanda,waanda,yaaya,waanda,yaaya,yaaya,yaaya,waanda,waanda,ómukhulu,yaaya,ómuro,waanda,yaaya,waanda,yaaya,waanda,yaaya,waanda,waanda,yaaya,waanda,waanda,yaaya,yaaya,waanda,waanda,yaaya,yaaya,omukooko,ómuro,yaaya,waanda,waanda,ómukhulu,yaaya,omukooko,waanda,yaaya,waanda,seenge,khóóchá,maayi,maayi,ómuro,seenge,khóóchá,ómuro,paapa,paapa,maayi,paapa,seenge,ómuro,maayi,khóóchá,paapa,seenge,paapa,khóóchá,khóóchá,khóóchá,maayi,seenge,ómuro,maayi,paapa,seenge
