simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMZS,mFZD,fFBS,fFZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mFZeD,mFZyD,mMZeS,mMZyS,fFeBS,fFyBS,fFeZS,fFyZS,fFBeS,fFByS,fFZeS,fFZyS,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,0.2067144168883217,1.0114042647073516,0.8046898478190299,tik,tik,tik,tik,tik,toak,tik,tik,tik,fēngyak,tik,mortak,finimbik,fēngyak,tik,tik,mortak,finimbik,tik,mortak,finimbik,tik,tik,tik,tik,tik,tik,fēngyak,mortak,finimbik,tik,tik,finimbik,fēngyak,mortak,tik,tik,tatang,mang,paliak,paliak,tatang,tatang,tatang,tatang,tatang,paliak,mang,paliak
1,0.33963515112966447,1.072043343575071,0.7324081924454064,fēngyak,tik,tik,mortak,tik,tik,toak,tik,tik,fēngyak,finimbik,mortak,mortak,mortak,finimbik,tik,tik,tik,fēngyak,tik,finimbik,tik,tik,tik,tik,tik,finimbik,tik,mortak,fēngyak,tik,tik,finimbik,tik,tik,tik,tik,tatang,tatang,paliak,mang,tatang,mang,paliak,tatang,paliak,tatang,paliak,tatang
2,0.17931531776570153,0.8277381569989198,0.6484228392332183,tik,tik,tik,tik,tik,mortak,tik,finimbik,fēngyak,tik,tik,tik,tik,tik,mortak,tik,tik,tik,fēngyak,finimbik,mortak,fēngyak,tik,toak,tik,finimbik,tik,tik,tik,tik,fēngyak,finimbik,mortak,tik,tik,mortak,finimbik,paliak,paliak,paliak,tatang,paliak,mang,tatang,tatang,tatang,tatang,mang,tatang
3,0.06241498606426332,0.900908873225472,0.8384938871612087,tik,tik,tik,tik,mortak,finimbik,tik,tik,tik,tik,tik,tik,mortak,mortak,finimbik,fēngyak,finimbik,tik,tik,tik,mortak,finimbik,tik,tik,tik,fēngyak,tik,tik,fēngyak,tik,tik,mortak,finimbik,toak,fēngyak,tik,tik,tatang,tatang,paliak,tatang,paliak,mang,tatang,paliak,tatang,mang,tatang,paliak
4,0.08487441406511698,1.0893096789558299,1.0044352648907129,tik,tik,fēngyak,tik,tik,toak,tik,tik,tik,tik,tik,tik,mortak,tik,tik,finimbik,fēngyak,tik,tik,finimbik,tik,finimbik,tik,mortak,finimbik,mortak,fēngyak,tik,tik,tik,tik,tik,mortak,fēngyak,finimbik,mortak,tik,tatang,mang,mang,paliak,tatang,paliak,tatang,tatang,paliak,tatang,tatang,paliak
5,0.24758676414806813,0.8544149816001841,0.606828217452116,tik,tik,tik,mortak,tik,tik,fēngyak,tik,fēngyak,tik,tik,tik,mortak,finimbik,finimbik,tik,finimbik,tik,tik,tik,tik,fēngyak,tik,tik,tik,tik,tik,fēngyak,mortak,tik,tik,tik,finimbik,mortak,toak,finimbik,mortak,paliak,paliak,paliak,tatang,tatang,mang,mang,paliak,tatang,tatang,tatang,tatang
6,0.14155997625561323,0.6682484776645385,0.5266885014089253,tik,fēngyak,tik,mortak,fēngyak,tik,fēngyak,tik,finimbik,tik,tik,tik,mortak,tik,finimbik,toak,finimbik,tik,tik,tik,mortak,tik,mortak,tik,tik,tik,finimbik,mortak,tik,tik,fēngyak,tik,tik,tik,tik,finimbik,tik,paliak,paliak,tatang,tatang,tatang,tatang,tatang,mang,paliak,tatang,paliak,mang
7,0.30510883726612936,0.8544149816001841,0.5493061443340548,tik,mortak,tik,finimbik,fēngyak,tik,tik,tik,tik,tik,mortak,tik,toak,tik,tik,tik,tik,tik,mortak,tik,mortak,fēngyak,finimbik,tik,tik,tik,finimbik,finimbik,mortak,tik,tik,fēngyak,finimbik,tik,tik,fēngyak,tik,paliak,paliak,tatang,tatang,tatang,paliak,tatang,paliak,mang,tatang,tatang,mang
8,0.1134853607872014,0.6837389058487535,0.5702535450615521,tik,tik,tik,fēngyak,tik,mortak,finimbik,tik,tik,tik,mortak,tik,tik,tik,fēngyak,tik,tik,finimbik,tik,finimbik,finimbik,mortak,tik,tik,tik,tik,toak,finimbik,mortak,tik,tik,mortak,fēngyak,tik,tik,tik,fēngyak,tatang,tatang,tatang,tatang,paliak,paliak,paliak,tatang,mang,mang,paliak,tatang
9,0.11371209231623891,1.0608569471580214,0.9471448548417825,tik,tik,tik,tik,finimbik,tik,mortak,mortak,finimbik,tik,tik,fēngyak,fēngyak,tik,tik,tik,tik,mortak,tik,tik,finimbik,tik,tik,tik,tik,toak,tik,fēngyak,tik,mortak,tik,tik,finimbik,fēngyak,finimbik,mortak,tik,mang,tatang,paliak,tatang,tatang,mang,paliak,tatang,paliak,paliak,tatang,tatang
