simulation_number,mutual_information,entropy,conditional_entropy,meZ,myZ,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,meB,mFZD,mFZS,feB,fFZD,fFZS,mMBD,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feZ,fyZ,fMBD,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mM,mF,mMB,mFeB,mFyB,mMeZ,mMyZ,fF,fMB,fFeB,fFyB,fMeZ,fMyZ,mFeZ,mMeB,mMyB,fM,fFeZ,fMeB,fMyB
0,0.31514938198032616,2.014122529224868,1.6989731472445417,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,kis,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,kis,is-ka,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,-wáxalˠ,nawal,pas,ñuk'u,ñuk'u,-wáxalˠ,ñuk'u,pas,yul,ñuk'u,ñuk'u,ñuk'u,yul,ñuk'u,ñuk'u,ñuk'u,nawal,pas,pas,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,is-ka,yes,nes,kum,ye,-pa,mas,ye,nes,tas,tas,tas,mas,tas,tas,táata,-pa,táata,tas,kum,yes
1,0.2541208174099725,1.878967493188813,1.6248466757788405,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,-wáxalˠ,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,is-ka,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,is-ka,pas,ñuk'u,ñuk'u,ñuk'u,-wáxalˠ,pas,ñuk'u,ñuk'u,ñuk'u,kis,ñuk'u,pas,yul,nawal,ñuk'u,nawal,kis,yul,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,-pa,nes,kum,ye,tas,yes,kum,tas,táata,-pa,nes,ye,táata,tas,mas,yes,tas,tas,tas,mas
2,0.4248209695630143,1.8255635085702342,1.40074253900722,ñuk'u,ñuk'u,ñuk'u,ñuk'u,nawal,ñuk'u,is-ka,ñuk'u,ñuk'u,pas,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,nawal,ñuk'u,ñuk'u,ñuk'u,kis,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,-wáxalˠ,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,-wáxalˠ,yul,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,kis,is-ka,pas,ñuk'u,ñuk'u,ñuk'u,yul,ñuk'u,ñuk'u,-pa,mas,nes,-pa,tas,yes,kum,tas,tas,táata,ye,kum,nes,tas,mas,ye,tas,táata,tas,yes
3,0.29026257052389814,1.9521382094153652,1.661875638891467,ñuk'u,yul,yul,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,pas,ñuk'u,ñuk'u,ñuk'u,kis,-wáxalˠ,pas,ñuk'u,nawal,ñuk'u,ñuk'u,ñuk'u,ñuk'u,is-ka,ñuk'u,-wáxalˠ,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,kis,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,is-ka,ñuk'u,ñuk'u,ñuk'u,ñuk'u,nawal,tas,ye,tas,yes,mas,tas,tas,táata,ye,kum,tas,nes,tas,-pa,nes,-pa,mas,kum,táata,yes
4,0.25119991700393274,1.9230688680951125,1.6718689510911797,yul,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,kis,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,is-ka,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,ñuk'u,ñuk'u,-wáxalˠ,pas,ñuk'u,yul,pas,nawal,pas,-wáxalˠ,ñuk'u,ñuk'u,ñuk'u,ñuk'u,kis,ñuk'u,ñuk'u,ñuk'u,ñuk'u,nawal,ñuk'u,is-ka,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,kum,táata,mas,yes,tas,-pa,táata,ye,yes,tas,nes,ye,kum,tas,-pa,tas,nes,tas,mas,tas
5,0.31205690255084506,1.9850531879046152,1.67299628535377,ñuk'u,ñuk'u,-wáxalˠ,ñuk'u,ñuk'u,ñuk'u,is-ka,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,-wáxalˠ,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,kis,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,yul,ñuk'u,nawal,kis,pas,ñuk'u,nawal,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,yul,is-ka,ñuk'u,ñuk'u,kum,nes,yes,tas,tas,tas,nes,yes,mas,tas,ye,tas,táata,mas,táata,ye,kum,tas,-pa,-pa
6,0.40909827690511036,1.9230688680951125,1.513970591190002,pas,ñuk'u,ñuk'u,ñuk'u,ñuk'u,nawal,is-ka,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,ñuk'u,ñuk'u,yul,ñuk'u,ñuk'u,kis,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,-wáxalˠ,ñuk'u,ñuk'u,pas,is-ka,nawal,ñuk'u,ñuk'u,kis,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,-wáxalˠ,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,yul,ñuk'u,ñuk'u,ñuk'u,táata,mas,ye,nes,tas,tas,mas,tas,-pa,tas,nes,kum,yes,-pa,táata,ye,tas,tas,yes,kum
7,0.24692785151216357,1.8019511397932637,1.5550232882811001,ñuk'u,kis,ñuk'u,-wáxalˠ,pas,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,yul,ñuk'u,nawal,ñuk'u,pas,ñuk'u,ñuk'u,ñuk'u,kis,ñuk'u,ñuk'u,is-ka,pas,ñuk'u,ñuk'u,ñuk'u,ñuk'u,yul,-wáxalˠ,ñuk'u,ñuk'u,is-ka,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,nawal,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,ñuk'u,kum,yes,yes,táata,tas,kum,tas,táata,tas,-pa,tas,ye,ye,tas,nes,tas,nes,-pa,mas,mas
8,0.32404091867764295,1.878967493188813,1.55492657451117,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,-wáxalˠ,ñuk'u,-wáxalˠ,is-ka,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,ñuk'u,yul,yul,pas,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,nawal,ñuk'u,ñuk'u,ñuk'u,kis,kis,ñuk'u,ñuk'u,ñuk'u,pas,pas,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,nawal,ñuk'u,is-ka,ñuk'u,tas,nes,kum,tas,mas,táata,yes,mas,tas,ye,tas,nes,-pa,táata,kum,tas,ye,tas,-pa,yes
9,0.3552525474533661,1.878967493188813,1.5237149457354469,pas,ñuk'u,pas,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,nawal,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,is-ka,is-ka,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,kis,ñuk'u,-wáxalˠ,ñuk'u,ñuk'u,ñuk'u,ñuk'u,ñuk'u,pas,ñuk'u,ñuk'u,ñuk'u,nawal,ñuk'u,ñuk'u,yul,ñuk'u,yul,-wáxalˠ,kis,tas,tas,tas,táata,kum,tas,ye,-pa,nes,-pa,tas,táata,ye,yes,mas,mas,kum,tas,yes,nes
