simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.15569972735412763,1.3610033695969812,1.2053036422428536,amoaza,amoaza,purza,amoaza,purza,khusk,purza,purza,khusk,khaloaza,bra,purza,purza,khaloaza,purza,khaloaza,khaloaza,purza,purza,khusk,amoaza,khaloaza,purza,amoaza,purza,purza,khaloaza,purza,amoaza,amoaza,bra,amoaza,purza,khusk,amoaza,khaloaza,purza,purza,amoaza,bra,purza,amoaza,purza,purza,purza,purza,khaloaza,amoaza,purza,purza,khaloaza,khaloaza,khaloaza,khusk,amoaza,amoaza,purza,khaloaza,khaloaza,khaloaza,khaloaza,amoaza,khaloaza,purza,khusk,khaloaza,purza,purza,bra,purza,purza,purza,bra,khaloaza,amoaza,purza,khaloaza,purza,amoaza,khaloaza,purza,purza,amoaza,purza,purza,purza,amoaza,purza,purza,mam,pur,pur,khal,pur,pur,pur,pur,pur,pur,daik,baok,pur,khal,mam,baok,pur,mam,pur,daik,mam,khal,pur,khal,mam,khal,mam,khal
1,0.09278118898539822,1.3344386011551204,1.2416574121697221,khaloaza,purza,purza,purza,bra,khaloaza,khaloaza,khaloaza,khusk,khusk,amoaza,purza,amoaza,purza,purza,amoaza,purza,khaloaza,purza,amoaza,amoaza,khaloaza,purza,purza,amoaza,khusk,bra,amoaza,purza,khusk,bra,khaloaza,purza,amoaza,purza,purza,bra,khusk,purza,khaloaza,purza,purza,purza,purza,purza,purza,purza,khaloaza,khaloaza,amoaza,purza,purza,khaloaza,amoaza,khusk,purza,purza,amoaza,khaloaza,amoaza,purza,amoaza,amoaza,bra,purza,amoaza,purza,purza,purza,amoaza,khaloaza,khaloaza,amoaza,purza,khaloaza,khaloaza,amoaza,amoaza,khaloaza,purza,purza,khaloaza,purza,purza,khaloaza,khaloaza,purza,purza,purza,mam,pur,khal,pur,pur,pur,pur,baok,khal,pur,khal,khal,mam,mam,pur,mam,pur,mam,khal,mam,pur,khal,pur,pur,pur,daik,baok,daik
2,0.12736556906734453,1.3673835928793039,1.2400180238119594,khaloaza,purza,khusk,amoaza,khaloaza,amoaza,khaloaza,khaloaza,bra,purza,purza,purza,purza,khaloaza,khaloaza,purza,purza,purza,amoaza,khaloaza,purza,purza,purza,purza,amoaza,purza,khaloaza,khaloaza,khaloaza,purza,amoaza,bra,amoaza,amoaza,amoaza,purza,khusk,khaloaza,khusk,purza,bra,purza,khaloaza,purza,purza,khusk,purza,khusk,amoaza,khaloaza,amoaza,bra,purza,amoaza,khaloaza,khaloaza,purza,purza,amoaza,purza,khaloaza,khusk,purza,purza,purza,amoaza,amoaza,khaloaza,amoaza,purza,purza,khaloaza,amoaza,amoaza,purza,bra,purza,amoaza,purza,purza,amoaza,khaloaza,purza,khaloaza,purza,purza,purza,purza,purza,pur,pur,mam,khal,pur,khal,mam,daik,mam,pur,pur,baok,pur,khal,pur,pur,pur,pur,mam,daik,pur,mam,khal,khal,mam,pur,khal,baok
3,0.14687134883726638,1.3673835928793039,1.2205122440420375,purza,purza,amoaza,amoaza,purza,purza,purza,amoaza,khaloaza,purza,purza,purza,purza,purza,purza,amoaza,purza,bra,purza,khaloaza,amoaza,amoaza,amoaza,khaloaza,bra,purza,khaloaza,khaloaza,amoaza,khaloaza,amoaza,purza,purza,khaloaza,khaloaza,purza,bra,amoaza,purza,amoaza,khaloaza,khaloaza,purza,amoaza,purza,khaloaza,amoaza,purza,purza,purza,khusk,purza,purza,khaloaza,khaloaza,khusk,purza,amoaza,khusk,purza,khusk,purza,purza,purza,purza,khaloaza,amoaza,amoaza,khaloaza,purza,khusk,purza,khaloaza,purza,bra,purza,amoaza,amoaza,khaloaza,khaloaza,khaloaza,amoaza,khusk,khaloaza,purza,bra,purza,purza,purza,pur,pur,mam,pur,mam,khal,pur,pur,mam,khal,mam,khal,baok,baok,pur,pur,daik,pur,pur,khal,mam,khal,pur,khal,daik,pur,pur,mam
4,0.12529929816493945,1.4388821784582788,1.3135828802933394,purza,purza,khusk,purza,khaloaza,amoaza,amoaza,purza,khaloaza,bra,purza,purza,purza,khaloaza,purza,bra,purza,amoaza,purza,khaloaza,amoaza,amoaza,purza,khaloaza,purza,khaloaza,bra,purza,khusk,purza,khaloaza,amoaza,purza,amoaza,purza,amoaza,purza,purza,purza,purza,amoaza,khaloaza,amoaza,purza,khaloaza,amoaza,khaloaza,purza,khaloaza,khaloaza,amoaza,khaloaza,bra,amoaza,khaloaza,purza,khaloaza,purza,purza,amoaza,purza,khusk,khusk,khusk,khaloaza,amoaza,purza,khaloaza,purza,purza,khaloaza,amoaza,purza,khaloaza,purza,purza,purza,bra,purza,purza,purza,khaloaza,purza,purza,amoaza,amoaza,purza,amoaza,khusk,pur,baok,pur,khal,daik,mam,mam,khal,mam,mam,pur,pur,mam,pur,khal,khal,pur,baok,mam,pur,pur,khal,daik,pur,pur,pur,khal,pur
5,0.13087577529416206,1.3834503709429222,1.2525745956487602,purza,khaloaza,purza,purza,amoaza,purza,khaloaza,purza,bra,purza,purza,purza,amoaza,purza,purza,purza,khaloaza,amoaza,khusk,khaloaza,purza,purza,purza,amoaza,purza,purza,amoaza,amoaza,khaloaza,purza,purza,khusk,amoaza,purza,purza,purza,purza,amoaza,khaloaza,khusk,amoaza,purza,khaloaza,bra,bra,khaloaza,khaloaza,purza,amoaza,khaloaza,khaloaza,amoaza,purza,purza,purza,bra,amoaza,amoaza,purza,khusk,khusk,purza,purza,purza,khaloaza,khaloaza,khaloaza,purza,khaloaza,khaloaza,purza,khaloaza,purza,amoaza,amoaza,purza,khusk,khaloaza,khaloaza,purza,amoaza,amoaza,khaloaza,purza,bra,purza,amoaza,purza,amoaza,baok,pur,mam,pur,khal,khal,pur,pur,pur,mam,baok,pur,pur,daik,khal,khal,mam,pur,mam,pur,pur,mam,daik,khal,pur,khal,pur,mam
6,0.10013458247149609,1.339665801744192,1.239531219272696,purza,purza,amoaza,amoaza,purza,khaloaza,purza,amoaza,amoaza,purza,khaloaza,bra,khaloaza,purza,purza,purza,purza,purza,amoaza,khusk,purza,purza,khaloaza,amoaza,khaloaza,bra,amoaza,khusk,khaloaza,amoaza,khusk,purza,purza,amoaza,purza,khaloaza,bra,purza,purza,amoaza,purza,khusk,amoaza,purza,purza,amoaza,purza,khaloaza,purza,amoaza,purza,purza,khaloaza,khaloaza,purza,khusk,khaloaza,khaloaza,purza,khaloaza,purza,purza,khaloaza,purza,khaloaza,purza,purza,khusk,purza,amoaza,purza,purza,bra,purza,khaloaza,amoaza,khaloaza,amoaza,purza,purza,khaloaza,amoaza,khaloaza,amoaza,purza,khaloaza,purza,amoaza,bra,pur,mam,khal,pur,khal,pur,pur,khal,daik,mam,mam,mam,pur,pur,pur,khal,pur,baok,pur,pur,baok,mam,mam,pur,khal,daik,khal,pur
7,0.15453245348586053,1.3363819461964899,1.1818494927106293,bra,purza,amoaza,amoaza,khaloaza,khaloaza,amoaza,khaloaza,purza,purza,khaloaza,khaloaza,khaloaza,purza,amoaza,purza,amoaza,purza,amoaza,purza,khaloaza,purza,purza,amoaza,purza,khaloaza,amoaza,purza,purza,purza,amoaza,purza,khaloaza,khusk,purza,khaloaza,khaloaza,purza,amoaza,purza,khusk,bra,purza,khusk,purza,khusk,purza,purza,amoaza,purza,purza,amoaza,khaloaza,purza,purza,purza,purza,amoaza,bra,amoaza,khusk,purza,khaloaza,purza,amoaza,bra,khusk,purza,purza,amoaza,purza,bra,purza,khaloaza,amoaza,khaloaza,purza,khaloaza,khaloaza,purza,amoaza,khaloaza,purza,purza,amoaza,khaloaza,purza,khaloaza,purza,daik,pur,khal,pur,pur,pur,mam,baok,khal,mam,khal,pur,pur,daik,mam,pur,khal,pur,mam,pur,mam,khal,pur,pur,mam,khal,pur,baok
8,0.1207265594038116,1.4461126785930938,1.3253861191892822,khaloaza,purza,purza,amoaza,khusk,purza,khaloaza,purza,amoaza,purza,purza,khaloaza,purza,khaloaza,amoaza,khaloaza,purza,purza,amoaza,khusk,khaloaza,amoaza,amoaza,purza,khaloaza,bra,khaloaza,bra,amoaza,amoaza,purza,purza,purza,khaloaza,purza,amoaza,khaloaza,amoaza,purza,purza,amoaza,purza,khaloaza,purza,khaloaza,khusk,purza,khaloaza,amoaza,purza,khaloaza,bra,purza,purza,purza,purza,purza,bra,bra,khaloaza,purza,purza,khaloaza,khusk,purza,purza,purza,purza,purza,purza,purza,amoaza,purza,amoaza,purza,khaloaza,khusk,purza,khaloaza,amoaza,khaloaza,amoaza,khusk,purza,amoaza,amoaza,khaloaza,purza,amoaza,baok,daik,khal,pur,baok,mam,pur,mam,pur,pur,pur,mam,pur,pur,pur,pur,khal,pur,mam,mam,pur,khal,khal,mam,daik,khal,pur,khal
9,0.11932171820175386,1.3866999944741891,1.2673782762724353,khaloaza,purza,purza,khaloaza,khaloaza,purza,purza,purza,bra,khaloaza,amoaza,purza,purza,amoaza,amoaza,purza,amoaza,purza,purza,amoaza,khaloaza,khaloaza,khaloaza,amoaza,purza,purza,purza,khaloaza,bra,purza,purza,amoaza,purza,purza,amoaza,purza,purza,purza,khusk,khaloaza,khaloaza,khaloaza,khaloaza,amoaza,purza,purza,bra,amoaza,amoaza,amoaza,amoaza,amoaza,amoaza,khaloaza,purza,khaloaza,khaloaza,purza,khaloaza,bra,khusk,amoaza,purza,khusk,purza,khaloaza,purza,khaloaza,purza,purza,amoaza,purza,purza,purza,amoaza,khusk,purza,purza,khusk,amoaza,purza,khusk,purza,khaloaza,purza,khaloaza,purza,bra,purza,mam,pur,khal,pur,mam,khal,pur,pur,khal,pur,daik,baok,mam,pur,pur,khal,mam,mam,khal,khal,pur,pur,pur,baok,mam,pur,pur,daik
