simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.0592469612806501,1.0296530140645737,0.9704060527839236,kaya,ben-na,c̷uhki,miya,kaya,kaya,c̷uhki,c̷uhki,ben-na,miya,c̷uhki,kaya,u'ɲuku,a'piku,a'piku,a'piku,u'ɲuku,man'guku,uh'puyu,u'ɲuku,man'guku,mama,u'ɲuku,uh'puyu,uh'puyu,yaʔ 'pa,man'guku,u'ɲuku,uh'puyu,a'piku,mama,man'guku,yaʔ 'pa,man'guku,man'guku,uh'puyu,uh'puyu,a'piku,u'ɲuku,a'piku
1,0.03969123741566949,0.6931471805599453,0.6534559431442758,c̷uhki,c̷uhki,kaya,c̷uhki,miya,kaya,kaya,c̷uhki,ben-na,miya,ben-na,kaya,u'ɲuku,uh'puyu,uh'puyu,yaʔ 'pa,uh'puyu,a'piku,yaʔ 'pa,u'ɲuku,a'piku,a'piku,uh'puyu,mama,u'ɲuku,man'guku,uh'puyu,u'ɲuku,man'guku,mama,a'piku,man'guku,man'guku,u'ɲuku,man'guku,a'piku,man'guku,uh'puyu,a'piku,u'ɲuku
2,0.14064030772723046,1.0296530140645737,0.8890127063373432,c̷uhki,c̷uhki,kaya,miya,ben-na,ben-na,kaya,kaya,c̷uhki,c̷uhki,miya,kaya,u'ɲuku,man'guku,u'ɲuku,yaʔ 'pa,u'ɲuku,a'piku,uh'puyu,mama,a'piku,man'guku,uh'puyu,u'ɲuku,mama,a'piku,a'piku,man'guku,uh'puyu,a'piku,uh'puyu,uh'puyu,yaʔ 'pa,a'piku,man'guku,man'guku,u'ɲuku,u'ɲuku,uh'puyu,man'guku
3,0.04661338431986495,1.0296530140645737,0.9830396297447087,ben-na,c̷uhki,c̷uhki,kaya,kaya,miya,kaya,c̷uhki,kaya,miya,c̷uhki,ben-na,a'piku,u'ɲuku,a'piku,uh'puyu,uh'puyu,u'ɲuku,man'guku,u'ɲuku,uh'puyu,u'ɲuku,a'piku,uh'puyu,uh'puyu,man'guku,a'piku,yaʔ 'pa,yaʔ 'pa,mama,u'ɲuku,man'guku,man'guku,man'guku,u'ɲuku,a'piku,uh'puyu,man'guku,a'piku,mama
4,0.2536622852211916,1.366158847569202,1.1124965623480103,kaya,c̷uhki,ben-na,kaya,miya,kaya,miya,c̷uhki,c̷uhki,ben-na,kaya,c̷uhki,u'ɲuku,yaʔ 'pa,uh'puyu,yaʔ 'pa,u'ɲuku,mama,u'ɲuku,a'piku,u'ɲuku,mama,man'guku,man'guku,a'piku,u'ɲuku,uh'puyu,man'guku,a'piku,uh'puyu,uh'puyu,u'ɲuku,a'piku,a'piku,man'guku,uh'puyu,man'guku,a'piku,man'guku,uh'puyu
5,0.18870389388395148,1.0296530140645737,0.8409491201806222,miya,miya,c̷uhki,ben-na,ben-na,kaya,c̷uhki,kaya,c̷uhki,kaya,kaya,c̷uhki,u'ɲuku,a'piku,a'piku,uh'puyu,uh'puyu,uh'puyu,u'ɲuku,man'guku,uh'puyu,yaʔ 'pa,uh'puyu,man'guku,u'ɲuku,mama,u'ɲuku,uh'puyu,yaʔ 'pa,man'guku,a'piku,a'piku,a'piku,u'ɲuku,man'guku,mama,man'guku,u'ɲuku,a'piku,man'guku
6,0.13773990405351755,0.6108643020548935,0.47312439800137596,kaya,c̷uhki,kaya,c̷uhki,ben-na,ben-na,kaya,miya,kaya,c̷uhki,c̷uhki,miya,a'piku,man'guku,mama,u'ɲuku,uh'puyu,a'piku,a'piku,man'guku,uh'puyu,uh'puyu,u'ɲuku,u'ɲuku,man'guku,uh'puyu,man'guku,man'guku,a'piku,u'ɲuku,u'ɲuku,yaʔ 'pa,a'piku,man'guku,mama,u'ɲuku,yaʔ 'pa,uh'puyu,a'piku,uh'puyu
7,0.2114052276200813,1.0296530140645737,0.8182477864444924,c̷uhki,c̷uhki,kaya,ben-na,ben-na,kaya,kaya,c̷uhki,c̷uhki,kaya,miya,miya,a'piku,u'ɲuku,uh'puyu,uh'puyu,man'guku,uh'puyu,a'piku,yaʔ 'pa,uh'puyu,u'ɲuku,uh'puyu,man'guku,man'guku,a'piku,man'guku,u'ɲuku,man'guku,u'ɲuku,mama,a'piku,a'piku,yaʔ 'pa,man'guku,a'piku,mama,u'ɲuku,u'ɲuku,uh'puyu
8,0.20479854429683464,0.9502705392332347,0.7454719949364,miya,kaya,kaya,c̷uhki,ben-na,kaya,kaya,c̷uhki,miya,c̷uhki,ben-na,c̷uhki,a'piku,a'piku,mama,u'ɲuku,yaʔ 'pa,a'piku,u'ɲuku,man'guku,a'piku,man'guku,man'guku,u'ɲuku,u'ɲuku,a'piku,u'ɲuku,uh'puyu,man'guku,mama,man'guku,a'piku,uh'puyu,yaʔ 'pa,uh'puyu,uh'puyu,u'ɲuku,uh'puyu,uh'puyu,man'guku
9,0.07623686496018989,1.0296530140645737,0.9534161491043838,miya,ben-na,kaya,kaya,c̷uhki,c̷uhki,kaya,miya,ben-na,c̷uhki,c̷uhki,kaya,man'guku,a'piku,yaʔ 'pa,man'guku,u'ɲuku,uh'puyu,uh'puyu,uh'puyu,a'piku,man'guku,man'guku,uh'puyu,mama,u'ɲuku,u'ɲuku,man'guku,u'ɲuku,a'piku,uh'puyu,yaʔ 'pa,u'ɲuku,a'piku,uh'puyu,a'piku,u'ɲuku,man'guku,a'piku,mama
