simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mM,fF,fM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.043124942535504696,1.6498272261623457,1.606702283626841,musonyi,musonyi,musonyi,ndumbu,ndumbu,musonyi,pangi,musonyi,musonyi,pangi,pangi,musonyi,musonyi,musonyi,musonyi,ndumbu,musonyi,musonyi,ndumbu,pangi,pangi,musonyi,pangi,musonyi,musonyi,musonyi,pangi,musonyi,musonyi,musonyi,ndumbu,musonyi,ndumbu,ndumbu,pangi,pangi,musonyi,pangi,musonyi,musonyi,ndumbu,ndumbu,ndumbu,ndumbu,pangi,ndumbu,ndumbu,musonyi,pangi,pangi,ndumbu,musonyi,ndumbu,ndumbu,musonyi,ndumbu,musonyi,musonyi,pangi,pangi,musonyi,pangi,ndumbu,ndumbu,musonyi,pangi,ndumbu,musonyi,musonyi,musonyi,pangi,musonyi,musonyi,pangi,pangi,ndumbu,musonyi,musonyi,musonyi,pangi,musonyi,pangi,ndumbu,pangi,ndumbu,ndumbu,musonyi,pangi,pangi,ndumbu,matu,tata,matu,tata pwo,matu,mama,tata wa songo,tata wa songo,matu,mama wa songo,tata pwo,mama wa songo,tata wa songo,tata wa songo,matu,matu,mama wa songo,tata wa songo,tata wa songo,tata pwo,tata pwo,mama wa songo,tata pwo,mama,tata pwo,mama wa songo,mama wa songo
1,0.06424213916884969,1.6460612631452012,1.5818191239763515,pangi,musonyi,ndumbu,pangi,ndumbu,ndumbu,pangi,ndumbu,musonyi,musonyi,ndumbu,pangi,musonyi,musonyi,pangi,musonyi,musonyi,pangi,ndumbu,pangi,ndumbu,musonyi,musonyi,musonyi,ndumbu,pangi,musonyi,musonyi,pangi,musonyi,pangi,pangi,pangi,pangi,pangi,musonyi,pangi,ndumbu,ndumbu,pangi,musonyi,pangi,ndumbu,ndumbu,musonyi,ndumbu,musonyi,pangi,musonyi,musonyi,pangi,pangi,musonyi,ndumbu,ndumbu,musonyi,musonyi,ndumbu,musonyi,musonyi,musonyi,ndumbu,pangi,musonyi,musonyi,ndumbu,musonyi,ndumbu,pangi,musonyi,musonyi,musonyi,musonyi,musonyi,pangi,musonyi,ndumbu,musonyi,musonyi,musonyi,ndumbu,pangi,musonyi,ndumbu,ndumbu,ndumbu,musonyi,pangi,musonyi,ndumbu,tata pwo,mama wa songo,tata pwo,matu,tata,tata wa songo,tata pwo,mama wa songo,tata wa songo,tata pwo,tata wa songo,tata wa songo,matu,tata wa songo,matu,tata pwo,matu,tata pwo,mama wa songo,mama wa songo,matu,mama wa songo,mama,mama wa songo,matu,mama,tata wa songo
2,0.06643804874159565,1.6148485820327867,1.548410533291191,musonyi,ndumbu,ndumbu,ndumbu,musonyi,musonyi,ndumbu,pangi,musonyi,ndumbu,pangi,ndumbu,musonyi,musonyi,pangi,musonyi,pangi,musonyi,pangi,musonyi,ndumbu,pangi,musonyi,pangi,pangi,musonyi,pangi,musonyi,musonyi,pangi,ndumbu,pangi,pangi,musonyi,musonyi,pangi,musonyi,musonyi,ndumbu,ndumbu,pangi,ndumbu,ndumbu,pangi,musonyi,ndumbu,musonyi,musonyi,ndumbu,musonyi,musonyi,musonyi,pangi,pangi,pangi,musonyi,pangi,ndumbu,ndumbu,ndumbu,pangi,musonyi,pangi,pangi,musonyi,musonyi,pangi,ndumbu,musonyi,musonyi,ndumbu,musonyi,musonyi,musonyi,ndumbu,musonyi,musonyi,ndumbu,ndumbu,ndumbu,pangi,ndumbu,musonyi,musonyi,pangi,musonyi,ndumbu,musonyi,musonyi,musonyi,tata pwo,matu,tata,mama wa songo,tata pwo,mama wa songo,tata pwo,tata wa songo,matu,matu,tata wa songo,matu,tata pwo,mama wa songo,mama,tata wa songo,tata wa songo,tata wa songo,tata wa songo,mama wa songo,mama wa songo,mama,mama wa songo,matu,matu,tata pwo,tata pwo
3,0.058396780423148,1.649794485736623,1.591397705313475,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,ndumbu,ndumbu,ndumbu,pangi,ndumbu,pangi,musonyi,musonyi,ndumbu,ndumbu,ndumbu,pangi,ndumbu,musonyi,pangi,musonyi,musonyi,pangi,pangi,pangi,musonyi,pangi,musonyi,pangi,pangi,pangi,musonyi,musonyi,ndumbu,musonyi,ndumbu,musonyi,musonyi,ndumbu,pangi,pangi,musonyi,musonyi,musonyi,pangi,pangi,musonyi,pangi,ndumbu,ndumbu,pangi,pangi,ndumbu,musonyi,musonyi,musonyi,pangi,ndumbu,pangi,musonyi,musonyi,musonyi,musonyi,pangi,ndumbu,musonyi,pangi,musonyi,ndumbu,ndumbu,ndumbu,musonyi,pangi,musonyi,musonyi,pangi,musonyi,musonyi,pangi,musonyi,ndumbu,ndumbu,musonyi,ndumbu,musonyi,ndumbu,ndumbu,musonyi,ndumbu,mama wa songo,mama wa songo,tata pwo,mama wa songo,matu,tata wa songo,tata,tata pwo,mama wa songo,mama wa songo,tata wa songo,matu,mama,matu,tata pwo,mama wa songo,tata pwo,tata wa songo,tata pwo,matu,matu,tata wa songo,mama,tata pwo,tata wa songo,tata wa songo,matu
4,0.09772725327884912,1.5947713476744567,1.4970440943956076,musonyi,pangi,musonyi,musonyi,pangi,ndumbu,musonyi,musonyi,pangi,pangi,pangi,musonyi,ndumbu,ndumbu,musonyi,ndumbu,musonyi,ndumbu,musonyi,ndumbu,musonyi,musonyi,ndumbu,musonyi,ndumbu,musonyi,ndumbu,ndumbu,ndumbu,pangi,pangi,pangi,musonyi,ndumbu,musonyi,pangi,ndumbu,musonyi,musonyi,musonyi,musonyi,pangi,ndumbu,musonyi,pangi,musonyi,ndumbu,musonyi,musonyi,musonyi,musonyi,ndumbu,ndumbu,ndumbu,musonyi,pangi,pangi,pangi,ndumbu,pangi,musonyi,ndumbu,musonyi,musonyi,pangi,pangi,pangi,musonyi,musonyi,musonyi,pangi,pangi,pangi,pangi,musonyi,pangi,musonyi,ndumbu,musonyi,musonyi,musonyi,pangi,pangi,musonyi,ndumbu,ndumbu,musonyi,musonyi,ndumbu,ndumbu,tata pwo,tata pwo,tata wa songo,tata pwo,matu,mama wa songo,tata pwo,tata wa songo,mama,mama wa songo,matu,tata,matu,tata pwo,mama wa songo,tata wa songo,matu,matu,tata pwo,tata wa songo,mama wa songo,mama,mama wa songo,tata wa songo,matu,tata wa songo,mama wa songo
5,0.056352606904856106,1.6669582353002474,1.6106056283953913,pangi,musonyi,pangi,ndumbu,ndumbu,musonyi,pangi,musonyi,pangi,ndumbu,musonyi,musonyi,musonyi,pangi,ndumbu,musonyi,pangi,musonyi,pangi,ndumbu,musonyi,pangi,pangi,musonyi,ndumbu,ndumbu,ndumbu,ndumbu,musonyi,pangi,pangi,pangi,musonyi,musonyi,musonyi,pangi,musonyi,pangi,pangi,pangi,musonyi,pangi,ndumbu,musonyi,musonyi,musonyi,musonyi,musonyi,ndumbu,musonyi,musonyi,musonyi,musonyi,pangi,pangi,ndumbu,musonyi,musonyi,pangi,ndumbu,musonyi,ndumbu,musonyi,ndumbu,ndumbu,pangi,musonyi,musonyi,ndumbu,musonyi,ndumbu,pangi,ndumbu,pangi,musonyi,ndumbu,pangi,ndumbu,ndumbu,musonyi,pangi,musonyi,ndumbu,musonyi,musonyi,musonyi,ndumbu,musonyi,ndumbu,musonyi,tata wa songo,tata wa songo,matu,tata pwo,mama,tata pwo,tata pwo,matu,mama wa songo,mama wa songo,tata pwo,mama wa songo,tata pwo,tata pwo,tata wa songo,matu,tata,mama wa songo,mama wa songo,tata wa songo,mama,tata wa songo,matu,mama wa songo,tata wa songo,matu,matu
6,0.08204841146680342,1.5880273565249774,1.505978945058174,musonyi,pangi,musonyi,musonyi,ndumbu,pangi,ndumbu,musonyi,pangi,musonyi,ndumbu,ndumbu,musonyi,pangi,ndumbu,musonyi,musonyi,pangi,pangi,musonyi,ndumbu,musonyi,musonyi,ndumbu,ndumbu,musonyi,pangi,ndumbu,ndumbu,ndumbu,pangi,pangi,pangi,ndumbu,musonyi,musonyi,musonyi,musonyi,pangi,ndumbu,ndumbu,ndumbu,musonyi,pangi,musonyi,ndumbu,musonyi,ndumbu,pangi,musonyi,pangi,musonyi,ndumbu,musonyi,pangi,pangi,pangi,musonyi,ndumbu,pangi,musonyi,musonyi,pangi,musonyi,musonyi,musonyi,musonyi,ndumbu,pangi,musonyi,pangi,pangi,musonyi,musonyi,ndumbu,musonyi,pangi,musonyi,musonyi,musonyi,musonyi,musonyi,musonyi,ndumbu,ndumbu,pangi,ndumbu,ndumbu,pangi,musonyi,tata pwo,tata wa songo,tata pwo,matu,mama wa songo,tata pwo,tata pwo,mama wa songo,mama,matu,tata,tata wa songo,mama wa songo,matu,tata wa songo,mama wa songo,tata pwo,tata pwo,tata wa songo,mama wa songo,matu,mama,tata wa songo,matu,tata wa songo,mama wa songo,matu
7,0.056684771585251426,1.6338923716397324,1.577207600054481,ndumbu,pangi,musonyi,musonyi,musonyi,musonyi,ndumbu,pangi,pangi,pangi,musonyi,ndumbu,pangi,musonyi,musonyi,ndumbu,pangi,ndumbu,pangi,musonyi,pangi,musonyi,pangi,ndumbu,musonyi,musonyi,pangi,musonyi,musonyi,ndumbu,musonyi,ndumbu,musonyi,musonyi,musonyi,musonyi,pangi,musonyi,pangi,ndumbu,pangi,ndumbu,musonyi,musonyi,ndumbu,ndumbu,pangi,ndumbu,pangi,pangi,ndumbu,ndumbu,pangi,ndumbu,musonyi,musonyi,pangi,pangi,musonyi,musonyi,musonyi,musonyi,ndumbu,musonyi,pangi,musonyi,musonyi,ndumbu,pangi,pangi,musonyi,pangi,musonyi,pangi,musonyi,ndumbu,ndumbu,musonyi,musonyi,musonyi,ndumbu,musonyi,ndumbu,ndumbu,musonyi,musonyi,musonyi,ndumbu,ndumbu,pangi,tata wa songo,tata pwo,matu,tata wa songo,tata wa songo,mama,matu,tata wa songo,matu,mama,mama wa songo,tata pwo,mama wa songo,mama wa songo,tata pwo,tata pwo,mama wa songo,matu,matu,mama wa songo,tata pwo,matu,mama wa songo,tata wa songo,tata wa songo,tata pwo,tata
8,0.06108036576832765,1.6431895187278571,1.5821091529595295,pangi,pangi,ndumbu,musonyi,pangi,ndumbu,pangi,ndumbu,musonyi,ndumbu,ndumbu,pangi,musonyi,musonyi,ndumbu,musonyi,musonyi,musonyi,ndumbu,pangi,musonyi,pangi,pangi,musonyi,ndumbu,musonyi,pangi,pangi,ndumbu,pangi,musonyi,musonyi,ndumbu,pangi,pangi,musonyi,musonyi,pangi,musonyi,ndumbu,musonyi,musonyi,pangi,ndumbu,musonyi,ndumbu,musonyi,ndumbu,pangi,pangi,musonyi,musonyi,ndumbu,musonyi,musonyi,pangi,ndumbu,musonyi,musonyi,musonyi,ndumbu,musonyi,ndumbu,pangi,musonyi,ndumbu,musonyi,musonyi,ndumbu,musonyi,pangi,ndumbu,ndumbu,pangi,pangi,musonyi,musonyi,ndumbu,pangi,ndumbu,musonyi,musonyi,pangi,musonyi,musonyi,pangi,ndumbu,musonyi,musonyi,musonyi,matu,mama wa songo,tata wa songo,mama,tata pwo,mama wa songo,mama wa songo,tata pwo,tata wa songo,tata wa songo,mama,tata pwo,tata wa songo,tata pwo,tata,tata pwo,tata wa songo,matu,tata wa songo,matu,mama wa songo,matu,matu,matu,tata pwo,mama wa songo,mama wa songo
9,0.06567240613726066,1.54824292684019,1.4825705207029294,pangi,musonyi,ndumbu,musonyi,musonyi,musonyi,ndumbu,pangi,pangi,ndumbu,ndumbu,ndumbu,ndumbu,ndumbu,musonyi,musonyi,pangi,musonyi,musonyi,musonyi,musonyi,musonyi,pangi,pangi,pangi,pangi,musonyi,musonyi,ndumbu,pangi,pangi,ndumbu,pangi,musonyi,musonyi,ndumbu,musonyi,ndumbu,musonyi,pangi,ndumbu,pangi,ndumbu,musonyi,musonyi,musonyi,pangi,musonyi,ndumbu,pangi,pangi,musonyi,pangi,ndumbu,pangi,musonyi,pangi,pangi,ndumbu,musonyi,ndumbu,ndumbu,musonyi,ndumbu,musonyi,ndumbu,musonyi,pangi,musonyi,pangi,ndumbu,musonyi,ndumbu,ndumbu,musonyi,musonyi,musonyi,pangi,musonyi,musonyi,pangi,musonyi,musonyi,musonyi,ndumbu,pangi,musonyi,musonyi,ndumbu,musonyi,matu,tata pwo,tata pwo,mama wa songo,mama wa songo,mama wa songo,mama wa songo,tata pwo,matu,tata wa songo,matu,tata wa songo,matu,matu,tata pwo,tata wa songo,tata pwo,matu,mama wa songo,tata wa songo,tata,tata wa songo,tata pwo,mama,mama wa songo,tata wa songo,mama
