simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.20505815914420467,1.0346012329101812,0.8295430737659766,"maama, telehadi","kakay, telehadi","tebay, telehadi","maama, telehadi","tebay, telehadi","hadi, telehadi","tebay, telehadi","hadi, telehadi","hadi, telehadi","tebay, telehadi","kakay, telehadi","maama, telehadi","tebay, telehadi","maama, telehadi","kakay, telehadi","tebay, telehadi","tebay, telehadi","hadi, telehadi","hadi, telehadi","kakay, telehadi","maama, telehadi","hadi, telehadi","hadi, telehadi","hadi, telehadi","hadi, telehadi","kakay, telehadi","tebay, telehadi","maama, telehadi","kakay, telehadi","kakay, telehadi","kakay, telehadi","maama, telehadi","maama, telehadi","tebay, telehadi","hadi, telehadi","maama, telehadi","kakay, telehadi","tebay, telehadi",inà,momò,inay,inà,inay,momò,inà,inà,momò,inà,inà,momò,momò,emà,inà,emà,inà,momò,momò,momò
1,0.20218548540814568,0.6829081047004717,0.480722619292326,"tebay, telehadi","tebay, telehadi","kakay, telehadi","maama, telehadi","tebay, telehadi","tebay, telehadi","tebay, telehadi","maama, telehadi","tebay, telehadi","hadi, telehadi","kakay, telehadi","maama, telehadi","tebay, telehadi","hadi, telehadi","hadi, telehadi","kakay, telehadi","maama, telehadi","kakay, telehadi","kakay, telehadi","maama, telehadi","kakay, telehadi","maama, telehadi","tebay, telehadi","kakay, telehadi","tebay, telehadi","kakay, telehadi","maama, telehadi","hadi, telehadi","kakay, telehadi","tebay, telehadi","hadi, telehadi","hadi, telehadi","hadi, telehadi","hadi, telehadi","maama, telehadi","maama, telehadi","hadi, telehadi","hadi, telehadi",momò,momò,inay,inay,inà,inà,inà,momò,emà,emà,inà,momò,inà,momò,momò,momò,inà,inà,momò,inà
2,0.06866226593817326,1.034601232910181,0.9659389669720078,"hadi, telehadi","hadi, telehadi","kakay, telehadi","tebay, telehadi","kakay, telehadi","kakay, telehadi","hadi, telehadi","tebay, telehadi","hadi, telehadi","tebay, telehadi","maama, telehadi","tebay, telehadi","hadi, telehadi","maama, telehadi","maama, telehadi","kakay, telehadi","maama, telehadi","tebay, telehadi","kakay, telehadi","maama, telehadi","tebay, telehadi","hadi, telehadi","tebay, telehadi","hadi, telehadi","kakay, telehadi","tebay, telehadi","hadi, telehadi","maama, telehadi","maama, telehadi","kakay, telehadi","kakay, telehadi","hadi, telehadi","kakay, telehadi","tebay, telehadi","maama, telehadi","hadi, telehadi","tebay, telehadi","maama, telehadi",inay,inà,momò,inà,inà,emà,inà,inay,momò,inà,momò,emà,momò,momò,momò,inà,inà,momò,inà,momò
3,0.08933566369092527,0.5195798391305154,0.43024417543959015,"maama, telehadi","maama, telehadi","maama, telehadi","kakay, telehadi","tebay, telehadi","maama, telehadi","maama, telehadi","maama, telehadi","hadi, telehadi","kakay, telehadi","kakay, telehadi","hadi, telehadi","maama, telehadi","hadi, telehadi","hadi, telehadi","tebay, telehadi","kakay, telehadi","tebay, telehadi","tebay, telehadi","kakay, telehadi","tebay, telehadi","hadi, telehadi","kakay, telehadi","tebay, telehadi","hadi, telehadi","hadi, telehadi","tebay, telehadi","kakay, telehadi","maama, telehadi","hadi, telehadi","tebay, telehadi","kakay, telehadi","tebay, telehadi","kakay, telehadi","tebay, telehadi","hadi, telehadi","hadi, telehadi","maama, telehadi",inà,momò,momò,momò,inà,inà,emà,momò,momò,inay,momò,inay,inà,inà,emà,inà,inà,momò,inà,momò
4,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,"tebay, telehadi","kakay, telehadi","hadi, telehadi","tebay, telehadi","maama, telehadi","maama, telehadi","maama, telehadi","tebay, telehadi","kakay, telehadi","kakay, telehadi","hadi, telehadi","maama, telehadi","kakay, telehadi","tebay, telehadi","tebay, telehadi","hadi, telehadi","hadi, telehadi","tebay, telehadi","kakay, telehadi","tebay, telehadi","kakay, telehadi","kakay, telehadi","maama, telehadi","kakay, telehadi","tebay, telehadi","hadi, telehadi","hadi, telehadi","hadi, telehadi","hadi, telehadi","maama, telehadi","hadi, telehadi","maama, telehadi","maama, telehadi","maama, telehadi","tebay, telehadi","tebay, telehadi","hadi, telehadi","kakay, telehadi",inà,momò,inà,momò,momò,inà,momò,inà,inay,momò,inay,inà,momò,momò,momò,inà,inà,emà,emà,inà
5,0.06578959220211433,0.5982695885852573,0.5324799963831429,"maama, telehadi","tebay, telehadi","hadi, telehadi","hadi, telehadi","kakay, telehadi","hadi, telehadi","kakay, telehadi","tebay, telehadi","maama, telehadi","hadi, telehadi","hadi, telehadi","kakay, telehadi","tebay, telehadi","tebay, telehadi","maama, telehadi","hadi, telehadi","hadi, telehadi","kakay, telehadi","kakay, telehadi","maama, telehadi","maama, telehadi","hadi, telehadi","maama, telehadi","tebay, telehadi","tebay, telehadi","hadi, telehadi","kakay, telehadi","maama, telehadi","tebay, telehadi","tebay, telehadi","hadi, telehadi","tebay, telehadi","kakay, telehadi","maama, telehadi","kakay, telehadi","kakay, telehadi","tebay, telehadi","maama, telehadi",inà,inà,inà,momò,inà,emà,inà,inay,momò,momò,momò,momò,momò,momò,inà,inay,inà,emà,inà,momò
6,0.08590927619874544,0.5982695885852573,0.5123603123865118,"hadi, telehadi","kakay, telehadi","hadi, telehadi","hadi, telehadi","hadi, telehadi","kakay, telehadi","tebay, telehadi","tebay, telehadi","maama, telehadi","maama, telehadi","tebay, telehadi","hadi, telehadi","hadi, telehadi","kakay, telehadi","maama, telehadi","maama, telehadi","maama, telehadi","kakay, telehadi","maama, telehadi","tebay, telehadi","maama, telehadi","hadi, telehadi","hadi, telehadi","tebay, telehadi","maama, telehadi","tebay, telehadi","tebay, telehadi","tebay, telehadi","tebay, telehadi","kakay, telehadi","maama, telehadi","kakay, telehadi","hadi, telehadi","kakay, telehadi","kakay, telehadi","tebay, telehadi","kakay, telehadi","hadi, telehadi",momò,momò,inà,momò,momò,momò,inà,inà,inà,inà,momò,emà,momò,inay,inà,emà,inà,inà,momò,inay
7,0.007016107555649187,1.0346012329101812,1.027585125354532,"tebay, telehadi","hadi, telehadi","tebay, telehadi","hadi, telehadi","kakay, telehadi","kakay, telehadi","hadi, telehadi","maama, telehadi","maama, telehadi","tebay, telehadi","tebay, telehadi","maama, telehadi","hadi, telehadi","kakay, telehadi","hadi, telehadi","hadi, telehadi","maama, telehadi","maama, telehadi","tebay, telehadi","kakay, telehadi","tebay, telehadi","maama, telehadi","kakay, telehadi","kakay, telehadi","hadi, telehadi","hadi, telehadi","hadi, telehadi","kakay, telehadi","tebay, telehadi","tebay, telehadi","kakay, telehadi","maama, telehadi","hadi, telehadi","tebay, telehadi","maama, telehadi","maama, telehadi","tebay, telehadi","kakay, telehadi",emà,momò,momò,inà,inay,inà,inà,momò,inà,momò,momò,inà,momò,inay,momò,emà,inà,inà,inà,momò
8,0.2120742666998533,0.6829081047004717,0.4708338380006184,"hadi, telehadi","maama, telehadi","hadi, telehadi","tebay, telehadi","maama, telehadi","kakay, telehadi","hadi, telehadi","tebay, telehadi","kakay, telehadi","tebay, telehadi","kakay, telehadi","kakay, telehadi","maama, telehadi","hadi, telehadi","maama, telehadi","kakay, telehadi","hadi, telehadi","hadi, telehadi","hadi, telehadi","kakay, telehadi","kakay, telehadi","tebay, telehadi","maama, telehadi","tebay, telehadi","maama, telehadi","kakay, telehadi","tebay, telehadi","maama, telehadi","tebay, telehadi","tebay, telehadi","hadi, telehadi","hadi, telehadi","maama, telehadi","tebay, telehadi","kakay, telehadi","hadi, telehadi","maama, telehadi","tebay, telehadi",inà,inà,momò,momò,inay,inà,inà,inà,inà,emà,inà,momò,momò,inay,momò,inà,momò,momò,emà,momò
9,0.24243302655595822,1.0346012329101812,0.792168206354223,"maama, telehadi","hadi, telehadi","kakay, telehadi","kakay, telehadi","maama, telehadi","tebay, telehadi","hadi, telehadi","maama, telehadi","tebay, telehadi","tebay, telehadi","maama, telehadi","tebay, telehadi","kakay, telehadi","maama, telehadi","kakay, telehadi","hadi, telehadi","hadi, telehadi","tebay, telehadi","kakay, telehadi","tebay, telehadi","hadi, telehadi","kakay, telehadi","maama, telehadi","tebay, telehadi","tebay, telehadi","kakay, telehadi","hadi, telehadi","maama, telehadi","maama, telehadi","hadi, telehadi","hadi, telehadi","hadi, telehadi","tebay, telehadi","tebay, telehadi","kakay, telehadi","kakay, telehadi","hadi, telehadi","maama, telehadi",momò,inà,inà,inay,inà,momò,emà,inay,momò,inà,inà,inà,inà,momò,momò,momò,momò,inà,emà,momò
