simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMZS,mFBD,mFZD,mMZD,fFBS,fFZS,fMZS,fFZD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMZeS,mMZyS,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFZeD,fFZyD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.35324497919598175,1.2873810864119712,0.9341361072159895,meteseli,munukuli,meteseli,meteseli,waawu,meteseli,waawu,bivian,"minyeneli, bivian",udun,waawu,bivian,munukuli,munukuli,waawu,waawu,waawu,bivian,bivian,waawu,meteseli,bivian,meteseli,udun,meteseli,meteseli,bivian,bivian,waawu,meteseli,waawu,minyeneli,bivian,meteseli,minyeneli,bivian,waawu,munukuli,waawu,bivian,munukuli,bivian,waawu,bivian,waawu,minyeneli,waawu,bivian,udun,meteseli,bivian,munukuli,minyeneli,bivian,bivian,minyeneli,udun,waawu,meteseli,bivian,udun,naana,naana,taata,taata,taata,syuk,nó,nó,syuk,taata,syuk,taata,naana,syuk,naana,naana,nó,nó,naana,taata
1,0.28577698578780786,1.3609210257155062,1.0751440399276984,"minyeneli, bivian",waawu,udun,waawu,minyeneli,bivian,minyeneli,meteseli,bivian,munukuli,meteseli,meteseli,meteseli,meteseli,bivian,bivian,meteseli,bivian,waawu,meteseli,meteseli,bivian,waawu,udun,bivian,minyeneli,udun,waawu,bivian,meteseli,munukuli,waawu,munukuli,bivian,waawu,bivian,waawu,waawu,waawu,bivian,waawu,waawu,udun,bivian,minyeneli,bivian,udun,bivian,munukuli,meteseli,bivian,minyeneli,waawu,waawu,bivian,waawu,munukuli,bivian,munukuli,meteseli,meteseli,nó,syuk,naana,syuk,syuk,nó,taata,taata,nó,taata,naana,taata,naana,naana,taata,taata,naana,naana,syuk,nó
2,0.3387519023036698,1.2730819176470884,0.9343300153434186,meteseli,meteseli,waawu,meteseli,bivian,minyeneli,waawu,udun,bivian,bivian,meteseli,udun,meteseli,waawu,bivian,minyeneli,waawu,bivian,waawu,munukuli,bivian,waawu,waawu,meteseli,bivian,waawu,waawu,bivian,"minyeneli, bivian",minyeneli,udun,udun,munukuli,waawu,munukuli,bivian,meteseli,meteseli,bivian,meteseli,meteseli,meteseli,waawu,waawu,bivian,udun,munukuli,minyeneli,bivian,munukuli,bivian,bivian,munukuli,bivian,waawu,waawu,meteseli,waawu,bivian,bivian,minyeneli,nó,naana,taata,taata,nó,nó,taata,nó,syuk,naana,taata,taata,naana,naana,syuk,syuk,naana,naana,syuk,taata
3,0.23003895296543742,1.3562197638269906,1.1261808108615532,minyeneli,waawu,bivian,meteseli,waawu,waawu,bivian,"minyeneli, bivian",waawu,minyeneli,waawu,munukuli,munukuli,bivian,udun,udun,waawu,minyeneli,waawu,bivian,udun,munukuli,waawu,waawu,waawu,meteseli,bivian,minyeneli,bivian,meteseli,udun,waawu,meteseli,bivian,bivian,minyeneli,meteseli,meteseli,meteseli,munukuli,waawu,bivian,waawu,udun,bivian,bivian,waawu,meteseli,bivian,waawu,bivian,meteseli,meteseli,bivian,munukuli,bivian,meteseli,munukuli,bivian,bivian,meteseli,naana,naana,naana,syuk,taata,nó,taata,nó,syuk,naana,nó,syuk,naana,taata,taata,nó,syuk,taata,naana,taata
4,0.34461531615457097,1.323381316510831,0.97876600035626,bivian,minyeneli,meteseli,bivian,meteseli,munukuli,waawu,waawu,waawu,munukuli,meteseli,meteseli,udun,meteseli,waawu,meteseli,munukuli,waawu,waawu,munukuli,bivian,meteseli,waawu,bivian,bivian,meteseli,bivian,meteseli,bivian,udun,waawu,bivian,minyeneli,waawu,udun,bivian,bivian,meteseli,waawu,bivian,bivian,bivian,bivian,bivian,udun,bivian,munukuli,waawu,waawu,meteseli,waawu,bivian,udun,waawu,minyeneli,minyeneli,"minyeneli, bivian",meteseli,minyeneli,munukuli,waawu,naana,naana,taata,taata,naana,syuk,syuk,taata,syuk,nó,nó,taata,taata,syuk,nó,naana,naana,naana,nó,taata
5,0.29719876154573843,1.296965859040697,0.9997670974949585,waawu,meteseli,waawu,waawu,minyeneli,meteseli,udun,meteseli,bivian,bivian,waawu,minyeneli,meteseli,munukuli,bivian,meteseli,bivian,bivian,bivian,waawu,meteseli,waawu,meteseli,waawu,waawu,munukuli,bivian,bivian,meteseli,bivian,meteseli,waawu,munukuli,minyeneli,bivian,waawu,bivian,bivian,munukuli,bivian,udun,waawu,bivian,bivian,"minyeneli, bivian",udun,meteseli,bivian,bivian,meteseli,waawu,waawu,munukuli,minyeneli,waawu,minyeneli,udun,meteseli,waawu,udun,munukuli,taata,taata,nó,taata,naana,nó,taata,naana,syuk,syuk,naana,naana,syuk,taata,syuk,nó,taata,naana,nó,naana
6,0.3105975768343283,1.3478519457868963,1.037254368952568,"minyeneli, bivian",waawu,minyeneli,meteseli,meteseli,meteseli,bivian,meteseli,meteseli,udun,meteseli,munukuli,waawu,udun,bivian,udun,meteseli,waawu,meteseli,waawu,munukuli,bivian,bivian,bivian,munukuli,minyeneli,munukuli,meteseli,munukuli,bivian,munukuli,waawu,meteseli,waawu,bivian,waawu,bivian,waawu,meteseli,minyeneli,waawu,minyeneli,waawu,waawu,minyeneli,bivian,bivian,bivian,waawu,bivian,bivian,bivian,waawu,bivian,waawu,udun,bivian,udun,waawu,bivian,meteseli,syuk,naana,taata,syuk,naana,taata,syuk,taata,naana,naana,naana,nó,nó,nó,syuk,taata,naana,taata,nó,taata
7,0.19935483777780183,1.3268016157117275,1.1274467779339257,bivian,waawu,minyeneli,meteseli,meteseli,udun,meteseli,waawu,bivian,munukuli,minyeneli,waawu,waawu,waawu,munukuli,bivian,bivian,bivian,munukuli,waawu,minyeneli,waawu,bivian,meteseli,bivian,meteseli,bivian,munukuli,meteseli,waawu,waawu,meteseli,bivian,meteseli,meteseli,munukuli,waawu,bivian,bivian,bivian,udun,udun,meteseli,meteseli,waawu,udun,minyeneli,waawu,bivian,waawu,bivian,munukuli,"minyeneli, bivian",bivian,bivian,meteseli,bivian,waawu,minyeneli,udun,waawu,nó,naana,syuk,naana,taata,taata,taata,naana,naana,syuk,syuk,nó,taata,naana,taata,naana,nó,nó,syuk,taata
8,0.3874942892282016,1.381556170941736,0.9940618817135345,munukuli,minyeneli,minyeneli,bivian,udun,meteseli,meteseli,udun,meteseli,bivian,waawu,bivian,meteseli,waawu,bivian,meteseli,bivian,bivian,"minyeneli, bivian",munukuli,waawu,meteseli,meteseli,meteseli,udun,waawu,bivian,meteseli,munukuli,udun,munukuli,waawu,waawu,waawu,munukuli,meteseli,bivian,bivian,waawu,bivian,waawu,bivian,bivian,bivian,waawu,meteseli,minyeneli,munukuli,bivian,minyeneli,minyeneli,bivian,waawu,meteseli,waawu,bivian,waawu,waawu,udun,bivian,waawu,syuk,syuk,naana,taata,nó,taata,naana,nó,naana,naana,nó,nó,syuk,taata,naana,syuk,taata,taata,naana,taata
9,0.3404723741434652,1.336669035190414,0.9961966610469488,bivian,bivian,waawu,"minyeneli, bivian",udun,waawu,meteseli,munukuli,munukuli,minyeneli,udun,bivian,meteseli,meteseli,waawu,waawu,udun,waawu,udun,waawu,waawu,bivian,waawu,meteseli,meteseli,minyeneli,waawu,minyeneli,munukuli,meteseli,waawu,bivian,minyeneli,udun,minyeneli,bivian,bivian,munukuli,bivian,waawu,bivian,bivian,meteseli,munukuli,waawu,bivian,bivian,meteseli,bivian,waawu,meteseli,waawu,bivian,munukuli,waawu,meteseli,meteseli,meteseli,bivian,bivian,bivian,taata,taata,syuk,naana,nó,nó,syuk,naana,taata,taata,nó,naana,naana,taata,naana,naana,syuk,syuk,nó,taata
