simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.14341200076168037,1.0346012329101812,0.8911892321485009,wawurd,wulkûn,wawurd,yabok,"kom, bandji, barnka","kom, bandji, barnka",wulkûn,"kom, bandji, barnka",yabok,yabok,wulkûn,"kom, bandji, barnka",wulkûndjan,"kom, bandji, barnka",wulkûndjan,"birrwoyin, bandji, barnka","kom, bandji, barnka",wulkûn,"kom, bandji, barnka",yabok,yabok,yabok,wulkûn,"kom, bandji, barnka",yabok,wulkûn,"birrwoyin, bandji, barnka","birrwoyin, bandji, barnka","kom, bandji, barnka",yabok,yabok,wulkûndjan,wulkûn,"kom, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka","birrwoyin, bandji, barnka",wulkûn,bulu,djongok,bulu,nah,djongok,"mulah, morlah","nabadjan, kardak",nah,nah,bulu,bulu,bulu,djongok,kardak,nah,"nabadjan, kardak",bulu,"mulah, morlah","nabadjan, kardak",djongok
1,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,wulkûndjan,wawurd,yabok,"birrwoyin, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka",yabok,wulkûn,"kom, bandji, barnka",wulkûn,wulkûn,wulkûn,"kom, bandji, barnka","kom, bandji, barnka",yabok,"birrwoyin, bandji, barnka",wulkûndjan,"birrwoyin, bandji, barnka",yabok,"birrwoyin, bandji, barnka",yabok,"kom, bandji, barnka","kom, bandji, barnka",yabok,wulkûn,"kom, bandji, barnka",yabok,"kom, bandji, barnka",wulkûn,yabok,wulkûn,yabok,wulkûndjan,wawurd,wulkûn,"nabadjan, kardak","mulah, morlah","nabadjan, kardak","mulah, morlah","nabadjan, kardak",bulu,bulu,bulu,djongok,djongok,djongok,nah,nah,nah,bulu,djongok,kardak,bulu,bulu,nah
2,0.08878194993480482,1.376055285260417,1.2872733353256123,wulkûn,wulkûndjan,yabok,yabok,wawurd,wawurd,wulkûn,"kom, bandji, barnka",yabok,"birrwoyin, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka",yabok,"kom, bandji, barnka",wulkûn,"kom, bandji, barnka",wulkûn,"birrwoyin, bandji, barnka",yabok,yabok,"kom, bandji, barnka","kom, bandji, barnka","birrwoyin, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka",wulkûn,wulkûndjan,wulkûn,"kom, bandji, barnka","birrwoyin, bandji, barnka","kom, bandji, barnka",yabok,wulkûn,yabok,wulkûndjan,wulkûn,yabok,"nabadjan, kardak",djongok,bulu,nah,bulu,"nabadjan, kardak",djongok,kardak,nah,djongok,bulu,"mulah, morlah","nabadjan, kardak",nah,bulu,"mulah, morlah",bulu,nah,bulu,djongok
3,0.0443909749674023,1.034601232910181,0.9902102579427787,yabok,yabok,wawurd,wulkûn,"birrwoyin, bandji, barnka","birrwoyin, bandji, barnka",wulkûn,"kom, bandji, barnka","birrwoyin, bandji, barnka",wulkûndjan,wulkûn,yabok,"kom, bandji, barnka",wulkûn,wulkûndjan,wulkûndjan,"kom, bandji, barnka","kom, bandji, barnka",yabok,wulkûn,"kom, bandji, barnka",wulkûn,yabok,"kom, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka",wulkûn,wawurd,"kom, bandji, barnka",wulkûn,"kom, bandji, barnka",yabok,"birrwoyin, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka",yabok,yabok,yabok,djongok,nah,"mulah, morlah",nah,djongok,bulu,"mulah, morlah",bulu,kardak,nah,"nabadjan, kardak",djongok,djongok,bulu,bulu,nah,"nabadjan, kardak",bulu,bulu,"nabadjan, kardak"
4,0.14341200076168026,1.0346012329101812,0.891189232148501,"birrwoyin, bandji, barnka","kom, bandji, barnka",wawurd,"kom, bandji, barnka","kom, bandji, barnka",yabok,"kom, bandji, barnka","kom, bandji, barnka",wulkûn,"kom, bandji, barnka",wulkûndjan,wulkûn,yabok,"birrwoyin, bandji, barnka",yabok,yabok,yabok,"birrwoyin, bandji, barnka",wulkûn,yabok,"birrwoyin, bandji, barnka",wulkûn,"kom, bandji, barnka",wulkûn,wulkûn,yabok,"kom, bandji, barnka",wulkûn,wawurd,"kom, bandji, barnka","kom, bandji, barnka",wulkûndjan,wulkûn,yabok,yabok,"kom, bandji, barnka","kom, bandji, barnka",wulkûndjan,bulu,"nabadjan, kardak",kardak,"nabadjan, kardak","nabadjan, kardak",djongok,bulu,"mulah, morlah",djongok,nah,bulu,bulu,djongok,nah,djongok,bulu,"mulah, morlah",nah,nah,bulu
5,0.2120742666998534,1.0789922078775833,0.8669179411777299,yabok,"birrwoyin, bandji, barnka",yabok,wulkûndjan,"kom, bandji, barnka",yabok,"kom, bandji, barnka","birrwoyin, bandji, barnka",wawurd,"kom, bandji, barnka",yabok,"kom, bandji, barnka",wulkûn,wulkûn,wulkûn,wulkûn,yabok,wulkûn,yabok,"kom, bandji, barnka",wulkûndjan,"kom, bandji, barnka","kom, bandji, barnka",wulkûndjan,"kom, bandji, barnka",wulkûn,wawurd,"birrwoyin, bandji, barnka","birrwoyin, bandji, barnka",yabok,yabok,"kom, bandji, barnka",yabok,"kom, bandji, barnka","kom, bandji, barnka",wulkûn,wulkûn,"kom, bandji, barnka",bulu,bulu,djongok,kardak,"nabadjan, kardak",nah,nah,bulu,"mulah, morlah",bulu,djongok,"nabadjan, kardak",bulu,djongok,djongok,"nabadjan, kardak",nah,nah,bulu,"mulah, morlah"
6,0.4848660531119159,0.6829081047004717,0.19804205158855578,yabok,"kom, bandji, barnka",wulkûn,yabok,"kom, bandji, barnka",wulkûn,wulkûndjan,wulkûn,yabok,"kom, bandji, barnka",wulkûndjan,"kom, bandji, barnka",wulkûn,wawurd,"birrwoyin, bandji, barnka","kom, bandji, barnka",wawurd,"kom, bandji, barnka","birrwoyin, bandji, barnka",yabok,yabok,yabok,wulkûn,yabok,"kom, bandji, barnka","birrwoyin, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka",yabok,wulkûn,"kom, bandji, barnka",wulkûn,wulkûn,"birrwoyin, bandji, barnka",wulkûndjan,yabok,"kom, bandji, barnka",bulu,bulu,djongok,djongok,kardak,"nabadjan, kardak",bulu,nah,djongok,nah,"nabadjan, kardak",bulu,nah,"nabadjan, kardak",bulu,"mulah, morlah",djongok,"mulah, morlah",nah,bulu
7,0.06679396821673317,0.5195798391305154,0.45278587091378225,wulkûn,"kom, bandji, barnka",wulkûn,yabok,"kom, bandji, barnka","kom, bandji, barnka","birrwoyin, bandji, barnka",yabok,"kom, bandji, barnka",wawurd,"kom, bandji, barnka",wulkûn,yabok,wulkûndjan,yabok,wulkûn,yabok,wulkûn,wulkûndjan,yabok,"birrwoyin, bandji, barnka","birrwoyin, bandji, barnka",wulkûn,yabok,yabok,"kom, bandji, barnka",wulkûndjan,"kom, bandji, barnka",wulkûn,wawurd,"birrwoyin, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka",yabok,"kom, bandji, barnka",wulkûn,"kom, bandji, barnka",bulu,nah,bulu,bulu,bulu,kardak,bulu,nah,nah,djongok,djongok,djongok,"nabadjan, kardak","mulah, morlah",nah,"nabadjan, kardak","nabadjan, kardak",bulu,djongok,"mulah, morlah"
8,0.484866053111916,1.0789922078775833,0.5941261547656673,wulkûndjan,yabok,"kom, bandji, barnka",wulkûn,"birrwoyin, bandji, barnka",yabok,wulkûn,"kom, bandji, barnka",wulkûn,wulkûn,wulkûn,wulkûn,wawurd,"kom, bandji, barnka",wulkûn,"kom, bandji, barnka",yabok,"kom, bandji, barnka","birrwoyin, bandji, barnka","kom, bandji, barnka",yabok,"birrwoyin, bandji, barnka",wulkûndjan,"birrwoyin, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka",yabok,"kom, bandji, barnka",wawurd,yabok,"kom, bandji, barnka",yabok,yabok,wulkûndjan,"kom, bandji, barnka","kom, bandji, barnka",wulkûn,yabok,bulu,bulu,"nabadjan, kardak",djongok,djongok,djongok,djongok,nah,"nabadjan, kardak","nabadjan, kardak",nah,"mulah, morlah","mulah, morlah",kardak,bulu,bulu,nah,bulu,nah,bulu
9,0.007016107555648965,1.0346012329101812,1.0275851253545323,wulkûn,yabok,wulkûn,"kom, bandji, barnka",yabok,"kom, bandji, barnka",yabok,wulkûndjan,yabok,wulkûndjan,"kom, bandji, barnka",wulkûn,"birrwoyin, bandji, barnka",wulkûn,"kom, bandji, barnka",wulkûndjan,yabok,yabok,yabok,"birrwoyin, bandji, barnka","kom, bandji, barnka",wulkûn,"birrwoyin, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka",yabok,yabok,wawurd,wulkûn,wulkûn,"birrwoyin, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka","kom, bandji, barnka",wawurd,"kom, bandji, barnka",wulkûn,bulu,"mulah, morlah",nah,bulu,kardak,djongok,bulu,bulu,"nabadjan, kardak",djongok,"nabadjan, kardak",nah,bulu,"mulah, morlah",djongok,bulu,djongok,nah,"nabadjan, kardak",nah
