simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.10454820740182158,1.1203228140548949,1.0157746066530733,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄e,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,nikʼel uc̄e,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,šiq’an,dat̄iq’ar,niš,šiq’an,dat̄iq’ar,šiq’an,šiq’an,dat̄iq’ar,dat̄e,niš,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an,dat̄e,dat̄iq’ar,dat̄iq’ar,šiq’an,šiq’an,šiq’an,šiq’an,šiq’an,dat̄iq’ar,dat̄iq’ar,šiq’an
1,0.043334664064452744,1.1201846896171466,1.0768500255526938,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,šiq’an,niš,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄e,dat̄iq’ar,dat̄iq’ar,dat̄e,šiq’an,šiq’an,dat̄iq’ar,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄iq’ar,niš,dat̄iq’ar,šiq’an,šiq’an,šiq’an,dat̄iq’ar,dat̄iq’ar,šiq’an,šiq’an,šiq’an,dat̄iq’ar
2,0.08282193382091974,1.1811499369064222,1.0983280030855025,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄e,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,šiq’an,niš,dat̄iq’ar,dat̄e,niš,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an,dat̄e,šiq’an,šiq’an,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,šiq’an,šiq’an,dat̄iq’ar,dat̄iq’ar
3,0.07510134501877042,1.0472879586365091,0.9721866136177387,uc̄e,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,šiq’an,šiq’an,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,niš,šiq’an,dat̄e,dat̄e,dat̄iq’ar,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an,šiq’an,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄iq’ar,niš,šiq’an
4,0.08124234121247564,1.1651534288302492,1.0839110876177735,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,uc̄e,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄e,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,šiq’an,dat̄e,niš,dat̄iq’ar,šiq’an,šiq’an,šiq’an,šiq’an,dat̄iq’ar,dat̄iq’ar,šiq’an,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄e,šiq’an,niš,dat̄iq’ar,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄iq’ar
5,0.09682858059606025,1.0794762220443754,0.9826476414483152,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,šiq’an,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄iq’ar,šiq’an,dat̄e,dat̄iq’ar,dat̄iq’ar,šiq’an,niš,šiq’an,šiq’an,dat̄iq’ar,šiq’an,dat̄e,šiq’an,šiq’an,šiq’an,šiq’an,dat̄iq’ar,dat̄iq’ar,niš,dat̄iq’ar,šiq’an
6,0.12556957994679352,1.0294709284964414,0.9039013485496479,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,šiq’an,dat̄iq’ar,šiq’an,šiq’an,dat̄iq’ar,šiq’an,dat̄e,šiq’an,dat̄iq’ar,šiq’an,šiq’an,šiq’an,šiq’an,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,niš,dat̄e,niš,šiq’an,dat̄iq’ar,dat̄iq’ar
7,0.04718666577466113,1.1175588410455677,1.0703721752709066,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄iq’ar,dat̄e,dat̄iq’ar,dat̄iq’ar,šiq’an,šiq’an,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄iq’ar,šiq’an,niš,dat̄iq’ar,dat̄e,niš,šiq’an,šiq’an,šiq’an,dat̄iq’ar,šiq’an,šiq’an,šiq’an
8,0.0520445546452577,1.0794762220443754,1.0274316673991177,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,nikʼel ruc̄e,ruc̄iq’ar,dat̄iq’ar,dat̄e,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄e,šiq’an,niš,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,šiq’an,šiq’an,dat̄iq’ar,šiq’an,šiq’an,dat̄iq’ar,šiq’an,šiq’an,šiq’an,dat̄iq’ar,šiq’an,niš,dat̄iq’ar,dat̄iq’ar
9,0.08166079670018456,1.1247324941389025,1.043071697438718,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄iq’ar,nikʼel ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,uc̄e,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,nikʼel uc̄e,uc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄e,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,ruc̄iq’ar,dat̄e,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,niš,šiq’an,dat̄iq’ar,dat̄iq’ar,šiq’an,šiq’an,šiq’an,šiq’an,šiq’an,šiq’an,dat̄iq’ar,šiq’an,dat̄iq’ar,dat̄iq’ar,dat̄iq’ar,šiq’an,šiq’an,dat̄iq’ar,šiq’an,šiq’an,dat̄e,dat̄iq’ar,niš,dat̄iq’ar
