simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFB,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,mMB,mMeB,mMyB,fMB,fMeB,fMyB
0,0.22604967619610772,1.366158847569202,1.1401091713730942,marang,ngaburru,maRu,ngaburru,ngaburru,miganh,miganh,wuyiru,wuyiru,ngaburru,maRu,marang,nhaya,ngaya,ngamu,nhaya,ngaya,bindir,nhaya,ngamu,bindir,ngamu,ngamu,bindir,bina,bina,ngamu,bindir,bina,nhaya,bina,nhaya,ngamu,nhaya,bina,bindir,bina,bina,bindir,bina
1,0.17863613710860715,1.366158847569202,1.1875227104605948,miganh,marang,maRu,ngaburru,wuyiru,ngaburru,ngaburru,wuyiru,maRu,miganh,ngaburru,marang,bina,ngamu,bindir,bindir,nhaya,ngamu,bina,bina,nhaya,ngamu,nhaya,bindir,nhaya,ngamu,ngamu,bindir,ngamu,bina,bina,bindir,bina,bina,nhaya,ngaya,ngaya,bindir,nhaya,bina
2,0.465067512841273,1.0888999753452238,0.6238324625039507,ngaburru,wuyiru,maRu,maRu,ngaburru,marang,wuyiru,marang,miganh,ngaburru,miganh,ngaburru,bina,nhaya,ngamu,bindir,bina,bina,nhaya,ngamu,ngaya,bina,ngamu,bindir,bindir,bindir,nhaya,bina,ngaya,ngamu,bina,nhaya,bindir,nhaya,ngamu,bina,ngamu,bina,nhaya,bindir
3,0.1489175579692611,0.5004024235381879,0.3514848655689268,wuyiru,ngaburru,marang,ngaburru,ngaburru,wuyiru,marang,miganh,maRu,ngaburru,miganh,maRu,bina,bina,ngamu,ngamu,ngamu,bindir,bindir,nhaya,bindir,bindir,nhaya,bindir,bina,bina,nhaya,bina,bindir,bina,ngamu,nhaya,ngamu,ngaya,nhaya,nhaya,bina,ngaya,ngamu,bina
4,0.5726232664760806,1.0888999753452238,0.5162767088691431,ngaburru,ngaburru,ngaburru,ngaburru,maRu,miganh,miganh,marang,wuyiru,wuyiru,marang,maRu,nhaya,bindir,ngamu,nhaya,nhaya,ngamu,nhaya,bina,ngaya,bina,bina,bina,bina,bindir,bindir,bindir,bina,bindir,nhaya,nhaya,ngamu,ngamu,bina,ngamu,bina,ngaya,ngamu,bindir
5,0.18780864061729485,1.0888999753452238,0.9010913347279289,miganh,maRu,ngaburru,wuyiru,marang,ngaburru,maRu,miganh,marang,ngaburru,ngaburru,wuyiru,ngamu,bina,bindir,nhaya,bina,ngamu,bina,nhaya,nhaya,ngamu,bina,ngaya,ngaya,ngamu,bindir,nhaya,bina,bindir,bindir,bina,bina,bindir,bina,nhaya,bindir,ngamu,ngamu,nhaya
6,0.12856167933664464,1.0296530140645737,0.901091334727929,ngaburru,miganh,maRu,marang,ngaburru,ngaburru,wuyiru,marang,ngaburru,miganh,maRu,wuyiru,bina,bindir,bindir,bina,nhaya,nhaya,bina,bina,nhaya,ngamu,nhaya,ngaya,bina,bindir,bindir,bina,bina,ngamu,bindir,nhaya,nhaya,bina,ngamu,ngaya,bindir,ngamu,ngamu,ngamu
7,0.4558950093325853,1.366158847569202,0.9102638382366166,maRu,marang,maRu,ngaburru,wuyiru,wuyiru,miganh,ngaburru,miganh,ngaburru,marang,ngaburru,ngaya,bina,bina,bina,ngamu,nhaya,nhaya,ngaya,bindir,bina,bina,bindir,nhaya,bina,ngamu,ngamu,bindir,ngamu,ngamu,nhaya,ngamu,bindir,bindir,bindir,bina,bina,nhaya,nhaya
8,0.29536439425210237,0.9502705392332347,0.6549061449811323,miganh,ngaburru,ngaburru,maRu,miganh,marang,wuyiru,marang,ngaburru,ngaburru,wuyiru,maRu,bina,bina,nhaya,bina,nhaya,bindir,bina,bindir,nhaya,bina,bina,nhaya,ngamu,ngamu,ngaya,ngamu,ngamu,bina,bina,bindir,bindir,nhaya,ngamu,ngaya,ngamu,nhaya,bindir,bindir
9,0.17863613710860715,1.366158847569202,1.1875227104605948,miganh,marang,ngaburru,ngaburru,maRu,wuyiru,ngaburru,wuyiru,marang,miganh,maRu,ngaburru,ngaya,bina,ngamu,bindir,bina,ngamu,ngamu,bina,bindir,bina,bina,bindir,ngamu,bina,bindir,ngamu,nhaya,ngamu,bindir,ngaya,bindir,bina,nhaya,nhaya,nhaya,bina,nhaya,nhaya
