simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,mFBS,mMBS,mMZS,mMBD,mMZD,fFBS,fMBS,fMZS,fMBD,fMZD,mFeBS,mFyBS,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.08756680388579596,1.6485105611114483,1.5609437572256524,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,tasina,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,tasina,nibana,nibana,tasina,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,tasina,tasina,tasina,nibana,nibana,nibana,"edeyana, yayana","tamana, ana toenatuna",wana,sinana,wana,tamana,"sinana, ana toenatuna",tamana,"edeyana, yayana",sinana,tamana,sinana,wana,"tamana, ana toenatuna","edeyana, yayana",wana,"edeyana, yayana",tamana,"sinana, ana toenatuna",sinana
1,0.11787088938123813,1.697867120223806,1.579996230842568,nibana,nibana,tasina,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,tasina,nibana,tasina,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,tasina,nibana,nibana,tasina,nibana,nibana,nibana,nibana,tasina,nibana,tasina,nibana,tasina,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tamana,wana,"sinana, ana toenatuna",sinana,"edeyana, yayana",sinana,wana,wana,"edeyana, yayana","tamana, ana toenatuna",sinana,tamana,"edeyana, yayana","sinana, ana toenatuna","tamana, ana toenatuna",tamana,sinana,tamana,wana,"edeyana, yayana"
2,0.1427685212241847,1.6105390567543458,1.4677705355301611,nibana,nibana,nibana,nibana,nibana,tasina,nibana,tasina,nibana,nibana,nibana,tasina,tasina,nibana,tasina,nibana,nibana,nibana,tasina,tasina,tasina,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,tasina,tasina,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,wana,"sinana, ana toenatuna",wana,wana,"edeyana, yayana",sinana,"edeyana, yayana","edeyana, yayana","sinana, ana toenatuna",sinana,wana,tamana,sinana,tamana,"edeyana, yayana","tamana, ana toenatuna",tamana,"tamana, ana toenatuna",tamana,sinana
3,0.14033560261428657,1.6256022677061268,1.4852666650918402,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,tasina,nibana,tasina,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,tasina,nibana,tasina,nibana,nibana,nibana,nibana,tasina,tasina,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,tasina,nibana,tasina,nibana,nibana,tasina,"edeyana, yayana","edeyana, yayana",tamana,"tamana, ana toenatuna",wana,"tamana, ana toenatuna","edeyana, yayana","sinana, ana toenatuna",tamana,sinana,tamana,wana,sinana,"sinana, ana toenatuna",sinana,tamana,wana,sinana,wana,"edeyana, yayana"
4,0.14567242872095498,1.6987201801278395,1.5530477514068846,tasina,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,tasina,tasina,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,tasina,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,tasina,nibana,tasina,nibana,nibana,nibana,nibana,tasina,nibana,sinana,"tamana, ana toenatuna",sinana,"edeyana, yayana","tamana, ana toenatuna",wana,"edeyana, yayana","edeyana, yayana","edeyana, yayana",tamana,sinana,tamana,wana,"sinana, ana toenatuna",tamana,tamana,wana,wana,"sinana, ana toenatuna",sinana
5,0.11695882296318172,1.7482487987285875,1.6312899757654058,nibana,nibana,tasina,nibana,nibana,nibana,tasina,nibana,tasina,nibana,tasina,nibana,tasina,nibana,nibana,nibana,tasina,nibana,tasina,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,tasina,tasina,nibana,nibana,nibana,nibana,nibana,tasina,wana,"tamana, ana toenatuna","edeyana, yayana","sinana, ana toenatuna",tamana,sinana,tamana,tamana,sinana,"tamana, ana toenatuna","edeyana, yayana",wana,wana,sinana,"edeyana, yayana",sinana,"edeyana, yayana","sinana, ana toenatuna",tamana,wana
6,0.18022691333659813,1.739111163061236,1.5588842497246378,nibana,nibana,nibana,nibana,nibana,nibana,tasina,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,tasina,tasina,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,tasina,tasina,nibana,nibana,tasina,nibana,nibana,nibana,nibana,tasina,nibana,nibana,tasina,nibana,tasina,tasina,"edeyana, yayana","sinana, ana toenatuna",wana,tamana,tamana,sinana,sinana,wana,"tamana, ana toenatuna",wana,sinana,"edeyana, yayana",sinana,tamana,"edeyana, yayana","tamana, ana toenatuna","sinana, ana toenatuna","edeyana, yayana",wana,tamana
7,0.08599071311877537,1.7200320412828818,1.6340413281641064,nibana,nibana,nibana,tasina,tasina,nibana,tasina,nibana,tasina,tasina,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,tasina,nibana,nibana,tasina,nibana,nibana,nibana,tasina,tasina,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,wana,sinana,wana,"edeyana, yayana","edeyana, yayana","edeyana, yayana",tamana,wana,tamana,sinana,sinana,tamana,wana,"edeyana, yayana",tamana,"tamana, ana toenatuna","sinana, ana toenatuna","tamana, ana toenatuna","sinana, ana toenatuna",sinana
8,0.17511307008354748,1.6624893469606845,1.487376276877137,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,tasina,nibana,nibana,tasina,tasina,nibana,nibana,nibana,tasina,nibana,tasina,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,tasina,nibana,nibana,tasina,tasina,nibana,nibana,tasina,nibana,nibana,sinana,"edeyana, yayana","edeyana, yayana",sinana,wana,"edeyana, yayana","edeyana, yayana","tamana, ana toenatuna",wana,tamana,tamana,tamana,"sinana, ana toenatuna",sinana,wana,wana,sinana,"tamana, ana toenatuna",tamana,"sinana, ana toenatuna"
9,0.18854384745250186,1.7499582839532337,1.5614144365007319,nibana,tasina,nibana,nibana,tasina,nibana,nibana,nibana,nibana,tasina,tasina,nibana,nibana,tasina,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,tasina,nibana,nibana,nibana,nibana,tasina,nibana,tasina,nibana,nibana,nibana,nibana,tasina,tasina,nibana,nibana,nibana,nibana,nibana,nibana,nibana,nibana,tasina,nibana,nibana,nibana,nibana,tamana,sinana,"edeyana, yayana","edeyana, yayana",tamana,"edeyana, yayana","sinana, ana toenatuna","edeyana, yayana",wana,sinana,wana,"tamana, ana toenatuna",wana,wana,sinana,tamana,sinana,"sinana, ana toenatuna","tamana, ana toenatuna",tamana
