simulation_number,mutual_information,entropy,conditional_entropy,mZ,mMBD,mMZD,mMBS,mMZS,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fMBD,fMZD,fMBS,fMZS,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,meB,myB,meZ,myZ,mFBS,mFZS,mFeBS,mFyBS,mFeZS,mFyZS,mFBeS,mFByS,mFZeS,mFZyS,fZ,feB,fyB,feZ,fyZ,fFBS,fFZS,fFeBS,fFyBS,fFeZS,fFyZS,fFBeS,fFByS,fFZeS,fFZyS,mF,mM,mFZ,mMB,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mFB,mFeB,mFyB,fFB,fFeB,fFyB
0,0.2521037590188815,1.7031332727091435,1.451029513690262,mulalo,mulalo,mulalo,mulalo,mulalo,múnayeye̱,mulalo,bána na bána,mulalo,múnasángo boso,mulalo,mola,múnayeye̱,mola,mulalo,mulalo,bána na bána,mulalo,múnayeye̱,mulalo,mulalo,mulalo,mulalo,mulalo,múnasángo ngoka,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,bána na bána,mulalo,bána na bána,mulalo,múnasángo ngoka,mola,mulalo,mola,múnayeye̱,mola,mola,bána na bána,mulalo,múnasángo ngoka,mulalo,mola,mulalo,bána na bána,bána na bána,mola,mulalo,múnasángo ngoka,múnasángo boso,múnasángo boso,mola,mulalo,mulalo,múnasángo boso,mulalo,bána na bána,mulalo,mulalo,mulalo,mulalo,mola,bána na bána,ǹangó ińsadi,ǹangó nusadi,sángó nusadi,mulál'a tokitoki,ńongo,ǹangó nusadi,sángó nusadi,ǹangó ińsadi,mulál'a tokitoki,ǹangó ińsadi,ǹangó nusadi,sángó,ǹangó ińsadi,sángó nusadi,mulál'a tokitoki,sángó nusadi,ǹangó ińsadi,ǹangó nusadi,ǹangó ińsadi,sángó,sángó nusadi,mulál'a tokitoki,mulál'a tokitoki,ǹangó nusadi,ńongo,mulál'a tokitoki,ǹangó nusadi,sángó nusadi
1,0.18996418092133727,1.7485146652481052,1.558550484326768,mulalo,múnayeye̱,bána na bána,mulalo,mulalo,múnasángo boso,bána na bána,bána na bána,bána na bána,múnasángo ngoka,mulalo,mulalo,mulalo,mulalo,mulalo,múnayeye̱,mulalo,mulalo,mola,mulalo,múnayeye̱,mulalo,mulalo,mola,bána na bána,mulalo,mulalo,múnasángo ngoka,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,bána na bána,múnasángo ngoka,múnasángo boso,mola,mola,mulalo,mulalo,múnayeye̱,múnasángo boso,mulalo,bána na bána,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,mola,mulalo,mulalo,mulalo,mola,mulalo,múnasángo boso,bána na bána,mulalo,mulalo,mola,múnasángo ngoka,mulalo,mulalo,mola,mulalo,mola,bána na bána,mola,ńongo,mulál'a tokitoki,mulál'a tokitoki,ǹangó ińsadi,ǹangó nusadi,ǹangó nusadi,ǹangó nusadi,ńongo,mulál'a tokitoki,ǹangó ińsadi,sángó nusadi,sángó,sángó nusadi,ǹangó ińsadi,sángó,mulál'a tokitoki,mulál'a tokitoki,ǹangó nusadi,ǹangó ińsadi,sángó nusadi,sángó nusadi,sángó nusadi,sángó nusadi,ǹangó nusadi,ǹangó ińsadi,ǹangó ińsadi,ǹangó nusadi,mulál'a tokitoki
2,0.1955926713250269,1.6908612054543526,1.4952685341293257,mulalo,mulalo,mulalo,mulalo,múnayeye̱,mulalo,mulalo,mulalo,mulalo,mola,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,mola,mulalo,mulalo,bána na bána,bána na bána,mulalo,mulalo,mulalo,mola,múnasángo ngoka,mola,mulalo,múnasángo boso,bána na bána,múnayeye̱,múnasángo boso,mulalo,múnayeye̱,mulalo,mulalo,múnasángo ngoka,mola,mulalo,múnasángo boso,mola,mulalo,mulalo,mulalo,mulalo,múnasángo ngoka,bána na bána,mulalo,mulalo,mulalo,mola,mulalo,mola,múnasángo ngoka,bána na bána,bána na bána,mulalo,mola,múnasángo boso,múnayeye̱,bána na bána,mulalo,mola,mulalo,bána na bána,bána na bána,mulalo,mulalo,mulalo,mulál'a tokitoki,ǹangó ińsadi,sángó nusadi,ǹangó nusadi,ǹangó nusadi,ǹangó ińsadi,ǹangó ińsadi,sángó nusadi,mulál'a tokitoki,ǹangó nusadi,sángó,sángó,mulál'a tokitoki,ǹangó nusadi,sángó nusadi,ǹangó ińsadi,ǹangó nusadi,sángó nusadi,ńongo,ǹangó nusadi,sángó nusadi,ǹangó ińsadi,mulál'a tokitoki,mulál'a tokitoki,ǹangó ińsadi,ńongo,sángó nusadi,mulál'a tokitoki
3,0.22248450467149206,1.7039678319635454,1.4814833272920533,múnasángo ngoka,mulalo,mulalo,mulalo,bána na bána,mola,mulalo,mola,mulalo,mulalo,bána na bána,mulalo,mulalo,mulalo,mola,mulalo,mulalo,bána na bána,mulalo,múnasángo boso,mulalo,mola,mulalo,mola,mulalo,múnasángo boso,mulalo,múnayeye̱,mulalo,mulalo,múnasángo ngoka,mulalo,mulalo,mulalo,mulalo,múnasángo ngoka,mulalo,mulalo,mulalo,mulalo,mola,múnayeye̱,bána na bána,múnayeye̱,mola,mulalo,mulalo,mulalo,mulalo,múnasángo boso,mulalo,mulalo,mulalo,múnasángo boso,mola,mulalo,mola,mulalo,mulalo,bána na bána,mulalo,bána na bána,bána na bána,mulalo,bána na bána,bána na bána,múnasángo ngoka,mulalo,múnayeye̱,mola,mulalo,ǹangó ińsadi,ńongo,ńongo,mulál'a tokitoki,mulál'a tokitoki,mulál'a tokitoki,ǹangó nusadi,sángó nusadi,sángó nusadi,ǹangó nusadi,mulál'a tokitoki,sángó nusadi,ǹangó nusadi,ǹangó ińsadi,sángó,mulál'a tokitoki,ǹangó ińsadi,ǹangó ińsadi,ǹangó nusadi,mulál'a tokitoki,sángó nusadi,ǹangó nusadi,ǹangó ińsadi,ǹangó nusadi,ǹangó ińsadi,sángó nusadi,sángó,sángó nusadi
4,0.14585977419222806,1.6346699638912316,1.4888101896990036,múnasángo boso,múnasángo boso,mola,bána na bána,mola,mulalo,mulalo,bána na bána,múnasángo boso,mulalo,mulalo,mola,mulalo,múnasángo ngoka,bána na bána,bána na bána,múnasángo boso,mulalo,mulalo,mulalo,mulalo,mulalo,mola,mulalo,mulalo,mola,bána na bána,múnayeye̱,mulalo,mulalo,bána na bána,mola,mulalo,múnasángo ngoka,mulalo,mulalo,múnayeye̱,mulalo,mulalo,mulalo,mulalo,mulalo,múnasángo ngoka,mulalo,mola,mulalo,mulalo,bána na bána,mulalo,mulalo,mulalo,mola,mola,mola,múnayeye̱,mulalo,mulalo,bána na bána,mulalo,mulalo,mulalo,múnayeye̱,mulalo,múnasángo ngoka,mulalo,bána na bána,mulalo,mulalo,mulalo,mulalo,mulalo,ǹangó nusadi,sángó nusadi,sángó nusadi,ǹangó ińsadi,mulál'a tokitoki,sángó,ǹangó nusadi,ǹangó nusadi,sángó nusadi,ǹangó ińsadi,sángó,ńongo,mulál'a tokitoki,sángó nusadi,mulál'a tokitoki,ǹangó nusadi,ǹangó ińsadi,ǹangó ińsadi,sángó nusadi,mulál'a tokitoki,mulál'a tokitoki,mulál'a tokitoki,ǹangó ińsadi,sángó nusadi,ǹangó nusadi,ǹangó ińsadi,ńongo,ǹangó nusadi
5,0.2268512678339285,1.6120459208207973,1.3851946529868688,múnasángo boso,mulalo,mulalo,mulalo,bána na bána,mola,mulalo,múnasángo boso,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,mola,mulalo,mola,mola,mulalo,mulalo,mulalo,mulalo,mulalo,múnasángo ngoka,múnayeye̱,bána na bána,bána na bána,bána na bána,múnayeye̱,mulalo,mulalo,mulalo,mola,mulalo,mulalo,mulalo,mulalo,mulalo,mola,bána na bána,mulalo,mulalo,mulalo,mulalo,mulalo,mola,mulalo,bána na bána,mulalo,múnasángo boso,bána na bána,mulalo,múnayeye̱,mulalo,mulalo,bána na bána,mulalo,mola,mola,múnayeye̱,múnasángo ngoka,mulalo,múnasángo boso,mulalo,mulalo,mulalo,mulalo,mola,múnasángo ngoka,múnasángo ngoka,bána na bána,ǹangó ińsadi,ǹangó nusadi,sángó nusadi,mulál'a tokitoki,mulál'a tokitoki,sángó nusadi,ńongo,ǹangó ińsadi,sángó,ǹangó nusadi,mulál'a tokitoki,mulál'a tokitoki,sángó,sángó nusadi,ǹangó nusadi,ǹangó ińsadi,mulál'a tokitoki,ǹangó nusadi,ǹangó ińsadi,ǹangó ińsadi,sángó nusadi,sángó nusadi,ǹangó nusadi,ńongo,ǹangó ińsadi,mulál'a tokitoki,sángó nusadi,ǹangó nusadi
6,0.2689064844984832,1.6740544919081848,1.4051480074097016,mola,mulalo,mulalo,mulalo,mulalo,mulalo,múnasángo ngoka,mola,mulalo,mulalo,múnasángo boso,mulalo,bána na bána,mulalo,mola,mulalo,mola,múnayeye̱,mulalo,múnasángo boso,múnayeye̱,mulalo,bána na bána,mulalo,mulalo,mulalo,bána na bána,bána na bána,múnasángo boso,mulalo,múnayeye̱,múnasángo ngoka,bána na bána,mola,mulalo,múnasángo boso,mulalo,mulalo,mulalo,bána na bána,mulalo,mulalo,mulalo,mulalo,bána na bána,mulalo,mulalo,bána na bána,mulalo,mulalo,mulalo,múnasángo ngoka,mulalo,mola,mulalo,mulalo,múnasángo ngoka,mulalo,múnayeye̱,mulalo,mola,bána na bána,mola,mulalo,mulalo,mulalo,mulalo,mola,mulalo,mola,mulalo,ńongo,mulál'a tokitoki,mulál'a tokitoki,ǹangó ińsadi,ǹangó ińsadi,sángó nusadi,ǹangó ińsadi,ǹangó nusadi,sángó nusadi,mulál'a tokitoki,mulál'a tokitoki,ǹangó nusadi,sángó,ǹangó nusadi,mulál'a tokitoki,ǹangó ińsadi,ǹangó nusadi,ǹangó nusadi,sángó nusadi,ǹangó nusadi,sángó nusadi,sángó nusadi,mulál'a tokitoki,ǹangó ińsadi,sángó nusadi,ǹangó ińsadi,sángó,ńongo
7,0.21461367218152794,1.6502611588636436,1.4356474866821156,mulalo,mola,múnasángo ngoka,mulalo,mulalo,mulalo,múnasángo boso,mola,mola,bána na bána,mulalo,mulalo,mola,mulalo,mulalo,mola,bána na bána,mola,mulalo,mulalo,mulalo,mulalo,mulalo,mola,múnayeye̱,bána na bána,mulalo,múnayeye̱,múnasángo ngoka,múnayeye̱,bána na bána,mulalo,múnasángo ngoka,mulalo,mulalo,múnasángo boso,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,múnayeye̱,mulalo,mulalo,bána na bána,mulalo,bána na bána,mola,mulalo,múnasángo ngoka,mulalo,múnasángo boso,mulalo,mulalo,bána na bána,mulalo,múnasángo boso,mulalo,mola,mulalo,mulalo,mola,mulalo,mulalo,bána na bána,mulalo,mulalo,mulalo,bána na bána,mulalo,sángó nusadi,sángó,ǹangó nusadi,ǹangó ińsadi,mulál'a tokitoki,ńongo,mulál'a tokitoki,ǹangó ińsadi,sángó nusadi,ǹangó nusadi,sángó,mulál'a tokitoki,ǹangó nusadi,ǹangó ińsadi,ǹangó nusadi,ǹangó ińsadi,mulál'a tokitoki,sángó nusadi,ǹangó nusadi,ǹangó ińsadi,mulál'a tokitoki,sángó nusadi,mulál'a tokitoki,ǹangó nusadi,sángó nusadi,sángó nusadi,ǹangó ińsadi,ńongo
8,0.23928512601631668,1.5850362909814781,1.3457511649651615,bána na bána,mulalo,múnasángo boso,bána na bána,mola,bána na bána,mulalo,mulalo,mulalo,mulalo,mulalo,múnasángo ngoka,múnasángo boso,mulalo,múnasángo ngoka,mulalo,mulalo,múnayeye̱,mulalo,bána na bána,mulalo,mola,bána na bána,mulalo,mulalo,mulalo,mulalo,múnasángo boso,múnayeye̱,mulalo,múnasángo ngoka,mulalo,mola,mulalo,bána na bána,mulalo,mulalo,bána na bána,mulalo,múnayeye̱,mulalo,mulalo,mulalo,mulalo,mulalo,múnasángo ngoka,mulalo,mulalo,mulalo,mulalo,mulalo,múnasángo boso,bána na bána,mulalo,mola,mulalo,mulalo,mola,mola,bána na bána,mola,mulalo,mulalo,mola,mola,mola,mulalo,mulalo,mulalo,mulalo,múnayeye̱,ǹangó ińsadi,ǹangó ińsadi,ǹangó nusadi,sángó nusadi,ǹangó nusadi,ǹangó nusadi,sángó,mulál'a tokitoki,sángó nusadi,mulál'a tokitoki,sángó nusadi,mulál'a tokitoki,mulál'a tokitoki,ǹangó nusadi,ǹangó nusadi,ǹangó ińsadi,ǹangó ińsadi,sángó nusadi,ǹangó ińsadi,sángó,sángó nusadi,mulál'a tokitoki,sángó nusadi,ǹangó ińsadi,ǹangó nusadi,mulál'a tokitoki,ńongo,ńongo
9,0.26790647191755923,1.7037452676131108,1.4358387956955516,mulalo,múnasángo boso,mola,mola,mulalo,mulalo,múnayeye̱,mulalo,múnasángo ngoka,mulalo,mulalo,mola,mulalo,mulalo,bána na bána,mulalo,mulalo,bána na bána,mola,mulalo,mulalo,mulalo,múnayeye̱,mulalo,mola,mola,mulalo,mulalo,múnayeye̱,bána na bána,mulalo,mola,múnasángo ngoka,mulalo,mulalo,mulalo,múnasángo boso,mola,mulalo,múnasángo boso,mulalo,mulalo,mulalo,mulalo,múnasángo ngoka,múnayeye̱,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,mulalo,múnasángo boso,bána na bána,mulalo,bána na bána,mulalo,mulalo,múnasángo ngoka,mulalo,mola,mulalo,bána na bána,mulalo,mola,mulalo,bána na bána,mulalo,bána na bána,bána na bána,ǹangó ińsadi,ńongo,ǹangó nusadi,mulál'a tokitoki,ǹangó ińsadi,sángó nusadi,ǹangó nusadi,sángó,sángó nusadi,sángó nusadi,ǹangó ińsadi,sángó nusadi,sángó,mulál'a tokitoki,sángó nusadi,sángó nusadi,mulál'a tokitoki,ǹangó ińsadi,ńongo,ǹangó nusadi,ǹangó ińsadi,mulál'a tokitoki,ǹangó nusadi,ǹangó nusadi,ǹangó nusadi,mulál'a tokitoki,ǹangó ińsadi,mulál'a tokitoki
