simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZeD,mFZyD,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZeD,fFZyD,fMBeD,fMByD,fMZyS,fMZeD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.2868240015233603,0.9799711820833055,0.6931471805599452,tsâ,"bungpa, tsâ",pu?,na?,pu?,"bungpa, tsâ",na?,pu?,na?,tsâ,pu?,na?,"bungpa, tsâ","bungpa, tsâ","tringma,  tsâ",pu?,tsâ,na?,na?,tsâ,pu?,"bungpa, tsâ",na?,na?,tsâ,tsâ,na?,"bungpa, tsâ","tringma,  tsâ",na?,yû,nî,pang,pang,mayo,kû,nî,pang,yû,mayo,payo,nî,payo,pang,kû,kû,yû,kû,nî,yû
1,0.4848660531119162,1.376055285260417,0.8911892321485009,tsâ,na?,"bungpa, tsâ",tsâ,"bungpa, tsâ",pu?,na?,pu?,na?,"bungpa, tsâ",pu?,pu?,"bungpa, tsâ",na?,"tringma,  tsâ",na?,"tringma,  tsâ",tsâ,pu?,na?,"bungpa, tsâ",na?,pu?,tsâ,na?,"bungpa, tsâ",tsâ,tsâ,na?,na?,payo,mayo,yû,nî,pang,pang,nî,nî,kû,nî,mayo,payo,pang,yû,kû,kû,yû,yû,kû,pang
2,0.12743575058463885,0.5982695885852573,0.4708338380006184,pu?,na?,tsâ,"tringma,  tsâ",na?,"bungpa, tsâ",na?,"tringma,  tsâ",na?,na?,tsâ,na?,pu?,na?,"bungpa, tsâ",pu?,tsâ,na?,pu?,"bungpa, tsâ",tsâ,tsâ,"bungpa, tsâ","bungpa, tsâ",na?,pu?,pu?,"bungpa, tsâ",tsâ,na?,kû,kû,kû,payo,mayo,yû,pang,yû,yû,nî,kû,pang,yû,pang,nî,nî,nî,pang,payo,mayo
3,0.20218548540814568,0.5982695885852573,0.39608410317711157,na?,tsâ,"bungpa, tsâ",na?,na?,tsâ,pu?,"tringma,  tsâ",tsâ,tsâ,tsâ,na?,pu?,"bungpa, tsâ","bungpa, tsâ",na?,na?,pu?,na?,pu?,"bungpa, tsâ","bungpa, tsâ",pu?,tsâ,pu?,na?,na?,"tringma,  tsâ",na?,"bungpa, tsâ",pang,pang,nî,pang,payo,mayo,nî,nî,kû,nî,yû,kû,kû,yû,yû,yû,payo,kû,pang,mayo
4,0.09922444498263283,0.5195798391305154,0.4203553941478826,na?,na?,"bungpa, tsâ",tsâ,na?,na?,"bungpa, tsâ",tsâ,pu?,pu?,"tringma,  tsâ",na?,pu?,tsâ,na?,tsâ,"bungpa, tsâ",pu?,"tringma,  tsâ",pu?,na?,tsâ,tsâ,"bungpa, tsâ","bungpa, tsâ",pu?,na?,na?,"bungpa, tsâ",na?,nî,payo,nî,nî,mayo,yû,pang,pang,kû,kû,kû,kû,yû,payo,yû,mayo,pang,nî,pang,yû
5,0.242433026555958,1.034601232910181,0.792168206354223,pu?,tsâ,"tringma,  tsâ",na?,pu?,na?,"bungpa, tsâ",tsâ,na?,"bungpa, tsâ",pu?,tsâ,tsâ,tsâ,na?,tsâ,"tringma,  tsâ","bungpa, tsâ","bungpa, tsâ",na?,pu?,na?,na?,"bungpa, tsâ",na?,pu?,"bungpa, tsâ",pu?,na?,na?,pang,kû,nî,kû,yû,nî,pang,payo,kû,nî,nî,pang,yû,payo,mayo,mayo,yû,yû,kû,pang
6,0.08878194993480482,1.376055285260417,1.2872733353256123,pu?,tsâ,"bungpa, tsâ",na?,tsâ,pu?,na?,tsâ,na?,"bungpa, tsâ",na?,na?,pu?,pu?,"tringma,  tsâ",tsâ,na?,"bungpa, tsâ",pu?,na?,na?,"bungpa, tsâ",tsâ,tsâ,na?,"tringma,  tsâ",na?,"bungpa, tsâ",pu?,"bungpa, tsâ",yû,payo,kû,mayo,pang,nî,yû,nî,mayo,nî,kû,kû,payo,pang,yû,nî,yû,kû,pang,pang
7,0.4848660531119162,1.376055285260417,0.8911892321485009,tsâ,"bungpa, tsâ",na?,tsâ,"bungpa, tsâ",na?,na?,tsâ,tsâ,"bungpa, tsâ",pu?,"tringma,  tsâ","tringma,  tsâ",na?,"bungpa, tsâ","bungpa, tsâ",na?,na?,na?,pu?,na?,tsâ,pu?,"bungpa, tsâ",pu?,tsâ,na?,na?,pu?,pu?,mayo,yû,pang,nî,nî,mayo,payo,pang,kû,payo,yû,nî,kû,kû,yû,yû,kû,nî,pang,pang
8,0.1060371333499266,1.034601232910181,0.9285640995602544,tsâ,pu?,pu?,na?,na?,na?,tsâ,"bungpa, tsâ","bungpa, tsâ",na?,tsâ,na?,pu?,na?,"bungpa, tsâ","bungpa, tsâ",na?,tsâ,tsâ,na?,"tringma,  tsâ",pu?,na?,pu?,"bungpa, tsâ",na?,tsâ,pu?,"tringma,  tsâ","bungpa, tsâ",pang,nî,mayo,pang,yû,yû,pang,kû,yû,mayo,pang,kû,nî,payo,kû,yû,payo,kû,nî,nî
9,0.1060371333499267,1.034601232910181,0.9285640995602543,na?,"bungpa, tsâ","bungpa, tsâ",pu?,"bungpa, tsâ",na?,tsâ,na?,"bungpa, tsâ",pu?,pu?,tsâ,pu?,"bungpa, tsâ","bungpa, tsâ","tringma,  tsâ",na?,tsâ,na?,na?,tsâ,na?,pu?,pu?,tsâ,"tringma,  tsâ",na?,tsâ,na?,na?,yû,kû,yû,payo,kû,nî,mayo,yû,mayo,pang,kû,pang,pang,kû,yû,payo,nî,pang,nî,nî
