simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.09752579184418919,1.5869715070924308,1.4894457152482417,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,mbali,mbali,kaai,kaai,aaki,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,aaki,kaai,ame,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,mbali,ama,"yaake, awa",mai,arombo,papa,arombo,"yaake, awa","yaake, awa",papa,arombo,mai,"yaake, awa",aapa,arombo,mai,mai,ama,papa,aapa,papa
1,0.12917958897435056,1.7127703684846232,1.5835907795102726,kaai,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,ame,kaai,kaai,kaai,mbali,kaai,kaai,kaai,aaki,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,aaki,kaai,kaai,kaai,mbali,kaai,kaai,kaai,kaai,kaai,mbali,kaai,mai,aapa,"yaake, awa",papa,"yaake, awa","yaake, awa",arombo,mai,papa,ama,"yaake, awa",mai,arombo,arombo,papa,mai,aapa,arombo,ama,papa
2,0.16312618964069858,1.5869715070924308,1.4238453174517323,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,aaki,kaai,kaai,kaai,kaai,kaai,ame,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,mbali,kaai,kaai,mbali,kaai,kaai,kaai,kaai,aaki,kaai,kaai,papa,arombo,arombo,mai,arombo,mai,papa,mai,ama,"yaake, awa","yaake, awa",mai,aapa,"yaake, awa","yaake, awa",ama,papa,arombo,papa,aapa
3,0.12170954868460471,1.4434738907829163,1.3217643420983116,aaki,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,aaki,mbali,kaai,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,ame,kaai,kaai,kaai,kaai,kaai,mai,mai,arombo,papa,"yaake, awa",ama,aapa,arombo,papa,mai,papa,"yaake, awa",ama,papa,"yaake, awa",mai,arombo,arombo,"yaake, awa",aapa
4,0.13284602177465854,1.3554465331571124,1.2226005113824538,kaai,mbali,kaai,aaki,kaai,mbali,kaai,kaai,kaai,kaai,ame,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,aaki,kaai,kaai,papa,"yaake, awa",mai,mai,mai,arombo,mai,papa,ama,papa,aapa,arombo,arombo,aapa,ama,papa,"yaake, awa","yaake, awa","yaake, awa",arombo
5,0.1453211685173761,1.7377248627412023,1.5924036942238262,kaai,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,ame,kaai,kaai,kaai,kaai,mbali,kaai,kaai,aaki,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,aaki,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,mbali,kaai,mai,aapa,arombo,"yaake, awa",mai,arombo,arombo,arombo,papa,papa,"yaake, awa","yaake, awa",mai,papa,ama,aapa,mai,"yaake, awa",papa,ama
6,0.06996317643150651,1.3608557628200932,1.2908925863885867,kaai,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,aaki,ame,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,mbali,mbali,kaai,kaai,kaai,mbali,aaki,kaai,kaai,kaai,kaai,kaai,kaai,kaai,papa,arombo,"yaake, awa",papa,aapa,arombo,papa,arombo,papa,mai,ama,"yaake, awa",mai,"yaake, awa",mai,arombo,mai,"yaake, awa",aapa,ama
7,0.09598449484121052,1.6795900431051387,1.5836055482639282,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,mbali,kaai,mbali,aaki,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,ame,kaai,kaai,aaki,kaai,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,papa,papa,ama,"yaake, awa","yaake, awa",mai,"yaake, awa",papa,aapa,ama,mai,arombo,arombo,arombo,aapa,arombo,mai,papa,"yaake, awa",mai
8,0.20544355526222646,1.7890343347724986,1.5835907795102722,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,mbali,mbali,kaai,kaai,kaai,aaki,kaai,kaai,ame,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,aaki,kaai,kaai,papa,papa,"yaake, awa",arombo,papa,mai,ama,"yaake, awa",aapa,ama,mai,"yaake, awa","yaake, awa",arombo,mai,aapa,arombo,mai,papa,arombo
9,0.1254375667583041,1.7127703684846232,1.587332801726319,kaai,kaai,kaai,kaai,kaai,kaai,kaai,aaki,mbali,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,kaai,mbali,kaai,ame,kaai,kaai,kaai,kaai,kaai,kaai,mbali,kaai,kaai,kaai,kaai,kaai,kaai,kaai,kaai,aaki,kaai,kaai,mai,aapa,arombo,ama,mai,papa,arombo,arombo,papa,"yaake, awa",mai,"yaake, awa","yaake, awa",ama,papa,aapa,papa,"yaake, awa",arombo,mai
