simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fyB,feZ,fyZ,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.04900315317961568,0.6920129648318738,0.6430098116522581,taina,tuakana,tuakana,taina,tuakana,taina,tuakana,tuakana,taina,tuakana,taina,taina,tuakana,tuakana,taina,tuakana,taina,tuakana,taina,tuakana,tuakana,taina,taina,tuakana,taina,taina,taina,tuakana tamaaroa,tuakana,tuakana,tuahine,tuakana,taina,taina,tuakana,taina,taina,vovo,taina,taina,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa
1,0.09739492015643181,0.6886051523183013,0.5912102321618695,tuakana,tuakana,tuakana,taina,taina,taina,tuakana,tuakana,taina,tuahine,taina,taina,taina,taina,taina,taina,taina,taina,tuakana,tuakana,tuakana,taina,taina,tuakana tamaaroa,taina,tuakana,tuakana,vovo,tuakana,taina,taina,tuakana,tuakana,taina,taina,tuakana,tuakana,taina,tuakana,tuakana,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamahahine
2,0.034223118141952114,0.6829081047004717,0.6486849865585196,taina,taina,taina,tuakana,taina,tuahine,tuakana,tuakana,taina,taina,tuakana,tuakana,taina,tuakana,taina,tuakana,tuakana,taina,taina,vovo,tuakana,taina,tuakana tamaaroa,tuakana,tuakana,taina,taina,tuakana,taina,taina,taina,tuakana,taina,tuakana,taina,taina,tuakana,tuakana,tuakana,taina,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine
3,0.05506184763686217,0.6829081047004717,0.6278462570636095,vovo,taina,tuakana,taina,taina,tuakana,taina,taina,tuakana,tuakana,tuakana,tuakana,tuakana,tuakana,taina,taina,taina,tuakana,taina,tuakana,taina,taina,tuakana,taina,taina,taina,tuakana,tuakana tamaaroa,taina,taina,taina,tuakana,tuakana,tuahine,tuakana,taina,taina,tuakana,tuakana,taina,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine
4,0.06786379129039455,0.6920129648318738,0.6241491735414793,tuakana,tuakana,taina,tuakana,taina,tuakana,taina,tuakana,taina,taina,taina,taina,tuakana,tuakana,tuakana,tuakana,tuakana,taina,tuahine,taina,tuakana,taina,tuakana,taina,taina,taina,tuakana,tuakana,taina,taina,tuakana,vovo,taina,taina,tuakana tamaaroa,taina,tuakana,taina,taina,tuakana,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa
5,0.053064056633743806,0.6517565611726531,0.5986925045389093,tuakana,taina,tuakana,tuakana tamaaroa,taina,tuakana,taina,taina,tuakana,taina,taina,tuakana,vovo,taina,taina,tuakana,tuakana,tuakana,taina,taina,taina,tuakana,taina,tuakana,tuakana,taina,tuakana,taina,taina,tuakana,taina,taina,tuakana,tuahine,tuakana,tuakana,taina,tuakana,taina,taina,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine
6,0.08892372457537956,0.6886051523183013,0.5996814277429218,tuakana,taina,tuakana,taina,tuahine,tuakana,tuakana,tuakana tamaaroa,tuakana,taina,taina,taina,tuakana,tuakana,tuakana,taina,tuakana,taina,tuakana,taina,taina,tuakana,taina,tuakana,taina,taina,tuakana,tuakana,taina,taina,tuakana,taina,taina,tuakana,tuakana,taina,vovo,taina,taina,taina,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine
7,0.04889405871064778,0.6920129648318738,0.643118906121226,tuakana,taina,tuakana,taina,taina,taina,taina,tuakana,tuakana,taina,taina,tuakana,taina,taina,tuakana,tuakana,taina,taina,taina,tuahine,tuakana,taina,taina,tuakana,taina,tuakana,taina,tuakana tamaaroa,vovo,taina,tuakana,tuakana,tuakana,taina,taina,tuakana,tuakana,taina,tuakana,tuakana,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamaaroa
8,0.13108893655401388,0.6920129648318738,0.5609240282778599,taina,taina,taina,taina,taina,tuakana,taina,taina,vovo,tuakana,tuakana,taina,taina,taina,taina,tuakana,taina,taina,tuakana,taina,tuakana,taina,tuakana,tuakana,taina,tuakana,tuakana,tuakana,taina,taina,tuakana,tuakana tamaaroa,taina,tuakana,tuahine,tuakana,tuakana,tuakana,tuakana,taina,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine
9,0.07794900371079871,0.6886051523183013,0.6106561486075026,taina,tuakana,tuakana,tuakana,taina,taina,taina,tuakana,taina,tuakana,taina,tuakana,taina,tuakana,taina,tuakana,tuakana tamaaroa,tuakana,tuakana,taina,taina,taina,taina,tuakana,tuakana,tuakana,taina,taina,tuakana,taina,taina,taina,taina,tuakana,tuahine,tuakana,tuakana,taina,vovo,taina,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamahahine,matua tamaaroa,matua tamaaroa,matua tamahahine,matua tamahahine,matua tamahahine,matua tamahahine
