simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.11326709197212925,1.6970562832890494,1.5837891913169202,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,yingere švester,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,yingerer bruder,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,muter,(der) mames švester,(dem) tatns bruder,muter,(dem) tatns švester,(dem) tatns bruder,(dem) tatns bruder,(dem) tatns švester,(der) mames švester,foter,(dem) tatns švester,(dem) tatns bruder,foter,(der) mames bruder,(der) mames bruder,(dem) tatns švester,(der) mames švester,(der) mames bruder,(dem) tatns bruder,(der) mames švester,(dem) tatns švester,(der) mames bruder,(dem) tatns bruder,(der) mames švester,(der) mames bruder,(der) mames švester,(der) mames bruder,(dem) tatns švester
1,0.15276083633039717,1.6878464777684927,1.5350856414380956,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(dem) tatns švester,(der) mames švester,(der) mames švester,(dem) tatns bruder,(der) mames bruder,foter,muter,(der) mames švester,(dem) tatns bruder,(der) mames bruder,(der) mames bruder,(dem) tatns bruder,(dem) tatns švester,(der) mames švester,(dem) tatns bruder,foter,(der) mames bruder,(dem) tatns švester,(der) mames švester,(dem) tatns švester,muter,(dem) tatns švester,(dem) tatns bruder,(dem) tatns bruder,(der) mames švester,(dem) tatns švester,(der) mames bruder,(der) mames bruder
2,0.14152218859704058,1.7281677828288604,1.5866455942318198,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingere švester,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(dem) tatns švester,foter,(dem) tatns bruder,(der) mames bruder,muter,(dem) tatns bruder,(der) mames švester,muter,(der) mames bruder,(dem) tatns švester,(dem) tatns švester,(der) mames bruder,(dem) tatns švester,(der) mames švester,(der) mames švester,(dem) tatns bruder,(dem) tatns švester,(der) mames bruder,(der) mames bruder,foter,(der) mames švester,(dem) tatns bruder,(dem) tatns bruder,(der) mames švester,(dem) tatns bruder,(der) mames švester,(der) mames bruder,(dem) tatns švester
3,0.1402281685355573,1.7097475594151992,1.5695193908796419,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,švester,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(der) mames švester,(der) mames švester,(dem) tatns švester,foter,(dem) tatns bruder,(dem) tatns švester,(der) mames bruder,(dem) tatns švester,(der) mames švester,(der) mames bruder,(der) mames švester,foter,(dem) tatns švester,muter,(der) mames švester,(der) mames bruder,(dem) tatns bruder,(dem) tatns bruder,(der) mames bruder,muter,(der) mames bruder,(dem) tatns švester,(dem) tatns švester,(der) mames bruder,(dem) tatns bruder,(dem) tatns bruder,(der) mames švester,(dem) tatns bruder
4,0.14368740994730933,1.7320265413509266,1.5883391314036173,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,yingere švester,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(dem) tatns švester,(dem) tatns bruder,(der) mames švester,(der) mames bruder,foter,(dem) tatns švester,(der) mames bruder,muter,(dem) tatns švester,(der) mames bruder,(dem) tatns bruder,(der) mames bruder,(der) mames švester,(der) mames švester,(der) mames bruder,(der) mames švester,(der) mames bruder,foter,(der) mames švester,muter,(der) mames švester,(dem) tatns švester,(dem) tatns bruder,(dem) tatns bruder,(dem) tatns švester,(dem) tatns bruder,(dem) tatns švester,(dem) tatns bruder
5,0.07562213287358976,1.659560049116334,1.5839379162427443,(ge) švester'kind,švester,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(dem) tatns bruder,(der) mames bruder,(der) mames bruder,(der) mames švester,(dem) tatns švester,(dem) tatns švester,(der) mames bruder,muter,(der) mames švester,(der) mames švester,(dem) tatns bruder,(dem) tatns švester,(dem) tatns švester,foter,(dem) tatns bruder,muter,(der) mames švester,(der) mames bruder,(dem) tatns švester,(dem) tatns bruder,(der) mames švester,(dem) tatns bruder,(der) mames bruder,foter,(dem) tatns bruder,(der) mames bruder,(der) mames švester,(dem) tatns švester
6,0.14318219694623302,1.6785192745327526,1.5353370775865196,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,švester,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,muter,(der) mames švester,(dem) tatns bruder,(der) mames švester,(dem) tatns švester,(der) mames švester,(der) mames bruder,(dem) tatns bruder,(der) mames švester,(dem) tatns švester,(dem) tatns švester,(dem) tatns švester,foter,(dem) tatns bruder,(dem) tatns švester,(der) mames švester,(der) mames bruder,(dem) tatns bruder,(der) mames bruder,(der) mames bruder,muter,(der) mames bruder,foter,(dem) tatns švester,(der) mames švester,(der) mames bruder,(dem) tatns bruder,(dem) tatns bruder
7,0.11811936298584791,1.693701861135375,1.575582498149527,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,yingere švester,švester,(ge) švester'kind,(ge) švester'kind,švester,švester,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(dem) tatns švester,(der) mames švester,(der) mames bruder,foter,(der) mames švester,(der) mames švester,(dem) tatns bruder,(dem) tatns švester,muter,(der) mames bruder,(der) mames švester,(der) mames bruder,(der) mames bruder,(der) mames švester,(dem) tatns bruder,(dem) tatns bruder,(der) mames bruder,foter,(dem) tatns švester,(dem) tatns švester,(der) mames bruder,(dem) tatns bruder,(dem) tatns bruder,(der) mames švester,(dem) tatns švester,(dem) tatns bruder,(dem) tatns švester,muter
8,0.12091021319837081,1.7180613660769524,1.5971511528785816,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,bruder,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,yingere švester,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(dem) tatns švester,(dem) tatns švester,muter,(der) mames švester,(der) mames bruder,(dem) tatns švester,(dem) tatns bruder,(der) mames bruder,(dem) tatns švester,(dem) tatns švester,(der) mames bruder,(dem) tatns bruder,(der) mames bruder,muter,foter,(dem) tatns bruder,(dem) tatns bruder,(der) mames švester,foter,(der) mames bruder,(dem) tatns bruder,(der) mames švester,(dem) tatns bruder,(der) mames švester,(dem) tatns švester,(der) mames švester,(der) mames bruder,(der) mames švester
9,0.10668079518859619,1.6890205776351404,1.5823397824465442,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingere švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,švester,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,yingerer bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,(ge) švester'kind,bruder,(ge) švester'kind,(ge) švester'kind,(der) mames bruder,(dem) tatns bruder,(der) mames bruder,(dem) tatns švester,(dem) tatns švester,(der) mames švester,(dem) tatns švester,(dem) tatns bruder,(dem) tatns bruder,(dem) tatns švester,foter,(der) mames bruder,(dem) tatns bruder,(dem) tatns bruder,muter,(dem) tatns švester,(der) mames švester,(der) mames švester,(der) mames švester,foter,(der) mames švester,(der) mames švester,muter,(dem) tatns švester,(der) mames bruder,(der) mames bruder,(dem) tatns bruder,(der) mames bruder
