simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.21356758821961574,1.7377248627412025,1.5241572745215868,kaani,kaani,"anya, bali","anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,aaki,ame,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,aaki,aapa,"yaake, awa",ama,papa,mae,mae,arobo,papa,arobo,"yaake, awa",mae,arobo,arobo,papa,papa,ama,mae,aapa,"yaake, awa","yaake, awa"
1,0.19548860521470823,1.6864153907099062,1.490926785495198,kaani,kaani,"anya, bali",kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,aaki,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,aaki,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,ame,"anya, bali",kaani,"yaake, awa",mae,mae,papa,"yaake, awa",arobo,mae,arobo,papa,aapa,aapa,mae,arobo,"yaake, awa","yaake, awa",arobo,ama,papa,ama,papa
2,0.1690121765480297,1.7064162068096755,1.5374040302616458,kaani,kaani,kaani,kaani,kaani,kaani,kaani,aaki,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,ame,"anya, bali",kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,aaki,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,papa,"yaake, awa",arobo,mae,arobo,"yaake, awa",aapa,"yaake, awa",arobo,papa,ama,arobo,papa,mae,mae,ama,"yaake, awa",papa,mae,aapa
3,0.18349965024014803,1.7640798405159195,1.5805801902757715,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,aaki,kaani,kaani,kaani,kaani,kaani,kaani,ame,kaani,aaki,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,"anya, bali",kaani,kaani,"anya, bali",kaani,papa,papa,aapa,mae,mae,arobo,"yaake, awa","yaake, awa",mae,arobo,mae,aapa,"yaake, awa","yaake, awa",arobo,ama,ama,arobo,papa,papa
4,0.09460335349197191,1.518836279406483,1.424232925914511,kaani,kaani,"anya, bali",kaani,kaani,kaani,aaki,kaani,kaani,kaani,ame,"anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,aaki,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,papa,"yaake, awa",arobo,"yaake, awa","yaake, awa","yaake, awa",papa,papa,aapa,mae,aapa,ama,mae,ama,arobo,arobo,papa,mae,arobo,mae
5,0.1590117684981449,1.6964157987597908,1.5374040302616458,kaani,kaani,kaani,ame,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,aaki,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,aaki,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",papa,ama,papa,arobo,"yaake, awa",ama,"yaake, awa",arobo,aapa,papa,mae,arobo,mae,papa,"yaake, awa","yaake, awa",mae,aapa,arobo,mae
6,0.158717788326332,1.743952979684965,1.5852351913586331,"anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,aaki,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,ame,kaani,kaani,kaani,kaani,kaani,kaani,aaki,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,arobo,"yaake, awa",papa,papa,mae,"yaake, awa",aapa,arobo,arobo,mae,ama,arobo,papa,papa,"yaake, awa",aapa,mae,ama,"yaake, awa",mae
7,0.23028215185797585,1.6451063267284942,1.4148241748705184,"anya, bali",kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,aaki,kaani,kaani,kaani,ame,kaani,kaani,kaani,kaani,aaki,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,aapa,papa,"yaake, awa",arobo,"yaake, awa",mae,papa,mae,arobo,ama,aapa,ama,arobo,mae,arobo,"yaake, awa","yaake, awa",papa,papa,mae
8,0.20362651107110197,1.6837794081591917,1.4801528970880897,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,aaki,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,ame,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,aaki,kaani,kaani,kaani,kaani,"anya, bali",mae,papa,"yaake, awa","yaake, awa",papa,"yaake, awa",arobo,aapa,ama,arobo,aapa,arobo,mae,mae,arobo,"yaake, awa",mae,ama,papa,papa
9,0.14925639796371493,1.679590043105139,1.530333645141424,kaani,kaani,kaani,kaani,kaani,ame,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,"anya, bali",kaani,kaani,aaki,kaani,kaani,"anya, bali",kaani,kaani,"anya, bali",kaani,kaani,kaani,kaani,kaani,aaki,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,kaani,aapa,ama,"yaake, awa",mae,papa,"yaake, awa","yaake, awa",papa,arobo,arobo,papa,mae,aapa,ama,papa,mae,arobo,arobo,"yaake, awa",mae
