simulation_number,mutual_information,entropy,conditional_entropy,myB,fB,feB,fyB,myZ,feZ,fyZ,mF,fF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1972453943391962,0.9839614460010255,0.7867160516618293,ndzkih,dAGee’,dAGee’,dAGee’,dAGee’,XAwAX,tsa’kih,yaaq’e’,yaaq’e’,aan,gaag,tinh,gaag,’ahd,gaag,’ahd,yaaq’e’,tinh,aan,yaaq’e’,yaaq’e’,’ahd,taa’,’ahd,gaag,gaag,tinh,’ahd,tinh,tinh,tinh,taa’,’ahd,yaaq’e’,gaag
1,0.4180772580329547,1.3516811946858949,0.9336039366529402,ndzkih,dAGee’,tsa’kih,XAwAX,dAGee’,dAGee’,dAGee’,aan,tinh,yaaq’e’,’ahd,yaaq’e’,yaaq’e’,yaaq’e’,tinh,taa’,tinh,gaag,aan,tinh,yaaq’e’,’ahd,’ahd,tinh,gaag,gaag,’ahd,gaag,gaag,taa’,yaaq’e’,tinh,’ahd,gaag,’ahd
2,0.1972453943391962,0.9839614460010255,0.7867160516618293,XAwAX,dAGee’,tsa’kih,dAGee’,dAGee’,ndzkih,dAGee’,tinh,taa’,gaag,’ahd,’ahd,’ahd,yaaq’e’,aan,tinh,’ahd,’ahd,tinh,tinh,aan,yaaq’e’,tinh,taa’,gaag,tinh,yaaq’e’,gaag,gaag,yaaq’e’,gaag,’ahd,yaaq’e’,gaag,yaaq’e’
3,0.4180772580329547,0.9251290835720822,0.5070518255391275,dAGee’,dAGee’,tsa’kih,dAGee’,ndzkih,dAGee’,XAwAX,aan,’ahd,taa’,tinh,tinh,taa’,’ahd,gaag,aan,yaaq’e’,’ahd,gaag,’ahd,gaag,tinh,’ahd,yaaq’e’,’ahd,tinh,yaaq’e’,tinh,gaag,tinh,yaaq’e’,yaaq’e’,yaaq’e’,gaag,gaag
4,0.13085722377340048,0.9839614460010255,0.853104222227625,dAGee’,ndzkih,dAGee’,dAGee’,dAGee’,XAwAX,tsa’kih,gaag,tinh,’ahd,gaag,yaaq’e’,yaaq’e’,gaag,taa’,tinh,’ahd,gaag,aan,tinh,taa’,yaaq’e’,gaag,tinh,’ahd,’ahd,’ahd,yaaq’e’,’ahd,tinh,gaag,aan,yaaq’e’,yaaq’e’,tinh
5,0.4180772580329547,1.3516811946858949,0.9336039366529402,ndzkih,dAGee’,XAwAX,dAGee’,dAGee’,dAGee’,tsa’kih,gaag,’ahd,yaaq’e’,gaag,’ahd,yaaq’e’,aan,tinh,’ahd,yaaq’e’,gaag,yaaq’e’,gaag,yaaq’e’,tinh,tinh,gaag,taa’,yaaq’e’,gaag,aan,’ahd,’ahd,tinh,taa’,’ahd,tinh,tinh
6,0.3658006313266787,1.3516811946858949,0.9858805633592161,dAGee’,tsa’kih,dAGee’,dAGee’,ndzkih,XAwAX,dAGee’,taa’,’ahd,gaag,yaaq’e’,yaaq’e’,’ahd,yaaq’e’,tinh,gaag,tinh,yaaq’e’,’ahd,aan,aan,gaag,tinh,tinh,gaag,taa’,yaaq’e’,yaaq’e’,gaag,’ahd,tinh,’ahd,gaag,tinh,’ahd
7,0.08327062524211876,0.4293230219306162,0.34605239668849747,dAGee’,ndzkih,dAGee’,tsa’kih,dAGee’,XAwAX,dAGee’,’ahd,’ahd,taa’,yaaq’e’,’ahd,tinh,gaag,yaaq’e’,aan,tinh,’ahd,yaaq’e’,gaag,gaag,aan,’ahd,yaaq’e’,gaag,tinh,tinh,tinh,taa’,yaaq’e’,’ahd,yaaq’e’,tinh,gaag,gaag
8,0.4180772580329548,1.3516811946858949,0.9336039366529401,tsa’kih,dAGee’,dAGee’,ndzkih,dAGee’,XAwAX,dAGee’,tinh,’ahd,gaag,yaaq’e’,taa’,’ahd,’ahd,gaag,’ahd,tinh,yaaq’e’,tinh,tinh,taa’,aan,yaaq’e’,gaag,gaag,aan,yaaq’e’,gaag,gaag,’ahd,’ahd,yaaq’e’,tinh,tinh,yaaq’e’
9,0.2853009169013636,1.3516811946858949,1.0663802777845313,dAGee’,tsa’kih,dAGee’,XAwAX,dAGee’,ndzkih,dAGee’,aan,tinh,’ahd,gaag,’ahd,’ahd,yaaq’e’,tinh,yaaq’e’,’ahd,’ahd,yaaq’e’,tinh,tinh,gaag,gaag,yaaq’e’,yaaq’e’,aan,tinh,gaag,taa’,tinh,gaag,yaaq’e’,’ahd,gaag,taa’
