simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mMBD,mMZD,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fMBD,fMZD,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09389995743129886,1.3368969810945242,1.2429970236632253,unnfyaala,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,uwacane,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,unnsiice,uwacane,unnfyaala,unniina,uwacane,unnfyaala,unnfyaala,uwacane,unniina,unnfyaala,uwacane,unniina,unnfyaala,unnfyaala,unnsiice,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnsiice,uwacane,unnfyaala,unnfyaala,unnfyaala,unnsiice,unnfyaala,unnsiice,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,unnsiice,unnfyaala,uwacane,unnfyaala,unnfyaala,unniina,unnfyaala,unnfyaala,uwacane,uwacane,unnfyaala,uwacane,unnfyaala,uwacane,unniina,uwacane,unnfyaala,unnfyaala,unnfyaala,ïtaata,ïmaangu seenje,ïmaangu,ïtaata,ïmaangu,ïmaangu,inkwetu,ïmaangu,ïmaangu seenje,inkwetu,ïtaata,ïtaata,ïmaangu seenje,inkwetu,ïtaata,ïmaangu,ïtaata,ïmaangu,ïmaangu,ïmaangu seenje,ïtaata,inkwetu,inkwetu,ïmaangu seenje,ïmaangu,ïmaangu seenje,inkwetu,ïtaata
1,0.07226651307580978,1.3778828163366654,1.3056163032608556,unnfyaala,unniina,unnfyaala,unnfyaala,uwacane,uwacane,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnsiice,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unniina,uwacane,unnsiice,uwacane,unnfyaala,unnsiice,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unniina,unnfyaala,unnfyaala,unnfyaala,unnsiice,uwacane,unnfyaala,unnsiice,uwacane,uwacane,unnfyaala,uwacane,unnfyaala,uwacane,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,unniina,unnfyaala,unniina,unnfyaala,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,unnsiice,uwacane,unnfyaala,unnfyaala,uwacane,unnfyaala,ïmaangu seenje,ïmaangu seenje,ïmaangu,inkwetu,inkwetu,ïmaangu,ïtaata,ïmaangu,inkwetu,ïtaata,ïmaangu,ïtaata,ïtaata,ïmaangu,inkwetu,ïmaangu,inkwetu,ïmaangu,inkwetu,ïtaata,ïtaata,ïtaata,ïmaangu seenje,ïmaangu seenje,ïtaata,ïmaangu,ïmaangu seenje,ïmaangu seenje
2,0.14444836254934645,1.3578543880341405,1.213406025484794,unnfyaala,unnsiice,unnsiice,unnsiice,unniina,uwacane,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,uwacane,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,uwacane,uwacane,unnsiice,unnfyaala,unniina,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,uwacane,unnsiice,unnfyaala,uwacane,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unniina,unnfyaala,uwacane,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unniina,unnfyaala,unnfyaala,unnfyaala,unniina,unnfyaala,unnfyaala,unnfyaala,unnsiice,uwacane,unnfyaala,unnfyaala,uwacane,uwacane,uwacane,ïtaata,ïmaangu seenje,ïmaangu,inkwetu,ïtaata,inkwetu,ïmaangu,ïtaata,ïmaangu seenje,ïmaangu,ïmaangu seenje,ïmaangu,ïmaangu seenje,ïtaata,ïtaata,inkwetu,ïmaangu,ïmaangu,ïtaata,ïmaangu seenje,ïmaangu,inkwetu,ïmaangu seenje,inkwetu,ïtaata,inkwetu,ïtaata,ïmaangu
3,0.1088885578160319,1.3620370067943863,1.2531484489783544,unnfyaala,unnsiice,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unniina,uwacane,unnfyaala,uwacane,unnfyaala,uwacane,unnfyaala,unnfyaala,unnsiice,unnfyaala,unnfyaala,unnsiice,unnfyaala,unnfyaala,uwacane,unniina,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unnsiice,unniina,uwacane,unnfyaala,uwacane,unniina,unnfyaala,uwacane,unnfyaala,unnsiice,uwacane,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unniina,unnfyaala,unnsiice,uwacane,unnfyaala,uwacane,unnfyaala,uwacane,uwacane,uwacane,unnfyaala,uwacane,unnfyaala,inkwetu,ïtaata,ïmaangu,ïmaangu,inkwetu,ïmaangu,ïmaangu seenje,ïmaangu,ïmaangu seenje,inkwetu,ïtaata,ïmaangu,ïmaangu,ïtaata,ïmaangu,ïmaangu seenje,ïtaata,inkwetu,ïmaangu seenje,inkwetu,ïtaata,ïmaangu seenje,inkwetu,ïtaata,ïtaata,ïmaangu,ïmaangu seenje,ïtaata
4,0.10514867249509585,1.3701525856972792,1.2650039132021833,unnfyaala,unnfyaala,unnfyaala,unnsiice,uwacane,uwacane,unniina,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unnsiice,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,unnsiice,uwacane,unnfyaala,unnsiice,uwacane,unnfyaala,unnsiice,unnfyaala,unnfyaala,uwacane,uwacane,unniina,unnfyaala,unniina,unniina,unnfyaala,unnfyaala,uwacane,uwacane,uwacane,uwacane,unnfyaala,uwacane,unnsiice,unnfyaala,uwacane,uwacane,unnfyaala,unniina,unnfyaala,uwacane,unnfyaala,ïmaangu,ïmaangu seenje,ïmaangu,ïtaata,ïmaangu,ïmaangu,ïtaata,inkwetu,ïmaangu seenje,inkwetu,ïmaangu,ïmaangu,inkwetu,inkwetu,ïmaangu seenje,ïmaangu seenje,ïmaangu seenje,inkwetu,ïtaata,ïtaata,ïmaangu,ïtaata,ïtaata,ïmaangu,ïmaangu seenje,ïtaata,ïtaata,inkwetu
5,0.1270171211858646,1.3009486578161429,1.1739315366302783,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unniina,unnfyaala,unnfyaala,unnfyaala,unniina,unnsiice,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unnsiice,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unniina,uwacane,unnsiice,uwacane,unnfyaala,unnfyaala,uwacane,unnfyaala,uwacane,unnsiice,unnfyaala,unniina,uwacane,unnfyaala,unnsiice,uwacane,unnfyaala,unnfyaala,unnfyaala,unniina,unnfyaala,uwacane,unnsiice,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,uwacane,uwacane,ïmaangu seenje,ïmaangu,ïtaata,ïmaangu seenje,ïmaangu,ïmaangu seenje,ïtaata,inkwetu,ïmaangu,ïtaata,inkwetu,ïmaangu seenje,inkwetu,ïmaangu,ïmaangu,ïtaata,ïmaangu seenje,ïmaangu,ïmaangu seenje,ïmaangu,ïtaata,inkwetu,ïmaangu,ïtaata,ïtaata,inkwetu,inkwetu,ïtaata
6,0.15022309988445093,1.3683665734713903,1.2181434735869394,unnfyaala,unnsiice,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,uwacane,unnsiice,unnfyaala,uwacane,unnfyaala,unnfyaala,uwacane,uwacane,unnfyaala,unnsiice,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnsiice,unniina,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,uwacane,unniina,unnfyaala,unnfyaala,unniina,unnfyaala,unnfyaala,unnfyaala,unnsiice,unnfyaala,unnsiice,unnfyaala,unnfyaala,uwacane,unniina,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,unniina,uwacane,uwacane,uwacane,unnfyaala,uwacane,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,ïmaangu,ïtaata,ïtaata,ïmaangu,inkwetu,ïmaangu seenje,ïtaata,ïmaangu seenje,ïmaangu,ïtaata,ïmaangu,ïmaangu seenje,ïmaangu,ïtaata,ïmaangu,inkwetu,ïmaangu,inkwetu,ïmaangu,ïmaangu seenje,inkwetu,inkwetu,ïtaata,ïtaata,ïtaata,ïmaangu seenje,ïmaangu seenje,inkwetu
7,0.07703430635135589,1.3501102826987688,1.2730759763474129,unnfyaala,uwacane,uwacane,uwacane,unnsiice,unnsiice,unnsiice,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unniina,unnfyaala,uwacane,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,unnsiice,unnsiice,unnfyaala,unnfyaala,unniina,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnsiice,uwacane,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,uwacane,uwacane,unniina,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,uwacane,unnfyaala,uwacane,unnfyaala,unniina,unnfyaala,unnfyaala,unniina,unnfyaala,inkwetu,ïtaata,ïmaangu seenje,inkwetu,inkwetu,ïtaata,ïmaangu,ïmaangu seenje,ïmaangu,inkwetu,ïmaangu,ïtaata,ïtaata,ïmaangu seenje,ïmaangu seenje,ïmaangu,inkwetu,ïmaangu,inkwetu,ïmaangu,ïtaata,ïtaata,ïtaata,ïmaangu seenje,ïmaangu seenje,ïmaangu,ïmaangu,ïtaata
8,0.05575930895798509,1.3751146687214826,1.3193553597634975,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,uwacane,uwacane,unnfyaala,unnsiice,uwacane,uwacane,uwacane,unniina,unnfyaala,unniina,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,uwacane,unniina,unnfyaala,unnfyaala,unnfyaala,unniina,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,uwacane,unnfyaala,uwacane,unnsiice,unnfyaala,uwacane,unnfyaala,unnfyaala,unnsiice,unnsiice,unnsiice,unnfyaala,uwacane,unnsiice,uwacane,unnfyaala,uwacane,unnfyaala,uwacane,unnfyaala,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unniina,unnfyaala,unnfyaala,unnfyaala,uwacane,ïmaangu,inkwetu,inkwetu,ïmaangu seenje,ïtaata,ïmaangu,ïmaangu,ïtaata,ïtaata,ïmaangu seenje,ïmaangu seenje,ïmaangu seenje,ïmaangu seenje,ïmaangu,inkwetu,ïmaangu,ïtaata,ïtaata,ïmaangu,ïtaata,ïtaata,ïmaangu,inkwetu,ïmaangu seenje,inkwetu,inkwetu,ïmaangu,ïtaata
9,0.0915207353003773,1.3761031373913624,1.284582402090985,unnfyaala,unnfyaala,unnfyaala,unniina,unnsiice,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unnsiice,unnfyaala,uwacane,uwacane,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnsiice,uwacane,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,unnsiice,uwacane,unnfyaala,uwacane,unnfyaala,unnsiice,unnfyaala,unniina,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,uwacane,unnfyaala,unnfyaala,uwacane,uwacane,uwacane,uwacane,unnfyaala,uwacane,unnfyaala,uwacane,uwacane,unnfyaala,unnfyaala,uwacane,unnfyaala,unniina,unnfyaala,unnsiice,unniina,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unnfyaala,unniina,ïmaangu,ïtaata,ïmaangu,ïmaangu,ïmaangu seenje,ïtaata,ïtaata,ïmaangu,ïtaata,ïmaangu,inkwetu,ïmaangu seenje,inkwetu,ïtaata,ïtaata,ïmaangu seenje,inkwetu,ïmaangu,ïmaangu seenje,inkwetu,ïmaangu seenje,ïmaangu,inkwetu,ïtaata,ïmaangu,inkwetu,ïmaangu seenje,ïtaata
