simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.08668664930537795,0.972331044514958,0.88564439520958,da'uk,,,,,a'an,ur,,a'an,,,,,,,,fatnima,,,,,,,warin,,,,,,,,,,,warin,,,,,,,,,,,,,,warin,,warin,,,,,,ur,,,,,,,,,,,ur,,,,,ur,,,,,,,,,,,,,da'uk,,,,,,,,,,yaman,,,,,renan,,,,,,,avan,,renan,yaman,,memin,,,,,a'an
1,0.11329668919364544,0.9861007325087621,0.8728040433151166,,,fatnima,,,,,,,,ur,,,,,,,,,da'uk,,,,,,warin,,,,,,,,,,,,,,,warin,,a'an,,,,,,,,,,,warin,,,,,ur,,,,,,,,,warin,,a'an,,,,,,,ur,,,,,,,,ur,,,,,da'uk,renan,,,,,,memin,yaman,,,,renan,,,,,,avan,a'an,,,,,,,,yaman,
2,0.09726794718216991,0.9834359355005813,0.8861679883184114,,,,,warin,,,,warin,,,,,,,,,da'uk,,warin,,,,,,,,ur,ur,,,,,,,,,,,a'an,,fatnima,,,,warin,,,,,,,da'uk,,,,,,,,,a'an,,,,,,,,,,,,,,,,,ur,,,,,,,,,,ur,,,memin,,,,yaman,,,renan,,,,,,,,,,avan,renan,,a'an,,,yaman,,,
3,0.04612819055317152,0.8776135259070013,0.8314853353538297,,ur,,,fatnima,,,warin,,,,,,,,,,,,,,warin,,,,,,,,a'an,,,,,,,,,,,,,,,,,,,,warin,,a'an,,,,,,da'uk,,,,,,warin,,,,,,,,,,,,,ur,,,,,ur,,,,,,da'uk,ur,,,,,,memin,avan,,,,,,,renan,yaman,yaman,,,,,,,a'an,,,renan,,,
4,0.10089417034914483,0.9861007325087621,0.8852065621596172,,,,,,,,,,,,,warin,,fatnima,,,,,,warin,,,,,,,ur,warin,,da'uk,,,,ur,ur,,,,,,,,,,,,,a'an,,,,,,warin,,a'an,,,,,,,,,,,da'uk,,,,,,,,,,ur,,,,,,,,,,,,,,,,,,avan,,,memin,,,,renan,,,,yaman,,a'an,,yaman,,,,,,renan,
5,0.058052531608426494,0.9555551530187243,0.8975026214102978,,,ur,,warin,fatnima,,,,,da'uk,,,ur,,,,a'an,,,,a'an,,,,,,,,,,,,,,,,,ur,warin,,,,,,,,,,,,,,,,,,warin,,,warin,,,,,,,da'uk,,,,,,,,,,,,,,,,,,ur,,,,,,,a'an,,,,yaman,,,,,yaman,,,renan,avan,,,renan,,,,memin,,,,,
6,0.06109582628677268,1.0085044731026378,0.9474086468158651,,,warin,,,,,da'uk,,,,,,,,,,a'an,,ur,,,,,,,,,,,fatnima,,,,,,,,da'uk,warin,a'an,ur,,,,,,,,,,,warin,,,,,,,warin,,,,,,,,,,,,,ur,,,ur,,,,,,,,,,,,,,,,,,yaman,,,,,,,renan,,a'an,,renan,,,memin,avan,,yaman,,,,,,,
7,0.10114222648491311,0.8772607414130993,0.7761185149281862,,,warin,,,,,,da'uk,,ur,,,,,,ur,,,,,,warin,,,,,,,,,,,,,,,warin,,,,,,,a'an,,,,,,,,,,,,,,,,,,,,,,,,,,,ur,ur,warin,,,,,,,fatnima,,da'uk,,,,a'an,,,,,,,,,,,,,renan,,,,,,yaman,memin,,yaman,,,renan,a'an,,avan,,,
8,0.045832831032702304,1.0266676319968946,0.9808348009641923,ur,,,,ur,,,,,,,,,,,,,,,,,,,,,,,,,,,ur,,,,warin,,,,,,,,warin,,,,,,,,,,,,,fatnima,,,da'uk,,,,,,,,,,da'uk,warin,,warin,,,a'an,,a'an,,ur,,,,,,,,,,,,renan,yaman,,,,,,,,avan,,,,,,,a'an,,yaman,memin,,renan,,,,,
9,0.12167706616319207,0.9998704205025659,0.8781933543393738,warin,warin,,,,,,da'uk,,warin,,,,,,a'an,,,,,,,ur,fatnima,,,,,,,,,,,,,,,,,,ur,,,,,,,,,,a'an,,,,,,,,,,,,,,,warin,,ur,,,,,,,,,,da'uk,,,,,,,,,,,ur,,avan,a'an,,,memin,,yaman,,renan,,yaman,,,,,,,,,,,,,,renan,,
