simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,feB,fyB,feZ,fyZ,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ,mF,mM,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fF,fM,fFB,fMB,fFeB,fFyB,fMeB,fMyB
0,0.06177435443840529,1.0830864648769403,1.021312110438535,nicht,neef,neef,nicht,sus,nicht,neef,neef,nicht,nicht,nicht,nicht,sus,nicht,neef,neef,nicht,neef,nicht,nicht,neef,nicht,neef,neef,nicht,nicht,neef,broer,neef,nicht,nicht,neef,nicht,neef,broer,nicht,nicht,broerke,nicht,neef,sus,nicht,neef,neef,neef,nicht,neef,neef,neef,neef,neef,neef,nicht,nicht,suske,neef,neef,neef,nicht,neef,nicht,nicht,neef,broerke,nicht,nicht,neef,nicht,nicht,nicht,nicht,neef,neef,nicht,sus,broer,suske,nicht,neef,neef,nicht,neef,nicht,neef,nicht,neef,neef,nicht,neef,ome,muoike,heit,muoike,heit,ome,ome,muoike,muoike,muoike,muoike,muoike,ome,muoike,ome,mem,ome,ome,ome,ome,ome,muoike,muoike,ome,muoike,muoike,mem,ome
1,0.1388115610834827,1.0105452460431779,0.8717336849596952,nicht,nicht,nicht,neef,neef,nicht,neef,neef,suske,neef,nicht,neef,broerke,nicht,neef,nicht,neef,nicht,neef,nicht,nicht,nicht,nicht,nicht,nicht,nicht,nicht,neef,nicht,sus,nicht,nicht,sus,nicht,suske,nicht,nicht,nicht,neef,nicht,nicht,neef,nicht,neef,neef,nicht,neef,neef,neef,neef,neef,neef,neef,neef,neef,neef,nicht,nicht,neef,nicht,broer,nicht,sus,neef,broer,neef,neef,sus,nicht,broer,neef,neef,nicht,broerke,neef,nicht,neef,nicht,nicht,neef,neef,neef,neef,neef,nicht,neef,nicht,neef,nicht,muoike,ome,ome,ome,muoike,mem,muoike,muoike,muoike,ome,muoike,muoike,muoike,ome,muoike,ome,muoike,muoike,heit,ome,ome,mem,ome,ome,muoike,heit,ome,ome
2,0.05339808199936269,1.1118550885980456,1.058457006598683,neef,nicht,nicht,nicht,nicht,neef,broer,nicht,neef,neef,neef,neef,nicht,neef,neef,sus,nicht,nicht,neef,neef,nicht,broerke,neef,neef,neef,nicht,nicht,nicht,neef,nicht,nicht,nicht,nicht,suske,nicht,sus,nicht,neef,nicht,neef,neef,nicht,nicht,neef,nicht,nicht,neef,neef,neef,nicht,suske,neef,nicht,neef,neef,nicht,nicht,neef,nicht,nicht,neef,nicht,neef,broer,sus,nicht,neef,nicht,neef,nicht,nicht,nicht,nicht,broer,neef,neef,neef,sus,neef,neef,neef,nicht,neef,neef,broerke,neef,neef,nicht,nicht,ome,muoike,ome,heit,heit,ome,muoike,muoike,ome,ome,muoike,ome,ome,mem,ome,muoike,ome,muoike,ome,muoike,ome,ome,muoike,mem,muoike,muoike,muoike,muoike
3,0.0982106794976958,1.0838318020822264,0.9856211225845306,nicht,nicht,nicht,neef,nicht,nicht,nicht,neef,nicht,broer,neef,nicht,sus,neef,broer,nicht,nicht,nicht,nicht,nicht,nicht,neef,neef,sus,nicht,neef,neef,neef,suske,neef,nicht,neef,broer,neef,neef,neef,nicht,nicht,broerke,neef,neef,neef,neef,neef,neef,nicht,neef,neef,nicht,sus,nicht,neef,nicht,neef,neef,neef,nicht,neef,neef,neef,nicht,nicht,nicht,neef,nicht,nicht,nicht,neef,neef,neef,neef,nicht,nicht,nicht,nicht,nicht,neef,neef,neef,nicht,nicht,nicht,neef,neef,broerke,nicht,suske,nicht,sus,ome,muoike,muoike,heit,ome,muoike,ome,mem,muoike,ome,muoike,muoike,ome,muoike,muoike,muoike,muoike,ome,ome,muoike,ome,ome,mem,muoike,ome,heit,ome,ome
4,0.22446004082783022,1.0819804479264077,0.8575204070985775,nicht,nicht,neef,broerke,neef,nicht,neef,neef,neef,nicht,nicht,neef,nicht,neef,neef,neef,neef,nicht,neef,nicht,nicht,neef,neef,nicht,neef,neef,sus,neef,nicht,neef,sus,neef,neef,nicht,nicht,neef,neef,nicht,nicht,nicht,nicht,suske,sus,neef,nicht,nicht,neef,neef,neef,neef,neef,neef,nicht,neef,nicht,neef,broerke,neef,nicht,nicht,nicht,nicht,nicht,neef,nicht,broer,nicht,neef,nicht,nicht,nicht,sus,nicht,nicht,broer,suske,neef,nicht,nicht,nicht,nicht,neef,neef,neef,broer,neef,nicht,nicht,neef,muoike,muoike,ome,muoike,ome,ome,muoike,ome,ome,ome,ome,muoike,ome,mem,ome,muoike,muoike,muoike,ome,heit,muoike,mem,ome,muoike,muoike,ome,muoike,heit
5,0.09514967417477538,1.0601801823212482,0.9650305081464728,nicht,nicht,sus,broer,nicht,neef,neef,sus,nicht,nicht,broer,neef,nicht,neef,neef,nicht,nicht,sus,nicht,neef,neef,neef,neef,neef,nicht,nicht,broer,neef,nicht,neef,nicht,neef,nicht,nicht,nicht,nicht,nicht,nicht,neef,neef,neef,neef,nicht,neef,neef,nicht,nicht,nicht,nicht,neef,neef,nicht,nicht,neef,neef,neef,neef,nicht,neef,suske,neef,nicht,neef,nicht,neef,nicht,nicht,neef,neef,nicht,nicht,broerke,nicht,nicht,neef,neef,nicht,nicht,neef,nicht,neef,suske,broerke,neef,neef,neef,sus,neef,nicht,muoike,ome,muoike,muoike,mem,muoike,ome,ome,ome,muoike,ome,muoike,muoike,ome,ome,muoike,muoike,ome,muoike,muoike,ome,heit,ome,mem,ome,heit,muoike,ome
6,0.16436927816752323,1.0830864648769403,0.918717186709417,neef,neef,neef,neef,nicht,nicht,neef,neef,nicht,neef,neef,neef,neef,nicht,nicht,suske,neef,nicht,broerke,nicht,nicht,nicht,neef,nicht,broer,neef,nicht,nicht,nicht,sus,nicht,nicht,neef,nicht,neef,suske,neef,nicht,nicht,neef,nicht,broer,nicht,nicht,neef,neef,neef,neef,nicht,neef,broer,nicht,nicht,neef,neef,nicht,nicht,neef,neef,broerke,neef,neef,neef,neef,neef,neef,neef,sus,neef,neef,neef,nicht,sus,sus,neef,nicht,nicht,neef,nicht,nicht,nicht,nicht,nicht,nicht,neef,nicht,nicht,nicht,nicht,muoike,ome,heit,ome,muoike,ome,muoike,ome,muoike,ome,muoike,muoike,ome,muoike,muoike,heit,muoike,ome,mem,muoike,muoike,ome,ome,muoike,ome,ome,ome,mem
7,0.13345894567192185,1.1084659859628818,0.97500704029096,neef,nicht,nicht,neef,neef,neef,neef,nicht,nicht,nicht,nicht,nicht,nicht,neef,neef,neef,broerke,nicht,neef,nicht,nicht,nicht,neef,nicht,nicht,nicht,neef,nicht,nicht,neef,nicht,nicht,neef,sus,nicht,nicht,nicht,nicht,neef,neef,nicht,neef,sus,nicht,broer,nicht,nicht,neef,neef,neef,neef,broer,nicht,nicht,neef,neef,broerke,suske,neef,neef,nicht,nicht,neef,nicht,broer,neef,neef,nicht,neef,nicht,neef,neef,neef,neef,sus,nicht,neef,nicht,neef,neef,nicht,nicht,neef,nicht,neef,suske,neef,sus,neef,ome,ome,ome,heit,muoike,muoike,mem,muoike,muoike,muoike,muoike,muoike,mem,ome,ome,ome,ome,ome,muoike,muoike,ome,muoike,muoike,ome,ome,ome,muoike,heit
8,0.12344557203040574,1.1252397964888001,1.0017942244583944,neef,neef,neef,nicht,neef,nicht,nicht,neef,nicht,sus,nicht,neef,nicht,neef,nicht,nicht,broerke,neef,nicht,neef,nicht,nicht,nicht,neef,nicht,nicht,nicht,nicht,neef,broerke,nicht,nicht,neef,sus,neef,neef,neef,neef,nicht,nicht,nicht,nicht,broer,sus,neef,neef,neef,nicht,suske,neef,neef,nicht,nicht,nicht,neef,nicht,nicht,neef,nicht,neef,sus,neef,neef,nicht,nicht,neef,neef,neef,nicht,neef,nicht,neef,broer,neef,nicht,neef,neef,nicht,suske,neef,broer,neef,nicht,neef,neef,nicht,nicht,neef,nicht,ome,muoike,ome,muoike,muoike,muoike,muoike,muoike,ome,ome,ome,ome,mem,ome,ome,muoike,ome,muoike,muoike,ome,muoike,heit,mem,muoike,muoike,ome,heit,ome
9,0.10705540224898158,1.1585777869117746,1.051522384662793,neef,nicht,nicht,broerke,neef,nicht,neef,neef,neef,neef,nicht,nicht,nicht,sus,neef,broerke,nicht,nicht,nicht,sus,neef,neef,nicht,neef,nicht,nicht,nicht,neef,neef,nicht,nicht,suske,neef,nicht,neef,nicht,nicht,nicht,nicht,neef,neef,nicht,nicht,neef,broer,nicht,neef,neef,neef,neef,nicht,nicht,neef,neef,nicht,neef,nicht,nicht,neef,neef,nicht,nicht,nicht,neef,nicht,neef,nicht,sus,nicht,neef,broer,broer,suske,nicht,neef,neef,neef,nicht,neef,neef,nicht,nicht,neef,sus,neef,neef,nicht,neef,neef,heit,muoike,muoike,ome,ome,ome,ome,ome,ome,muoike,muoike,muoike,muoike,mem,muoike,ome,muoike,ome,muoike,muoike,muoike,ome,ome,heit,ome,ome,mem,muoike
