simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.04843272551780231,1.3485720272801343,1.300139301762332,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Taina,Mataitama,Tuanga'ane,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,masakitange,Tsinana,masakitange,Tamana,Tsinana,Tsinana,Tamana,Tsinana,Tu'a tsinana,Tamana,masakitange,masakitange,Tsinana,Tamana,Tamana,Tamana,masakitange,Tamana,Tsinana,Tsinana,Tamana,masakitange,Tu'a tsinana,Tu'a tsinana,Tu'a tsinana,Tsinana,Tu'a tsinana,Tu'a tsinana
1,0.07125995987380129,1.3853485275539863,1.314088567680185,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Taina,Taina,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tu'a tsinana,masakitange,Tu'a tsinana,Tamana,Tu'a tsinana,Tamana,Tamana,Tsinana,Tamana,Tsinana,Tu'a tsinana,Tamana,masakitange,Tsinana,masakitange,Tu'a tsinana,masakitange,masakitange,Tsinana,Tsinana,Tamana,Tsinana,Tamana,masakitange,Tsinana,Tamana,Tu'a tsinana,Tsinana
2,0.04954802003593484,1.3418260866296357,1.2922780665937008,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Taina,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tu'a tsinana,Tsinana,Tamana,Tsinana,Tamana,Tu'a tsinana,Tsinana,Tsinana,masakitange,Tamana,Tu'a tsinana,masakitange,Tsinana,Tsinana,Tu'a tsinana,masakitange,Tamana,Tamana,Tamana,Tamana,masakitange,Tsinana,Tu'a tsinana,Tamana,masakitange,masakitange,Tsinana,Tu'a tsinana
3,0.02030247406862906,1.3715814975350686,1.3512790234664396,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Tuanga'ane,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tsinana,Tu'a tsinana,masakitange,Tamana,masakitange,Tsinana,Tu'a tsinana,masakitange,Tu'a tsinana,Tamana,Tu'a tsinana,Tu'a tsinana,Tamana,masakitange,Tu'a tsinana,Tsinana,Tamana,masakitange,Tsinana,Tsinana,Tsinana,Tsinana,Tamana,Tsinana,Tamana,Tamana,Tamana,masakitange
4,0.03091617598806251,1.3661771571703256,1.335260981182263,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tamana,Tsinana,Tsinana,masakitange,Tamana,Tu'a tsinana,Tsinana,Tamana,Tamana,Tsinana,Tsinana,Tu'a tsinana,Tamana,masakitange,masakitange,Tu'a tsinana,masakitange,Tsinana,Tamana,Tsinana,Tu'a tsinana,masakitange,Tamana,masakitange,Tsinana,Tu'a tsinana,Tu'a tsinana,Tamana
5,0.031078513386443962,1.3687098903068393,1.3376313769203954,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Tuanga'ane,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,masakitange,masakitange,Tsinana,Tamana,Tamana,Tsinana,Tu'a tsinana,Tu'a tsinana,Tsinana,Tu'a tsinana,Tamana,Tu'a tsinana,masakitange,Tsinana,Tamana,Tamana,Tsinana,Tu'a tsinana,Tamana,masakitange,masakitange,Tamana,Tamana,Tsinana,masakitange,Tsinana,Tsinana,Tu'a tsinana
6,0.046215043697155345,1.3796831291186025,1.3334680854214471,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Taina,Mataitama,Mataitama,Tuanga'ane,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Tsinana,Tu'a tsinana,Tu'a tsinana,masakitange,Tamana,Tsinana,masakitange,Tamana,Tamana,Tu'a tsinana,masakitange,Tamana,Tamana,Tsinana,Tu'a tsinana,Tsinana,masakitange,Tu'a tsinana,Tsinana,Tamana,masakitange,Tamana,Tu'a tsinana,Tsinana,Tsinana,masakitange,Tsinana,Tamana
7,0.07415020072841738,1.3723995140310494,1.298249313302632,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Taina,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Tamana,Tsinana,Tu'a tsinana,Tamana,Tsinana,masakitange,masakitange,Tsinana,masakitange,Tamana,Tu'a tsinana,Tsinana,Tamana,Tsinana,Tamana,masakitange,Tamana,Tu'a tsinana,masakitange,Tsinana,Tamana,Tu'a tsinana,Tamana,masakitange,Tsinana,Tsinana,Tu'a tsinana,Tu'a tsinana
8,0.03964392544720119,1.3659160990996848,1.3262721736524836,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Taina,Mataitama,Mataitama,Taina,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tu'a tsinana,Tsinana,Tamana,Tamana,masakitange,Tsinana,Tu'a tsinana,Tsinana,Tsinana,masakitange,Tu'a tsinana,masakitange,Tamana,Tamana,Tsinana,Tu'a tsinana,Tamana,Tu'a tsinana,Tsinana,Tamana,Tsinana,Tamana,masakitange,masakitange,masakitange,Tamana,Tsinana,Tu'a tsinana
9,0.02611667205894075,1.376108857146607,1.3499921850876662,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Taina,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Taina,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tuanga'ane,Mataitama,Mataitama,Mataitama,Mataitama,Mataitama,Tsinana,Tamana,Tu'a tsinana,Tamana,Tsinana,Tu'a tsinana,masakitange,Tu'a tsinana,masakitange,Tu'a tsinana,Tamana,Tsinana,Tamana,Tamana,masakitange,Tsinana,Tamana,Tsinana,Tu'a tsinana,masakitange,Tamana,Tsinana,masakitange,masakitange,Tamana,Tsinana,Tu'a tsinana,Tsinana
