simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.04274466520112363,1.192854958575232,1.1501102933741083,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,ulitág,ulitág,ulitág,"ikit, titti",ulitág,"ikit, titti","ikit, titti",ulitág,"ikit, titti",ulitág,"ikit, titti",ina,ama,"ikit, titti",ama,"ikit, titti",ulitág,ulitág,ina,"ikit, titti"
1,0.03444484364717648,1.2135652713163758,1.1791204276691993,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,"ikit, titti","ikit, titti",ulitág,ina,"ikit, titti",ama,ulitág,ama,"ikit, titti","ikit, titti",ina,ulitág,"ikit, titti","ikit, titti",ulitág,ulitág,ulitág,ulitág,ulitág,"ikit, titti"
2,0.027980663113992055,1.2135652713163758,1.1855846082023838,kapinsan,kapinsan,kolak,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,ulitág,ulitág,ulitág,ama,ulitág,"ikit, titti","ikit, titti",ulitág,"ikit, titti",ulitág,ina,ulitág,ulitág,"ikit, titti",ina,"ikit, titti","ikit, titti","ikit, titti",ama,"ikit, titti"
3,0.06642854297866152,1.1907686023357982,1.1243400593571367,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,"ikit, titti",ulitág,"ikit, titti","ikit, titti",ina,ulitág,"ikit, titti",ulitág,"ikit, titti",ama,"ikit, titti",ina,"ikit, titti",ulitág,ulitág,ulitág,ulitág,ulitág,ama,"ikit, titti"
4,0.04916584140543012,1.1935496040981333,1.1443837626927031,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,"ikit, titti","ikit, titti",ulitág,ulitág,"ikit, titti",ama,"ikit, titti",ina,ulitág,"ikit, titti","ikit, titti",ulitág,"ikit, titti",ulitág,ulitág,ulitág,ama,"ikit, titti",ulitág,ina
5,0.04239343866013834,1.2149847829974896,1.1725913443373512,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,"ikit, titti",ulitág,ama,"ikit, titti",ulitág,"ikit, titti",ulitág,ama,"ikit, titti",ina,ulitág,"ikit, titti",ulitág,"ikit, titti",ulitág,ulitág,"ikit, titti",ina,"ikit, titti",ulitág
6,0.046605235361298014,1.1403524705011352,1.0937472351398372,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kolak,ulitág,"ikit, titti","ikit, titti",ulitág,ulitág,ulitág,ama,ina,"ikit, titti","ikit, titti","ikit, titti","ikit, titti","ikit, titti",ama,ulitág,ulitág,ina,ulitág,"ikit, titti",ulitág
7,0.012407046252057796,1.1686289967621915,1.1562219505101337,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kolak,kolak,kapinsan,kapinsan,kapinsan,ulitág,ulitág,ulitág,ina,ulitág,"ikit, titti",ama,ulitág,"ikit, titti",ulitág,"ikit, titti",ulitág,"ikit, titti",ina,"ikit, titti",ama,"ikit, titti","ikit, titti",ulitág,"ikit, titti"
8,0.017076219529669867,1.2135652713163758,1.196489051786706,kolak,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,ulitág,"ikit, titti",ulitág,ama,"ikit, titti",ina,ulitág,"ikit, titti","ikit, titti","ikit, titti",ulitág,ulitág,ulitág,"ikit, titti",ulitág,ina,"ikit, titti",ulitág,"ikit, titti",ama
9,0.016966696019958816,1.2135652713163758,1.196598575296417,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kapinsan,kolak,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kapinsan,kolak,kolak,kapinsan,kapinsan,kapinsan,kapinsan,ulitág,"ikit, titti",ama,ulitág,"ikit, titti","ikit, titti",ina,ulitág,ama,ulitág,"ikit, titti",ulitág,ulitág,"ikit, titti","ikit, titti",ulitág,"ikit, titti",ina,ulitág,"ikit, titti"
