simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mM,fF,fM,mMeB,mMyB,fMeB,fMyB
0,0.21112711904035697,0.9337200585143981,0.7225929394740411,awa bira madoehoetoe,hira,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,rirǐja,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,hira,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,rirǐja,gija nongoroe madoehoetoe,nongoroe,bira,awa bira madoehoetoe,awa bira madoehoetoe,nongoroe,bira,"mème, maäwa",o èpe,o èpe,o èpe,bàba,"mème, maäwa",o èpe
1,0.21341455491744676,0.9582325450794875,0.7448179901620408,awa bira madoehoetoe,nongoroe,awa bira madoehoetoe,bira,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,hira,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,nongoroe,gija nongoroe madoehoetoe,hira,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,rirǐja,awa bira madoehoetoe,awa bira madoehoetoe,bira,gija nongoroe madoehoetoe,rirǐja,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,"mème, maäwa",o èpe,"mème, maäwa",o èpe,o èpe,bàba,o èpe
2,0.2248633964272475,0.9901000747284985,0.765236678301251,bira,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,rirǐja,rirǐja,nongoroe,hira,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,hira,gija nongoroe madoehoetoe,bira,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,nongoroe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,o èpe,"mème, maäwa",bàba,"mème, maäwa",o èpe,o èpe,o èpe
3,0.07809288318868068,0.9596147939120492,0.8815219107233685,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,rirǐja,awa bira madoehoetoe,awa bira madoehoetoe,nongoroe,hira,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,rirǐja,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,bira,bira,awa bira madoehoetoe,gija nongoroe madoehoetoe,hira,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,nongoroe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,o èpe,o èpe,bàba,"mème, maäwa","mème, maäwa",o èpe,o èpe
4,0.21764161918273373,0.9337200585143981,0.7160784393316644,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,bira,awa bira madoehoetoe,rirǐja,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,nongoroe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,bira,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,hira,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,rirǐja,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,hira,gija nongoroe madoehoetoe,nongoroe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,"mème, maäwa",o èpe,o èpe,o èpe,o èpe,bàba,"mème, maäwa"
5,0.21383759961525683,0.9582325450794875,0.7443949454642307,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,nongoroe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,nongoroe,rirǐja,gija nongoroe madoehoetoe,rirǐja,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,bira,awa bira madoehoetoe,awa bira madoehoetoe,hira,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,hira,bira,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,"mème, maäwa",o èpe,"mème, maäwa",o èpe,o èpe,o èpe,bàba
6,0.19462634398834266,0.9596147939120492,0.7649884499237065,awa bira madoehoetoe,gija nongoroe madoehoetoe,rirǐja,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,bira,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,nongoroe,gija nongoroe madoehoetoe,bira,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,nongoroe,rirǐja,gija nongoroe madoehoetoe,hira,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,hira,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,o èpe,o èpe,bàba,"mème, maäwa",o èpe,"mème, maäwa",o èpe
7,0.28901566373117393,0.9596147939120492,0.6705991301808752,hira,gija nongoroe madoehoetoe,rirǐja,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,bira,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,hira,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,rirǐja,gija nongoroe madoehoetoe,awa bira madoehoetoe,nongoroe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,nongoroe,bira,o èpe,o èpe,bàba,"mème, maäwa","mème, maäwa",o èpe,o èpe
8,0.21054123303182926,0.9337200585143981,0.7231788254825688,rirǐja,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,bira,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,hira,hira,nongoroe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,nongoroe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,rirǐja,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,bira,gija nongoroe madoehoetoe,"mème, maäwa",o èpe,o èpe,o èpe,"mème, maäwa",o èpe,bàba
9,0.07839112837564122,0.9337200585143981,0.8553289301387569,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,nongoroe,awa bira madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,awa bira madoehoetoe,hira,awa bira madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,awa bira madoehoetoe,gija nongoroe madoehoetoe,bira,awa bira madoehoetoe,bira,rirǐja,gija nongoroe madoehoetoe,nongoroe,gija nongoroe madoehoetoe,gija nongoroe madoehoetoe,rirǐja,awa bira madoehoetoe,gija nongoroe madoehoetoe,hira,awa bira madoehoetoe,awa bira madoehoetoe,o èpe,o èpe,"mème, maäwa",o èpe,bàba,o èpe,"mème, maäwa"
