simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.11667433772823688,1.6727674316902474,1.5560930939620106,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,yac̄i,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,imuƛi wac̄i,iluƛi wac̄i,iluƛi yac̄i,iluƛi yac̄i,imuƛi wac̄i,imuƛi yac̄i,iluƛi wac̄i,iluƛi wac̄i,iluƛi yac̄i,imuƛi yac̄i,ila,imuƛi yac̄i,iluƛi wac̄i,imʲa,imuƛi yac̄i,imuƛi wac̄i,imuƛi yac̄i,imuƛi wac̄i,imʲa,iluƛi yac̄i,iluƛi yac̄i,iluƛi wac̄i,iluƛi wac̄i,imuƛi yac̄i,iluƛi yac̄i,imuƛi wac̄i,imuƛi wac̄i,ila
1,0.16524439955325287,1.7159448107499102,1.5507004111966574,wacʕal,wacʕal,wacʕal,yac̄i,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,wac̄i,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,imʲa,imuƛi wac̄i,iluƛi yac̄i,iluƛi yac̄i,iluƛi wac̄i,imuƛi wac̄i,imuƛi wac̄i,iluƛi wac̄i,imuƛi wac̄i,imuƛi yac̄i,iluƛi wac̄i,imuƛi yac̄i,imuƛi yac̄i,iluƛi yac̄i,ila,ila,imuƛi yac̄i,iluƛi yac̄i,imuƛi wac̄i,imʲa,iluƛi wac̄i,imuƛi yac̄i,imuƛi yac̄i,iluƛi yac̄i,iluƛi wac̄i,iluƛi wac̄i,iluƛi yac̄i,imuƛi wac̄i
2,0.1499900370298446,1.6439928956362062,1.4940028586063616,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,yac̄i,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,iluƛi wac̄i,iluƛi yac̄i,iluƛi yac̄i,imuƛi yac̄i,iluƛi yac̄i,imuƛi wac̄i,ila,imuƛi yac̄i,imuƛi wac̄i,imʲa,imuƛi yac̄i,iluƛi wac̄i,iluƛi yac̄i,imuƛi yac̄i,imuƛi wac̄i,iluƛi wac̄i,iluƛi wac̄i,iluƛi wac̄i,iluƛi yac̄i,imuƛi wac̄i,imuƛi wac̄i,iluƛi yac̄i,imʲa,imuƛi yac̄i,imuƛi wac̄i,ila,iluƛi wac̄i,imuƛi yac̄i
3,0.12320853248064645,1.6860978030840181,1.5628892706033717,wacʕal,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,mikʼisi wac̄i,wac̄i,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,iluƛi wac̄i,iluƛi yac̄i,iluƛi wac̄i,imuƛi wac̄i,ila,imuƛi wac̄i,iluƛi yac̄i,iluƛi wac̄i,imuƛi yac̄i,iluƛi yac̄i,ila,imuƛi wac̄i,iluƛi yac̄i,iluƛi wac̄i,iluƛi yac̄i,imʲa,imuƛi yac̄i,imuƛi yac̄i,iluƛi wac̄i,iluƛi wac̄i,imuƛi yac̄i,imuƛi wac̄i,imʲa,imuƛi wac̄i,imuƛi yac̄i,imuƛi wac̄i,imuƛi yac̄i,iluƛi yac̄i
4,0.1587856066870117,1.6785192745327528,1.5197336678457412,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,yac̄i,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,imuƛi yac̄i,iluƛi yac̄i,iluƛi wac̄i,iluƛi wac̄i,imuƛi wac̄i,imuƛi wac̄i,imʲa,imʲa,imuƛi wac̄i,imuƛi yac̄i,iluƛi yac̄i,imuƛi wac̄i,imuƛi yac̄i,imuƛi wac̄i,imuƛi yac̄i,iluƛi yac̄i,imuƛi yac̄i,imuƛi yac̄i,iluƛi wac̄i,ila,iluƛi wac̄i,iluƛi wac̄i,ila,imuƛi wac̄i,iluƛi yac̄i,iluƛi yac̄i,iluƛi wac̄i,iluƛi yac̄i
5,0.12290876148154051,1.6757834495487682,1.5528746880672277,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,mikʼisi yac̄i,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,imuƛi wac̄i,iluƛi wac̄i,iluƛi yac̄i,ila,imuƛi yac̄i,iluƛi wac̄i,imuƛi wac̄i,imʲa,iluƛi wac̄i,imuƛi yac̄i,iluƛi yac̄i,imuƛi wac̄i,imʲa,iluƛi yac̄i,imuƛi yac̄i,iluƛi yac̄i,imuƛi wac̄i,imuƛi wac̄i,iluƛi yac̄i,iluƛi wac̄i,iluƛi wac̄i,imuƛi yac̄i,iluƛi wac̄i,ila,imuƛi yac̄i,imuƛi wac̄i,imuƛi yac̄i,iluƛi yac̄i
6,0.09761013725142353,1.6447314216121933,1.5471212843607698,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wac̄i,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wac̄i,wacʕal,wacʕal,wacʕal,wac̄i,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,yac̄i,wac̄i,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,imuƛi wac̄i,iluƛi wac̄i,iluƛi yac̄i,imuƛi wac̄i,iluƛi yac̄i,iluƛi yac̄i,iluƛi wac̄i,imuƛi yac̄i,ila,imuƛi yac̄i,ila,imuƛi yac̄i,iluƛi wac̄i,iluƛi wac̄i,imʲa,imuƛi wac̄i,iluƛi yac̄i,iluƛi wac̄i,imuƛi wac̄i,imuƛi wac̄i,imuƛi wac̄i,iluƛi yac̄i,imuƛi yac̄i,imuƛi yac̄i,imuƛi yac̄i,iluƛi yac̄i,iluƛi wac̄i,imʲa
7,0.11900009465371242,1.652133693217587,1.5331335985638745,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wac̄i,wacʕal,wacʕal,wac̄i,wacʕal,mikʼisi wac̄i,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,imuƛi yac̄i,imuƛi wac̄i,imuƛi wac̄i,imuƛi yac̄i,imuƛi wac̄i,iluƛi yac̄i,imʲa,imuƛi wac̄i,iluƛi wac̄i,iluƛi wac̄i,imuƛi wac̄i,iluƛi wac̄i,iluƛi yac̄i,imuƛi yac̄i,imʲa,iluƛi yac̄i,imuƛi wac̄i,iluƛi wac̄i,imuƛi yac̄i,iluƛi wac̄i,ila,iluƛi yac̄i,iluƛi yac̄i,iluƛi wac̄i,imuƛi yac̄i,iluƛi yac̄i,imuƛi yac̄i,ila
8,0.07465524527816192,1.6202798846445685,1.5456246393664066,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,iluƛi yac̄i,iluƛi wac̄i,imuƛi wac̄i,iluƛi yac̄i,imuƛi yac̄i,imuƛi yac̄i,imuƛi wac̄i,imuƛi wac̄i,iluƛi yac̄i,imuƛi yac̄i,imuƛi wac̄i,ila,iluƛi yac̄i,iluƛi wac̄i,iluƛi yac̄i,iluƛi wac̄i,imuƛi wac̄i,imuƛi yac̄i,imuƛi wac̄i,iluƛi wac̄i,imuƛi yac̄i,ila,imʲa,imuƛi yac̄i,iluƛi wac̄i,iluƛi yac̄i,imʲa,iluƛi wac̄i
9,0.14001434725886197,1.7331725142602532,1.5931581670013912,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,mikʼisi yac̄i,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,wac̄i,wacʕal,wacʕal,wacʕal,wacʕal,mikʼisi yac̄i,wacʕal,wacʕal,wacʕal,wacʕal,wacʕal,yac̄i,wacʕal,imuƛi yac̄i,iluƛi yac̄i,iluƛi wac̄i,ila,imuƛi yac̄i,imʲa,imuƛi wac̄i,iluƛi yac̄i,iluƛi wac̄i,imuƛi wac̄i,iluƛi wac̄i,imʲa,iluƛi yac̄i,imuƛi yac̄i,imuƛi wac̄i,iluƛi yac̄i,ila,imuƛi wac̄i,iluƛi wac̄i,imuƛi yac̄i,iluƛi yac̄i,imuƛi yac̄i,iluƛi wac̄i,iluƛi wac̄i,imuƛi wac̄i,iluƛi yac̄i,imuƛi wac̄i,imuƛi yac̄i
