simulation_number,mutual_information,entropy,conditional_entropy,mZ,meZ,myZ,meB,myB,fB,fZ,feZ,fyZ,feB,fyB,mF,mM,fF,fM
0,0.008262958045137547,0.6914160776171183,0.6831531195719808,didi,selár,tammur,selár,didi,takká,tammur,tammur,takká,tammur,tammur,awhari,dádál,dádál,awhari
1,0.008262958045137547,0.6914160776171183,0.6831531195719808,selár,takká,tammur,selár,takká,tammur,tammur,tammur,didi,tammur,didi,dádál,awhari,awhari,dádál
2,0.008262958045137547,0.6914160776171183,0.6831531195719808,takká,tammur,selár,takká,tammur,didi,didi,tammur,selár,tammur,tammur,awhari,dádál,awhari,dádál
3,0.03904226061952276,0.6914160776171183,0.6523738169975956,selár,tammur,didi,didi,tammur,selár,tammur,tammur,tammur,takká,takká,dádál,awhari,awhari,dádál
4,0.03904226061952276,0.6914160776171183,0.6523738169975956,takká,selár,selár,tammur,tammur,takká,didi,tammur,tammur,tammur,didi,awhari,dádál,dádál,awhari
5,0.008262958045137658,0.6914160776171183,0.6831531195719807,selár,selár,tammur,tammur,didi,tammur,takká,tammur,tammur,takká,didi,awhari,dádál,awhari,dádál
6,0.008262958045137547,0.6914160776171183,0.6831531195719808,selár,tammur,selár,tammur,didi,tammur,tammur,takká,takká,tammur,didi,dádál,awhari,awhari,dádál
7,0.1324334074799215,0.6914160776171183,0.5589826701371968,selár,selár,tammur,didi,tammur,takká,takká,tammur,tammur,didi,tammur,dádál,dádál,awhari,awhari
8,0.008262958045137658,0.6914160776171183,0.6831531195719807,selár,tammur,tammur,didi,selár,takká,takká,tammur,tammur,didi,tammur,awhari,dádál,awhari,dádál
9,0.0024849871169562165,0.6914160776171183,0.6889310905001621,tammur,didi,takká,tammur,selár,tammur,didi,tammur,tammur,takká,selár,awhari,dádál,awhari,dádál
