simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFBD,mMZD,mFBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,fB,fZ,fFBD,fMZD,fFBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mF,mM,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fF,fM,fFB,fMB,fFeB,fFyB,fMeB,fMyB
0,0.0585354338238373,1.1474155804464095,1.0888801466225722,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,maagókóro,ómobiara,sókóro,ómobiara,ómobiara,maagókóro,ómobiara,sókóro,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maamé,maamé,maamé,baabá,baabá,taatámoke,maamé,taata,taatámoke,taata,taatámoke,taatámoke,maamé,maamé,taatámoke,taatámoke
1,0.06183374714314249,1.275570796093752,1.2137370489506094,ómobiara,ómobiara,sókóro,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,sókóro,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,taata,taatámoke,maamé,maamé,maamé,taatámoke,baabá,maamé,baabá,maamé,taatámoke,maamé,taata,taatámoke,taatámoke,taatámoke
2,0.1690001008623857,0.866576060301081,0.6975759594386953,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,maagókóro,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,sókóro,maagókóro,ómobiara,ómobiara,sókóro,ómobiara,taatámoke,taatámoke,taatámoke,maamé,taatámoke,taata,baabá,maamé,taatámoke,taatámoke,maamé,baabá,taata,maamé,maamé,maamé
3,0.05611829085781617,0.9752584799639915,0.9191401891061753,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,sókóro,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,maagókóro,maamé,maamé,taata,baabá,maamé,maamé,taatámoke,taatámoke,maamé,taatámoke,maamé,taatámoke,taatámoke,baabá,taata,taatámoke
4,0.0453821387686284,1.1032882909991732,1.0579061522305448,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,maagókóro,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,maagókóro,ómobiara,sókóro,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,maagókóro,ómobiara,ómobiara,taatámoke,taatámoke,taatámoke,maamé,baabá,taata,taatámoke,maamé,maamé,taatámoke,maamé,taata,maamé,taatámoke,baabá,maamé
5,0.17343671973836217,1.193684748679788,1.0202480289414257,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,sókóro,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,sókóro,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,sókóro,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,maamé,baabá,taatámoke,taatámoke,taatámoke,taatámoke,maamé,taatámoke,maamé,taatámoke,maamé,maamé,taata,maamé,taata,baabá
6,0.04426207855384634,0.9628820973767654,0.9186200188229191,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,taatámoke,taatámoke,maamé,taatámoke,maamé,maamé,taatámoke,taatámoke,taatámoke,taata,maamé,baabá,maamé,taata,maamé,baabá
7,0.12193354377555932,1.2571439807550244,1.135210436979465,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,maagókóro,maagókóro,ómobiara,sókóro,ómobiara,sókóro,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,taatámoke,baabá,taata,taatámoke,maamé,taatámoke,maamé,taata,taatámoke,maamé,taatámoke,maamé,maamé,taatámoke,maamé,baabá
8,0.07274327870119968,1.2537559380251544,1.1810126593239547,sókóro,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,sókóro,ómobiara,maagókóro,sókóro,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maamé,taata,taatámoke,taatámoke,maamé,taatámoke,taatámoke,maamé,baabá,taata,taatámoke,maamé,taatámoke,maamé,baabá,maamé
9,0.16703391854823324,1.2559600086174378,1.0889260900692046,maagókóro,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,sókóro,maagókóro,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,maagókóro,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,ómobiara,sókóro,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,ómobiara,sókóro,baabá,maamé,taatámoke,maamé,maamé,taata,maamé,taatámoke,maamé,baabá,taatámoke,taatámoke,taatámoke,maamé,taata,taatámoke
