simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.030859334797536664,0.6931471805599453,0.6622878457624086,kaikuane,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikuahine,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikuane,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikuahine,kaikuahine,kaikuane,kaikuane,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikuahine,makuakane,makuahine,makuahine,makuahine,makuakane,makuahine,makuahine,makuahine,makuakane,makuakane,makuakane,makuakane,makuakane,makuahine,makuakane,makuakane,makuahine,makuahine,makuakane,makuahine
1,0.007244069641881845,0.6925915220779792,0.6853474524360974,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikuahine,kaikua'ana,kaikuahine,kaikuahine,kaikuane,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikuahine,kaikua'ana,kaikuane,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikuane,kaikuane,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikua'ana,kaikuane,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,makuahine,makuakane,makuahine,makuakane,makuahine,makuakane,makuakane,makuakane,makuakane,makuahine,makuahine,makuahine,makuakane,makuahine,makuakane,makuakane,makuakane,makuahine,makuahine,makuahine
2,0.058849841039617434,0.6909233093138181,0.6320734682742006,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikuane,kaikuahine,kaikuane,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikuahine,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikuahine,kaikuane,kaikuane,kaikuane,kaikuane,kaikua'ana,kaikuane,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikuane,makuakane,makuahine,makuakane,makuakane,makuakane,makuakane,makuahine,makuahine,makuakane,makuahine,makuahine,makuahine,makuakane,makuahine,makuahine,makuakane,makuakane,makuahine,makuakane,makuahine
3,0.023321674229368483,0.6925915220779792,0.6692698478486108,kaikuahine,kaikuahine,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikuahine,kaikuahine,kaikuane,kaikuahine,kaikua'ana,kaikuane,kaikuahine,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikuane,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikuane,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,makuakane,makuakane,makuakane,makuahine,makuahine,makuahine,makuakane,makuakane,makuakane,makuahine,makuahine,makuahine,makuahine,makuakane,makuahine,makuakane,makuakane,makuahine,makuakane,makuahine
4,0.03730317490497448,0.6925915220779792,0.6552883471730048,kaikuane,kaikua'ana,kaikuahine,kaikuane,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikuahine,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikuane,kaikuane,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikuane,kaikua'ana,kaikuahine,kaikuahine,kaikua'ana,makuahine,makuahine,makuakane,makuahine,makuakane,makuahine,makuahine,makuakane,makuakane,makuakane,makuahine,makuakane,makuakane,makuakane,makuakane,makuahine,makuakane,makuahine,makuahine,makuahine
5,0.006276800202068555,0.6925915220779792,0.6863147218759107,kaikua'ana,kaikuane,kaikua'ana,kaikuahine,kaikuahine,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikuane,kaikuane,kaikuane,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikuahine,kaikuahine,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikuahine,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,makuahine,makuakane,makuahine,makuakane,makuahine,makuahine,makuahine,makuakane,makuahine,makuahine,makuakane,makuahine,makuakane,makuakane,makuahine,makuakane,makuakane,makuakane,makuakane,makuahine
6,0.023406816337876224,0.6909233093138181,0.6675164929759418,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikuane,kaikuane,kaikua'ana,kaikuane,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikuahine,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikua'ana,kaikuahine,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikua'ana,makuakane,makuahine,makuahine,makuahine,makuahine,makuakane,makuakane,makuakane,makuakane,makuahine,makuahine,makuakane,makuahine,makuakane,makuakane,makuakane,makuakane,makuahine,makuahine,makuahine
7,0.007640819658373488,0.6909233093138181,0.6832824896554446,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikuahine,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikuane,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuane,kaikuahine,kaikuahine,kaikuane,kaikuane,kaikua'ana,kaikuahine,kaikuahine,kaikuahine,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,makuakane,makuahine,makuahine,makuahine,makuahine,makuakane,makuakane,makuakane,makuahine,makuakane,makuahine,makuahine,makuakane,makuakane,makuahine,makuahine,makuakane,makuakane,makuahine,makuakane
8,0.011812835788479692,0.6925915220779792,0.6807786862894996,kaikuane,kaikua'ana,kaikuahine,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikuane,kaikuane,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikuahine,kaikuane,kaikua'ana,kaikuahine,kaikuahine,kaikuane,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,makuakane,makuahine,makuahine,makuakane,makuakane,makuahine,makuahine,makuahine,makuakane,makuakane,makuahine,makuakane,makuakane,makuakane,makuakane,makuakane,makuahine,makuahine,makuahine,makuahine
9,0.003345772091758903,0.6909233093138181,0.6875775372220592,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikuane,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikua'ana,kaikuahine,kaikuane,kaikuahine,kaikuane,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikuahine,kaikua'ana,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikua'ana,kaikua'ana,kaikuahine,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,kaikua'ana,kaikuane,kaikuahine,kaikua'ana,kaikuane,kaikua'ana,makuahine,makuakane,makuahine,makuahine,makuahine,makuakane,makuahine,makuakane,makuakane,makuahine,makuahine,makuakane,makuahine,makuakane,makuakane,makuakane,makuakane,makuahine,makuahine,makuakane
