simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.10669850324628904,1.613276002050303,1.506577498804014,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yegʷennu essu,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,iyos cʼuyaw essu,obus essu,iyos essu,obus cʼuyaw essu,obus essu,iyos essu,obus essu,obus essu,obus cʼuyaw essu,iyos essu,iyos essu,obus cʼuyaw essu,iyos essu,iyo,iyos cʼuyaw essu,obus cʼuyaw essu,obus essu,iyos cʼuyaw essu,iyos cʼuyaw essu,iyos cʼuyaw essu,iyos essu,obu,obus cʼuyaw essu,obus cʼuyaw essu,obu,obus essu,iyo,iyos cʼuyaw essu
1,0.14806277075851693,1.6996918200879478,1.551629049329431,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,cʼuyaw essu,yacʕal,yegʷennu essu,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,obus cʼuyaw essu,obus essu,obus essu,obus cʼuyaw essu,iyos cʼuyaw essu,obus cʼuyaw essu,iyos essu,obus essu,iyos cʼuyaw essu,obus essu,obu,obus cʼuyaw essu,iyos essu,iyo,iyos cʼuyaw essu,iyos essu,obu,iyo,iyos cʼuyaw essu,obus essu,obus cʼuyaw essu,iyos essu,iyos essu,obus cʼuyaw essu,obus essu,iyos essu,iyos cʼuyaw essu,iyos cʼuyaw essu
2,0.1197407851999901,1.6860978030840181,1.566357017884028,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,egʷennu essu,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,cʼuyaw essu,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,cʼuyaw essu,yacʕal,iyos cʼuyaw essu,iyos cʼuyaw essu,iyos cʼuyaw essu,iyos essu,obus cʼuyaw essu,iyos cʼuyaw essu,iyos essu,obus essu,iyos essu,obus cʼuyaw essu,obus cʼuyaw essu,iyos essu,iyos essu,obus cʼuyaw essu,obus cʼuyaw essu,iyo,obus essu,obu,iyos essu,obus essu,iyos cʼuyaw essu,obus essu,obu,obus essu,obus cʼuyaw essu,iyos cʼuyaw essu,iyo,obus essu
3,0.1284759688045829,1.7144616443392202,1.5859856755346373,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,cʼuyaw essu,cʼuyaw essu,yacʕal,yacʕal,yacʕal,iyos essu,obus cʼuyaw essu,iyos cʼuyaw essu,obu,obus cʼuyaw essu,obus essu,obus cʼuyaw essu,iyos essu,obus cʼuyaw essu,obus essu,iyos essu,iyos essu,iyos cʼuyaw essu,obus essu,obu,obus cʼuyaw essu,iyos cʼuyaw essu,obus essu,obus essu,iyo,iyo,iyos essu,obus cʼuyaw essu,iyos cʼuyaw essu,iyos cʼuyaw essu,iyos essu,iyos cʼuyaw essu,obus essu
4,0.11901759544621626,1.6854281042759487,1.5664105088297324,bikinab essu,cʼuyaw essu,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,iyos cʼuyaw essu,obus essu,obu,obus essu,obus cʼuyaw essu,iyos essu,iyos essu,obus essu,obus cʼuyaw essu,iyos essu,obus essu,obu,iyos cʼuyaw essu,obus essu,iyo,iyos essu,obus essu,iyos essu,obus cʼuyaw essu,obus cʼuyaw essu,obus cʼuyaw essu,iyos cʼuyaw essu,iyos essu,iyos cʼuyaw essu,obus cʼuyaw essu,iyo,iyos cʼuyaw essu,iyos cʼuyaw essu
5,0.14462555944795308,1.675783449548768,1.531157890100815,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,cʼuyaw essu,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,iyos essu,iyos essu,obus essu,obus essu,obus cʼuyaw essu,iyos essu,iyos cʼuyaw essu,obu,obus essu,obus essu,iyo,iyos essu,iyos essu,obus cʼuyaw essu,obus cʼuyaw essu,iyos cʼuyaw essu,obu,obus cʼuyaw essu,iyos cʼuyaw essu,obus essu,iyos essu,iyos cʼuyaw essu,obus essu,obus cʼuyaw essu,iyos cʼuyaw essu,obus cʼuyaw essu,iyo,iyos cʼuyaw essu
6,0.08638442670786262,1.683534987180406,1.5971505604725433,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,bikinab essu,yacʕal,cʼuyaw essu,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,obus essu,obus cʼuyaw essu,iyo,obus essu,iyos cʼuyaw essu,iyos essu,iyos cʼuyaw essu,obus cʼuyaw essu,iyos cʼuyaw essu,obus cʼuyaw essu,obus essu,obus cʼuyaw essu,iyos cʼuyaw essu,iyos cʼuyaw essu,iyos essu,iyo,iyos essu,iyos essu,obus cʼuyaw essu,obus essu,iyos essu,obus cʼuyaw essu,obu,obus essu,iyos essu,obus essu,obu,iyos cʼuyaw essu
7,0.12198917285928079,1.6810812383520002,1.5590920654927194,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,bikinab essu,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,iyo,iyos essu,iyos cʼuyaw essu,obus cʼuyaw essu,obus cʼuyaw essu,iyos essu,obus cʼuyaw essu,iyos cʼuyaw essu,obus essu,obu,iyos essu,obu,obus cʼuyaw essu,iyos essu,iyo,obus cʼuyaw essu,obus cʼuyaw essu,iyos essu,obus essu,iyos cʼuyaw essu,iyos essu,obus essu,iyos cʼuyaw essu,obus essu,obus essu,iyos cʼuyaw essu,obus essu,iyos cʼuyaw essu
8,0.09344366903628187,1.6957233608125848,1.602279691776303,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,egʷennu essu,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,iyos cʼuyaw essu,iyos essu,obus essu,iyo,iyos cʼuyaw essu,iyos essu,obus cʼuyaw essu,obu,iyos essu,iyos essu,obus essu,obus essu,obu,iyos cʼuyaw essu,obus cʼuyaw essu,obus essu,iyos cʼuyaw essu,obus cʼuyaw essu,iyo,iyos cʼuyaw essu,obus essu,iyos essu,obus essu,iyos cʼuyaw essu,iyos essu,obus cʼuyaw essu,obus cʼuyaw essu,obus cʼuyaw essu
9,0.12958273140060084,1.6763671534279796,1.5467844220273788,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yegʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,bikinab essu,yacʕal,bikinab essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,egʷennu essu,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,yacʕal,cʼuyaw essu,yacʕal,yacʕal,yegʷennu essu,yacʕal,obus essu,iyos essu,iyos cʼuyaw essu,iyos cʼuyaw essu,iyos cʼuyaw essu,obus essu,obus essu,iyos essu,iyos essu,obus cʼuyaw essu,iyo,obus essu,obu,iyo,iyos essu,obus cʼuyaw essu,iyos essu,obu,iyos essu,obus cʼuyaw essu,iyos cʼuyaw essu,obus essu,obus cʼuyaw essu,iyos cʼuyaw essu,iyos cʼuyaw essu,obus cʼuyaw essu,obus essu,obus cʼuyaw essu
