simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.08506827333953804,1.7026066551316255,1.6175383817920874,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,yacahay,yacahay,xundu is,yacahay,xundu is,xundu is,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,išedis aqu is,išedis aqu is,obudus aqu is,obudus xundu is,obu,išedis xundu is,išu,išedis xundu is,išu,obudus aqu is,obudus xundu is,išedis xundu is,obudus xundu is,obudus xundu is,išedis xundu is,obudus aqu is,obudus aqu is,obudus aqu is,obudus xundu is,obu,obudus xundu is,obudus aqu is,išedis xundu is,išedis aqu is,išedis aqu is,išedis aqu is,išedis xundu is,išedis aqu is
1,0.1157291513407217,1.663381391171065,1.5476522398303434,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,xundu is,yacahay,yacahay,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,micʼikʼi xundu is,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,yacahay,yacahay,obudus xundu is,obu,obudus aqu is,išedis xundu is,išedis xundu is,obudus aqu is,obu,išedis xundu is,obudus xundu is,išedis xundu is,išedis aqu is,išedis aqu is,išedis xundu is,obudus xundu is,išedis aqu is,obudus aqu is,obudus xundu is,obudus aqu is,obudus xundu is,obudus xundu is,išu,išedis aqu is,išu,obudus aqu is,išedis xundu is,išedis aqu is,obudus aqu is,išedis aqu is
2,0.11026519157220549,1.6911799471184539,1.5809147555462484,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,yacahay,xundu is,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,išedis xundu is,obudus aqu is,išedis aqu is,obudus aqu is,obudus xundu is,obudus xundu is,obudus xundu is,išedis aqu is,išedis xundu is,obudus xundu is,obudus aqu is,obudus xundu is,išedis xundu is,obudus aqu is,išu,išedis xundu is,išedis xundu is,obudus xundu is,obu,išedis aqu is,obudus aqu is,obudus aqu is,išedis aqu is,išedis aqu is,išu,išedis xundu is,obu,išedis aqu is
3,0.1132888618711283,1.64931778279828,1.5360289209271516,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,aqu is,micʼikʼi xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,obudus xundu is,išedis aqu is,išedis xundu is,obudus xundu is,obudus aqu is,išedis xundu is,obudus aqu is,išedis xundu is,obudus xundu is,išedis xundu is,obudus aqu is,išu,išedis aqu is,obudus aqu is,obudus aqu is,išedis aqu is,obudus xundu is,išedis xundu is,obudus aqu is,išedis aqu is,obu,obudus xundu is,išedis aqu is,išu,išedis xundu is,obu,obudus xundu is,išedis aqu is
4,0.1429049304958283,1.6435114488848441,1.5006065183890158,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,aqu is,yacahay,yacahay,xundu is,yacahay,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,išedis xundu is,obudus aqu is,išedis aqu is,obudus xundu is,obudus aqu is,obudus xundu is,išedis xundu is,obudus xundu is,išedis xundu is,išedis xundu is,obudus aqu is,išedis aqu is,obudus xundu is,išedis xundu is,išu,obu,obudus xundu is,išedis aqu is,obudus aqu is,išedis aqu is,išedis aqu is,išu,išedis aqu is,obudus aqu is,išedis xundu is,obu,obudus xundu is,obudus aqu is
5,0.12483047591735708,1.7180613660769524,1.5932308901595953,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,xundu is,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,obudus xundu is,išedis xundu is,išedis xundu is,obu,obudus aqu is,obudus xundu is,obudus xundu is,išu,obudus xundu is,išedis aqu is,išedis xundu is,obudus aqu is,obudus aqu is,išedis xundu is,išedis aqu is,obu,išu,išedis aqu is,obudus aqu is,obudus xundu is,obudus aqu is,išedis xundu is,išedis xundu is,išedis aqu is,obudus xundu is,išedis aqu is,obudus aqu is,išedis aqu is
6,0.11066340210468306,1.6609607007195542,1.550297298614871,aqu is,yacahay,micʼikʼi xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,yacahay,yacahay,aqu is,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,išedis xundu is,išedis xundu is,obudus xundu is,išedis xundu is,išu,obudus xundu is,obudus xundu is,obudus aqu is,obudus aqu is,obudus xundu is,išedis aqu is,obudus xundu is,obudus aqu is,obudus aqu is,išu,išedis aqu is,obudus aqu is,išedis aqu is,išedis aqu is,obudus aqu is,išedis xundu is,obu,obudus xundu is,obu,išedis xundu is,išedis aqu is,išedis aqu is,išedis xundu is
7,0.11086680658640224,1.7118996805199722,1.60103287393357,aqu is,yacahay,yacahay,xundu is,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,micʼikʼi aqu is,yacahay,yacahay,obudus aqu is,obudus xundu is,obudus aqu is,išu,obudus xundu is,išedis aqu is,obudus xundu is,išedis xundu is,išedis aqu is,obudus xundu is,obudus xundu is,išu,išedis aqu is,išedis aqu is,išedis xundu is,obudus xundu is,išedis xundu is,išedis xundu is,išedis aqu is,obu,obudus aqu is,obudus aqu is,išedis xundu is,obudus aqu is,obu,išedis xundu is,obudus aqu is,išedis aqu is
8,0.16665639190096648,1.6673468833606577,1.5006904914596912,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,xundu is,yacahay,yacahay,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,yacahay,xundu is,yacahay,micʼikʼi xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,išedis xundu is,išedis xundu is,išedis aqu is,obu,obudus xundu is,obudus xundu is,išedis xundu is,obudus xundu is,obudus xundu is,išedis xundu is,išedis aqu is,obudus aqu is,išedis aqu is,išedis xundu is,obudus aqu is,obudus aqu is,išedis aqu is,išedis aqu is,išedis aqu is,išedis xundu is,obudus xundu is,obudus aqu is,obu,obudus xundu is,obudus aqu is,išu,obudus aqu is,išu
9,0.10730326138327517,1.6233681444630896,1.5160648830798145,yacahay,micʼikʼi xundu is,xundu is,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi xundu is,yacahay,yacahay,xundu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,aqu is,xundu is,yacahay,micʼikʼi aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,aqu is,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,yacahay,micʼikʼi aqu is,obudus aqu is,obudus xundu is,obudus xundu is,išedis aqu is,obudus aqu is,obudus aqu is,išedis xundu is,obu,obudus xundu is,išedis aqu is,išedis xundu is,obudus aqu is,išedis aqu is,obu,išu,obudus xundu is,išedis xundu is,obudus aqu is,obudus aqu is,išedis aqu is,išedis aqu is,išu,išedis aqu is,obudus xundu is,išedis xundu is,obudus xundu is,išedis xundu is,išedis xundu is
