simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,feB,fyB,feZ,fyZ,mFZ,mMB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFZ,fMB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mF,mM,mFeB,mFyB,fF,fM,fFeB,fFyB
0,0.40272780117104656,1.38128852666744,0.9785607254963934,tamakka,achan,tamakka,tambi,anuchatti,anuchatti,achan,tambi,ammai,amma,mutamma,mutamma,kutty,kuttyappan,ammai,mutappan,appan,maman,maman,kuttyappan,mami,maman,mutamma,maman,kutty,mami,mutappan,amma,mutamma,appan,maman,maman
1,0.20213571486892146,1.017602986115916,0.8154672712469945,tambi,achan,achan,tamakka,tambi,anuchatti,tamakka,anuchatti,appan,mami,maman,kuttyappan,maman,mutamma,maman,mutamma,mutamma,kutty,maman,ammai,ammai,mutamma,maman,amma,mutappan,kuttyappan,mami,kutty,mutappan,appan,maman,amma
2,0.23963434692164787,1.0551016181686423,0.8154672712469945,tambi,anuchatti,tambi,tamakka,tamakka,anuchatti,achan,achan,mutappan,mutamma,mutamma,mutamma,mutappan,ammai,maman,maman,amma,mami,maman,kuttyappan,ammai,appan,mutamma,maman,mami,maman,kutty,kuttyappan,maman,appan,kutty,amma
3,0.4027278011710468,1.0551016181686423,0.6523738169975956,anuchatti,anuchatti,tambi,tamakka,tambi,achan,tamakka,achan,mami,maman,maman,maman,appan,maman,kutty,mutamma,mutappan,amma,mutamma,amma,mami,mutappan,kutty,mutamma,ammai,maman,appan,mutamma,kuttyappan,kuttyappan,ammai,maman
4,0.4027278011710468,1.3812885266674402,0.9785607254963934,tambi,anuchatti,tambi,tamakka,anuchatti,achan,tamakka,achan,mutappan,appan,kutty,amma,mami,mutamma,ammai,kuttyappan,mutamma,maman,appan,maman,mutamma,amma,maman,ammai,kuttyappan,kutty,maman,maman,mami,mutappan,maman,mutamma
5,0.07654089267224895,1.0551016181686423,0.9785607254963934,anuchatti,tambi,achan,tamakka,tambi,achan,anuchatti,tamakka,mutamma,kutty,mutappan,maman,amma,ammai,maman,appan,mutamma,ammai,mami,mutamma,mutamma,mutappan,kutty,kuttyappan,mami,maman,kuttyappan,maman,amma,maman,maman,appan
6,0.07654089267224917,1.0551016181686426,0.9785607254963934,tamakka,achan,tambi,anuchatti,anuchatti,tambi,achan,tamakka,mami,maman,mutamma,maman,mutappan,amma,mutappan,mutamma,mami,appan,ammai,mutamma,kuttyappan,kutty,kutty,mutamma,amma,ammai,maman,appan,maman,maman,kuttyappan,maman
7,0.20213571486892146,1.017602986115916,0.8154672712469945,tamakka,anuchatti,achan,achan,tambi,tamakka,anuchatti,tambi,mami,mami,maman,maman,mutamma,maman,appan,kutty,maman,ammai,mutamma,maman,mutappan,maman,mutappan,appan,amma,mutamma,kuttyappan,mutamma,kutty,amma,kuttyappan,ammai
8,0.07654089267224884,1.38128852666744,1.3047476339951911,tamakka,achan,tambi,anuchatti,tambi,tamakka,anuchatti,achan,kuttyappan,appan,mutamma,mami,maman,mami,mutamma,amma,ammai,maman,mutappan,mutamma,kutty,ammai,kuttyappan,maman,appan,maman,kutty,maman,amma,mutamma,maman,mutappan
9,0.402727801171047,1.0551016181686426,0.6523738169975956,tambi,tamakka,tamakka,achan,anuchatti,achan,tambi,anuchatti,mutamma,mutamma,maman,amma,mutamma,appan,maman,maman,maman,kutty,mami,appan,maman,maman,amma,mutamma,ammai,mami,ammai,mutappan,kuttyappan,kuttyappan,kutty,mutappan
