simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFZD,mFBD,mMBD,mFBS,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,feZ,fyZ,fFZD,fFBD,fMBD,fFBS,fFZS,fMBS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1314769418709114,1.798005673644211,1.6665287317732995,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,mkulu,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,lumbu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,baba mdodo,baba mkulu,mai mdodo,mai,mai,baba,mai mkulu,mai,baba,baba mkulu,mai mkulu,mai mdodo,mai mdodo,mai mkulu,baba,baba mkulu,baba,baba,baba,baba mdodo,mai mdodo,mai,baba mkulu,mai mkulu,baba mdodo,baba mdodo,mai sangasi,mai sangasi
1,0.08663372658049129,1.8405958704661258,1.7539621438856345,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,lumbu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,mkulu,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mai mdodo,baba,mai sangasi,baba mdodo,baba mdodo,baba,mai mdodo,mai sangasi,baba mkulu,baba,mai,baba mdodo,mai mdodo,baba,mai mkulu,mai mkulu,baba mkulu,baba mdodo,baba,mai,baba mkulu,baba,baba mkulu,mai,mai mkulu,mai,mai mdodo,mai mkulu
2,0.2294833114860837,1.8746782204431895,1.6451949089571059,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,lumbu,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,baba,mai,mai sangasi,mai mkulu,mai mkulu,mai,mai mkulu,mai mdodo,baba,mai mdodo,baba,mai sangasi,mai mdodo,baba mdodo,baba mdodo,baba mdodo,baba mdodo,baba,baba mkulu,mai mkulu,baba mkulu,mai,baba,mai mdodo,baba mkulu,baba mkulu,mai,baba
3,0.14038536453924788,1.8501909922084945,1.7098056276692466,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,lumbu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,baba mdodo,baba mkulu,mai mdodo,mai,baba,baba,mai mkulu,mai sangasi,baba mkulu,baba,mai sangasi,baba mkulu,mai mkulu,mai mdodo,baba,baba mkulu,mai mkulu,baba mdodo,baba mdodo,mai mkulu,mai,baba,mai mdodo,baba mdodo,mai,baba,mai,mai mdodo
4,0.130176561183722,1.842442155076077,1.712265593892355,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,mkulu,muhisi,muhisi,muhisi,lumbu,muhisi,muhisi,muhisi,mai mdodo,mai sangasi,baba mkulu,baba mkulu,baba,baba mkulu,baba,baba mdodo,baba,baba mdodo,baba mdodo,mai,baba,mai,mai sangasi,mai mdodo,mai mkulu,mai,mai mkulu,mai,mai mdodo,baba,mai mdodo,mai mkulu,mai mkulu,baba mdodo,baba mkulu,baba
5,0.13737856852985164,1.8391130502909983,1.7017344817611466,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,lumbu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mai mkulu,baba,baba mkulu,baba mdodo,baba,baba mdodo,mai mdodo,baba mdodo,mai mdodo,mai sangasi,mai,mai mdodo,baba,baba mkulu,baba mkulu,mai mkulu,mai,mai,baba,baba mkulu,mai sangasi,mai mdodo,mai,baba,mai mkulu,baba mdodo,baba,mai mkulu
6,0.18701615626711066,1.8844228042572841,1.6974066479901735,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,lumbu,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,baba mkulu,mai mdodo,mai mkulu,baba mdodo,baba mkulu,baba,mai mdodo,baba mdodo,mai mdodo,baba,mai mkulu,baba mdodo,mai,mai mdodo,baba,baba,mai mkulu,baba,mai sangasi,mai,baba mkulu,mai,mai sangasi,baba mdodo,mai,mai mkulu,baba mkulu,baba
7,0.14134747132107628,1.7864804133404588,1.6451329420193825,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,lumbu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mai mkulu,mai mkulu,mai mdodo,baba mkulu,mai,mai sangasi,mai mdodo,baba,mai mdodo,mai mkulu,baba,baba,baba,baba mkulu,baba,baba mkulu,mai,baba,baba mdodo,mai,baba mkulu,baba mdodo,baba mdodo,baba mdodo,mai sangasi,mai mdodo,mai mkulu,mai
8,0.14933395733062538,1.8928246692846287,1.7434907119540033,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,lumbu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,baba,mai mdodo,mai,baba,mai mdodo,baba mkulu,baba,mai mdodo,baba mkulu,mai mkulu,mai mkulu,baba mdodo,mai mdodo,baba mdodo,mai mkulu,baba,baba mdodo,mai sangasi,baba mkulu,baba,baba mdodo,mai mkulu,baba mkulu,mai,baba,mai sangasi,mai,mai
9,0.11445831998469402,1.9196184389280333,1.8051601189433393,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,lumbu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,mfuna,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mkulu,muhisi,muhisi,muhisi,muhisi,baba mkulu,baba,mai sangasi,baba,mai,baba,baba,baba,mai mdodo,mai,mai,baba,baba mdodo,baba mdodo,mai mkulu,mai,mai mdodo,mai mkulu,mai sangasi,baba mkulu,mai mdodo,baba mkulu,mai mdodo,mai mkulu,baba mdodo,mai mkulu,baba mdodo,baba mkulu
