simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.2927988100297989,1.3652324447549333,1.0724336347251344,layia,layia,angu kawini,mangàlu,anawini,anamini,yera,balu,angu kawini,angu paluhu,anamini,yera,layia,anawini,balu,angu kawini,anamini,layia,angu paluhu,anamini,rai anamini,angu paluhu,anamini,layia,anawini,rai anamini,balu,anawini,angu kawini,anawini,anawini,angu kawini,anamini,mangàlu,angu kawini,anawini,balu,angu paluhu,anawini,anamini,yera,angu paluhu,anamini,layia,mangàlu,anawini,mangàlu,anawini,anawini,layia,angu kawini,rai anamini,balu,angu kawini,anawini,angu paluhu,anamini,anamini,layia,angu paluhu,balu,angu paluhu,balu,layia,balu,angu kawini,yera,angu paluhu,anawini,anawini,rai anamini,mangàlu,anamini,yera,angu kawini,balu,anawini,angu paluhu,balu,angu kawini,angu paluhu,rai anamini,anawini,anawini,layia,ama,mamu,ina,ama,ama,ina,tuya,ama,ina,ina,mamu,tuya,ina,ama,ama,tuya,ina,tuya,mamu,mamu
1,0.3500987442793264,1.3487876966267474,0.9986889523474209,anamini,anawini,anawini,angu kawini,anamini,anamini,anamini,yera,layia,angu kawini,anamini,angu kawini,rai anamini,layia,mangàlu,anawini,anawini,angu kawini,yera,balu,angu kawini,anamini,anawini,anawini,balu,anawini,angu paluhu,layia,yera,balu,balu,balu,angu kawini,mangàlu,layia,anawini,yera,mangàlu,layia,angu paluhu,balu,anawini,angu paluhu,angu paluhu,angu paluhu,layia,angu paluhu,anamini,rai anamini,anamini,rai anamini,angu paluhu,layia,angu kawini,balu,anamini,balu,balu,mangàlu,layia,rai anamini,anawini,anawini,layia,anawini,angu kawini,angu kawini,anawini,angu kawini,layia,anawini,mangàlu,angu paluhu,anamini,angu paluhu,angu kawini,anawini,angu paluhu,anawini,angu paluhu,anawini,yera,anamini,rai anamini,balu,ina,mamu,ama,ina,tuya,ina,ama,ama,mamu,tuya,ina,tuya,ina,tuya,ama,ama,ama,ina,mamu,mamu
2,0.28113202073168786,1.355324148501538,1.07419212776985,rai anamini,angu kawini,angu kawini,anawini,layia,anamini,layia,angu kawini,balu,anamini,anamini,balu,layia,balu,layia,angu paluhu,anawini,yera,anamini,anawini,rai anamini,anawini,angu paluhu,anawini,yera,angu kawini,layia,angu paluhu,anamini,layia,angu kawini,angu paluhu,layia,anawini,anawini,anamini,anawini,anawini,yera,anamini,layia,anawini,angu paluhu,angu paluhu,anamini,mangàlu,anawini,yera,anamini,angu kawini,anamini,angu paluhu,mangàlu,balu,angu paluhu,mangàlu,angu kawini,rai anamini,anamini,balu,anawini,balu,angu kawini,mangàlu,anawini,anawini,balu,anawini,balu,layia,rai anamini,rai anamini,balu,angu paluhu,angu kawini,anawini,anawini,angu kawini,angu paluhu,angu paluhu,balu,layia,mangàlu,angu kawini,yera,ama,ina,ama,tuya,tuya,mamu,ina,ina,ina,tuya,tuya,ina,mamu,mamu,mamu,ama,ama,ina,ama,ama
3,0.26368054979956357,1.3763979873559773,1.1127174375564137,angu paluhu,angu kawini,angu paluhu,angu paluhu,angu kawini,anamini,angu paluhu,anawini,balu,anamini,anawini,anawini,angu kawini,rai anamini,mangàlu,layia,layia,anamini,layia,yera,angu kawini,angu paluhu,anawini,balu,layia,yera,anamini,anawini,anawini,angu kawini,balu,balu,balu,anamini,anamini,angu paluhu,mangàlu,anawini,balu,mangàlu,angu kawini,mangàlu,anawini,anawini,angu kawini,yera,layia,angu paluhu,layia,anamini,balu,rai anamini,anawini,angu paluhu,anawini,anamini,angu kawini,anawini,layia,angu paluhu,yera,anamini,angu paluhu,balu,angu kawini,layia,anamini,angu kawini,anawini,yera,rai anamini,balu,anamini,angu paluhu,balu,anawini,layia,anawini,anawini,anawini,angu kawini,rai anamini,layia,rai anamini,mangàlu,ama,ama,tuya,mamu,ama,ina,ina,ama,tuya,tuya,ina,mamu,mamu,ama,tuya,ina,ina,ina,ama,mamu
4,0.38556783127460004,1.358231894813244,0.9726640635386439,yera,mangàlu,yera,angu paluhu,angu paluhu,rai anamini,anawini,balu,balu,angu kawini,anawini,layia,anawini,angu paluhu,balu,mangàlu,layia,anawini,angu kawini,anawini,rai anamini,angu kawini,layia,mangàlu,anawini,layia,balu,angu paluhu,anamini,angu kawini,mangàlu,balu,angu kawini,angu kawini,anawini,rai anamini,anamini,angu kawini,anamini,angu paluhu,anawini,anamini,angu paluhu,anawini,anamini,anawini,anawini,balu,layia,angu kawini,angu paluhu,layia,anamini,anawini,rai anamini,layia,anawini,balu,yera,angu paluhu,balu,yera,anamini,layia,yera,anawini,anawini,balu,anamini,anamini,anawini,angu kawini,layia,anamini,rai anamini,angu paluhu,angu paluhu,angu paluhu,mangàlu,anamini,layia,angu kawini,balu,anawini,angu kawini,ama,ina,ama,tuya,ina,ina,ina,mamu,mamu,ama,ama,tuya,ina,tuya,mamu,tuya,ama,ama,mamu,ina
5,0.4003378351327198,1.358231894813244,0.9578940596805241,layia,layia,anawini,anamini,yera,anamini,balu,layia,layia,angu paluhu,balu,rai anamini,anamini,anamini,angu kawini,angu kawini,angu paluhu,mangàlu,anamini,mangàlu,anawini,angu paluhu,rai anamini,rai anamini,balu,angu paluhu,angu kawini,anawini,rai anamini,angu kawini,yera,angu kawini,mangàlu,anawini,anawini,angu kawini,yera,anawini,angu kawini,angu kawini,anawini,anawini,balu,balu,angu paluhu,rai anamini,anamini,anamini,anawini,anamini,balu,balu,balu,layia,yera,layia,anawini,anamini,angu paluhu,layia,layia,angu paluhu,angu kawini,angu kawini,mangàlu,anawini,mangàlu,balu,anawini,angu kawini,layia,balu,anamini,anawini,angu paluhu,anawini,angu paluhu,angu paluhu,anawini,layia,anamini,yera,anawini,anawini,angu paluhu,mamu,ama,ama,mamu,tuya,tuya,ina,ama,ama,ina,tuya,ina,ama,mamu,tuya,ina,mamu,ina,ama,ina
6,0.3395460011235596,1.3698615354811867,1.0303155343576271,anamini,angu paluhu,angu kawini,balu,anawini,balu,anamini,balu,layia,rai anamini,balu,anamini,rai anamini,anamini,balu,anawini,angu paluhu,anawini,anawini,angu paluhu,anawini,angu kawini,mangàlu,angu kawini,anamini,balu,layia,layia,anamini,yera,angu paluhu,layia,angu paluhu,anamini,angu kawini,angu paluhu,anawini,angu kawini,anamini,anawini,mangàlu,anawini,angu kawini,yera,anawini,layia,anawini,anawini,mangàlu,anawini,anawini,angu kawini,layia,rai anamini,balu,anawini,balu,balu,angu kawini,mangàlu,yera,angu paluhu,layia,angu kawini,yera,rai anamini,angu paluhu,layia,angu paluhu,yera,anamini,angu kawini,rai anamini,angu paluhu,mangàlu,anawini,anamini,anawini,balu,angu paluhu,angu kawini,anawini,layia,layia,anamini,ama,ina,tuya,ama,ama,mamu,ina,tuya,ina,mamu,ama,ama,ama,ina,tuya,mamu,tuya,mamu,ina,ina
7,0.31229330178397974,1.3553241485015377,1.043030846717558,anawini,balu,angu kawini,rai anamini,angu kawini,angu paluhu,anawini,anawini,mangàlu,balu,layia,anamini,angu kawini,angu paluhu,mangàlu,anawini,anawini,yera,layia,anawini,anawini,anamini,layia,yera,balu,angu kawini,anamini,anawini,angu kawini,layia,balu,angu paluhu,layia,anawini,angu kawini,angu paluhu,anamini,angu paluhu,anawini,rai anamini,layia,rai anamini,angu paluhu,rai anamini,anamini,anamini,angu paluhu,anawini,angu kawini,anamini,angu kawini,angu kawini,balu,anawini,anawini,mangàlu,balu,anamini,angu kawini,balu,angu paluhu,anamini,layia,yera,layia,rai anamini,balu,layia,anawini,anawini,angu kawini,anawini,angu paluhu,balu,anamini,balu,layia,anamini,yera,yera,anawini,mangàlu,angu paluhu,mangàlu,angu paluhu,ama,tuya,mamu,ama,mamu,ina,ina,mamu,ina,ina,ina,ama,tuya,tuya,ama,ina,mamu,ama,ama,tuya
8,0.5222503909485656,1.3624474851916286,0.840197094243063,anamini,balu,mangàlu,angu paluhu,anawini,angu paluhu,angu paluhu,mangàlu,layia,angu paluhu,layia,yera,rai anamini,layia,rai anamini,anawini,angu kawini,anawini,angu kawini,rai anamini,anamini,angu paluhu,layia,mangàlu,anawini,balu,rai anamini,anawini,balu,anamini,yera,anawini,angu kawini,balu,anawini,balu,balu,yera,rai anamini,anamini,balu,layia,anamini,balu,anawini,angu paluhu,anamini,angu paluhu,anamini,angu paluhu,anawini,angu kawini,angu kawini,angu paluhu,anawini,mangàlu,angu kawini,angu paluhu,angu kawini,anamini,angu kawini,angu kawini,anawini,anamini,anawini,anawini,balu,anawini,layia,layia,yera,angu paluhu,angu kawini,layia,layia,balu,angu kawini,layia,anawini,anawini,anawini,mangàlu,anamini,yera,anamini,ina,ina,ina,ina,tuya,tuya,ama,ina,mamu,ama,ama,mamu,ama,ama,ama,tuya,tuya,ina,mamu,mamu
9,0.39198731975136847,1.3763979873559773,0.9844106676046088,anamini,angu paluhu,anawini,layia,angu paluhu,anamini,anawini,balu,balu,yera,anamini,anawini,anamini,layia,balu,anawini,anawini,layia,rai anamini,balu,angu kawini,anamini,balu,anawini,yera,angu paluhu,layia,angu kawini,anawini,angu kawini,yera,anawini,mangàlu,anamini,yera,layia,angu kawini,rai anamini,layia,angu kawini,anamini,balu,anawini,anawini,angu paluhu,angu paluhu,angu paluhu,anawini,mangàlu,layia,anawini,anamini,anawini,rai anamini,angu kawini,layia,anamini,layia,mangàlu,balu,angu paluhu,balu,angu paluhu,angu paluhu,anawini,anamini,anawini,angu kawini,angu kawini,anamini,mangàlu,balu,anawini,angu paluhu,rai anamini,balu,layia,angu paluhu,mangàlu,rai anamini,angu kawini,yera,anawini,angu kawini,angu kawini,tuya,mamu,tuya,mamu,ama,tuya,ama,ama,tuya,ina,ama,ama,mamu,ama,mamu,ina,ina,ina,ina,ina
