simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,feB,fyB,feZ,fyZ,mF,mM,mFZ,mFyB,mFeZ,mFyZ,fF,fM,fFZ,fFyB,fFeZ,fFyZ
0,0.22882518894052128,1.0606018056124555,0.8317766166719343,nami'i,pazi,pavi,čaka'i,čaka'i,nami'i,pazi,piya,hee-,paha,muwa,piya,muwa,paha,hee-,paha,paha,paha,paha
1,0.17783714150210383,1.009613758174038,0.8317766166719343,pazi,nami'i,čaka'i,pavi,nami'i,pazi,čaka'i,hee-,piya,hee-,paha,muwa,paha,paha,paha,muwa,paha,paha,piya
2,0.3626763896514228,1.0096137581740383,0.6469373685226155,pavi,pazi,pazi,čaka'i,nami'i,čaka'i,nami'i,paha,muwa,hee-,muwa,paha,paha,hee-,paha,piya,piya,paha,paha
3,0.17783714150210417,1.0096137581740383,0.8317766166719341,nami'i,čaka'i,pavi,nami'i,čaka'i,pazi,pazi,paha,muwa,paha,piya,paha,paha,hee-,paha,paha,muwa,hee-,piya
4,0.3626763896514227,1.3792922544726758,1.016615864821253,pazi,pavi,nami'i,čaka'i,nami'i,čaka'i,pazi,piya,muwa,piya,paha,paha,paha,paha,hee-,muwa,paha,hee-,paha
5,0.17783714150210417,1.0096137581740383,0.8317766166719341,nami'i,pazi,pavi,čaka'i,pazi,nami'i,čaka'i,paha,muwa,paha,piya,paha,paha,hee-,paha,paha,piya,muwa,hee-
6,0.5475156378007415,1.3792922544726758,0.8317766166719343,čaka'i,pazi,čaka'i,nami'i,nami'i,pazi,pavi,hee-,muwa,muwa,paha,paha,hee-,piya,paha,paha,paha,piya,paha
7,0.08541751742744463,1.009613758174038,0.9241962407465935,čaka'i,pazi,nami'i,čaka'i,pazi,pavi,nami'i,paha,hee-,paha,hee-,paha,paha,paha,muwa,paha,muwa,piya,piya
8,0.3212448130151807,1.0606018056124555,0.7393569925972748,nami'i,čaka'i,nami'i,pazi,pavi,pazi,čaka'i,hee-,paha,paha,paha,paha,paha,muwa,paha,muwa,piya,hee-,piya
9,0.09516384613875106,0.5799151714181009,0.48475132527934983,pavi,pazi,nami'i,nami'i,čaka'i,čaka'i,pazi,paha,paha,hee-,piya,muwa,piya,muwa,paha,paha,paha,hee-,paha
