simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.08878194993480482,1.376055285260417,1.2872733353256123,"ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath",duujind,"kularrind, wakath",duujind,kularrind,kularrind,"ngayarndathu, jambathu, kunyaa ngamathu",kularrind,thabuju,kularrind,"ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath","kularrind, wakath","kularrind, wakath",kularrind,duujind,"kularrind, wakath","jambathu, ngathiju",jambathu,"ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu",yakukathu,yakukathu,"ngathiju, jambathu",jambathu,duujind,yakukathu,"ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu",duujind,"jambathu, ngathiju",duujind,thabuju,"ngathiju, jambathu",kakuju,kanthathu,marrkathu,ngamathu,ngamathu,ngamathu,ngamathu,kakuju,marrkathu,kakuju,marrkathu,kanthathu,ngamathu,kanthathu,kanthathu,kanthathu,marrkathu,kakuju,kanthathu,ngamathu
1,0.14053932702562133,0.5982695885852573,0.4577302615596359,"ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu",yakukathu,"ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath","kularrind, wakath",kularrind,kularrind,duujind,duujind,"jambathu, ngathiju",jambathu,"kularrind, wakath","kularrind, wakath",duujind,"kularrind, wakath",kularrind,"ngathiju, jambathu","kularrind, wakath","ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu",duujind,duujind,thabuju,kularrind,jambathu,"jambathu, ngathiju",kularrind,"ngayarndathu, jambathu, kunyaa ngamathu",duujind,thabuju,"ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu",yakukathu,"ngathiju, jambathu",yakukathu,ngamathu,ngamathu,ngamathu,marrkathu,ngamathu,kanthathu,kanthathu,marrkathu,kakuju,kakuju,ngamathu,kakuju,kanthathu,marrkathu,kakuju,ngamathu,kanthathu,kanthathu,kanthathu,marrkathu
2,0.1060371333499266,1.034601232910181,0.9285640995602544,kularrind,kularrind,kularrind,duujind,"kularrind, wakath",jambathu,"kularrind, wakath",yakukathu,thabuju,duujind,kularrind,"jambathu, ngathiju","ngathiju, jambathu","ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath","ngathiju, jambathu","ngayarndathu, jambathu, kunyaa ngamathu",duujind,"ngathiju, jambathu","ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu",kularrind,yakukathu,yakukathu,duujind,"ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu","ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu",duujind,"jambathu, ngathiju",duujind,"ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath","kularrind, wakath","kularrind, wakath",thabuju,jambathu,ngamathu,kanthathu,ngamathu,marrkathu,kakuju,kanthathu,kakuju,kakuju,kanthathu,ngamathu,kanthathu,ngamathu,marrkathu,ngamathu,marrkathu,kakuju,marrkathu,kanthathu,ngamathu,kanthathu
3,0.14341200076168015,1.034601232910181,0.8911892321485009,"kularrind, wakath","ngayarndathu, jambathu, kunyaa ngamathu",kularrind,"ngayarndathu, jambathu, kunyaa ngamathu",thabuju,duujind,"kularrind, wakath","jambathu, ngathiju","ngathiju, jambathu","ngayarndathu, jambathu, kunyaa ngamathu",kularrind,"ngathiju, jambathu",yakukathu,"ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath","kularrind, wakath","jambathu, ngathiju",jambathu,jambathu,"ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu",thabuju,kularrind,"ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath",duujind,yakukathu,"ngathiju, jambathu","kularrind, wakath",kularrind,duujind,kularrind,duujind,duujind,duujind,"ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu",yakukathu,marrkathu,ngamathu,kanthathu,ngamathu,kanthathu,kakuju,marrkathu,ngamathu,kanthathu,marrkathu,kanthathu,ngamathu,marrkathu,kakuju,kanthathu,kakuju,ngamathu,ngamathu,kakuju,kanthathu
4,0.06679396821673322,0.5195798391305154,0.4527858709137822,"kularrind, wakath","kularrind, wakath","kularrind, wakath","ngathiju, jambathu","ngayarndathu, jambathu, kunyaa ngamathu","jambathu, ngathiju","ngathiju, jambathu",thabuju,"ngayarndathu, jambathu, kunyaa ngamathu",duujind,"kularrind, wakath",duujind,yakukathu,kularrind,duujind,duujind,kularrind,kularrind,"ngayarndathu, jambathu, kunyaa ngamathu",kularrind,"ngathiju, jambathu",yakukathu,"ngathiju, jambathu",thabuju,jambathu,"jambathu, ngathiju","ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath","ngayarndathu, jambathu, kunyaa ngamathu",kularrind,duujind,"ngayarndathu, jambathu, kunyaa ngamathu",jambathu,duujind,yakukathu,"ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath","ngayarndathu, jambathu, kunyaa ngamathu",kakuju,kanthathu,kakuju,kakuju,kakuju,ngamathu,marrkathu,kanthathu,kanthathu,ngamathu,marrkathu,marrkathu,ngamathu,ngamathu,marrkathu,ngamathu,kanthathu,kanthathu,ngamathu,kanthathu
5,0.20505815914420478,1.0346012329101812,0.8295430737659765,"kularrind, wakath","kularrind, wakath","kularrind, wakath",kularrind,duujind,"ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu",jambathu,"kularrind, wakath",duujind,"ngayarndathu, jambathu, kunyaa ngamathu","jambathu, ngathiju",yakukathu,kularrind,thabuju,duujind,kularrind,"ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu",kularrind,"kularrind, wakath","ngathiju, jambathu","ngayarndathu, jambathu, kunyaa ngamathu",duujind,"ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath",duujind,yakukathu,"ngathiju, jambathu",thabuju,yakukathu,duujind,"jambathu, ngathiju","ngayarndathu, jambathu, kunyaa ngamathu",jambathu,"ngayarndathu, jambathu, kunyaa ngamathu",kularrind,kanthathu,ngamathu,marrkathu,ngamathu,kanthathu,kanthathu,ngamathu,ngamathu,kakuju,marrkathu,kakuju,ngamathu,marrkathu,kakuju,ngamathu,kanthathu,marrkathu,kakuju,kanthathu,kanthathu
6,0.14053932702562122,0.5982695885852573,0.45773026155963603,"ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu",duujind,yakukathu,"ngathiju, jambathu",duujind,"kularrind, wakath",thabuju,"ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu","kularrind, wakath",kularrind,kularrind,"ngayarndathu, jambathu, kunyaa ngamathu",duujind,"kularrind, wakath","kularrind, wakath","kularrind, wakath",kularrind,duujind,"ngayarndathu, jambathu, kunyaa ngamathu",duujind,"ngayarndathu, jambathu, kunyaa ngamathu",yakukathu,kularrind,duujind,"ngathiju, jambathu",jambathu,thabuju,"kularrind, wakath",kularrind,"jambathu, ngathiju","jambathu, ngathiju",yakukathu,jambathu,ngamathu,ngamathu,kakuju,ngamathu,kanthathu,ngamathu,ngamathu,marrkathu,marrkathu,kakuju,kanthathu,kanthathu,kanthathu,marrkathu,kanthathu,kakuju,kakuju,marrkathu,ngamathu,kanthathu
7,0.14341200076168015,1.034601232910181,0.8911892321485009,"ngathiju, jambathu",jambathu,kularrind,yakukathu,thabuju,yakukathu,thabuju,"kularrind, wakath",duujind,"kularrind, wakath","kularrind, wakath","ngathiju, jambathu",duujind,kularrind,"ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu",duujind,duujind,"ngayarndathu, jambathu, kunyaa ngamathu",kularrind,kularrind,"jambathu, ngathiju","ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu",kularrind,"ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath","ngathiju, jambathu",yakukathu,"kularrind, wakath",duujind,"jambathu, ngathiju",duujind,"ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu",jambathu,"kularrind, wakath",marrkathu,kanthathu,ngamathu,kanthathu,kanthathu,marrkathu,ngamathu,kakuju,kanthathu,kakuju,ngamathu,marrkathu,kanthathu,ngamathu,kanthathu,ngamathu,kakuju,ngamathu,marrkathu,kakuju
8,0.16087060336515735,0.5195798391305154,0.35870923576535807,duujind,kularrind,"ngayarndathu, jambathu, kunyaa ngamathu",kularrind,"ngathiju, jambathu","jambathu, ngathiju","ngayarndathu, jambathu, kunyaa ngamathu",duujind,yakukathu,jambathu,kularrind,"kularrind, wakath","ngathiju, jambathu",kularrind,yakukathu,kularrind,"jambathu, ngathiju","ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu",duujind,duujind,"ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath","kularrind, wakath","ngayarndathu, jambathu, kunyaa ngamathu",duujind,jambathu,"kularrind, wakath",thabuju,"kularrind, wakath",yakukathu,"ngathiju, jambathu",thabuju,"ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu","kularrind, wakath",duujind,"ngayarndathu, jambathu, kunyaa ngamathu",kakuju,kanthathu,kanthathu,kanthathu,kakuju,kakuju,ngamathu,marrkathu,marrkathu,marrkathu,kanthathu,ngamathu,ngamathu,kanthathu,kanthathu,ngamathu,kakuju,ngamathu,ngamathu,marrkathu
9,0.14053932702562122,0.5982695885852573,0.45773026155963603,duujind,"ngathiju, jambathu",kularrind,"ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath",thabuju,duujind,jambathu,"jambathu, ngathiju",duujind,"kularrind, wakath",yakukathu,"ngayarndathu, jambathu, kunyaa ngamathu",kularrind,duujind,"kularrind, wakath",yakukathu,"ngayarndathu, jambathu, kunyaa ngamathu","ngathiju, jambathu","jambathu, ngathiju","ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu",duujind,"ngayarndathu, jambathu, kunyaa ngamathu","ngayarndathu, jambathu, kunyaa ngamathu",duujind,kularrind,thabuju,"ngayarndathu, jambathu, kunyaa ngamathu","kularrind, wakath","ngathiju, jambathu",kularrind,"kularrind, wakath",yakukathu,jambathu,kularrind,"ngathiju, jambathu","kularrind, wakath",ngamathu,ngamathu,marrkathu,ngamathu,kanthathu,marrkathu,kakuju,ngamathu,marrkathu,kanthathu,kanthathu,kakuju,marrkathu,kakuju,ngamathu,kanthathu,ngamathu,kanthathu,kanthathu,kakuju
