simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.14053932702562122,0.5982695885852573,0.45773026155963603,mábirirárobo,níriradúbu,"námu, náramudúbu",nirirárobo,mábirirárobo,níriradúbu,nirirárobo,mábirirárobo,níriradúbu,níriradúbu,nirirárobo,nirirárobo,"námu, náramudúbu",mábirirárobo,"námu, náramudúbu",níriradúbu,nirirárobo,níriradúbu,"námu, náramudúbu","námu, náramudúbu",mábirirárobo,nirirárobo,nirirárobo,"námu, náramudúbu",níriradúbu,mábirirárobo,mábirirárobo,níriradúbu,"námu, náramudúbu",mábirirárobo,níriradúbu,mábirirárobo,nirirárobo,mábirirárobo,"námu, náramudúbu",nirirárobo,nirirárobo,níriradúbu,gáu,gáu,gáu,"abéra, bába",gáu,"míduabéra, wápabéra","abéra, bába",mídumáramu,gáu,wápabéra,mídumáramu,gáu,"míduabéra, wápabéra",wápomáramu,"máramu, máu",wápabéra,wápomáramu,gáu,gáu,"máramu, máu"
1,0.046462691877197204,0.5982695885852573,0.55180689670806,níriradúbu,mábirirárobo,"námu, náramudúbu",mábirirárobo,níriradúbu,níriradúbu,nirirárobo,nirirárobo,níriradúbu,nirirárobo,"námu, náramudúbu",níriradúbu,nirirárobo,mábirirárobo,níriradúbu,"námu, náramudúbu",mábirirárobo,nirirárobo,mábirirárobo,"námu, náramudúbu",mábirirárobo,níriradúbu,nirirárobo,níriradúbu,"námu, náramudúbu",níriradúbu,mábirirárobo,"námu, náramudúbu","námu, náramudúbu","námu, náramudúbu",nirirárobo,mábirirárobo,nirirárobo,mábirirárobo,nirirárobo,nirirárobo,níriradúbu,mábirirárobo,gáu,gáu,gáu,"abéra, bába",gáu,"máramu, máu","míduabéra, wápabéra",gáu,mídumáramu,mídumáramu,"abéra, bába",wápomáramu,"máramu, máu",wápabéra,"míduabéra, wápabéra",gáu,wápabéra,gáu,wápomáramu,gáu
2,0.4848660531119162,1.376055285260417,0.8911892321485009,níriradúbu,mábirirárobo,"námu, náramudúbu",níriradúbu,nirirárobo,nirirárobo,"námu, náramudúbu","námu, náramudúbu",níriradúbu,níriradúbu,"námu, náramudúbu","námu, náramudúbu",níriradúbu,nirirárobo,mábirirárobo,nirirárobo,mábirirárobo,mábirirárobo,níriradúbu,níriradúbu,"námu, náramudúbu",nirirárobo,mábirirárobo,mábirirárobo,nirirárobo,níriradúbu,mábirirárobo,"námu, náramudúbu",nirirárobo,mábirirárobo,níriradúbu,nirirárobo,mábirirárobo,níriradúbu,nirirárobo,nirirárobo,"námu, náramudúbu",mábirirárobo,wápomáramu,"máramu, máu","míduabéra, wápabéra",mídumáramu,gáu,gáu,wápabéra,"abéra, bába","abéra, bába",wápabéra,gáu,mídumáramu,gáu,"máramu, máu",gáu,gáu,wápomáramu,"míduabéra, wápabéra",gáu,gáu
3,0.410116318288409,0.9799711820833054,0.5698548637948964,mábirirárobo,níriradúbu,níriradúbu,nirirárobo,nirirárobo,"námu, náramudúbu",nirirárobo,"námu, náramudúbu",nirirárobo,níriradúbu,mábirirárobo,níriradúbu,"námu, náramudúbu",mábirirárobo,"námu, náramudúbu",níriradúbu,"námu, náramudúbu","námu, náramudúbu",nirirárobo,mábirirárobo,níriradúbu,níriradúbu,nirirárobo,nirirárobo,mábirirárobo,níriradúbu,mábirirárobo,mábirirárobo,níriradúbu,mábirirárobo,"námu, náramudúbu",níriradúbu,mábirirárobo,nirirárobo,"námu, náramudúbu",mábirirárobo,nirirárobo,nirirárobo,"míduabéra, wápabéra","máramu, máu",mídumáramu,mídumáramu,gáu,gáu,"abéra, bába",wápabéra,gáu,gáu,gáu,wápomáramu,gáu,wápabéra,gáu,wápomáramu,"máramu, máu","abéra, bába","míduabéra, wápabéra",gáu
4,0.20218548540814574,1.376055285260417,1.1738697998522714,"námu, náramudúbu","námu, náramudúbu","námu, náramudúbu",nirirárobo,"námu, náramudúbu","námu, náramudúbu",mábirirárobo,níriradúbu,níriradúbu,"námu, náramudúbu",mábirirárobo,níriradúbu,níriradúbu,"námu, náramudúbu",níriradúbu,mábirirárobo,mábirirárobo,nirirárobo,mábirirárobo,nirirárobo,níriradúbu,nirirárobo,mábirirárobo,nirirárobo,nirirárobo,nirirárobo,níriradúbu,nirirárobo,mábirirárobo,níriradúbu,nirirárobo,"námu, náramudúbu",mábirirárobo,mábirirárobo,níriradúbu,níriradúbu,nirirárobo,mábirirárobo,gáu,mídumáramu,"míduabéra, wápabéra","abéra, bába",gáu,wápabéra,"abéra, bába",gáu,gáu,gáu,wápomáramu,gáu,wápabéra,gáu,wápomáramu,mídumáramu,"míduabéra, wápabéra",gáu,"máramu, máu","máramu, máu"
5,0.014032215111297708,0.9799711820833055,0.9659389669720078,níriradúbu,"námu, náramudúbu",níriradúbu,"námu, náramudúbu",nirirárobo,níriradúbu,nirirárobo,níriradúbu,níriradúbu,"námu, náramudúbu",nirirárobo,níriradúbu,mábirirárobo,mábirirárobo,níriradúbu,"námu, náramudúbu",nirirárobo,nirirárobo,mábirirárobo,nirirárobo,nirirárobo,"námu, náramudúbu",mábirirárobo,mábirirárobo,níriradúbu,mábirirárobo,níriradúbu,nirirárobo,nirirárobo,níriradúbu,mábirirárobo,"námu, náramudúbu",mábirirárobo,"námu, náramudúbu",mábirirárobo,mábirirárobo,nirirárobo,"námu, náramudúbu",wápomáramu,"abéra, bába",gáu,gáu,"abéra, bába",gáu,wápabéra,gáu,gáu,"míduabéra, wápabéra",mídumáramu,mídumáramu,"míduabéra, wápabéra","máramu, máu",wápabéra,wápomáramu,gáu,gáu,"máramu, máu",gáu
6,0.2868240015233603,1.376055285260417,1.0892312837370568,"námu, náramudúbu","námu, náramudúbu",nirirárobo,níriradúbu,"námu, náramudúbu","námu, náramudúbu",mábirirárobo,níriradúbu,mábirirárobo,"námu, náramudúbu",níriradúbu,níriradúbu,nirirárobo,nirirárobo,níriradúbu,"námu, náramudúbu",nirirárobo,mábirirárobo,nirirárobo,mábirirárobo,níriradúbu,mábirirárobo,mábirirárobo,níriradúbu,nirirárobo,níriradúbu,"námu, náramudúbu",nirirárobo,nirirárobo,"námu, náramudúbu",mábirirárobo,nirirárobo,mábirirárobo,nirirárobo,mábirirárobo,mábirirárobo,níriradúbu,níriradúbu,"míduabéra, wápabéra",wápomáramu,"abéra, bába",gáu,gáu,gáu,"míduabéra, wápabéra",mídumáramu,"máramu, máu","abéra, bába","máramu, máu",gáu,gáu,gáu,gáu,wápomáramu,gáu,mídumáramu,wápabéra,wápabéra
7,0.20505815914420467,1.0346012329101812,0.8295430737659766,"námu, náramudúbu",nirirárobo,níriradúbu,mábirirárobo,mábirirárobo,mábirirárobo,nirirárobo,nirirárobo,níriradúbu,"námu, náramudúbu",mábirirárobo,"námu, náramudúbu",mábirirárobo,"námu, náramudúbu",nirirárobo,"námu, náramudúbu",mábirirárobo,"námu, náramudúbu",níriradúbu,mábirirárobo,nirirárobo,nirirárobo,níriradúbu,mábirirárobo,mábirirárobo,nirirárobo,níriradúbu,"námu, náramudúbu",nirirárobo,níriradúbu,nirirárobo,"námu, náramudúbu",níriradúbu,nirirárobo,níriradúbu,mábirirárobo,níriradúbu,níriradúbu,gáu,"abéra, bába","máramu, máu",gáu,wápomáramu,gáu,gáu,wápabéra,"abéra, bába",gáu,mídumáramu,mídumáramu,"míduabéra, wápabéra",gáu,wápabéra,"míduabéra, wápabéra",gáu,wápomáramu,gáu,"máramu, máu"
8,0.41011631828840933,1.376055285260417,0.9659389669720078,"námu, náramudúbu",níriradúbu,níriradúbu,"námu, náramudúbu",nirirárobo,"námu, náramudúbu",mábirirárobo,níriradúbu,mábirirárobo,"námu, náramudúbu",níriradúbu,nirirárobo,níriradúbu,níriradúbu,"námu, náramudúbu",mábirirárobo,nirirárobo,níriradúbu,"námu, náramudúbu",níriradúbu,nirirárobo,nirirárobo,mábirirárobo,níriradúbu,nirirárobo,mábirirárobo,nirirárobo,"námu, náramudúbu",nirirárobo,mábirirárobo,mábirirárobo,mábirirárobo,mábirirárobo,"námu, náramudúbu",nirirárobo,mábirirárobo,níriradúbu,nirirárobo,wápabéra,"máramu, máu",mídumáramu,wápomáramu,"abéra, bába",gáu,"abéra, bába",gáu,gáu,"míduabéra, wápabéra","máramu, máu",mídumáramu,gáu,gáu,gáu,gáu,wápomáramu,gáu,wápabéra,"míduabéra, wápabéra"
9,0.014032215111297708,1.0789922078775833,1.0649599927662856,nirirárobo,nirirárobo,"námu, náramudúbu","námu, náramudúbu",mábirirárobo,mábirirárobo,"námu, náramudúbu",mábirirárobo,nirirárobo,nirirárobo,mábirirárobo,nirirárobo,níriradúbu,níriradúbu,níriradúbu,níriradúbu,nirirárobo,mábirirárobo,níriradúbu,níriradúbu,mábirirárobo,nirirárobo,níriradúbu,"námu, náramudúbu",níriradúbu,nirirárobo,mábirirárobo,mábirirárobo,"námu, náramudúbu",níriradúbu,nirirárobo,"námu, náramudúbu",mábirirárobo,mábirirárobo,"námu, náramudúbu",nirirárobo,"námu, náramudúbu",níriradúbu,gáu,gáu,"abéra, bába",wápabéra,wápomáramu,gáu,wápomáramu,"máramu, máu",gáu,"míduabéra, wápabéra",gáu,mídumáramu,"míduabéra, wápabéra","abéra, bába","máramu, máu",wápabéra,mídumáramu,gáu,gáu,gáu
