simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mB,mFBD,mMZD,mFBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBD,fMZD,fFBS,fMZS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mF,mM,mFB,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB,mFZ,mFyZ,fFZ,fFyZ,mFeZ,fFeZ
0,0.13203197827129953,1.4731094166188972,1.3410774383475976,katiwa,katiwa,katiwa,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,papartu,katiwa,katiwa,katiwa,tjurtu,tjurtu,katiwa,katiwa,katiwa,katiwa,papartu,katiwa,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlany(pa),katiwa,katiwa,katiwa,katiwa,tyurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tyurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlany(pa),katiwa,katiwa,katiwa,kurta,katiwa,katiwa,katiwa,wapirra,wapirra,wapirra,yipi,yipi,yipi,wapirra,wapirra,pimiri,yayi,wapirra,yipi,yipi,wapirra,yipi,yayi,pimiri,tjamiri,tjamiri,wapirra,pimiri,yipi,pimiri,tjamiri,yipi,tjamiri,tjamiri,tjamiri
1,0.14452876523584912,1.4457814223978342,1.3012526571619851,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tjurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tyurtu,katiwa,marlany(pa),katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,papartu,katiwa,katiwa,katiwa,papartu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tyurtu,katiwa,katiwa,marlany(pa),katiwa,katiwa,marlatyanu,katiwa,katiwa,kurta,katiwa,tjurtu,katiwa,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,yipi,tjamiri,yipi,pimiri,wapirra,tjamiri,wapirra,yayi,wapirra,yipi,yipi,yipi,tjamiri,tjamiri,yipi,wapirra,tjamiri,yayi,yipi,pimiri,wapirra,pimiri,yipi,wapirra,tjamiri,pimiri,wapirra,wapirra
2,0.1238762499987418,1.4840061471742798,1.360129897175538,katiwa,katiwa,papartu,tyurtu,tjurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tyurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,kurta,tjurtu,katiwa,katiwa,katiwa,katiwa,katiwa,kurta,katiwa,marlany(pa),katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,marlany(pa),katiwa,katiwa,katiwa,katiwa,katiwa,papartu,katiwa,katiwa,katiwa,katiwa,katiwa,yipi,wapirra,wapirra,wapirra,pimiri,yayi,wapirra,tjamiri,tjamiri,pimiri,wapirra,tjamiri,yayi,yipi,yipi,yipi,wapirra,tjamiri,yipi,pimiri,yipi,yipi,tjamiri,wapirra,tjamiri,wapirra,yipi,pimiri
3,0.17885796729674697,1.4806861302295302,1.3018281629327833,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlany(pa),katiwa,tjurtu,katiwa,katiwa,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tyurtu,katiwa,katiwa,katiwa,katiwa,papartu,katiwa,katiwa,katiwa,katiwa,marlany(pa),katiwa,katiwa,tyurtu,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tjurtu,marlatyanu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,papartu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tjamiri,wapirra,tjamiri,wapirra,tjamiri,wapirra,wapirra,pimiri,pimiri,wapirra,yayi,tjamiri,tjamiri,yipi,wapirra,pimiri,yipi,tjamiri,wapirra,pimiri,wapirra,yipi,yipi,yipi,yipi,yipi,yipi,yayi
4,0.1860896413593105,1.4901010405072275,1.304011399147917,katiwa,katiwa,tjurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,marlatyanu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,papartu,katiwa,katiwa,katiwa,katiwa,tyurtu,katiwa,tjurtu,katiwa,kurta,katiwa,katiwa,katiwa,katiwa,marlany(pa),katiwa,tyurtu,katiwa,katiwa,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlany(pa),katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,papartu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tjamiri,tjamiri,tjamiri,wapirra,pimiri,yipi,pimiri,wapirra,yipi,wapirra,yayi,wapirra,pimiri,tjamiri,yipi,wapirra,pimiri,tjamiri,wapirra,yipi,yipi,yayi,tjamiri,yipi,yipi,wapirra,yipi,wapirra
5,0.11277050211978668,1.4974740058339695,1.3847035037141828,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlany(pa),katiwa,marlatyanu,katiwa,katiwa,katiwa,tjurtu,marlany(pa),katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tjurtu,katiwa,papartu,papartu,tyurtu,katiwa,katiwa,katiwa,tyurtu,katiwa,yayi,wapirra,tjamiri,yipi,yipi,pimiri,yayi,yipi,tjamiri,tjamiri,tjamiri,yipi,yipi,yipi,wapirra,wapirra,pimiri,pimiri,yipi,wapirra,wapirra,wapirra,tjamiri,tjamiri,pimiri,wapirra,yipi,wapirra
6,0.15773806058628792,1.4973100096330345,1.3395719490467466,katiwa,katiwa,katiwa,papartu,katiwa,marlany(pa),katiwa,tyurtu,katiwa,katiwa,katiwa,katiwa,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,katiwa,katiwa,katiwa,tjurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,papartu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlany(pa),katiwa,katiwa,kurta,marlatyanu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tjurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tyurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,wapirra,pimiri,tjamiri,tjamiri,pimiri,tjamiri,yipi,wapirra,yipi,tjamiri,wapirra,wapirra,tjamiri,yipi,pimiri,wapirra,tjamiri,yipi,yipi,wapirra,yipi,yipi,wapirra,yayi,wapirra,pimiri,yipi,yayi
7,0.17083179303742257,1.4811612035889543,1.3103294105515317,katiwa,katiwa,katiwa,katiwa,papartu,marlany(pa),katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tjurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,papartu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,katiwa,tjurtu,katiwa,katiwa,marlany(pa),katiwa,katiwa,tyurtu,katiwa,tyurtu,katiwa,katiwa,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tjamiri,tjamiri,yipi,yipi,pimiri,wapirra,yipi,yayi,wapirra,wapirra,pimiri,tjamiri,wapirra,yipi,pimiri,wapirra,yipi,tjamiri,tjamiri,yayi,pimiri,tjamiri,yipi,wapirra,yipi,wapirra,wapirra,yipi
8,0.14305026406530685,1.5194258073800018,1.376375543314695,papartu,katiwa,marlatyanu,katiwa,katiwa,marlany(pa),katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,marlany(pa),katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tyurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,kurta,katiwa,papartu,katiwa,katiwa,katiwa,tjurtu,tyurtu,katiwa,katiwa,katiwa,katiwa,marlatyanu,tjurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,wapirra,tjamiri,yipi,pimiri,yipi,wapirra,wapirra,wapirra,wapirra,yipi,tjamiri,pimiri,pimiri,tjamiri,wapirra,wapirra,yayi,tjamiri,pimiri,yipi,wapirra,yipi,yipi,tjamiri,yayi,tjamiri,yipi,yipi
9,0.13111637173840363,1.4845542841962636,1.35343791245786,katiwa,katiwa,katiwa,katiwa,tyurtu,katiwa,katiwa,katiwa,kurta,katiwa,katiwa,tyurtu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,papartu,kurta,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,tjurtu,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,katiwa,tjurtu,marlany(pa),katiwa,katiwa,katiwa,katiwa,marlany(pa),katiwa,papartu,katiwa,katiwa,katiwa,katiwa,marlatyanu,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,katiwa,wapirra,tjamiri,wapirra,wapirra,yipi,yipi,tjamiri,yayi,wapirra,pimiri,tjamiri,pimiri,wapirra,pimiri,pimiri,wapirra,yipi,yipi,yipi,wapirra,yayi,wapirra,yipi,tjamiri,yipi,tjamiri,tjamiri,yipi
