simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.10203989547665193,1.8100094790349128,1.707969583558261,,bhulī,,bhulī,,,bhulā,,bhulā,bhulā,,,bhulā,,bhulā,,,bhulī,,,,,,,,bhulī,bhulā,,,,didi,,,,,,bhulī,,,bhulī,bhulā,,dad,,bhulī,bhulī,,bhulā,,,,,,,bhulī,,dad,didi,,,,,bhulī,,,,,,,,,,bhulā,,,,,,,bhulā,,,,,,,,,,,kāśabaujyu,mam,,,,,bābu ,,kāśabaujyu,ij,,pusyāni,ij,,thulbaujyu,bābu ,mam,,kaij,thulbaujyu,pusyāni,thulljā,thulljā,,,kaij,,
1,0.22960414160555676,1.9026039946909776,1.6729998530854209,dad,bhulā,,,,bhulī,,didi,bhulā,,bhulī,bhulī,,,,,,,,bhulī,,,,,,,,,,,,,bhulā,,,bhulī,,,,,,,bhulī,,,,bhulā,,,,,,,,,bhulā,,,,bhulī,,,,bhulī,dad,bhulā,,,,bhulā,,,,,,bhulī,,,,,didi,,,,bhulā,bhulī,bhulā,bhulā,,,kaij,,mam,bābu ,pusyāni,,,ij,mam,kāśabaujyu,,,,,thulljā,ij,thulbaujyu,,,pusyāni,kāśabaujyu,,kaij,,bābu ,,thulbaujyu,thulljā
2,0.2691060224827906,1.948376694875056,1.6792706723922655,bhulā,bhulī,bhulī,dad,,bhulī,,,,,,,,bhulā,,bhulā,,,bhulī,,,,,bhulā,,bhulī,,,didi,,,,,,,,,,,bhulā,,bhulā,bhulā,,,,,,,,,bhulī,,,bhulā,,,,,,,,,,bhulī,,,,dad,,,,bhulā,,,bhulī,,,bhulī,,,,,bhulī,,,bhulā,,,didi,kāśabaujyu,pusyāni,mam,mam,thulbaujyu,,kāśabaujyu,,,ij,thulljā,pusyāni,,,bābu ,bābu ,,,thulljā,kaij,,,kaij,,ij,thulbaujyu,,
3,0.16945789221927154,1.8936619401227994,1.7242040479035279,,bhulā,,,,,,,,,,,,,,,,,,,,,bhulā,,bhulī,,,,,,,,,bhulī,,,didi,bhulā,,bhulī,,bhulī,,bhulā,,,bhulā,,bhulā,bhulā,,,,,,bhulī,didi,,,bhulā,,,bhulī,bhulī,,,bhulā,,,,,,bhulī,dad,bhulā,bhulī,,,,,,,,,,,dad,,,bhulī,thulbaujyu,,thulljā,bābu ,ij,,kaij,mam,,bābu ,kaij,,,mam,pusyāni,,,kāśabaujyu,ij,kāśabaujyu,,thulbaujyu,,,thulljā,,pusyāni,
4,0.14754030035246823,1.853856398302691,1.7063160979502228,,bhulā,didi,bhulī,,,,,bhulā,dad,,,,,,,,,,,,,dad,,,,,,bhulā,,,bhulī,,,,bhulī,bhulā,,,didi,,,,,bhulī,,bhulā,,,,bhulī,,,,bhulī,,bhulā,bhulī,,,,,,,,,bhulī,,,,bhulī,,,bhulā,,bhulā,,bhulā,,,bhulā,,,bhulī,,,,,,,bābu ,,,mam,ij,,kāśabaujyu,pusyāni,,,kaij,thulbaujyu,thulljā,thulbaujyu,pusyāni,kāśabaujyu,,mam,,kaij,ij,,bābu ,,,,thulljā,
5,0.1304119371307566,1.8455382335504982,1.7151262964197416,,,,,,,,,,,bhulā,bhulā,,,dad,,bhulā,,,,,bhulā,,,bhulā,,,,,,,bhulī,,,bhulī,,,didi,,,,,,,,,dad,bhulā,bhulī,,,bhulī,bhulī,,,,,,,didi,,,,,bhulā,bhulī,,,,bhulā,,,,,,bhulā,,bhulī,,,,bhulī,,bhulā,,,bhulī,bhulī,,,bābu ,,thulljā,,,,,,bābu ,pusyāni,,,,kāśabaujyu,ij,,kaij,pusyāni,kaij,kāśabaujyu,,mam,mam,ij,thulbaujyu,thulljā,,thulbaujyu
6,0.1934332284065643,1.9329505753353295,1.7395173469287653,,,,dad,bhulā,bhulā,,bhulī,,,,didi,bhulā,,bhulī,,,bhulā,,bhulā,,,,bhulā,,,,,,bhulā,,,,,,,,,,bhulī,,,,,,,didi,,,bhulī,bhulā,,,bhulā,,bhulī,bhulī,,,,,,,,bhulī,,,,bhulī,,,,,,,dad,,,,bhulī,,,,,,bhulī,,,,bhulā,bābu ,kāśabaujyu,ij,,thulbaujyu,mam,kaij,pusyāni,,,pusyāni,thulljā,,bābu ,,,thulljā,thulbaujyu,,kaij,kāśabaujyu,ij,mam,,,,,
7,0.22653033939626055,1.893479597739402,1.6669492583431416,,,,,bhulī,,,,,,,,,,,,,,,didi,bhulā,,,,bhulā,,,dad,,dad,,,bhulī,bhulā,,,,bhulā,,bhulī,,,bhulī,,,bhulā,,bhulā,,bhulī,,bhulī,bhulā,,,bhulī,,,,bhulī,,didi,,,,,,bhulī,,,,bhulā,bhulī,,,,,,,,,,,,,,,,bhulā,bhulā,thulljā,thulljā,kaij,kaij,,pusyāni,,,thulbaujyu,,bābu ,kāśabaujyu,,,bābu ,mam,pusyāni,,kāśabaujyu,,,ij,mam,,,,ij,thulbaujyu
8,0.1717982510177083,1.8820019392545644,1.710203688236856,,,,,bhulā,,,,,,dad,,bhulā,,,,,,bhulī,,didi,,,,,bhulā,,,,,bhulā,bhulī,,dad,,,bhulī,,,,,,,,bhulā,bhulī,bhulī,bhulī,,,,,,,,,,didi,,bhulā,,bhulī,,,,,,,bhulā,,bhulā,,bhulā,bhulī,,,bhulī,,,,,,,,bhulī,,bhulā,,,,,,thulbaujyu,,pusyāni,kaij,thulljā,,kāśabaujyu,,,,mam,bābu ,,ij,ij,pusyāni,bābu ,,kāśabaujyu,,thulljā,mam,thulbaujyu,kaij,,
9,0.1714461614362799,1.879636827033374,1.7081906655970942,,,bhulī,,,,,,bhulā,,,,,,,,,,,,,,bhulā,dad,,,,,bhulī,bhulā,,,,bhulī,,,didi,,bhulā,,,bhulī,bhulā,,,,,bhulī,,bhulā,dad,,,,didi,,bhulī,,,,,,,,,,bhulī,bhulā,bhulā,,bhulā,,,bhulī,,,,bhulī,,,bhulī,,,,bhulā,,,,,,kāśabaujyu,kāśabaujyu,ij,mam,bābu ,bābu ,thulbaujyu,,,thulbaujyu,,mam,,thulljā,,pusyāni,,ij,,,thulljā,pusyāni,kaij,,kaij,,,
