simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.2089101737622221,1.4774210228213231,1.268510849059101,prea-,prea-,"ieri, napse-",prɨsi-,"ieri, napse-","ieri, napse-",prɨsi-,prea-,"ieri, napse-","ieri, napse-",prɨsi-,prɨsi-,"ieri, napse-",prɨsi-,kɨtirimwá-,"kamɨni, kɨtirimwá-","ieri, napse-",prɨsi-,kɨtirimwá-,prea-,prea-,prɨsi-,"ieri, napse-","ieri, napse-","ieri, napse-","ieri, napse-","ieri, napse-","ieri, napse-",prea-,prea-,prea-,"ieri, napse-","kamɨni, kɨtirimwá-","ieri, napse-",prɨsi-,prɨsi-,prɨsi-,"ieri, napse-","kanha, mama, rinhɨ","mama, rinhɨ",remu-,"kaka, kusɨ-",kaka,kaka,kaka,"mama, rinhɨ","kanha, mama, rinhɨ",kaka,kaka,"mama, rinhɨ",remu-,"mama, rinhɨ","kaka, kusɨ-",kaka,kaka,kaka,"kaka, kusɨ-","kaka, kusɨ-"
1,0.21652871903239634,1.4708084763221114,1.254279757289715,"ieri, napse-","ieri, napse-",prɨsi-,"ieri, napse-","ieri, napse-","ieri, napse-","kamɨni, kɨtirimwá-","ieri, napse-","kamɨni, kɨtirimwá-","ieri, napse-",prea-,"ieri, napse-","ieri, napse-","ieri, napse-",prɨsi-,"ieri, napse-","ieri, napse-",kɨtirimwá-,prɨsi-,prea-,"ieri, napse-",prea-,prea-,prea-,prea-,prɨsi-,prɨsi-,"ieri, napse-",prɨsi-,prea-,prɨsi-,prea-,"ieri, napse-",prɨsi-,prɨsi-,prɨsi-,"ieri, napse-",kɨtirimwá-,remu-,kaka,"kaka, kusɨ-","kaka, kusɨ-",kaka,"mama, rinhɨ",kaka,remu-,kaka,kaka,"kanha, mama, rinhɨ",kaka,kaka,"kaka, kusɨ-","mama, rinhɨ","mama, rinhɨ","kaka, kusɨ-","kanha, mama, rinhɨ","mama, rinhɨ",kaka
2,0.18187474051558916,1.480328769133029,1.2984540286174397,prɨsi-,prea-,"ieri, napse-","ieri, napse-",prɨsi-,prea-,"ieri, napse-",prɨsi-,prea-,prea-,"ieri, napse-",prea-,prɨsi-,prɨsi-,prea-,"ieri, napse-","kamɨni, kɨtirimwá-",prɨsi-,"ieri, napse-",prea-,"ieri, napse-","ieri, napse-","ieri, napse-","ieri, napse-","ieri, napse-","ieri, napse-",prea-,"ieri, napse-",kɨtirimwá-,prɨsi-,"ieri, napse-",prɨsi-,kɨtirimwá-,"ieri, napse-",prɨsi-,prɨsi-,"kamɨni, kɨtirimwá-","ieri, napse-",remu-,kaka,"kaka, kusɨ-",remu-,"mama, rinhɨ","mama, rinhɨ","mama, rinhɨ",kaka,"kanha, mama, rinhɨ",kaka,kaka,kaka,"mama, rinhɨ","kaka, kusɨ-",kaka,kaka,"kaka, kusɨ-",kaka,"kanha, mama, rinhɨ","kaka, kusɨ-"
3,0.17895131174538315,1.4458878689861696,1.2669365572407865,"ieri, napse-","ieri, napse-","ieri, napse-","ieri, napse-",prɨsi-,prea-,prea-,"ieri, napse-",prɨsi-,"ieri, napse-","kamɨni, kɨtirimwá-",prea-,prɨsi-,"ieri, napse-",kɨtirimwá-,prea-,prɨsi-,prea-,prea-,"ieri, napse-",prɨsi-,prɨsi-,"ieri, napse-",prea-,prɨsi-,"ieri, napse-","ieri, napse-",prɨsi-,prea-,"ieri, napse-",kɨtirimwá-,"ieri, napse-","ieri, napse-","ieri, napse-",prɨsi-,"ieri, napse-",prɨsi-,"kamɨni, kɨtirimwá-","kaka, kusɨ-","kanha, mama, rinhɨ",remu-,kaka,"mama, rinhɨ","kanha, mama, rinhɨ","mama, rinhɨ","mama, rinhɨ",kaka,kaka,kaka,kaka,"kaka, kusɨ-",remu-,"kaka, kusɨ-",kaka,"mama, rinhɨ",kaka,"kaka, kusɨ-",kaka
4,0.13621459818286863,1.4434053231105732,1.3071907249277046,"ieri, napse-",prea-,"ieri, napse-",kɨtirimwá-,prɨsi-,prɨsi-,"ieri, napse-",prɨsi-,prɨsi-,prea-,kɨtirimwá-,"ieri, napse-","kamɨni, kɨtirimwá-",prɨsi-,"ieri, napse-",prɨsi-,prɨsi-,"ieri, napse-",prɨsi-,"ieri, napse-",prɨsi-,"ieri, napse-","ieri, napse-",prea-,prea-,prea-,"ieri, napse-","ieri, napse-","kamɨni, kɨtirimwá-","ieri, napse-",prɨsi-,"ieri, napse-","ieri, napse-",prea-,prea-,"ieri, napse-",prea-,"ieri, napse-","mama, rinhɨ",kaka,kaka,kaka,"kaka, kusɨ-","kanha, mama, rinhɨ","mama, rinhɨ",kaka,kaka,kaka,"mama, rinhɨ","kaka, kusɨ-",remu-,"kaka, kusɨ-",kaka,"kanha, mama, rinhɨ",remu-,kaka,"kaka, kusɨ-","mama, rinhɨ"
5,0.20570155436790682,1.4813328615293824,1.2756313071614755,prɨsi-,"ieri, napse-",prea-,prea-,"ieri, napse-",prea-,prɨsi-,"ieri, napse-",kɨtirimwá-,"ieri, napse-",prea-,"ieri, napse-","ieri, napse-","ieri, napse-",prɨsi-,prɨsi-,prea-,"ieri, napse-",prɨsi-,"kamɨni, kɨtirimwá-",prea-,"ieri, napse-","ieri, napse-",prɨsi-,prɨsi-,prea-,prɨsi-,"ieri, napse-",kɨtirimwá-,"ieri, napse-",prɨsi-,prɨsi-,"kamɨni, kɨtirimwá-","ieri, napse-","ieri, napse-","ieri, napse-",prea-,"ieri, napse-","kaka, kusɨ-","mama, rinhɨ",kaka,"mama, rinhɨ",remu-,"kanha, mama, rinhɨ",kaka,"kaka, kusɨ-","kanha, mama, rinhɨ",kaka,"mama, rinhɨ",kaka,kaka,kaka,remu-,"kaka, kusɨ-",kaka,"mama, rinhɨ",kaka,"kaka, kusɨ-"
6,0.1846359135746498,1.480328769133029,1.295692855558379,prɨsi-,"ieri, napse-","ieri, napse-","ieri, napse-","ieri, napse-",prea-,kɨtirimwá-,"ieri, napse-",prea-,prɨsi-,prɨsi-,"ieri, napse-",kɨtirimwá-,prea-,prea-,prea-,"ieri, napse-","ieri, napse-",prɨsi-,prɨsi-,"ieri, napse-","ieri, napse-",prɨsi-,"ieri, napse-","kamɨni, kɨtirimwá-",prɨsi-,"ieri, napse-","kamɨni, kɨtirimwá-",prɨsi-,prɨsi-,"ieri, napse-","ieri, napse-",prea-,"ieri, napse-","ieri, napse-",prea-,prɨsi-,prea-,"mama, rinhɨ",kaka,"kanha, mama, rinhɨ","kaka, kusɨ-",kaka,"mama, rinhɨ",kaka,"mama, rinhɨ",remu-,kaka,kaka,"kanha, mama, rinhɨ","mama, rinhɨ","kaka, kusɨ-","kaka, kusɨ-",remu-,kaka,"kaka, kusɨ-",kaka,kaka
7,0.21231236524503339,1.4552911983990653,1.242978833154032,"kamɨni, kɨtirimwá-",prea-,prea-,"ieri, napse-","ieri, napse-",prea-,prɨsi-,kɨtirimwá-,"ieri, napse-","kamɨni, kɨtirimwá-","ieri, napse-",prɨsi-,"ieri, napse-",kɨtirimwá-,prɨsi-,prɨsi-,prɨsi-,"ieri, napse-","ieri, napse-","ieri, napse-",prea-,"ieri, napse-",prea-,prɨsi-,"ieri, napse-","ieri, napse-","ieri, napse-",prea-,prɨsi-,prɨsi-,"ieri, napse-",prea-,"ieri, napse-","ieri, napse-",prɨsi-,prɨsi-,prea-,"ieri, napse-",kaka,"mama, rinhɨ","mama, rinhɨ",kaka,kaka,"kaka, kusɨ-","kaka, kusɨ-",kaka,kaka,"kaka, kusɨ-",remu-,kaka,"kanha, mama, rinhɨ","kaka, kusɨ-","kanha, mama, rinhɨ",kaka,kaka,"mama, rinhɨ","mama, rinhɨ",remu-
8,0.2302377227695811,1.4552911983990653,1.2250534756294842,prea-,"ieri, napse-","ieri, napse-",prɨsi-,"kamɨni, kɨtirimwá-","ieri, napse-","ieri, napse-",prea-,"kamɨni, kɨtirimwá-","ieri, napse-","ieri, napse-",prɨsi-,prɨsi-,prea-,prea-,"ieri, napse-","ieri, napse-",prɨsi-,"ieri, napse-","ieri, napse-",prea-,"ieri, napse-",prɨsi-,kɨtirimwá-,kɨtirimwá-,prea-,"ieri, napse-",prɨsi-,prɨsi-,"ieri, napse-",prea-,"ieri, napse-",prɨsi-,prea-,"ieri, napse-",prɨsi-,prɨsi-,"ieri, napse-",kaka,remu-,"kaka, kusɨ-",kaka,kaka,kaka,"kanha, mama, rinhɨ","kanha, mama, rinhɨ",remu-,kaka,kaka,kaka,kaka,"mama, rinhɨ","kaka, kusɨ-","mama, rinhɨ","mama, rinhɨ","kaka, kusɨ-","kaka, kusɨ-","mama, rinhɨ"
9,0.2089143632414625,1.5020431742705262,1.2931288110290637,"ieri, napse-","ieri, napse-","ieri, napse-",prea-,"ieri, napse-","ieri, napse-",kɨtirimwá-,prɨsi-,prɨsi-,prɨsi-,prea-,"ieri, napse-",prɨsi-,"kamɨni, kɨtirimwá-","ieri, napse-","ieri, napse-",prea-,prɨsi-,prɨsi-,prɨsi-,prɨsi-,"ieri, napse-","ieri, napse-",prɨsi-,"kamɨni, kɨtirimwá-",prea-,prea-,"ieri, napse-",prea-,"ieri, napse-",prɨsi-,kɨtirimwá-,"ieri, napse-",prea-,"ieri, napse-","ieri, napse-","ieri, napse-",prea-,kaka,remu-,"kanha, mama, rinhɨ","mama, rinhɨ","kanha, mama, rinhɨ","mama, rinhɨ",remu-,kaka,"kaka, kusɨ-",kaka,"kaka, kusɨ-","kaka, kusɨ-","kaka, kusɨ-",kaka,"mama, rinhɨ",kaka,"mama, rinhɨ",kaka,kaka,kaka
