simulation_number,mutual_information,entropy,conditional_entropy,mMBD,mFZS,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeD,mMByD,fFZD,fFZS,fFeZS,fFyZS,fFeZD,fFyZD,fFZeS,fFZyS,fFZeD,fFZyD
0,NA,NA,NA,towe,amko,ec,amko,towe,woko,ec,ata,ata,towe,eka,ec,amko,towe,towe,ec,ec,ec,towe,towe,ela,ela,ec,towe,amko,woko,ec,amko,towe,ela,ec,ec
1,NA,NA,NA,towe,towe,woko,amko,towe,amko,ela,towe,ec,ata,towe,towe,ec,ec,ec,towe,eka,ata,ec,amko,ec,woko,ela,ela,ec,towe,ec,amko,ec,ec,towe,amko
2,NA,NA,NA,ela,towe,amko,ec,woko,towe,ec,ec,woko,ec,towe,ata,ec,amko,towe,towe,ec,ec,ata,amko,eka,ela,ec,ela,amko,ec,towe,towe,towe,amko,ec,towe
3,NA,NA,NA,amko,ec,towe,amko,amko,ec,ec,amko,towe,ec,ec,ata,ec,towe,towe,towe,towe,eka,woko,ela,ec,ela,towe,towe,ec,ec,woko,ec,towe,ela,amko,ata
4,NA,NA,NA,ec,amko,ela,ec,ec,amko,ec,eka,towe,amko,ela,amko,towe,ec,towe,ata,towe,towe,ata,towe,ec,towe,ela,woko,towe,woko,ec,ec,ec,towe,amko,ec
5,NA,NA,NA,ec,ec,ec,ec,towe,woko,ec,towe,ec,ec,towe,woko,amko,towe,ela,ec,ata,amko,towe,amko,ec,ela,ela,towe,ec,ata,amko,towe,eka,towe,amko,towe
6,NA,NA,NA,ec,towe,towe,towe,towe,ec,towe,ec,ata,towe,amko,amko,woko,amko,ela,ata,ela,ela,ec,ec,ec,towe,towe,ec,eka,woko,ec,towe,ec,amko,ec,amko
7,NA,NA,NA,ela,eka,towe,ec,ec,amko,amko,towe,woko,ela,towe,ec,towe,amko,ata,ec,ec,ec,towe,ata,woko,ela,amko,towe,ec,ec,towe,towe,ec,amko,towe,ec
8,NA,NA,NA,amko,woko,towe,towe,towe,towe,towe,ec,woko,ec,ela,ec,eka,ec,ec,amko,towe,ata,amko,towe,towe,ela,ec,towe,ela,ec,ec,ec,amko,ec,ata,amko
9,NA,NA,NA,towe,woko,towe,amko,towe,ela,towe,amko,woko,towe,ec,towe,ec,ec,amko,ela,towe,amko,ec,amko,towe,ata,ec,ec,ata,ela,ec,ec,eka,ec,ec,towe
